"id","name","supertype","hp","types","evolvesTo","evolvesFrom","number","artist","rarity","flavorText","nationalPokedexNumbers","regulationMark","imageSmall","imageLarge","legalitiesUnlimited","legalitiesStandard","legalitiesExpanded","retreatCost","convertedRetreatCost","Ability1Name","Ability1Text","Ability1Type","Ability2Name","Ability2Text","Ability2Type","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"base1-1","Alakazam","Pokémon","80","Psychic","","Kadabra","1","Ken Sugimori","Rare Holo","Its brain can outperform a supercomputer. Its intelligence quotient is said to be 5000.","65",,"https://images.pokemontcg.io/base1/1.png","https://images.pokemontcg.io/base1/1_hires.png","Legal",,,"Colorless, Colorless, Colorless","3","Damage Swap","As often as you like during your turn (before your attack), you may move 1 damage counter from 1 of your Pokémon to another as long as you don't Knock Out that Pokémon. This power can't be used if Alakazam is Asleep, Confused, or Paralyzed.","Pokémon Power","","","","Confuse Ray","Psychic, Psychic, Psychic","3","30","Flip a coin. If heads, the Defending Pokémon is now Confused.","","","","","","Psychic","×2"
"base1-2","Blastoise","Pokémon","100","Water","","Wartortle","2","Ken Sugimori","Rare Holo","A brutal Pokémon with pressurized water jets on its shell. They are used for high-speed tackles.","9",,"https://images.pokemontcg.io/base1/2.png","https://images.pokemontcg.io/base1/2_hires.png","Legal",,,"Colorless, Colorless, Colorless","3","Rain Dance","As often as you like during your turn (before your attack), you may attach 1 Water Energy card to 1 of your Water Pokémon. (This doesn't use up your 1 Energy card attachment for the turn.) This power can't be used if Blastoise is Asleep, Confused, or Paralyzed.","Pokémon Power","","","","Hydro Pump","Water, Water, Water","3","40+","Does 40 damage plus 10 more damage for each Water Energy attached to Blastoise but not used to pay for this attack's Energy cost. Extra Water Energy after the 2nd doesn't count.","","","","","","Lightning","×2"
"base1-3","Chansey","Pokémon","120","Colorless","Blissey",,"3","Ken Sugimori","Rare Holo","A rare and elusive Pokémon that is said to bring happiness to those who manage to catch it.","113",,"https://images.pokemontcg.io/base1/3.png","https://images.pokemontcg.io/base1/3_hires.png","Legal",,,"Colorless","1","","","","","","","Scrunch","Colorless, Colorless","2","","Flip a coin. If heads, prevent all damage done to Chansey during your opponent's next turn. (Any other effects of attacks still happen.)","Double-edge","Colorless, Colorless, Colorless, Colorless","4","80","Chansey does 80 damage to itself.","Fighting","×2"
"base1-4","Charizard","Pokémon","120","Fire","","Charmeleon","4","Mitsuhiro Arita","Rare Holo","Spits fire that is hot enough to melt boulders. Known to unintentionally cause forest fires.","6",,"https://images.pokemontcg.io/base1/4.png","https://images.pokemontcg.io/base1/4_hires.png","Legal",,,"Colorless, Colorless, Colorless","3","Energy Burn","As often as you like during your turn (before your attack), you may turn all Energy attached to Charizard into Fire Energy for the rest of the turn. This power can't be used if Charizard is Asleep, Confused, or Paralyzed.","Pokémon Power","","","","Fire Spin","Fire, Fire, Fire, Fire","4","100","Discard 2 Energy cards attached to Charizard in order to use this attack.","","","","","","Water","×2"
"base1-5","Clefairy","Pokémon","40","Colorless","Clefable",,"5","Ken Sugimori","Rare Holo","Its magical and cute appeal has many admirers. It is rare and found only in certain areas.","35",,"https://images.pokemontcg.io/base1/5.png","https://images.pokemontcg.io/base1/5_hires.png","Legal",,,"Colorless","1","","","","","","","Sing","Colorless","1","","Flip a coin. If heads, the Defending Pokémon is now Asleep.","Metronome","Colorless, Colorless, Colorless","3","","Choose 1 of the Defending Pokémon's attacks. Metronome copies that attack except for its Energy costs and anything else required in order to use that attack, such as discarding Energy cards. (No matter what type the Defending Pokémon is, Clefairy's type is still Colorless.)","Fighting","×2"
"base1-6","Gyarados","Pokémon","100","Water","","Magikarp","6","Mitsuhiro Arita","Rare Holo","Rarely seen in the wild. Huge and vicious, it is capable of destroying entire cities in a rage.","130",,"https://images.pokemontcg.io/base1/6.png","https://images.pokemontcg.io/base1/6_hires.png","Legal",,,"Colorless, Colorless, Colorless","3","","","","","","","Dragon Rage","Water, Water, Water","3","50","","Bubblebeam","Water, Water, Water, Water","4","40","Flip a coin. If heads, the Defending Pokémon is now Paralyzed.","Grass","×2"
"base1-7","Hitmonchan","Pokémon","70","Fighting","",,"7","Ken Sugimori","Rare Holo","While seeming to do nothing, it fires punches in lightning-fast volleys that are impossible to see.","107",,"https://images.pokemontcg.io/base1/7.png","https://images.pokemontcg.io/base1/7_hires.png","Legal",,,"Colorless, Colorless","2","","","","","","","Jab","Fighting","1","20","","Special Punch","Fighting, Fighting, Colorless","3","40","","Psychic","×2"
"base1-8","Machamp","Pokémon","100","Fighting","","Machoke","8","Ken Sugimori","Rare Holo","Using its amazing muscles, it throws powerful punches that can knock its victim clear over the horizon.","68",,"https://images.pokemontcg.io/base1/8.png","https://images.pokemontcg.io/base1/8_hires.png","Legal",,,"Colorless, Colorless, Colorless","3","Strikes Back","Whenever your opponent's attack damages Machamp (even if Machamp is Knocked Out), this power does 10 damage to the attacking Pokémon. (Don't apply Weakness and Resistance.) This power can't be used if Machamp is Asleep, Confused, or Paralyzed when your opponent attacks.","Pokémon Power","","","","Seismic Toss","Fighting, Fighting, Fighting, Colorless","4","60","","","","","","","Psychic","×2"
"base1-9","Magneton","Pokémon","60","Lightning","Magnezone","Magnemite","9","Keiji Kinebuchi","Rare Holo","Formed by several Magnemites linked together. It frequently appears when sunspots flare up.","82",,"https://images.pokemontcg.io/base1/9.png","https://images.pokemontcg.io/base1/9_hires.png","Legal",,,"Colorless","1","","","","","","","Thunder Wave","Lightning, Lightning, Colorless","3","30","Flip a coin. If heads, the Defending Pokémon is now Paralyzed.","Selfdestruct","Lightning, Lightning, Colorless, Colorless","4","80","Does 20 damage to each Pokémon on each player's Bench. (Don't apply Weakness and Resistance for Benched Pokémon.) Magneton does 80 damage to itself.","Fighting","×2"
"base1-10","Mewtwo","Pokémon","60","Psychic","",,"10","Ken Sugimori","Rare Holo","A scientist created this Pokémon after years of horrific gene-splicing and DNA engineering experiments.","150",,"https://images.pokemontcg.io/base1/10.png","https://images.pokemontcg.io/base1/10_hires.png","Legal",,,"Colorless, Colorless, Colorless","3","","","","","","","Psychic","Psychic, Colorless","2","10+","Does 10 damage plus 10 more damage for each Energy card attached to the Defending Pokémon.","Barrier","Psychic, Psychic","2","","Discard 1 Psychic Energy card attached to Mewtwo in order to prevent all effects of attacks, including damage, done to Mewtwo during your opponent's next turn.","Psychic","×2"
