"ID","Name","Supertype","Subtypes","HP","Types","RetreatCost","Rarity","Ability","Attacks"
"base5-1","Dark Alakazam","Pokemon","Stage 2","60","Psychic","3","Rare Holo","","Teleport Blast: Cost=[Psychic, Psychic, Colorless], EnergyCost=[3], Damage=30, Text=You may switch Dark Alakazam with 1 of your Benched Pokemon. (Do the damage before switching the Pokemon.) | Mind Shock: Cost=[Psychic, Psychic, Psychic], EnergyCost=[3], Damage=40, Text=Don't apply Weakness and Resistance for this attack. (Any other effects that would happen after applying Weakness and Resistance still happen.)"
"base5-2","Dark Arbok","Pokemon","Stage 1","60","Grass","2","Rare Holo","","Stare: Cost=[Grass, Grass], EnergyCost=[2], Damage=, Text=Choose 1 of your opponent's Pokemon. This attack does 10 damage to that Pokemon. Don't apply Weakness and Resistance for this attack. (Any other effects that would happen after applying Weakness and Resistance still happen.) If that Pokemon has a Pokemon Power, that power stops working until the end of your opponent's next turn. | Poison Vapor: Cost=[Grass, Grass, Grass], EnergyCost=[3], Damage=10, Text=The Defending Pokemon is now Poisoned. This attack does 10 damage to each of your opponent's Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)"
"base5-3","Dark Blastoise","Pokemon","Stage 2","70","Water","2","Rare Holo","","Hydrocannon: Cost=[Water, Water], EnergyCost=[2], Damage=30+, Text=Does 30 damage plus 20 more damage for each Water Energy attached to Dark Blastoise but not used to pay for this attack. You can't add more than 40 damage in this way. | Rocket Tackle: Cost=[Water, Colorless, Colorless], EnergyCost=[3], Damage=40, Text=Dark Blastoise does 10 damage to itself. Flip a coin. If heads, prevent all damage done to Dark Blastoise during your opponent's next turn. (Any other effects of attacks still happen.)"
"base5-4","Dark Charizard","Pokemon","Stage 2","80","Fire","3","Rare Holo","","Nail Flick: Cost=[Colorless], EnergyCost=[1], Damage=10, Text= | Continuous Fireball: Cost=[Fire, Fire], EnergyCost=[2], Damage=50×, Text=Flip a number of coins equal to the number of Fire Energy cards attached to Dark Charizard. This attack does 50 damage times the number of heads. Discard a number of Fire Energy cards attached to Dark Charizard equal to the number of heads."
"base5-5","Dark Dragonite","Pokemon","Stage 2","70","Colorless","2","Rare Holo","Summon Minions: Effect=[When you play Dark Dragonite from your hand, search your deck for up to 2 Basic Pokemon and put them onto your Bench. Shuffle your deck afterward.]","Giant Tail: Cost=[Colorless, Colorless, Colorless, Colorless], EnergyCost=[4], Damage=70, Text=Flip a coin. If tails, this attack does nothing."
"base5-6","Dark Dugtrio","Pokemon","Stage 1","50","Fighting","2","Rare Holo","Sinkhole: Effect=[Whenever your opponent's Active Pokemon retreats, your opponent flips a coin. If tails, this power does 20 damage to that Pokemon. (Don't apply Weakness and Resistance.) This power stops working while Dark Dugtrio is Asleep, Confused, or Paralyzed.]","Knock Down: Cost=[Fighting, Fighting], EnergyCost=[2], Damage=20+, Text=Your opponent flips a coin. If tails, this attack does 20 damage plus 20 more damage; if heads, this attack does 20 damage."
"base5-7","Dark Golbat","Pokemon","Stage 1","50","Grass","","Rare Holo","Sneak Attack: Effect=[When you play Dark Golbat from your hand, you may choose 1 of your opponent's Pokemon. If you do, Dark Golbat does 10 damage to that Pokemon. Apply Weakness and Resistance.]","Flitter: Cost=[Grass, Grass], EnergyCost=[2], Damage=, Text=Choose 1 of your opponent's Pokemon. This attack does 20 damage to that Pokemon. Don't apply Weakness and Resistance for this attack. (Any other effects that would happen after applying Weakness and Resistance still happen.)"
"base5-8","Dark Gyarados","Pokemon","Stage 1","70","Water","2","Rare Holo","Final Beam: Effect=[When Dark Gyarados is Knocked Out by an attack, flip a coin. If heads, this power does 20 damage for each Water Energy attached to Dark Gyarados to the Pokemon that Knocked Out Dark Gyarados. Apply Weakness and Resistance. This power doesn't work if Dark Gyarados is Asleep, Confused, or Paralyzed.]","Ice Beam: Cost=[Water, Water, Water], EnergyCost=[3], Damage=30, Text=Flip a coin. If heads, the Defending Pokemon is now Paralyzed."
"base5-9","Dark Hypno","Pokemon","Stage 1","60","Psychic","2","Rare Holo","","Psypunch: Cost=[Psychic], EnergyCost=[1], Damage=20, Text= | Bench Manipulation: Cost=[Psychic, Psychic, Colorless], EnergyCost=[3], Damage=20×, Text=Your opponent flips a number of coins equal to the number of Pokemon on his or her Bench. This attack does 20 damage times the number of tails. Don't apply Weakness and Resistance for this attack. (Any other effects that would happen after applying Weakness and Resistance still happen.)"
"base5-10","Dark Machamp","Pokemon","Stage 2","70","Fighting","3","Rare Holo","","Mega Punch: Cost=[Fighting, Fighting], EnergyCost=[2], Damage=30, Text= | Fling: Cost=[Fighting, Fighting, Fighting, Colorless], EnergyCost=[4], Damage=, Text=Your opponent shuffles his or her Active Pokemon and all cards attached to it into his or her deck. This attack can't be used if your opponent has no Benched Pokemon."
"base5-11","Dark Magneton","Pokemon","Stage 1","60","Lightning","2","Rare Holo","","Sonicboom: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=20, Text=Don't apply Weakness and Resistance for this attack. (Any other effects that would happen after applying Weakness and Resistance still happen.) | Magnetic Lines: Cost=[Lightning, Lightning], EnergyCost=[2], Damage=30, Text=If the Defending Pokemon has any basic Energy cards attached to it, choose 1 of them. If your opponent has any Benched Pokemon, choose 1 of them and attach that Energy card to it."
"base5-12","Dark Slowbro","Pokemon","Stage 1","60","Psychic","2","Rare Holo","Reel In: Effect=[When you play Dark Slowbro from your hand, choose up to 3 Basic Pokemon and/or Evolution cards from your discard pile and put them into your hand.]","Fickle Attack: Cost=[Psychic, Psychic], EnergyCost=[2], Damage=40, Text=Flip a coin. If tails, this attack does nothing."
"base5-13","Dark Vileplume","Pokemon","Stage 2","60","Grass","2","Rare Holo","Hay Fever: Effect=[No Trainer cards can be played. This power stops working while Dark Vileplume is Asleep, Confused, or Paralyzed.]","Petal Whirlwind: Cost=[Grass, Grass, Grass], EnergyCost=[3], Damage=30×, Text=Flip a coins. This attack does 30 damage times the number of heads. If you get 2 or more heads, Dark Vileplume is now Confused (after doing damage)."
"base5-14","Dark Weezing","Pokemon","Stage 1","60","Grass","1","Rare Holo","","Mass Explosion: Cost=[Grass, Colorless], EnergyCost=[2], Damage=20×, Text=Does 20 damage times the total number of Koffings, Weezings, and Dark Weezings in play (Apply Weakness and Resistance.). Then, this attack does 20 damage to each Koffing, Weezing, and Dark Weezing (even your own). Don't apply Weakness and Resistance. | Stun Gas: Cost=[Grass, Grass, Grass], EnergyCost=[3], Damage=20, Text=Flip a coin. If heads, the Defending Pokemon is now Poisoned; if tails, the Defending Pokemon is now Paralyzed."
"base5-15","Here Comes Team Rocket!","Trainer","",,"","","Rare Holo","",""
"base5-16","Rocket's Sneak Attack","Trainer","",,"","","Rare Holo","",""
"base5-17","Rainbow Energy","Energy","Special",,"","","Rare Holo","",""
"base5-18","Dark Alakazam","Pokemon","Stage 2","60","Psychic","3","Rare","","Teleport Blast: Cost=[Psychic, Psychic, Colorless], EnergyCost=[3], Damage=30, Text=You may switch Dark Alakazam with 1 of your Benched Pokemon. (Do the damage before switching the Pokemon.) | Mind Shock: Cost=[Psychic, Psychic, Psychic], EnergyCost=[3], Damage=40, Text=Don't apply Weakness and Resistance for this attack. (Any other effects that would happen after applying Weakness and Resistance still happen.)"
"base5-19","Dark Arbok","Pokemon","Stage 1","60","Grass","2","Rare","","Stare: Cost=[Grass, Grass], EnergyCost=[2], Damage=, Text=Choose 1 of your opponent's Pokemon. This attack does 10 damage to that Pokemon. Don't apply Weakness and Resistance for this attack. (Any other effects that would happen after applying Weakness and Resistance still happen.) If that Pokemon has a Pokemon Power, that power stops working until the end of your opponent's next turn. | Poison Vapor: Cost=[Grass, Grass, Grass], EnergyCost=[3], Damage=10, Text=The Defending Pokemon is now Poisoned. This attack does 10 damage to each of your opponent's Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)"
