"ID","Name","Supertype","Subtypes","HP","Types","RetreatCost","Rarity","Attacks"
"basep-1","Pikachu","Pokemon","Basic","60","Lightning","1","Promo","Growl: Cost=[], Damage=, Text=If the Defending Pokemon attacks Pikachu during your opponent's next turn, any damage done by the attack is reduced by 10 (after applying Weakness and Resistance). (Benching either Pokemon ends this effect.) | Thundershock: Cost=[], Damage=20, Text=Flip a coin. If heads, the Defending Pokemon is now Paralyzed."
"basep-2","Electabuzz","Pokemon","Basic","60","Lightning","2","Promo","Light Screen: Cost=[], Damage=, Text=Whenever an attack does damage to Electabuzz (after applying Weakness and Resistance) during your opponent's next turn, that attack only does half the damage to Electabuzz (rounded down to the nearest 10). (Any other effects of attacks still happen.) | Quick Attack: Cost=[], Damage=10+, Text=Flip a coin. If heads, this attack does 10 damage plus 20 more damage; if tails, this attack does 10 damage."
"basep-3","Mewtwo","Pokemon","Basic","70","Psychic","2","Promo","Energy Absorption: Cost=[], Damage=, Text=Choose up to 2 Energy cards from your discard pile and attach them to Mewtwo. | Psyburn: Cost=[], Damage=40, Text="
"basep-4","Pikachu","Pokemon","Basic","50","Lightning","1","Promo","Recharge: Cost=[], Damage=, Text=Search your deck for a Lightning Energy card and attach it to Pikachu. Shuffle your deck afterward. | Thunderbolt: Cost=[], Damage=50, Text=Discard all Energy cards attached to Pikachu in order to use this attack."
"basep-5","Dragonite","Pokemon","Stage 2","90","Colorless","2","Promo","Supersonic Flight: Cost=[], Damage=60, Text=Flip a coin. If tails, this attack does nothing."
"basep-6","Arcanine","Pokemon","Stage 1","70","Fire","1","Promo","Quick Attack: Cost=[], Damage=10+, Text=Flip a coin. If heads, this attack does 10 damage plus 20 more damage; if tails, this attack does 10 damage. | Flames of Rage: Cost=[], Damage=40+, Text=Discard 2 Fire Energy cards attached to Arcanine in order to use this attack. This attack does 40 damage plus 10 more damage for each damage counter on Arcanine."
"basep-7","Jigglypuff","Pokemon","Basic","50","Colorless","1","Promo","First Aid: Cost=[], Damage=, Text=Remove 1 damage counter from Jigglypuff. | Double-edge: Cost=[], Damage=40, Text=Jigglypuff does 20 damage to itself."
"basep-8","Mew","Pokemon","Basic","50","Psychic","1","Promo","Psywave: Cost=[], Damage=10×, Text=Does 10 damage times the number of Energy cards attached to the Defending Pokemon. | Devolution Beam: Cost=[], Damage=, Text=Choose an evolved Pokemon (your own or your opponent's). Return the highest Stage Evolution card on that Pokemon to its player's hand. That Pokemon is no longer Asleep, Confused, Paralyzed, or Poisoned, or anything else that might be the result of an attack (just as if you had evolved it)."
"basep-9","Mew","Pokemon","Basic","50","Psychic","1","Promo","Psywave: Cost=[], Damage=10×, Text=Does 10 damage times the number of Energy cards attached to the Defending Pokemon. | Devolution Beam: Cost=[], Damage=, Text=Choose an evolved Pokemon (your own or your opponent's). Return the highest Stage Evolution card on that Pokemon to its player's hand. That Pokemon is no longer Asleep, Confused, Paralyzed, or Poisoned, or anything else that might be the result of an attack (just as if you had evolved it)."
"basep-10","Meowth","Pokemon","Basic","50","Colorless","1","Promo","Cat Punch: Cost=[], Damage=, Text=Flip a coin. If heads, this attack does 20 damage. If tails and if your opponent has any Benched Pokemon, he or she chooses 1 of them and this attack does 20 damage to it. (Don't apply Weakness and Resistance for Benched Pokemon.)"
