"id","name","supertype","hp","types","evolvesTo","evolvesFrom","number","artist","rarity","flavorText","nationalPokedexNumbers","regulationMark","imageSmall","imageLarge","legalitiesUnlimited","legalitiesStandard","legalitiesExpanded","retreatCost","convertedRetreatCost","Ability1Name","Ability1Text","Ability1Type","Ability2Name","Ability2Text","Ability2Type","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"bw1-1","Snivy","Pokémon","60","Grass","Servine",,"1","Kagemaru Himeno","Common","They photosynthesize by bathing their tails in sunlight. When they are not feeling well, their tails droop.","495",,"https://images.pokemontcg.io/bw1/1.png","https://images.pokemontcg.io/bw1/1_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Tackle","Grass","1","10","","Vine Whip","Grass, Colorless","2","20","","Fire","×2"
"bw1-2","Snivy","Pokémon","60","Grass","Servine",,"2","5ban Graphics","Common","They photosynthesize by bathing their tails in sunlight. When they are not feeling well, their tails droop.","495",,"https://images.pokemontcg.io/bw1/2.png","https://images.pokemontcg.io/bw1/2_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Leaf Blade","Grass, Colorless","2","10+","Flip a coin. If heads, this attack does 30 more damage.","","","","","","Fire","×2"
"bw1-3","Servine","Pokémon","80","Grass","Serperior","Snivy","3","Kagemaru Himeno","Uncommon","They avoid attacks by sinking into the shadows of thick foliage. They retaliate with masterful whipping techniques.","496",,"https://images.pokemontcg.io/bw1/3.png","https://images.pokemontcg.io/bw1/3_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Wrap","Colorless","1","20","Flip a coin. If heads, the Defending Pokémon is now Paralyzed.","Tackle","Grass, Colorless","2","30","","Fire","×2"
"bw1-4","Servine","Pokémon","80","Grass","Serperior","Snivy","4","5ban Graphics","Uncommon","They avoid attacks by sinking into the shadows of thick foliage. They retaliate with masterful whipping techniques.","496",,"https://images.pokemontcg.io/bw1/4.png","https://images.pokemontcg.io/bw1/4_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Wring Out","Grass, Colorless","2","30","Flip a coin. If heads, the Defending Pokémon is now Paralyzed and discard an Energy attached to the Defending Pokémon.","","","","","","Fire","×2"
"bw1-5","Serperior","Pokémon","130","Grass","","Servine","5","Kagemaru Himeno","Rare Holo","They raise their heads to intimidate opponents but only give it their all when fighting a powerful opponent.","497",,"https://images.pokemontcg.io/bw1/5.png","https://images.pokemontcg.io/bw1/5_hires.png","Legal",,"Legal","",,"","","","","","","Vine Whip","Colorless, Colorless","2","40","","Leaf Storm","Grass, Grass","2","60","Heal 20 damage from each of your Grass Pokémon.","Fire","×2"
"bw1-6","Serperior","Pokémon","130","Grass","","Servine","6","5ban Graphics","Rare Holo","They raise their heads to intimidate opponents but only give it their all when fighting a powerful opponent.","497",,"https://images.pokemontcg.io/bw1/6.png","https://images.pokemontcg.io/bw1/6_hires.png","Legal",,"Legal","Colorless","1","Royal Heal","At any time between turns, heal 10 damage from each of your Pokémon.","Ability","","","","Leaf Tornado","Grass, Colorless","2","60","Move as many Grass Energy attached to your Pokémon to your other Pokémon in any way you like.","","","","","","Fire","×2"
"bw1-7","Pansage","Pokémon","60","Grass","Simisage",,"7","sui","Common","It shares the leaf on its head with weary-looking Pokémon. These leaves are known to relieve stress.","511",,"https://images.pokemontcg.io/bw1/7.png","https://images.pokemontcg.io/bw1/7_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Scratch","Colorless","1","10","","Vine Whip","Grass, Colorless, Colorless","3","30","","Fire","×2"
"bw1-8","Simisage","Pokémon","90","Grass","","Pansage","8","Masakazu Fukuda","Uncommon","It attacks enemies with strikes of its thorn-covered tail. This Pokémon is wild tempered.","512",,"https://images.pokemontcg.io/bw1/8.png","https://images.pokemontcg.io/bw1/8_hires.png","Legal",,"Legal","Colorless, Colorless","2","","","","","","","Seed Bomb","Grass","1","30","","Fury Swipes","Colorless, Colorless, Colorless","3","40×","Flip 3 coins. This attack does 40 damage times the number of heads.","Fire","×2"
"bw1-9","Petilil","Pokémon","50","Grass","Lilligant",,"9","Kagemaru Himeno","Common","Since they prefer moist, nutrient-rich soil, the areas where Petilil live are known to be good for growing plants.","548",,"https://images.pokemontcg.io/bw1/9.png","https://images.pokemontcg.io/bw1/9_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Magical Leaf","Grass","1","10+","Flip a coin. If heads, this attack does 10 more damage and heal 10 damage from this Pokémon.","","","","","","Fire","×2"
"bw1-10","Lilligant","Pokémon","80","Grass","","Petilil","10","Atsuko Nishida","Rare","The fragrance of the garland on its head has a relaxing effect. It withers if a Trainer does not take good care of it.","549",,"https://images.pokemontcg.io/bw1/10.png","https://images.pokemontcg.io/bw1/10_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Petal Dance","Grass","1","30×","Flip 3 coins. This attack does 30 damage times the number of heads. This Pokémon is now confused.","Leaf Storm","Grass, Colorless","2","30","Heal 20 damage from each of your Grass Pokémon.","Fire","×2"
"bw1-11","Maractus","Pokémon","80","Grass","",,"11","Kagemaru Himeno","Uncommon","It uses an up-tempo song and dance to drive away the bird Pokémon that prey on its flower seeds.","556",,"https://images.pokemontcg.io/bw1/11.png","https://images.pokemontcg.io/bw1/11_hires.png","Legal",,"Legal","Colorless, Colorless","2","","","","","","","Mega Drain","Grass","1","20","Heal 20 damage from this Pokémon.","Pin Missile","Grass, Grass, Colorless","3","20×","Flip 4 coins. This attack does 20 damage times the number of heads.","Fire","×2"
"bw1-12","Maractus","Pokémon","90","Grass","",,"12","Kouki Saitou","Rare","Arid regions are their habitat. They move rhythmically, making a sound similar to maracas.","556",,"https://images.pokemontcg.io/bw1/12.png","https://images.pokemontcg.io/bw1/12_hires.png","Legal",,"Legal","Colorless, Colorless","2","","","","","","","Constant Rattle","Grass","1","","Flip 3 coins. If 1 of them is heads, this attack does 10 damage. If 2 of them are heads, this attack does 30 damage. If all of them are heads, this attack does 60 damage.","Giga Drain","Grass, Grass, Grass","3","50","Heal from this Pokémon the same amount of damage you did to the Defending Pokémon.","Fire","×2"
"bw1-13","Deerling","Pokémon","60","Grass","Sawsbuck",,"13","Atsuko Nishida","Common","The color and scent of their fur changes to match the mountain grass. When they sense hostility, they hide in the grass.","585",,"https://images.pokemontcg.io/bw1/13.png","https://images.pokemontcg.io/bw1/13_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Double Kick","Colorless","1","10×","Flip 2 coins. This attack does 10 damage times the number of heads.","Leech Seed","Grass, Colorless","2","20","Heal 10 damage from this Pokémon.","Fire","×2"
"bw1-14","Sawsbuck","Pokémon","90","Grass","","Deerling","14","Naoyo Kimura","Rare","They migrate according to the seasons. People can tell the season by looking at Sawsbuck's horns.","586",,"https://images.pokemontcg.io/bw1/14.png","https://images.pokemontcg.io/bw1/14_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Nature Power","Colorless","1","20+","Does 10 more damage for each Grass Energy attached to both your and your opponent's Pokémon.","Horn Leech","Grass, Colorless, Colorless","3","60","Heal 20 damage from this Pokémon.","Fire","×2"
"bw1-15","Tepig","Pokémon","60","Fire","Pignite",,"15","Kouki Saitou","Common","It can deftly dodge its foe's attacks while shooting fireballs from its nose. It roasts berries before it eats them.","498",,"https://images.pokemontcg.io/bw1/15.png","https://images.pokemontcg.io/bw1/15_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Tackle","Fire","1","10","","Rollout","Fire, Colorless","2","20","","Water","×2"
"bw1-16","Tepig","Pokémon","70","Fire","Pignite",,"16","5ban Graphics","Common","It can deftly dodge its foe's attacks while shooting fireballs from its nose. It roasts berries before it eats them.","498",,"https://images.pokemontcg.io/bw1/16.png","https://images.pokemontcg.io/bw1/16_hires.png","Legal",,"Legal","Colorless, Colorless","2","","","","","","","Take Down","Fire, Colorless","2","30","This Pokémon does 10 damage to itself.","","","","","","Water","×2"
"bw1-17","Pignite","Pokémon","100","Fire","Emboar","Tepig","17","Kouki Saitou","Uncommon","When its internal fire flares up, its movements grow sharper and faster. When in trouble, it emits smoke.","499",,"https://images.pokemontcg.io/bw1/17.png","https://images.pokemontcg.io/bw1/17_hires.png","Legal",,"Legal","Colorless, Colorless, Colorless","3","","","","","","","Flame Charge","Colorless","1","","Search your deck for a Fire Energy card and attach it to this Pokémon. Shuffle your deck afterward.","Heat Crash","Fire, Fire, Colorless","3","50","","Water","×2"
"bw1-18","Pignite","Pokémon","100","Fire","Emboar","Tepig","18","5ban Graphics","Uncommon","When its internal fire flares up, its movements grow sharper and faster. When in trouble, it emits smoke.","499",,"https://images.pokemontcg.io/bw1/18.png","https://images.pokemontcg.io/bw1/18_hires.png","Legal",,"Legal","Colorless, Colorless, Colorless","3","","","","","","","Rollout","Colorless, Colorless","2","20","","Flamethrower","Fire, Fire, Colorless","3","70","Discard an Energy attached to this Pokémon.","Water","×2"
"bw1-19","Emboar","Pokémon","150","Fire","","Pignite","19","Kouki Saitou","Rare Holo","It can throw a fire punch by setting its fists on fire with its fiery chin. It cares deeply about its friends.","500",,"https://images.pokemontcg.io/bw1/19.png","https://images.pokemontcg.io/bw1/19_hires.png","Legal",,"Legal","Colorless, Colorless, Colorless, Colorless","4","","","","","","","Heat Crash","Fire, Colorless, Colorless","3","50","","Flare Blitz","Fire, Fire, Colorless, Colorless","4","150","Discard all Fire Energy attached to this Pokémon.","Water","×2"
