"ID","Name","Supertype","Subtypes","HP","Types","RetreatCost","Rarity","Attacks"
"bw10-1","Surskit","Pokemon","Basic","50","Grass","1","Common","Sweet Scent: Cost=[], Damage=, Text=Heal 20 damage from 1 of your Pokemon."
"bw10-2","Masquerain","Pokemon","Stage 1, Team Plasma","80","Grass","1","Rare","Bug Bite: Cost=[], Damage=60, Text="
"bw10-3","Lileep","Pokemon","Restored","80","Grass","2","Uncommon","Spiral Drain: Cost=[], Damage=20, Text=Heal 10 damage from this Pokemon."
"bw10-4","Cradily","Pokemon","Stage 1","120","Grass","2","Rare","Lifesplosion: Cost=[], Damage=, Text=For each Energy attached to this Pokemon, search your deck for a Stage 2 Pokemon and put it onto your Bench. Shuffle your deck afterward. | Spiral Drain: Cost=[], Damage=60, Text=Heal 20 damage from this Pokemon."
"bw10-5","Tropius","Pokemon","Basic","100","Grass","1","Uncommon","Return: Cost=[], Damage=10, Text=Draw cards until you have 6 cards in your hand. | Energy Press: Cost=[], Damage=20+, Text=Does 20 more damage for each Energy attached to the Defending Pokemon."
"bw10-6","Karrablast","Pokemon","Basic","60","Grass","1","Common","Peck: Cost=[], Damage=20, Text="
"bw10-7","Shelmet","Pokemon","Basic","60","Grass","3","Common","Yawn: Cost=[], Damage=, Text=The Defending Pokemon is now Asleep. | Ram: Cost=[], Damage=20, Text="
"bw10-8","Accelgor","Pokemon","Stage 1, Team Plasma","80","Grass","","Rare","Retribution: Cost=[], Damage=20, Text=If an Escavalier you had in play was Knocked Out by damage from an opponent's attack during his or her last turn, put all Energy attached to the Defending Pokemon into your opponent's hand. | Signal Beam: Cost=[], Damage=30, Text=The Defending Pokemon is now Confused."
"bw10-10","Genesect","Pokemon","Basic","100","Grass","1","Rare","Call for Family: Cost=[], Damage=, Text=Search your deck for 2 Grass Basic Pokemon and put them onto your Bench. Shuffle your deck afterward. | Jet Impact: Cost=[], Damage=80+, Text=Flip a coin. If heads, this attack does 20 more damage."
"bw10-12","Larvesta","Pokemon","Basic","70","Fire","3","Common","Flare: Cost=[], Damage=10, Text= | Ember: Cost=[], Damage=30, Text=Discard an Energy attached to this Pokemon."
"bw10-13","Volcarona","Pokemon","Stage 1, Team Plasma","100","Fire","1","Rare","Solar Transporter: Cost=[], Damage=, Text=Reveal the top 5 cards of your deck and put all Team Plasma cards you find there into your hand. Discard the other cards. | Leech Life: Cost=[], Damage=50, Text=Heal from this Pokemon the same amount of damage you did to the Defending Pokemon."
"bw10-14","Squirtle","Pokemon","Basic","50","Water","1","Common","Bubble: Cost=[], Damage=, Text=Flip a coin. If heads, the Defending Pokemon is now Paralyzed. | Water Gun: Cost=[], Damage=20, Text="
"bw10-15","Wartortle","Pokemon","Stage 1","80","Water","2","Uncommon","Bubble: Cost=[], Damage=, Text=Flip a coin. If heads, the Defending Pokemon is now Paralyzed. | Double Spin: Cost=[], Damage=30×, Text=Flip 2 coins. This attack does 30 damage times the number of heads."
"bw10-16","Blastoise","Pokemon","Stage 2","140","Water","4","Rare Holo","Hydro Pump: Cost=[], Damage=60+, Text=Does 10 more damage for each Water Energy attached to this Pokemon."
"bw10-17","Lapras","Pokemon","Basic","100","Water","2","Common","Cleanse Away: Cost=[], Damage=, Text=Heal 30 damage from each of your Benched Pokemon. | Surf: Cost=[], Damage=70, Text="
"bw10-18","Remoraid","Pokemon","Basic","60","Water","1","Common","Bubble Beam: Cost=[], Damage=20, Text=Flip a coin. If heads, the Defending Pokemon is now Paralyzed."
"bw10-19","Octillery","Pokemon","Stage 1, Team Plasma","90","Water","1","Uncommon","Sharpshooting: Cost=[], Damage=, Text=This attack does 30 damage to 1 of your opponent's Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.) | Bubble Beam: Cost=[], Damage=40, Text=Flip a coin. If heads, the Defending Pokemon is now Paralyzed."
"bw10-20","Suicune","Pokemon","Basic","100","Water","2","Rare","Aurora Beam: Cost=[], Damage=70, Text="
"bw10-21","Snorunt","Pokemon","Basic","60","Water","2","Common","Powder Snow: Cost=[], Damage=, Text=The Defending Pokemon is now Asleep. | Headbutt: Cost=[], Damage=20, Text="
"bw10-22","Glalie","Pokemon","Stage 1, Team Plasma","100","Water","2","Uncommon","Powder Snow: Cost=[], Damage=30, Text=The Defending Pokemon is now Asleep. | Reflect Energy: Cost=[], Damage=60, Text=Move a Water Energy from this Pokemon to 1 of your Benched Pokemon."
"bw10-23","Froslass","Pokemon","Stage 1, Team Plasma","90","Water","1","Rare","Blizzard: Cost=[], Damage=30, Text=Does 10 damage to each of your opponent's Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)"
"bw10-24","Relicanth","Pokemon","Basic, Team Plasma","90","Water","1","Uncommon","Fossil Hunt: Cost=[], Damage=, Text=Put 2 Item cards that have Fossil in their names from your discard pile into your hand. | Water Gun: Cost=[], Damage=30, Text="
"bw10-25","Snover","Pokemon","Basic","70","Water","2","Common","Beat: Cost=[], Damage=20, Text= | Razor Leaf: Cost=[], Damage=40, Text="
"bw10-26","Abomasnow","Pokemon","Stage 1","120","Water","2","Uncommon","Razor Leaf: Cost=[], Damage=40, Text= | Bang Heads: Cost=[], Damage=80, Text=Both this Pokemon and the Defending Pokemon are now Confused."
"bw10-27","Tirtouga","Pokemon","Restored","90","Water","3","Uncommon","Slam: Cost=[], Damage=30×, Text=Flip 2 coins. This attack does 30 damage times the number of heads."
"bw10-28","Carracosta","Pokemon","Stage 1","140","Water","4","Rare","Fossil Clutch: Cost=[], Damage=50+, Text=You may discard an Item card that has Fossil in its name from your hand. If you do, this attack does 50 more damage. | Waterfall: Cost=[], Damage=80, Text="
"bw10-29","Ducklett","Pokemon","Basic","60","Water","1","Common","Splatter: Cost=[], Damage=, Text=This attack does 20 damage to 1 of your opponent's Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)"
"bw10-31","Tynamo","Pokemon","Basic","30","Lightning","1","Common","Razor Fin: Cost=[], Damage=20, Text="
"bw10-32","Eelektrik","Pokemon","Stage 1","80","Lightning","1","Uncommon","Thunder Wave: Cost=[], Damage=20, Text=Flip a coin. If heads, the Defending Pokemon is now Paralyzed. | Headbutt: Cost=[], Damage=30, Text="
"bw10-33","Eelektross","Pokemon","Stage 2, Team Plasma","140","Lightning","3","Rare Holo","Crush and Burn: Cost=[], Damage=30×, Text=Discard as many Energy attached to your Pokemon as you like. This attack does 30 damage times the number of Energy cards you discarded. | Thunder Tempest: Cost=[], Damage=50×, Text=Flip 4 coins. This attack does 50 damage times the number of heads."
"bw10-34","Drifloon","Pokemon","Basic","70","Psychic","2","Common","Creepy Wind: Cost=[], Damage=, Text=Flip a coin. If heads, the Defending Pokemon is now Confused. | Wind Blast: Cost=[], Damage=, Text=This attack does 40 damage to 1 of your opponent's Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)"
"bw10-35","Drifblim","Pokemon","Stage 1","100","Psychic","","Rare","Derail: Cost=[], Damage=70, Text=Discard a Special Energy attached to the Defending Pokemon."
"bw10-36","Uxie","Pokemon","Basic","60","Psychic","1","Rare","Psypower: Cost=[], Damage=, Text=Put 3 damage counters on your opponent's Pokemon in any way you like."
"bw10-37","Mesprit","Pokemon","Basic","60","Psychic","1","Rare Holo","Psyshot: Cost=[], Damage=30, Text="
"bw10-38","Azelf","Pokemon","Basic","60","Psychic","1","Rare","Trading Places: Cost=[], Damage=, Text=Switch this Pokemon with 1 of your Benched Pokemon. | Psyjamming: Cost=[], Damage=, Text=Move as many Special Energy attached to your opponent's Pokemon to your opponent's other Pokemon in any way you like."
"bw10-39","Munna","Pokemon","Basic","60","Psychic","1","Common","Mumble: Cost=[], Damage=10, Text= | Focused Wish: Cost=[], Damage=10+, Text=Flip a coin. If heads, this attack does 20 more damage."
"bw10-40","Musharna","Pokemon","Stage 1","100","Psychic","3","Uncommon","Precognitive Dream: Cost=[], Damage=, Text=Draw 3 cards. This Pokemon is now Asleep. | Psybeam: Cost=[], Damage=60, Text=The Defending Pokemon is now Confused."
