"Attack2_Damage","Attack2_Name","Name","HP","Attack1_ConvertedEnergyCost","Attack1_Name","Attack1_Damage","Types","Rarity","Supertype","Attack2_Cost","Subtypes","RetreatCost","ID","Attack1_Cost","Attack2_ConvertedEnergyCost"
"20+","Flog","Tangela","70","1","Beat","10","Grass","Common","Pokemon","Grass, Colorless, Colorless","Basic","2","bw11-1","Grass","3"
"60+","Flog","Tangrowth","120","1","Bind Down","30","Grass","Rare","Pokemon","Grass, Grass, Colorless, Colorless","Stage 1","4","bw11-2","Grass","4"
"40×","Double Stab","Shuckle","80","1","Share","","Grass","Uncommon","Pokemon","Grass, Grass, Colorless","Basic","1","bw11-3","Grass","3"
,,"Cherubi","40","1","Double Spin","10×","Grass","Uncommon","Pokemon",,"Basic","1","bw11-4","Colorless",
,,"Carnivine","80","2","Ambush Bite","20+","Grass","Uncommon","Pokemon",,"Basic","2","bw11-5","Grass, Colorless",
,,"Snivy","60","2","Leaf Blade","10+","Grass","Common","Pokemon",,"Basic","1","bw11-6","Grass, Colorless",
,,"Servine","80","2","Wring Out","30","Grass","Uncommon","Pokemon",,"Stage 1","1","bw11-7","Grass, Colorless",
,,"Serperior","130","2","Leaf Tornado","60","Grass","Rare Holo","Pokemon",,"Stage 2","1","bw11-8","Grass, Colorless",
,,"Sewaddle","50","2","Leaf Boomerang","20×","Grass","Common","Pokemon",,"Basic","1","bw11-9","Grass, Colorless",
,,"Sewaddle","50","2","Gnaw","20","Grass","Common","Pokemon",,"Basic","1","bw11-10","Colorless, Colorless",
"20","String Shot","Swadloon","70","1","Tackle","20","Grass","Uncommon","Pokemon","Colorless, Colorless","Stage 1","1","bw11-11","Grass","2"
,,"Leavanny","130","3","Cutting Arm","40+","Grass","Rare Holo","Pokemon",,"Stage 2","2","bw11-12","Grass, Colorless, Colorless",
,,"Dwebble","60","2","Bug Bite","20","Grass","Common","Pokemon",,"Basic","2","bw11-13","Grass, Colorless",
"70","Hammer In","Crustle","100","2","Hard Press","30","Grass","Uncommon","Pokemon","Grass, Colorless, Colorless","Stage 1","2","bw11-14","Colorless, Colorless","3"
"40","Leaf Wallop","Virizion","110","1","Double Draw","","Grass","Rare Holo","Pokemon","Grass, Colorless","Basic","1","bw11-15","Colorless","2"
"50+","Gaia Blaster","Genesect","110","1","Slash","20","Grass","Rare Holo","Pokemon","Colorless, Colorless, Colorless, Colorless","Basic","1","bw11-16","Grass","4"
"20","Flare","Charmander","70","1","Draw In","","Fire","Common","Pokemon","Fire, Colorless","Basic","2","bw11-17","Fire","2"
"50+","Raging Claws","Charmeleon","90","1","Flare","20","Fire","Uncommon","Pokemon","Fire, Colorless, Colorless","Stage 1","2","bw11-18","Fire","3"
"150","Scorching Fire","Charizard","160","3","Split Bomb","","Fire","Rare Holo","Pokemon","Fire, Colorless, Colorless, Colorless, Colorless","Stage 2","3","bw11-19","Fire, Colorless, Colorless","5"
,,"Vulpix","60","2","Firebreathing","20+","Fire","Common","Pokemon",,"Basic","1","bw11-20","Fire, Colorless",
,,"Ninetales","90","3","Color Coordination","50+","Fire","Rare","Pokemon",,"Stage 1","1","bw11-21","Colorless, Colorless, Colorless",
"90","Fire Blast","Moltres","120","3","Searing Flame","50","Fire","Rare Holo","Pokemon","Fire, Colorless, Colorless, Colorless","Basic","2","bw11-22","Fire, Colorless, Colorless","4"
,,"Victini","60","2","Stored Power","30","Fire","Rare Holo","Pokemon",,"Basic","1","bw11-23","Fire, Colorless",
,,"Tepig","70","2","Take Down","30","Fire","Common","Pokemon",,"Basic","2","bw11-25","Fire, Colorless",
"70","Flamethrower","Pignite","100","2","Rollout","20","Fire","Uncommon","Pokemon","Fire, Fire, Colorless","Stage 1","3","bw11-26","Colorless, Colorless","3"
,,"Emboar","150","4","Heat Crash","80","Fire","Rare Holo","Pokemon",,"Stage 2","4","bw11-27","Fire, Fire, Colorless, Colorless",
"120","Blue Flare","Reshiram","130","2","Outrage","20+","Fire","Rare Holo","Pokemon","Fire, Fire, Colorless","Basic","2","bw11-28","Colorless, Colorless","3"
,,"Magikarp","30","1","Flailing Flop","10","Water","Common","Pokemon",,"Basic","1","bw11-30","Colorless",
"120","Hydro Splash","Gyarados","130","2","Howling Rampage","20+","Water","Rare","Pokemon","Water, Water, Colorless, Colorless, Colorless","Stage 1","3","bw11-31","Water, Colorless","5"
"80","Ice Wing","Articuno","120","3","Ice Beam","50","Water","Rare Holo","Pokemon","Water, Colorless, Colorless, Colorless","Basic","2","bw11-32","Water, Colorless, Colorless","4"
,,"Piplup","60","2","Water Splash","10+","Water","Common","Pokemon",,"Basic","1","bw11-33","Water, Colorless",
,,"Prinplup","90","2","Water Splash","20+","Water","Uncommon","Pokemon",,"Stage 1","2","bw11-34","Water, Colorless",
"70+","Emperor's Strike","Empoleon","140","2","Surf","50","Water","Rare","Pokemon","Water, Water, Colorless","Stage 2","2","bw11-35","Water, Colorless","3"
"20","Aqua Boomerang","Phione","70","1","Pull Out","","Water","Rare","Pokemon","Water","Basic","1","bw11-36","Colorless","1"
,,"Oshawott","60","2","Razor Shell","20+","Water","Common","Pokemon",,"Basic","1","bw11-37","Water, Colorless",
,,"Dewott","80","2","Aqua Tail","30+","Water","Uncommon","Pokemon",,"Stage 1","1","bw11-38","Colorless, Colorless",
,,"Samurott","140","3","Hydro Pump","70+","Water","Rare Holo","Pokemon",,"Stage 2","2","bw11-39","Colorless, Colorless, Colorless",
"20","Mud Shot","Tympole","60","1","Vibration","10","Water","Common","Pokemon","Water, Colorless","Basic","1","bw11-40","Colorless","2"
"20×","Round","Palpitoad","80","1","Mud Shot","20","Water","Uncommon","Pokemon","Colorless, Colorless, Colorless","Stage 1","2","bw11-41","Water","3"
"70","Hyper Voice","Seismitoad","140","2","Round","30×","Water","Rare","Pokemon","Water, Water, Colorless","Stage 2","3","bw11-42","Colorless, Colorless","3"
