"ID","Name","Supertype","Subtypes","HP","Types","RetreatCost","Rarity"
"bw4-1","Pinsir","Pokemon","Basic","80","Grass","2","Rare"
"bw4-2","Seedot","Pokemon","Basic","40","Grass","1","Common"
"bw4-3","Kricketot","Pokemon","Basic","60","Grass","1","Common"
"bw4-4","Kricketune","Pokemon","Stage 1","90","Grass","1","Uncommon"
"bw4-6","Pansage","Pokemon","Basic","70","Grass","1","Common"
"bw4-7","Simisage","Pokemon","Stage 1","90","Grass","2","Rare"
"bw4-8","Foongus","Pokemon","Basic","40","Grass","1","Common"
"bw4-9","Amoonguss","Pokemon","Stage 1","90","Grass","2","Rare"
"bw4-10","Growlithe","Pokemon","Basic","80","Fire","3","Common"
"bw4-11","Growlithe","Pokemon","Basic","80","Fire","2","Common"
"bw4-12","Arcanine","Pokemon","Stage 1","130","Fire","3","Rare"
"bw4-13","Arcanine","Pokemon","Stage 1","120","Fire","3","Uncommon"
"bw4-14","Moltres","Pokemon","Basic","120","Fire","2","Rare Holo"
"bw4-15","Pansear","Pokemon","Basic","70","Fire","1","Common"
"bw4-16","Simisear","Pokemon","Stage 1","90","Fire","1","Rare"
"bw4-17","Darumaka","Pokemon","Basic","80","Fire","3","Common"
"bw4-18","Litwick","Pokemon","Basic","60","Fire","1","Common"
"bw4-19","Lampent","Pokemon","Stage 1","80","Fire","1","Uncommon"
"bw4-20","Chandelure","Pokemon","Stage 2","120","Fire","2","Rare Holo"
"bw4-21","Reshiram","Pokemon","Basic","130","Fire","2","Rare"
"bw4-23","Staryu","Pokemon","Basic","60","Water","1","Common"
"bw4-24","Starmie","Pokemon","Stage 1","90","Water","","Uncommon"
"bw4-25","Lapras","Pokemon","Basic","100","Water","2","Rare"
"bw4-26","Lapras","Pokemon","Basic","90","Water","2","Uncommon"
"bw4-27","Articuno","Pokemon","Basic","120","Water","2","Rare Holo"
"bw4-28","Panpour","Pokemon","Basic","70","Water","1","Common"
"bw4-29","Simipour","Pokemon","Stage 1","90","Water","1","Rare"
"bw4-30","Basculin","Pokemon","Basic","80","Water","1","Uncommon"
"bw4-31","Vanillite","Pokemon","Basic","60","Water","1","Common"
"bw4-32","Vanillish","Pokemon","Stage 1","80","Water","2","Uncommon"
"bw4-33","Vanilluxe","Pokemon","Stage 2","130","Water","2","Rare Holo"
"bw4-34","Frillish","Pokemon","Basic","80","Water","2","Uncommon"
"bw4-35","Jellicent","Pokemon","Stage 1","120","Water","2","Rare"
"bw4-36","Cubchoo","Pokemon","Basic","70","Water","3","Common"
"bw4-37","Beartic","Pokemon","Stage 1","120","Water","3","Rare"
"bw4-39","Pikachu","Pokemon","Basic","60","Lightning","1","Common"
"bw4-40","Raichu","Pokemon","Stage 1","90","Lightning","1","Uncommon"
"bw4-41","Zapdos","Pokemon","Basic","120","Lightning","2","Rare Holo"
"bw4-42","Shinx","Pokemon","Basic","60","Lightning","1","Common"
"bw4-43","Shinx","Pokemon","Basic","60","Lightning","1","Common"
"bw4-44","Luxio","Pokemon","Stage 1","80","Lightning","1","Uncommon"
"bw4-45","Luxio","Pokemon","Stage 1","80","Lightning","","Uncommon"
"bw4-46","Luxray","Pokemon","Stage 2","140","Lightning","1","Rare Holo"
"bw4-47","Blitzle","Pokemon","Basic","60","Lightning","1","Common"
"bw4-48","Zebstrika","Pokemon","Stage 1","90","Lightning","","Rare"
"bw4-49","Emolga","Pokemon","Basic","70","Lightning","1","Uncommon"
"bw4-50","Zekrom","Pokemon","Basic","130","Lightning","2","Rare"
"bw4-52","Grimer","Pokemon","Basic","70","Psychic","2","Common"
"bw4-53","Muk","Pokemon","Stage 1","110","Psychic","4","Rare"
"bw4-55","Ralts","Pokemon","Basic","60","Psychic","1","Common"
"bw4-56","Kirlia","Pokemon","Stage 1","80","Psychic","1","Uncommon"
"bw4-57","Gardevoir","Pokemon","Stage 2","110","Psychic","2","Rare Holo"
"bw4-58","Munna","Pokemon","Basic","70","Psychic","2","Common"
"bw4-59","Musharna","Pokemon","Stage 1","100","Psychic","3","Rare"
"bw4-60","Darmanitan","Pokemon","Stage 1","110","Psychic","3","Rare"
"bw4-61","Elgyem","Pokemon","Basic","60","Psychic","1","Common"
"bw4-62","Beheeyem","Pokemon","Stage 1","80","Psychic","1","Rare"
"bw4-63","Riolu","Pokemon","Basic","70","Fighting","1","Common"
"bw4-64","Lucario","Pokemon","Stage 1","100","Fighting","1","Rare Holo"
"bw4-65","Hippopotas","Pokemon","Basic","90","Fighting","4","Common"
"bw4-66","Hippowdon","Pokemon","Stage 1","130","Fighting","4","Uncommon"
"bw4-67","Mienfoo","Pokemon","Basic","60","Fighting","1","Common"
"bw4-68","Mienshao","Pokemon","Stage 1","90","Fighting","1","Uncommon"
"bw4-69","Sneasel","Pokemon","Basic","60","Darkness","1","Common"
"bw4-70","Weavile","Pokemon","Stage 1","90","Darkness","1","Rare"
"bw4-71","Nuzleaf","Pokemon","Stage 1","80","Darkness","1","Uncommon"
"bw4-72","Shiftry","Pokemon","Stage 2","130","Darkness","1","Rare"
"bw4-73","Scraggy","Pokemon","Basic","70","Darkness","2","Uncommon"
"bw4-74","Scrafty","Pokemon","Stage 1","90","Darkness","2","Rare Holo"
"bw4-75","Bronzor","Pokemon","Basic","70","Metal","3","Common"
"bw4-76","Bronzong","Pokemon","Stage 1","110","Metal","4","Rare"
"bw4-77","Ferroseed","Pokemon","Basic","60","Metal","3","Common"
"bw4-78","Jigglypuff","Pokemon","Basic","70","Colorless","2","Uncommon"
"bw4-79","Wigglytuff","Pokemon","Stage 1","90","Colorless","2","Rare"
"bw4-80","Meowth","Pokemon","Basic","70","Colorless","1","Common"
"bw4-81","Persian","Pokemon","Stage 1","90","Colorless","1","Rare"
"bw4-83","Pidove","Pokemon","Basic","60","Colorless","1","Common"
"bw4-84","Minccino","Pokemon","Basic","60","Colorless","1","Uncommon"
"bw4-85","Cinccino","Pokemon","Stage 1","90","Colorless","1","Rare Holo"
"bw4-86","Cilan","Trainer","Supporter",,"","","Uncommon"
"bw4-87","Exp. Share","Trainer","Pokemon Tool",,"","","Uncommon"
"bw4-88","Heavy Ball","Trainer","Item",,"","","Uncommon"
"bw4-89","Level Ball","Trainer","Item",,"","","Uncommon"
"bw4-90","Pokemon Center","Trainer","Stadium",,"","","Uncommon"
"bw4-91","Skyarrow Bridge","Trainer","Stadium",,"","","Uncommon"
"bw4-92","Double Colorless Energy","Energy","Special",,"","","Uncommon"
"bw4-93","Prism Energy","Energy","Special",,"","","Uncommon"
