"ID","Name","Supertype","Subtypes","HP","Types","RetreatCost","Rarity","Ability","Attacks"
"bw8-1","Turtwig","Pokemon","Basic","70","Grass","2","Common","","Nap: Cost=[Colorless], EnergyCost=[1], Damage=, Text=Heal 20 damage from this Pokemon. | Razor Leaf: Cost=[Grass, Colorless, Colorless], EnergyCost=[3], Damage=30, Text="
"bw8-2","Grotle","Pokemon","Stage 1","100","Grass","3","Uncommon","","Knock Away: Cost=[Grass, Colorless, Colorless], EnergyCost=[3], Damage=40+, Text=Flip a coin. If heads, this attack does 20 more damage."
"bw8-3","Torterra","Pokemon","Stage 2, Team Plasma","150","Grass","4","Rare","","Guard Press: Cost=[Grass, Colorless, Colorless], EnergyCost=[3], Damage=60, Text=During your opponent's next turn, any damage to this Pokemon by attacks is reduced by 20 (after applying Weakness and Resistance). | Rumble Stomp: Cost=[Grass, Colorless, Colorless, Colorless], EnergyCost=[4], Damage=80+, Text=Flip a coin until you get tails. This attack does 20 more damage for each heads."
"bw8-4","Combee","Pokemon","Basic","30","Grass","1","Common","","Sting Missile: Cost=[Grass], EnergyCost=[1], Damage=30, Text=Shuffle this Pokemon and all cards attached to it into your deck."
"bw8-5","Vespiquen","Pokemon","Stage 1","100","Grass","1","Rare","","Gather Order: Cost=[Grass], EnergyCost=[1], Damage=, Text=Search your deck for as many Combee as you like and put them onto your Bench. Shuffle your deck afterward. | Damage Beat: Cost=[Grass, Colorless], EnergyCost=[2], Damage=20×, Text=Does 20 damage times the number of damage counters on the Defending Pokemon."
"bw8-6","Cherubi","Pokemon","Basic","40","Grass","1","Common","","Leech Seed: Cost=[Grass], EnergyCost=[1], Damage=10, Text=Heal 10 damage from this Pokemon."
"bw8-7","Cherrim","Pokemon","Stage 1","70","Grass","1","Rare","Fair-Weather Heal: Effect=[Once during your turn (before your attack), you may heal 20 damage from 1 of your Pokemon that has any Grass Energy attached to it.]","Random Peck: Cost=[Grass, Colorless], EnergyCost=[2], Damage=20+, Text=Flip 2 coins. This attack does 20 more damage for each heads."
"bw8-8","Sewaddle","Pokemon","Basic","40","Grass","1","Common","","Bug Bite: Cost=[Grass], EnergyCost=[1], Damage=20, Text="
"bw8-9","Swadloon","Pokemon","Stage 1","80","Grass","2","Uncommon","","Swaddle Guard: Cost=[Grass], EnergyCost=[1], Damage=, Text=During your opponent's next turn, any damage done to this Pokemon by attacks is reduced by 40 (after applying Weakness and Resistance). | Surprise Attack: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=40, Text=Flip a coin. If tails, this attack does nothing."
"bw8-10","Leavanny","Pokemon","Stage 2","140","Grass","2","Rare","","Cleave: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=30, Text=Flip 2 coins. If both of them are heads, discard all Energy attached to the Defending Pokemon. | Leaf Blade: Cost=[Grass, Grass, Colorless], EnergyCost=[3], Damage=70+, Text=Flip a coin. If heads, this attack does 20 more damage."
"bw8-11","Maractus","Pokemon","Basic","90","Grass","1","Uncommon","","Dazzle Dance: Cost=[Grass], EnergyCost=[1], Damage=10, Text=The Defending Pokemon is now Confused. | Ambush: Cost=[Grass, Colorless], EnergyCost=[2], Damage=20+, Text=Flip a coin. If heads, this attack does 30 more damage."
"bw8-12","Foongus","Pokemon","Basic","40","Grass","1","Common","","Astonish: Cost=[Colorless], EnergyCost=[1], Damage=, Text=Flip a coin. If heads, choose a random card from your opponent's hand. Your opponent reveals that card and shuffles it into his or her deck."
"bw8-13","Amoonguss","Pokemon","Stage 1, Team Plasma","90","Grass","2","Uncommon","","Astonish: Cost=[Colorless], EnergyCost=[1], Damage=, Text=Flip a coin. If heads, choose a random card from your opponent's hand. Your opponent reveals that card and shuffles it into his or her deck. | Miracle Powder: Cost=[Grass, Colorless], EnergyCost=[2], Damage=30, Text=Flip a coin. If heads, choose a Special Condition. The Defending Pokemon is now affected by that Special Condition."
"bw8-15","Chimchar","Pokemon","Basic","50","Fire","1","Common","","Flare: Cost=[Fire], EnergyCost=[1], Damage=20, Text="
"bw8-16","Monferno","Pokemon","Stage 1","80","Fire","1","Uncommon","","Loud Howl: Cost=[Colorless], EnergyCost=[1], Damage=, Text=Your opponent Switches the Defending Pokemon with 1 of his or her Benched Pokemon. | Fire Tail Slap: Cost=[Fire, Colorless], EnergyCost=[2], Damage=50, Text=Discard an Energy attached to this Pokemon."
"bw8-17","Infernape","Pokemon","Stage 2, Team Plasma","130","Fire","","Rare Holo","","Torment: Cost=[Colorless], EnergyCost=[1], Damage=30, Text=Choose 1 of the Defending Pokemon's attack. That Pokemon can't use that attack during your opponent's next turn. | Malevolent Fire: Cost=[Fire, Colorless], EnergyCost=[2], Damage=120, Text=Discard all Energy attached to this Pokemon."
"bw8-19","Pansear","Pokemon","Basic","70","Fire","1","Common","","Scratch: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=20, Text= | Double Fire: Cost=[Fire, Fire, Colorless], EnergyCost=[3], Damage=40×, Text=Flip 2 coins. This attack does 40 damage times the number of heads."
"bw8-20","Simisear","Pokemon","Stage 1","90","Fire","2","Uncommon","","Searing Flame: Cost=[Fire], EnergyCost=[1], Damage=20, Text=The Defending Pokemon is now Burned. | Flame Blast: Cost=[Colorless, Colorless, Colorless], EnergyCost=[3], Damage=40+, Text=Does 20 more damage for each Fire Energy attached to this Pokemon."
"bw8-21","Litwick","Pokemon","Basic","60","Fire","1","Common","","Surprise Attack: Cost=[Colorless], EnergyCost=[1], Damage=20, Text=Flip a coin. If tails, this attack does nothing."
"bw8-22","Lampent","Pokemon","Stage 1","70","Fire","1","Uncommon","Freefloating: Effect=[If this Pokemon has no Energy attached to it, this Pokemon has no Retreat Cost.]","Will-O-Wisp: Cost=[Fire, Colorless], EnergyCost=[2], Damage=20, Text="
"bw8-23","Heatmor","Pokemon","Basic","90","Fire","2","Uncommon","","Luring Flame: Cost=[Fire], EnergyCost=[1], Damage=, Text=Switch 1 of your opponent's Benched Pokemon with the Defending Pokemon. The new Defending Pokemon is now Burned. | Fiery Licks: Cost=[Fire, Fire, Fire], EnergyCost=[3], Damage=50×, Text=Discard the top 4 cards of your deck. This attack does 50 damage times the number of Fire Energy cards discarded."
"bw8-24","Squirtle","Pokemon","Basic","60","Water","1","Common","","Tackle: Cost=[Colorless], EnergyCost=[1], Damage=10, Text="
"bw8-26","Swinub","Pokemon","Basic","60","Water","2","Common","","Double Headbutt: Cost=[Water, Colorless], EnergyCost=[2], Damage=20×, Text=Flip 2 coins. This attack does 20 damage times the number of heads."
