"ID","Name","Supertype","Subtypes","HP","Types","RetreatCost","Rarity","Ability","Attacks"
"bwp-BW01","Snivy","Pokemon","Basic","60","Grass","1","Promo","","Slam: Cost=[Grass, Colorless], EnergyCost=[2], Damage=20×, Text=Flip 2 coins. This attack does 20 damage times the number of heads."
"bwp-BW02","Tepig","Pokemon","Basic","70","Fire","2","Promo","","Ember: Cost=[Fire, Colorless], EnergyCost=[2], Damage=30, Text=Discard an Energy attached to this Pokemon."
"bwp-BW03","Oshawott","Pokemon","Basic","60","Water","1","Promo","","Water Pulse: Cost=[Water, Colorless], EnergyCost=[2], Damage=20, Text=Flip a coin. If heads, the Defending Pokemon is now Asleep."
"bwp-BW004","Reshiram","Pokemon","Basic","130","Fire","2","Promo","","Outrage: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=20+, Text=Does 10 more damage for each damage counter on this Pokemon. | Blue Flare: Cost=[Fire, Fire, Colorless], EnergyCost=[3], Damage=120, Text=Discard 2 Fire Energy attached to this Pokemon."
"bwp-BW005","Zekrom","Pokemon","Basic","130","Lightning","2","Promo","","Outrage: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=20+, Text=Does 10 more damage for each damage counter on this Pokemon. | Bolt Strike: Cost=[Lightning, Lightning, Colorless], EnergyCost=[3], Damage=120, Text=This Pokemon does 40 damage to itself."
"bwp-BW06","Snivy","Pokemon","Basic","60","Grass","1","Promo","","Paralyzing Gaze: Cost=[Colorless], EnergyCost=[1], Damage=, Text=Flip a coin. If heads, the Defending Pokemon is now Paralyzed. | Tail Smack: Cost=[Grass, Colorless], EnergyCost=[2], Damage=20, Text="
"bwp-BW07","Tepig","Pokemon","Basic","60","Fire","1","Promo","","Singe: Cost=[Colorless], EnergyCost=[1], Damage=, Text=Flip a coin. If heads, the Defending Pokemon is now Burned. | Firebreathing: Cost=[Fire, Colorless], EnergyCost=[2], Damage=10+, Text=Flip a coin. If heads, this attack does 20 more damage."
"bwp-BW08","Oshawott","Pokemon","Basic","60","Water","1","Promo","","Sleep Pulse: Cost=[Colorless], EnergyCost=[1], Damage=, Text=Flip a coin. If heads, the Defending Pokemon is now Asleep. | Surprise Attack: Cost=[Water, Colorless], EnergyCost=[2], Damage=30, Text=Flip a coin. If tails, this attack does nothing."
"bwp-BW09","Zoroark","Pokemon","Stage 1","100","Darkness","1","Promo","","Nasty Plot: Cost=[Darkness], EnergyCost=[1], Damage=, Text=Search your deck for a card and put it into your hand. Shuffle your deck afterward. | Foul Play: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=, Text=Choose 1 of the Defending Pokemon's attacks and use it as this attack."
"bwp-BW10","Axew","Pokemon","Basic","50","Colorless","1","Promo","","Dragon Rage: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=50, Text=Flip 2 coins. If either of them is tails, this attack does nothing."
"bwp-BW11","Pansage","Pokemon","Basic","60","Grass","1","Promo","","Bullet Seed: Cost=[Grass, Colorless], EnergyCost=[2], Damage=10×, Text=Flip 4 coins. This attack does 10 damage times the number of heads."
"bwp-BW12","Zorua","Pokemon","Basic","60","Darkness","1","Promo","","Jump On: Cost=[Darkness, Colorless], EnergyCost=[2], Damage=20+, Text=Flip a coin. If heads, this attack does 10 more damage."
"bwp-BW13","Minccino","Pokemon","Basic","50","Colorless","1","Promo","","Gnaw: Cost=[Colorless], EnergyCost=[1], Damage=10, Text= | Tail Smack: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=20, Text="
"bwp-BW14","Pansage","Pokemon","Basic","60","Grass","1","Promo","","Bullet Seed: Cost=[Grass, Colorless], EnergyCost=[2], Damage=10×, Text=Flip 4 coins. This attack does 10 damage times the number of heads."
"bwp-BW15","Pidove","Pokemon","Basic","50","Colorless","1","Promo","","Gust: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=20, Text="
"bwp-BW16","Axew","Pokemon","Basic","50","Colorless","1","Promo","","Dragon Rage: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=50, Text=Flip 2 coins. If either of them is tails, this attack does nothing."
"bwp-BW17","Ducklett","Pokemon","Basic","60","Water","1","Promo","","Water Gun: Cost=[Water], EnergyCost=[1], Damage=10, Text="
"bwp-BW18","Darumaka","Pokemon","Basic","60","Fire","2","Promo","","Searing Flame: Cost=[Fire, Colorless], EnergyCost=[2], Damage=20, Text=Flip a coin. If heads, the Defending Pokemon is now Burned."
"bwp-BW19","Zoroark","Pokemon","Stage 1","100","Darkness","1","Promo","","Punishment: Cost=[Colorless], EnergyCost=[1], Damage=20+, Text=If the Defending Pokemon is a Stage 2 Pokemon, this attack does 20 more damage. | Snarl: Cost=[Darkness, Darkness, Colorless], EnergyCost=[3], Damage=60, Text=During your opponent's next turn, any damage done by attacks from the Defending Pokemon is reduced by 20 (before applying Weakness and Resistance)."
"bwp-BW20","Serperior","Pokemon","Stage 2","130","Grass","1","Promo","Royal Heal: Effect=[At any times between turns, heal 10 damage from each of your Pokemon.]","Leaf Tornado: Cost=[Grass, Colorless], EnergyCost=[2], Damage=60, Text=Move as many Grass Energy attached to your Pokemon to your other Pokemon in any way you like."
"bwp-BW21","Emboar","Pokemon","Stage 2","150","Fire","4","Promo","Inferno Fandango: Effect=[As often as you like during your turn (before your attack), you may attach a Fire Energy card from your hand to 1 of your Pokemon.]","Heat Crash: Cost=[Fire, Fire, Colorless, Colorless], EnergyCost=[4], Damage=80, Text="
"bwp-BW22","Samurott","Pokemon","Stage 2","140","Water","2","Promo","Shell Armor: Effect=[Any damage done to this Pokemon by attacks is reduced by 20 (after applying Weakness and Resistance).]","Hydro Pump: Cost=[Colorless, Colorless, Colorless], EnergyCost=[3], Damage=70+, Text=Does 10 more damage for each Water Energy attached to this Pokemon."
"bwp-BW23","Reshiram","Pokemon","Basic","130","Fire","2","Promo","","Outrage: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=20+, Text=Does 10 more damage for each damage counter on this Pokemon. | Blue Flare: Cost=[Fire, Fire, Colorless], EnergyCost=[3], Damage=120, Text=Discard 2 Fire Energy attached to this Pokemon."
"bwp-BW24","Zekrom","Pokemon","Basic","130","Lightning","2","Promo","","Outrage: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=20+, Text=Does 10 more damage for each damage counter on this Pokemon. | Bolt Strike: Cost=[Lightning, Lightning, Colorless], EnergyCost=[3], Damage=120, Text=This Pokemon does 40 damage to itself."
"bwp-BW25","Scraggy","Pokemon","Basic","50","Darkness","1","Promo","","Paralyzing Gaze: Cost=[Colorless], EnergyCost=[1], Damage=, Text=Flip a coin. If heads, the Defending Pokemon is now Paralyzed. | High Jump Kick: Cost=[Darkness, Colorless, Colorless], EnergyCost=[3], Damage=30, Text="
"bwp-BW26","Axew","Pokemon","Basic","50","Colorless","1","Promo","","Big Bite: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=20, Text=The Defending Pokemon can't retreat during your opponent's next turn."
"bwp-BW27","Litwick","Pokemon","Basic","50","Psychic","1","Promo","","Call for Family: Cost=[Colorless], EnergyCost=[1], Damage=, Text=Search your deck for a Basic Pokemon and put it onto your Bench. Shuffle your deck afterward. | Will-O-Wisp: Cost=[Psychic, Colorless], EnergyCost=[2], Damage=20, Text="
"bwp-BW28","Tropical Beach","Trainer","Stadium",,"","","Promo","",""
"bwp-BW29","Victory Cup","Trainer","Item",,"","","Promo","",""
"bwp-BW30","Victory Cup","Trainer","Item",,"","","Promo","",""
"bwp-BW31","Victory Cup","Trainer","Item",,"","","Promo","",""
"bwp-BW32","Victini","Pokemon","Basic","60","Fire","1","Promo","Victory Star: Effect=[Once during your turn, after you flip any coins for an attack, you may ignore all effects of those coin flips and begin flipping those coins again. You can't use more than 1 Victory Star Ability each turn.]","Stored Power: Cost=[Fire, Colorless], EnergyCost=[2], Damage=30, Text=Move all Energy attached to this Pokemon to 1 of your Benched Pokemon."
"bwp-BW33","Riolu","Pokemon","Basic","60","Fighting","1","Promo","","Run Around: Cost=[Colorless], EnergyCost=[1], Damage=, Text=Switch this Pokemon with 1 of your Benched Pokemon. | Hook: Cost=[Fighting, Colorless], EnergyCost=[2], Damage=30, Text="
"bwp-BW34","Luxio","Pokemon","Stage 1","80","Lightning","1","Promo","","Dazzle Blast: Cost=[Lightning], EnergyCost=[1], Damage=10, Text=Flip a coin. If heads, the Defending Pokemon is now Confused. | Random Spark: Cost=[Lightning, Colorless, Colorless], EnergyCost=[3], Damage=, Text=This attack does 40 damage to 1 of your opponent's Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)"
"bwp-BW35","Meowth","Pokemon","Basic","60","Colorless","1","Promo","","Nap: Cost=[Colorless], EnergyCost=[1], Damage=, Text=Heal 20 damage from this Pokemon. | Jump On: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=20+, Text=Flip a coin. If heads, this attack does 10 more damage."
"bwp-BW39","Battle City","Trainer","Stadium",,"","","Promo","",""
"bwp-BW40","Volcarona","Pokemon","Stage 1","110","Fire","3","Promo","Scorching Scales: Effect=[Put 4 damage counters instead of 2 on your opponent's Burned Pokemon between turns.]","Burning Wind: Cost=[Fire, Colorless, Colorless], EnergyCost=[3], Damage=70, Text=You may discard an Energy attached to this Pokemon. If you do, the Defending Pokemon is now Burned."
"bwp-BW41","Thundurus","Pokemon","Basic","110","Lightning","1","Promo","","Charge: Cost=[Colorless], EnergyCost=[1], Damage=, Text=Search your deck for a Lightning Energy card and attach it to this Pokemon. Shuffle your deck afterward. | Disaster Volt: Cost=[Lightning, Lightning, Colorless], EnergyCost=[3], Damage=80, Text=Discard an Energy attached to this Pokemon."
"bwp-BW42","Tornadus","Pokemon","Basic","110","Colorless","1","Promo","","Energy Wheel: Cost=[Colorless], EnergyCost=[1], Damage=, Text=Move an Energy from 1 of your Benched Pokemon to this Pokemon. | Hurricane: Cost=[Colorless, Colorless, Colorless], EnergyCost=[3], Damage=80, Text=Move a basic Energy from this Pokemon to 1 of your Benched Pokemon."
"bwp-BW43","Landorus","Pokemon","Basic","110","Fighting","1","Promo","","Abundant Harvest: Cost=[Fighting], EnergyCost=[1], Damage=, Text=Attach a basic Energy card from your discard pile to this Pokemon. | Gaia Hammer: Cost=[Fighting, Fighting, Colorless], EnergyCost=[3], Damage=80, Text=Does 10 damage to each Benched Pokemon (both yours and your opponent's). (Don't apply Weakness and Resistance for Benched Pokemon.)"
"bwp-BW44","Kyurem","Pokemon","Basic","130","Water","2","Promo","","Outrage: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=20+, Text=Does 10 more damage for each damage counter on this Pokemon. | Glaciate: Cost=[Water, Water, Colorless], EnergyCost=[3], Damage=, Text=This attack does 30 damage to each of your opponent's Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)"
"bwp-BW48","Altaria","Pokemon","Stage 1","70","Dragon","1","Promo","Fight Song: Effect=[Your Dragon Pokemon's attacks do 20 more damage to the Active Pokemon (before applying Weakness and Resistance).]","Glide: Cost=[Water, Metal, Colorless], EnergyCost=[3], Damage=40, Text="
