"id","name","supertype","hp","types","evolvesTo","evolvesFrom","number","artist","rarity","flavorText","nationalPokedexNumbers","regulationMark","imageSmall","imageLarge","legalitiesUnlimited","legalitiesStandard","legalitiesExpanded","retreatCost","convertedRetreatCost","Ability1Name","Ability1Text","Ability1Type","Ability2Name","Ability2Text","Ability2Type","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"cel25-1","Ho-Oh","Pokémon","130","Fire","",,"1","Kouki Saitou","Rare","It will reveal itself before a pure-hearted Trainer by shining its bright, rainbow-colored wings.","250","E","https://images.pokemontcg.io/cel25/1.png","https://images.pokemontcg.io/cel25/1_hires.png","Legal",,"Legal","Colorless, Colorless","2","","","","","","","Sacred Fire","Fire, Colorless","2","","This attack does 50 damage to 1 of your opponent's Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)","Fire Blast","Fire, Fire, Colorless","3","120","Discard an Energy from this Pokémon.","Lightning","×2"
"cel25-2","Reshiram","Pokémon","130","Fire","",,"2","Aya Kusube","Rare","When Reshiram's tail flares, the heat energy moves the atmosphere and changes the world's weather.","643","E","https://images.pokemontcg.io/cel25/2.png","https://images.pokemontcg.io/cel25/2_hires.png","Legal",,"Legal","Colorless, Colorless, Colorless","3","","","","","","","Scorching Wind","Colorless, Colorless","2","","This attack does 20 damage to each of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)","Black Flame","Fire, Fire, Colorless","3","80+","If Zekrom is on your Bench, this attack does 80 more damage.","Water","×2"
"cel25-3","Kyogre","Pokémon","130","Water","",,"3","Ryuta Fuse","Rare","It is said to have widened the seas by causing downpours. It had been asleep in a marine trench.","382","E","https://images.pokemontcg.io/cel25/3.png","https://images.pokemontcg.io/cel25/3_hires.png","Legal",,"Legal","Colorless, Colorless, Colorless","3","","","","","","","Aqua Storm","Water, Water, Colorless","3","","Discard the top 5 cards of your deck, and then choose 2 of your opponent's Benched Pokémon. This attack does 50 damage for each Energy card you discarded in this way to each of those Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)","Surf","Water, Water, Colorless, Colorless","4","120","","Lightning","×2"
"cel25-4","Palkia","Pokémon","130","Water","",,"4","5ban Graphics","Rare","It has the ability to distort space. It is described as a deity in Sinnoh-region mythology.","484","E","https://images.pokemontcg.io/cel25/4.png","https://images.pokemontcg.io/cel25/4_hires.png","Legal",,"Legal","Colorless, Colorless","2","Absolute Space","As long as this Pokémon is in the Active Spot, your opponent can't play any Stadium cards from their hand.","Ability","","","","Overdrive Smash","Water, Colorless, Colorless","3","80+","During your next turn, this Pokémon's Overdrive Smash attack does 80 more damage (before applying Weakness and Resistance).","","","","","","Lightning","×2"
"cel25-5","Pikachu","Pokémon","60","Lightning","Raichu",,"5","Mitsuhiro Arita","Rare Holo","It has small electric sacs on both its cheeks. If threatened, it looses electric charges from the sacs.","25","E","https://images.pokemontcg.io/cel25/5.png","https://images.pokemontcg.io/cel25/5_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Gnaw","Colorless","1","10","","Thunder Jolt","Lightning, Colorless","2","30","Flip a coin. If tails, this Pokémon also does 10 damage to itself.","Fighting","×2"
"cel25-6","Flying Pikachu V","Pokémon","190","Lightning","Raichu",,"6","aky CG Works","Rare Holo V",,"25","E","https://images.pokemontcg.io/cel25/6.png","https://images.pokemontcg.io/cel25/6_hires.png","Legal",,"Legal","",,"","","","","","","Thunder Shock","Lightning","1","20","Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.","Fly","Colorless, Colorless, Colorless","3","120","Flip a coin. If tails, this attack does nothing. If heads, during your opponent's next turn, prevent all damage from and effects of attacks done to this Pokémon.","Lightning","×2"
"cel25-7","Flying Pikachu VMAX","Pokémon","310","Lightning","Raichu","Flying Pikachu V","7","aky CG Works","Rare Holo VMAX",,"25","E","https://images.pokemontcg.io/cel25/7.png","https://images.pokemontcg.io/cel25/7_hires.png","Legal",,"Legal","",,"","","","","","","Max Balloon","Lightning, Colorless, Colorless","3","160","During your opponent's next turn, prevent all damage done to this Pokémon by attacks from Basic Pokémon.","","","","","","Lightning","×2"
"cel25-8","Surfing Pikachu V","Pokémon","200","Lightning","Raichu",,"8","aky CG Works","Rare Holo V",,"25","E","https://images.pokemontcg.io/cel25/8.png","https://images.pokemontcg.io/cel25/8_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Surf","Water, Water, Water","3","150","","","","","","","Fighting","×2"
"cel25-9","Surfing Pikachu VMAX","Pokémon","310","Lightning","Raichu","Surfing Pikachu V","9","aky CG Works","Rare Holo VMAX",,"25","E","https://images.pokemontcg.io/cel25/9.png","https://images.pokemontcg.io/cel25/9_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Max Surfer","Water, Water, Water","3","160","This attack also does 30 damage to each of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)","","","","","","Fighting","×2"
"cel25-10","Zekrom","Pokémon","130","Lightning","",,"10","Aya Kusube","Rare","Concealing itself in lightning clouds, it flies throughout the Unova region. It creates electricity in its tail.","644","E","https://images.pokemontcg.io/cel25/10.png","https://images.pokemontcg.io/cel25/10_hires.png","Legal",,"Legal","Colorless, Colorless, Colorless","3","","","","","","","Field Crush","Colorless, Colorless","2","30","If your opponent has a Stadium in play, discard it.","White Thunder","Lightning, Lightning, Colorless","3","80+","If Reshiram is on your Bench, this attack does 80 more damage.","Fighting","×2"
