"id","name","supertype","hp","types","evolvesTo","evolvesFrom","number","artist","rarity","flavorText","nationalPokedexNumbers","regulationMark","imageSmall","imageLarge","legalitiesUnlimited","legalitiesStandard","legalitiesExpanded","retreatCost","convertedRetreatCost","Ability1Name","Ability1Text","Ability1Type","Ability2Name","Ability2Text","Ability2Type","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"col1-1","Clefable","Pokémon","80","Colorless","","Clefairy","1","sui","Rare Holo","With its acute hearing, it can pick up sounds from far away. It usually hides in quiet places.","36",,"https://images.pokemontcg.io/col1/1.png","https://images.pokemontcg.io/col1/1_hires.png","Legal",,,"Colorless","1","","","","","","","Fairy Power","Colorless, Colorless","2","","Return 1 of your Pokémon and all cards attached to it in your hand.","Moon Impact","Colorless, Colorless","2","40","","Fighting","×2"
"col1-2","Deoxys","Pokémon","80","Psychic","",,"2","Ryo Ueda","Rare Holo","DNA from a space virus mutated and became a Pokémon. It appears where auroras are seen.","386",,"https://images.pokemontcg.io/col1/2.png","https://images.pokemontcg.io/col1/2_hires.png","Legal",,,"Colorless","1","","","","","","","Cell Storm","Psychic, Psychic, Psychic","3","60","Discard 2 Psychic Energy attached to Deoxys and remove 6 damage counters from Deoxys.","","","","","","Psychic","×2"
"col1-3","Dialga","Pokémon","100","Metal","",,"3","Ayaka Yoshida","Rare Holo","This Pokémon completely controls the flow of time. It uses its power to travel at will through the past and future.","483",,"https://images.pokemontcg.io/col1/3.png","https://images.pokemontcg.io/col1/3_hires.png","Legal",,,"Colorless, Colorless, Colorless","3","","","","","","","Time Rewind","Metal, Metal, Metal, Metal","4","70","Shuffle your hand into your deck.","","","","","","Fire","×2"
"col1-4","Espeon","Pokémon","90","Psychic","","Eevee","4","match","Rare Holo","It uses the fine hair that covers its body to sense air currents and predict its enemy's actions.","196",,"https://images.pokemontcg.io/col1/4.png","https://images.pokemontcg.io/col1/4_hires.png","Legal",,,"Colorless","1","","","","","","","Solar Suggestion","Psychic","1","","Move up to 4 damage counters from any of your Pokémon to any of your opponent's Pokémon in any way you like.","Psybeam","Psychic, Colorless","2","30","Flip a coin. If heads, the Defending Pokémon is now Confused.","Psychic","×2"
"col1-5","Forretress","Pokémon","90","Metal","","Pineco","5","Kyoko Umemoto","Rare Holo","Its entire body is shielded by a steel-hard shell. What lurks inside this shell is a total mystery.","205",,"https://images.pokemontcg.io/col1/5.png","https://images.pokemontcg.io/col1/5_hires.png","Legal",,,"Colorless, Colorless, Colorless","3","","","","","","","Mirror Shot","Metal, Colorless","2","30","If the Defending Pokémon tries to attack during your opponent's next turn, your opponent flips a coin. If tails, this attack does nothing.","Everyone Explode Now","Metal, Colorless, Colorless","3","30×","Does 30 damage times the number of Pineco and Forretress you have in play. This attack does 30 damage to each of your Pineco and Forretress in play.","Fire","×2"
"col1-6","Groudon","Pokémon","100","Fighting","",,"6","Ryo Ueda","Rare Holo","Said to have expanded the lands by evaporating water with raging heat. It battled titanically with Kyogre.","383",,"https://images.pokemontcg.io/col1/6.png","https://images.pokemontcg.io/col1/6_hires.png","Legal",,,"Colorless, Colorless, Colorless, Colorless","4","","","","","","","Volcano Stomp","Fighting, Fighting, Fighting, Fighting","4","80","Flip a coin. If heads, discard the top 4 cards of your opponent's deck. If tails, discard the top 4 cards of your deck.","","","","","","Grass","×2"
"col1-7","Gyarados","Pokémon","130","Water","","Magikarp","7","Mitsuhiro Arita","Rare Holo","Once it appears, it goes on a rampage. It remains enraged until it demolishes everything around it.","130",,"https://images.pokemontcg.io/col1/7.png","https://images.pokemontcg.io/col1/7_hires.png","Legal",,,"Colorless, Colorless, Colorless","3","","","","","","","Hydro Splash","Water, Colorless, Colorless","3","50","","Hyper Beam","Water, Water, Colorless, Colorless","4","80","Discard an Energy card attached to the Defending Pokémon.","Lightning","×2"
"col1-8","Hitmontop","Pokémon","60","Fighting","",,"8","Shigenori Negishi","Rare Holo","It launches kicks while spinning. If it spins at high speed, it may bore its way into the ground.","237",,"https://images.pokemontcg.io/col1/8.png","https://images.pokemontcg.io/col1/8_hires.png","Legal",,,"Colorless","1","","","","","","","Triple Kick","Fighting","1","20×","Flip 3 coins. This attack does 20 damage times the number of heads.","Close Combat","Fighting, Colorless, Colorless","3","60","During your opponent's next turn, any damage done to Hitmontop by attacks is increased by 20 (after applying Weakness and Resistance).","Psychic","×2"
"col1-9","Ho-Oh","Pokémon","100","Fire","",,"9","Ryo Ueda","Rare Holo","Legends claim this Pokémon flies the world's skies continuously on its magnificent seven-colored wings.","250",,"https://images.pokemontcg.io/col1/9.png","https://images.pokemontcg.io/col1/9_hires.png","Legal",,,"Colorless, Colorless, Colorless","3","","","","","","","Combustion","Fire, Colorless, Colorless","3","50","","Scorching Wing","Fire, Fire, Fire, Colorless, Colorless","5","100","Flip a coin. If tails, discard all Fire Energy attached to Ho-Oh.","Water","×2"
"col1-10","Houndoom","Pokémon","90","Darkness","","Houndour","10","Kagemaru Himeno","Rare Holo","Upon hearing its eerie howls, other Pokémon get the shivers and head straight back to their nests.","229",,"https://images.pokemontcg.io/col1/10.png","https://images.pokemontcg.io/col1/10_hires.png","Legal",,,"Colorless","1","","","","","","","Fire Counterattack","Darkness","1","20+","If your opponent has any Fighting Pokémon in play, this attack does 20 damage plus 60 more damage.","Dark Roar","Darkness, Darkness","2","50","Your opponent discards a card from his or her hand.","Fighting","×2"
"col1-11","Jirachi","Pokémon","60","Psychic","",,"11","match","Rare Holo","Generations have believed that any wish written on a note on its head will come true when it awakens.","385",,"https://images.pokemontcg.io/col1/11.png","https://images.pokemontcg.io/col1/11_hires.png","Legal",,,"Colorless","1","Stardust Song","Once during your turn, when you put Jirachi from your hand onto your Bench, you may flip 3 coins. For each heads, search your discard pile for a Psychic Energy card and attach it to Jirachi.","Poké-Power","","","","Time Hollow","Psychic","1","","Choose a number of your opponent's Stage 1 or Stage 2 Evolved Pokémon up to the amount of Energy attached to Jirachi. Remove the highest Stage Evolution card from each of those Pokémon and put those cards back into your opponent's hand.","","","","","","Psychic","×2"
"col1-12","Kyogre","Pokémon","100","Water","",,"12","Ryo Ueda","Rare Holo","A mythical Pokémon said to have swelled the seas with rain and tidal waves. It battled with Groudon.","382",,"https://images.pokemontcg.io/col1/12.png","https://images.pokemontcg.io/col1/12_hires.png","Legal",,,"Colorless, Colorless, Colorless, Colorless","4","","","","","","","Destructive Tsunami","Water, Water, Water, Water","4","","Flip a coin. If heads, this attack does 40 damage to each of your opponent's Pokémon. If tails, this attack does 40 damage to each of your Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)","","","","","","Lightning","×2"
"col1-13","Leafeon","Pokémon","90","Grass","","Eevee","13","match","Rare Holo","When you see Leafeon asleep in a patch of sunshine, you'll know it is using photosynthesis to produce clean air.","470",,"https://images.pokemontcg.io/col1/13.png","https://images.pokemontcg.io/col1/13_hires.png","Legal",,,"Colorless","1","","","","","","","Miasma Wind","Colorless","1","50×","Does 50 damage times the number of Special Conditions affecting the Defending Pokémon.","Sooting Scent","Grass","1","30","The Defending Pokémon is now Asleep.","Fire","×2"
"col1-14","Lucario","Pokémon","90","Fighting","","Riolu","14","Takashi Yamaguchi","Rare Holo","It's said that no foe can remain invisible to Lucario, since it can detect auras. Even foes it could not otherwise see.","448",,"https://images.pokemontcg.io/col1/14.png","https://images.pokemontcg.io/col1/14_hires.png","Legal",,,"Colorless","1","","","","","","","Dimension Sphere","Colorless, Colorless","2","30+","Does 30 damage plus 20 more damage for each of your Pokémon in the Lost Zone.","Sky Uppercut","Fighting, Fighting, Colorless","3","70","This attack's damage isn't affected by Resistance.","Psychic","×2"
