"id","name","supertype","hp","types","evolvesTo","evolvesFrom","number","artist","rarity","flavorText","nationalPokedexNumbers","regulationMark","imageSmall","imageLarge","legalitiesUnlimited","legalitiesStandard","legalitiesExpanded","retreatCost","convertedRetreatCost","Ability1Name","Ability1Text","Ability1Type","Ability2Name","Ability2Text","Ability2Type","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"det1-1","Bulbasaur","Pokémon","60","Grass","Ivysaur",,"1","MPC Film","Common","A strange seed was planted on its back at birth. The plant sprouts and grows with this Pokémon.","1",,"https://images.pokemontcg.io/det1/1.png","https://images.pokemontcg.io/det1/1_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Find a Friend","Grass","1","","Search your deck for a Grass Pokémon, reveal it, and put it into your hand. Then, shuffle your deck.","","","","","","Fire","×2"
"det1-2","Ludicolo","Pokémon","140","Grass","","Lombre","2","Framestore","Rare","If it hears festive music, all its muscles fill with energy. It can't help breaking out into a dance.","272",,"https://images.pokemontcg.io/det1/2.png","https://images.pokemontcg.io/det1/2_hires.png","Legal",,"Legal","Colorless, Colorless, Colorless","3","Table Service","Once during your turn (before your attack), you may heal 30 damage from 1 of your Pokémon.","Ability","","","","Punch and Run","Grass, Colorless, Colorless","3","70","Switch this Pokémon with 1 of your Benched Pokémon.","","","","","","Fire","×2"
"det1-3","Morelull","Pokémon","50","Grass","Shiinotic",,"3","MPC Film","Common","It scatters its shining spores around itself. Even though they're dangerous, nighttime tours of forests where Morelull live are popular.","755",,"https://images.pokemontcg.io/det1/3.png","https://images.pokemontcg.io/det1/3_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Sleep Spore","Grass","1","10","Your opponent's Active Pokémon is now Asleep.","","","","","","Fire","×2"
"det1-4","Charmander","Pokémon","60","Fire","Charmeleon",,"4","MPC Film","Common","The flame on its tail indicates Charmander's life force. If it is healthy, the flame burns brightly.","4",,"https://images.pokemontcg.io/det1/4.png","https://images.pokemontcg.io/det1/4_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Reckless Charge","Colorless","1","20","This Pokémon does 10 damage to itself.","","","","","","Water","×2"
"det1-5","Charizard","Pokémon","180","Fire","","Charmeleon","5","Framestore","Rare Ultra","When expelling a blast of superhot fire, the red flame at the tip of its tail burns more intensely.","6",,"https://images.pokemontcg.io/det1/5.png","https://images.pokemontcg.io/det1/5_hires.png","Legal",,"Legal","Colorless, Colorless, Colorless","3","","","","","","","Slash","Fire, Colorless, Colorless","3","70","","Wild Tackle","Fire, Colorless, Colorless, Colorless","4","180","This Pokémon does 50 damage to itself.","Water","×2"
"det1-6","Arcanine","Pokémon","120","Fire","","Growlithe","6","MPC Film","Rare","Legends tell of its fighting alongside a general and conquering a whole country.","59",,"https://images.pokemontcg.io/det1/6.png","https://images.pokemontcg.io/det1/6_hires.png","Legal",,"Legal","Colorless, Colorless, Colorless","3","Security Guard","As long as this Pokémon is your Active Pokémon, all of your Pokémon take 30 less damage from your opponent's attacks (after applying Weakness and Resistance).","Ability","","","","Sharp Fang","Fire, Colorless, Colorless","3","90","","","","","","","Water","×2"
"det1-7","Psyduck","Pokémon","80","Water","Golduck",,"7","Framestore","Common","Using psychokinesis gives it a headache, so it normally passes the time spacing out and doing as little as possible.","54",,"https://images.pokemontcg.io/det1/7.png","https://images.pokemontcg.io/det1/7_hires.png","Legal",,"Legal","Colorless, Colorless, Colorless","3","","","","","","","Panic","Water","1","10","This Pokémon is now Confused.","","","","","","Grass","×2"
"det1-8","Magikarp","Pokémon","30","Water","Gyarados",,"8","Framestore","Common","In the distant past, they were fairly strong, but they have become gradually weaker over time.","129",,"https://images.pokemontcg.io/det1/8.png","https://images.pokemontcg.io/det1/8_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Hold Still","Water","1","","Heal 10 damage from this Pokémon.","","","","","","Lightning","×2"
"det1-9","Greninja","Pokémon","140","Water","","Frogadier","9","MPC Film","Rare Ultra","It creates throwing stars out of compressed water. When it spins them and throws them at high speed, these stars can split metal in two.","658",,"https://images.pokemontcg.io/det1/9.png","https://images.pokemontcg.io/det1/9_hires.png","Legal",,"Legal","Colorless","1","Evasion Jutsu","If any damage is done to this Pokémon by attacks, flip a coin. If heads, prevent that damage.","Ability","","","","Furious Shurikens","Water, Water","2","","This attack does 50 damage to 2 of your opponent's Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)","","","","","","Grass","×2"
"det1-10","Detective Pikachu","Pokémon","90","Lightning","Raichu",,"10","MPC Film","Rare","He loves to show off his vast knowledge. This expressive Pikachu is like a middle-aged man.","25",,"https://images.pokemontcg.io/det1/10.png","https://images.pokemontcg.io/det1/10_hires.png","Legal",,"Legal","Colorless, Colorless","2","","","","","","","Scout","Lightning","1","","Your opponent reveals their hand.","Surprise Attack","Colorless, Colorless, Colorless","3","80","Flip a coin. If tails, this attack does nothing.","Fighting","×2"
