"id","name","supertype","hp","types","evolvesTo","evolvesFrom","number","artist","rarity","flavorText","nationalPokedexNumbers","regulationMark","imageSmall","imageLarge","legalitiesUnlimited","legalitiesStandard","legalitiesExpanded","retreatCost","convertedRetreatCost","Ability1Name","Ability1Text","Ability1Type","Ability2Name","Ability2Text","Ability2Type","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"dp2-1","Aggron","Pokémon","130","Metal","","Lairon","1","Kouki Saitou","Rare Holo","While seeking iron for food, it digs tunnels by breaking through bedrock with its steel horns.","306",,"https://images.pokemontcg.io/dp2/1.png","https://images.pokemontcg.io/dp2/1_hires.png","Legal",,,"Colorless, Colorless, Colorless, Colorless","4","","","","","","","Heap Up","Colorless, Colorless","2","40+","Search your discard pile for all Energy cards and show them to your opponent. If you find any Metal Special Energy cards there this attack does 40 damage plus 30 more damage. Put all of those Energy cards on top of your deck. Shuffle your deck afterward.","Hard Metal","Metal, Metal, Metal, Metal","4","60+","You may do 60 damage plus 40 more damage. If you do, Aggron does 40 damage to itself.","Fire","+40"
"dp2-2","Alakazam","Pokémon","100","Psychic","","Kadabra","2","Kouki Saitou","Rare Holo","Its superb memory lets it recall everything it has experienced from birth. Its IQ exceeds 5,000.","65",,"https://images.pokemontcg.io/dp2/2.png","https://images.pokemontcg.io/dp2/2_hires.png","Legal",,,"Colorless","1","Power Cancel","Once during your opponent's turn, when your opponent's Pokémon uses any Poké-Power, you may discard 2 cards from your hand and prevent all effects of that Poké-Power. (This counts as that Pokémon using its Poké-Power.) This power can't be used if Alakazam is affected by a Special Condition.","Poké-Power","","","","Psychic Guard","Psychic, Psychic, Colorless","3","50","During your opponent's next turn, any damage done to Alakazam by attacks from your opponent's Stage 2 Evolved Pokémon is reduced by 30 (after applying Weakness and Resistance).","","","","","","Psychic","+30"
"dp2-3","Ambipom","Pokémon","80","Colorless","","Aipom","3","Kouki Saitou","Rare Holo","To eat, it deftly shucks nuts with its two tails. It rarely uses its arms now.","424",,"https://images.pokemontcg.io/dp2/3.png","https://images.pokemontcg.io/dp2/3_hires.png","Legal",,,"Colorless","1","","","","","","","Tail Influence","Colorless, Colorless","2","30","Your opponent flips a coin until he or she gets heads. For each tails, remove an Energy card attached to the Defending Pokémon and put it on the bottom of your opponent's deck.","Charity Tail","Colorless, Colorless","2","80","Before Ambipom does damage, your opponent may discard 2 cards from his or her hand. If he or she does, this attack's base damage is 10 instead of 80.","Fighting","+20"
"dp2-4","Azelf","Pokémon","60","Psychic","",,"4","Ryo Ueda","Rare Holo","Known as ""The Being of Willpower."" It sleeps at the bottom of a lake to keep the world in balance.","482",,"https://images.pokemontcg.io/dp2/4.png","https://images.pokemontcg.io/dp2/4_hires.png","Legal",,,"Colorless","1","Downer Material","If you have Uxie and Mesprit in play, the attack cost of each of your opponent's Basic Pokémon's attacks is Colorless more. You can't use more than 1 Downer Material Poké-Body each turn.","Poké-Body","","","","Bind Pulse","Psychic","1","10","During your opponent's next turn, your opponent can't attach any Special Energy cards from his or her hand to any of his or her Pokémon.","","","","","","Psychic","+20"
"dp2-5","Blissey","Pokémon","130","Colorless","","Chansey","5","Kagemaru Himeno","Rare Holo","This kindhearted Pokémon nurses sick Pokémon to health. It senses feelings of sadness.","242",,"https://images.pokemontcg.io/dp2/5.png","https://images.pokemontcg.io/dp2/5_hires.png","Legal",,,"Colorless, Colorless, Colorless","3","Kind Egg","Once during your turn (before your attack), if Happiny is anywhere under Blissey, you may choose a number of cards in your hand up to the amount of Energy attached to Blissey and put those cards on top of your deck. Shuffle your deck afterward. Then, draw that many cards. This power can't be used if Blissey is affected by a Special Condition.","Poké-Power","","","","Happy Chance","Colorless","1","20+","Does 20 damage plus 10 for each Energy attached to Blissey. Before doing damage, you may search your discard pile for a basic Energy card and attach it to Blissey.","","","","","","Fighting","+30"
"dp2-6","Bronzong","Pokémon","90","Metal","","Bronzor","6","Daisuke Ito","Rare Holo","One caused a news sensation when it was dug up at a construction site after a 2,000-year sleep.","437",,"https://images.pokemontcg.io/dp2/6.png","https://images.pokemontcg.io/dp2/6_hires.png","Legal",,,"Colorless, Colorless, Colorless","3","Miracle Oracle","Once during your turn (before your attack), you may draw a card. Then, discard a card from your hand. If you discard an Energy card, draw 1 more card. This power can't be used if Bronzong is affected by a Special Condition.","Poké-Power","","","","Shady Stamp","Metal, Metal, Colorless","3","50","The Defending Pokémon is now Confused.","","","","","","Fire","+30"
"dp2-7","Celebi","Pokémon","60","Grass","",,"7","Kagemaru Himeno","Rare Holo","It has the power to travel across time, but is is said to appear only in peaceful times.","251",,"https://images.pokemontcg.io/dp2/7.png","https://images.pokemontcg.io/dp2/7_hires.png","Legal",,,"Colorless","1","","","","","","","Sprouting","","0","","Search your deck for a Grass Energy card and attach it to Celebi. Shuffle your deck afterward.","Leaf Tornado","Grass, Grass","2","30","You may move any number of basic Grass Energy cards attached to your Pokémon to your other Pokémon in any way you like.","Fire","+20"
"dp2-8","Feraligatr","Pokémon","130","Water","","Croconaw","8","Kazuyuki Kano","Rare Holo","It usually moves slowly, but it goes at blinding speed when it attacks and bites prey.","160",,"https://images.pokemontcg.io/dp2/8.png","https://images.pokemontcg.io/dp2/8_hires.png","Legal",,,"Colorless, Colorless","2","","","","","","","Energy Cyclone","Water, Water","2","20×","Choose as many Energy cards from your hand as you like and show them to your opponent. This attack does 20 damage times the number of Energy cards you chose. Put those Energy cards on top of your deck. Shuffle your deck afterward.","Breaking Tail","Water, Colorless, Colorless","3","60","Choose 1 card from your opponent's hand without looking and discard it.","Lightning","+30"
"dp2-9","Garchomp","Pokémon","130","Colorless","","Gabite","9","Kazuyuki Kano","Rare Holo","When it folds up its body and extends its wings, it looks like a jet plane. It flies at sonic speed.","445",,"https://images.pokemontcg.io/dp2/9.png","https://images.pokemontcg.io/dp2/9_hires.png","Legal",,,"",,"Rainbow Scale","If an Active Pokémon has Weakness to any of the types of Energy attached to Garchomp, Garchomp's attacks do 40 more damage to that Pokémon (before applying Weakness and Resistance). Rainbow Scale Poké-Body can't be used if Garchomp has any Special Energy cards attached to it.","Poké-Body","","","","Dragon Fang","Colorless, Colorless, Colorless","3","70","","","","","","","Colorless","+30"
"dp2-10","Honchkrow","Pokémon","90","Darkness","","Murkrow","10","Kazuyuki Kano","Rare Holo","Becoming active at night, it is known to swarm with numerous MURKROW in tow.","430",,"https://images.pokemontcg.io/dp2/10.png","https://images.pokemontcg.io/dp2/10_hires.png","Legal",,,"Colorless","1","Dark Genes","As long as Honchkrow has the Energy necessary to use its attack, each of your Murkrow can use Honchkrow's attack as its own without the Energy necessary to use that attack.","Poké-Body","","","","Dark Wing Flaps","Darkness, Darkness, Colorless","3","50","Choose 1 card from your opponent's hand without looking. Look at the card you chose, then have your opponent shuffle that card into his or her deck.","","","","","","Lightning","+20"
