"ID","Name","Supertype","Subtypes","HP","Types","RetreatCost","Rarity","Ability","Attacks"
"dp3-1","Ampharos","Pokemon","Stage 2","130","Lightning","3","Rare Holo","Jamming: Effect=[After your opponent plays a Supporter card from his or her hand, put 1 damage counter on each of your opponent's Pokemon. You can't use more than 1 Jamming Poke-Body each turn.]","Cluster Bolt: Cost=[Lightning, Colorless, Colorless], EnergyCost=[3], Damage=70, Text=You may discard all Lightning Energy attached to Ampharos. If you do, this attack does 20 damage to each of your opponent's Benched Pokemon that has any Energy cards attached to it. (Don't apply Weakness and Resistance for Benched Pokemon.)"
"dp3-2","Blastoise","Pokemon","Stage 2","120","Water","2","Rare Holo","Waterlog: Effect=[Once during your turn (before your attack), you may attach as many basic Water Energy cards from your hand to any of your Pokemon in any way you like. If you do, your turn ends. This power can't be used if Blastoise is affected by a Special Condition.]","Hydro Pump: Cost=[Water, Water, Colorless], EnergyCost=[3], Damage=50+, Text=Does 50 damage plus 20 more damage for each Water Energy attached to Blastoise but not used to pay for this attack's Energy cost. You can't add more than 40 damage in this way."
"dp3-3","Charizard","Pokemon","Stage 2","130","Fire","3","Rare Holo","Fury Blaze: Effect=[If your opponent has 3 or less Prize cards left, each of Charizard's attacks does 50 more damage to the Active Pokemon (before applying Weakness and Resistance).]","Blast Burn: Cost=[Fire, Fire, Fire, Colorless], EnergyCost=[4], Damage=120, Text=Flip a coin. If heads, discard 2 Energy cards attached to Charizard. If tails, discard 4 Energy cards attached to Charizard. (If you can't, this attack does nothing.)"
"dp3-4","Entei","Pokemon","Basic","80","Fire","2","Rare Holo","Burning Coat: Effect=[Whenever 1 of your opponent's Pokemon is Knocked Out by damage from Entei's attacks, discard the top 3 cards from your opponent's deck.]","Blaze Roar: Cost=[Fire, Fire, Fire], EnergyCost=[3], Damage=60, Text=Does 20 damage to 1 of your opponent's Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.) Flip a coin. If tails, discard 2 Fire Energy attached to Entei."
"dp3-5","Flygon","Pokemon","Stage 2","120","Fighting","1","Rare Holo","Irritating Buzz: Effect=[As long as Flygon is your Active Pokemon, put 1 damage counter on each of your opponent's Active Pokemon between turns, excluding Fighting Pokemon.]","Sand Sonic: Cost=[Fighting, Colorless, Colorless], EnergyCost=[3], Damage=60+, Text=If you attach a Fighting Energy card from your hand to Flygon during this turn, this attack does 60 damage plus 20 more damage."
"dp3-6","Gallade","Pokemon","Stage 2","130","Fighting","2","Rare Holo","","Sonic Blade: Cost=[Fighting, Colorless], EnergyCost=[2], Damage=, Text=Put damage counters on the Defending Pokemon until it is 50 HP away from being Knocked Out. If you do, your opponent switches the Defending Pokemon with 1 of his or her Benched Pokemon. | Psychic Cut: Cost=[Psychic, Colorless, Colorless], EnergyCost=[3], Damage=60+, Text=You may choose as many of your face-down Prize cards as you like and put them face up. If you do, this attack does 60 damage plus 20 more damage for each Prize card you chose. (These cards remain face up for the rest of the game.)"
"dp3-7","Gardevoir","Pokemon","Stage 2","110","Psychic","2","Rare Holo","Telepass: Effect=[Once during your turn (before your attack), you may search your opponent's discard pile for a Supporter card and use the effect of that card as the effect of this power. (The Supporter card remains in your opponent's discard pile.) You can't use more than 1 Telepass Poke-Power each turn. This power can't be used if Gardevoir is affected by a Special Condition.]","Psychic Lock: Cost=[Psychic, Colorless, Colorless], EnergyCost=[3], Damage=60, Text=During your opponent's next turn, your opponent can't use any Poke-Powers on his or her Pokemon."
"dp3-8","Gastrodon East Sea","Pokemon","Stage 1","100","Water","4","Rare Holo","Osmotic Pressure: Effect=[Once during your turn (before your attack), if you have Gastrodon West Sea in play, you may move up to 3 damage counters from Gastrodon East Sea to 1 of your Gastrodon West Sea.]","Dwindling Wave: Cost=[Water, Colorless, Colorless], EnergyCost=[3], Damage=80-, Text=Does 80 damage minus 10 damage for each damage counter on Gastrodon East Sea."
"dp3-9","Gastrodon West Sea","Pokemon","Stage 1","100","Fighting","4","Rare Holo","","Raging Flood: Cost=[Fighting, Colorless], EnergyCost=[2], Damage=20+, Text=Does 20 damage plus 10 more damage for each damage counter on Gastrodon West Sea. Then, remove 2 damage counters from Gastrodon West Sea. | Wild Waves: Cost=[Fighting, Colorless, Colorless, Colorless], EnergyCost=[4], Damage=80, Text=Put 1 damage counter on each Benched Pokemon (both yours and your opponent's)."
"dp3-10","Ho-Oh","Pokemon","Basic","90","Fire","2","Rare Holo","Phoenix Turn: Effect=[Once during your opponent's turn, if Ho-Oh would be Knocked Out by damage from an attack, you may flip a coin. If heads, Ho-Oh isn't discarded. Instead, remove all damage counters, Special Conditions, and other effects from Ho-Oh. Then, discard all cards attached to Ho-Oh (except for Energy cards). This counts as Ho-Oh being Knocked Out and your opponent takes a Prize card.]","Rainbow Wing: Cost=[Colorless, Colorless, Colorless, Colorless], EnergyCost=[4], Damage=20×, Text=This attack does 20 damage times the number of different types of basic Energy cards attached to Ho-Oh."
