"ID","Name","Supertype","Subtypes","HP","Types","RetreatCost","Rarity"
"dp4-1","Blaziken","Pokemon","Stage 2","130","Fire","1","Rare Holo"
"dp4-2","Cresselia","Pokemon","Basic","80","Psychic","1","Rare Holo"
"dp4-3","Darkrai","Pokemon","Basic","70","Darkness","1","Rare Holo"
"dp4-4","Darkrai","Pokemon","Basic","80","Darkness","1","Rare Holo"
"dp4-5","Pachirisu","Pokemon","Basic","70","Lightning","1","Rare Holo"
"dp4-6","Porygon-Z","Pokemon","Stage 2","110","Colorless","2","Rare Holo"
"dp4-7","Rotom","Pokemon","Basic","70","Lightning","1","Rare Holo"
"dp4-8","Sceptile","Pokemon","Stage 2","100","Grass","3","Rare Holo"
"dp4-9","Swampert","Pokemon","Stage 2","130","Water","2","Rare Holo"
"dp4-10","Tangrowth","Pokemon","Stage 1","110","Grass","2","Rare Holo"
"dp4-11","Togekiss","Pokemon","Stage 2","120","Colorless","1","Rare Holo"
"dp4-12","Altaria","Pokemon","Stage 1","80","Colorless","1","Rare"
"dp4-13","Beedrill","Pokemon","Stage 2","110","Grass","","Rare"
"dp4-14","Butterfree","Pokemon","Stage 2","120","Grass","","Rare"
"dp4-15","Claydol","Pokemon","Stage 1","80","Fighting","2","Rare"
"dp4-16","Dialga","Pokemon","Basic","90","Metal","2","Rare"
"dp4-17","Exploud","Pokemon","Stage 2","130","Colorless","3","Rare"
"dp4-18","Houndoom","Pokemon","Stage 1","90","Darkness","1","Rare"
"dp4-19","Hypno","Pokemon","Stage 1","80","Psychic","2","Rare"
"dp4-20","Kingler","Pokemon","Stage 1","90","Water","3","Rare"
"dp4-21","Lapras","Pokemon","Basic","80","Water","1","Rare"
"dp4-22","Latias","Pokemon","Basic","80","Colorless","1","Rare"
"dp4-23","Latios","Pokemon","Basic","90","Colorless","2","Rare"
"dp4-24","Mawile","Pokemon","Basic","70","Metal","1","Rare"
"dp4-25","Milotic","Pokemon","Stage 1","90","Water","2","Rare"
"dp4-26","Palkia","Pokemon","Basic","90","Water","2","Rare"
"dp4-27","Primeape","Pokemon","Stage 1","90","Fighting","1","Rare"
"dp4-28","Slowking","Pokemon","Stage 1","80","Psychic","2","Rare"
"dp4-29","Unown [H]","Pokemon","Basic","60","Psychic","1","Rare"
"dp4-30","Wailord","Pokemon","Stage 1","200","Water","4","Rare"
"dp4-31","Weezing","Pokemon","Stage 1","80","Psychic","2","Rare"
"dp4-32","Wigglytuff","Pokemon","Stage 1","90","Colorless","1","Rare"
"dp4-33","Arbok","Pokemon","Stage 1","80","Psychic","2","Uncommon"
"dp4-34","Cacturne","Pokemon","Stage 1","80","Darkness","1","Uncommon"
"dp4-35","Combusken","Pokemon","Stage 1","80","Fire","1","Uncommon"
"dp4-36","Delibird","Pokemon","Basic","70","Water","1","Uncommon"
"dp4-37","Floatzel","Pokemon","Stage 1","80","Water","1","Uncommon"
"dp4-38","Gorebyss","Pokemon","Stage 1","80","Water","","Uncommon"
"dp4-39","Granbull","Pokemon","Stage 1","90","Colorless","2","Uncommon"
"dp4-40","Grovyle","Pokemon","Stage 1","80","Grass","1","Common"
"dp4-41","Hariyama","Pokemon","Stage 1","100","Fighting","3","Uncommon"
"dp4-42","Huntail","Pokemon","Stage 1","90","Water","1","Uncommon"
"dp4-43","Linoone","Pokemon","Stage 1","80","Colorless","","Uncommon"
"dp4-44","Loudred","Pokemon","Stage 1","80","Colorless","2","Uncommon"
"dp4-45","Magcargo","Pokemon","Stage 1","90","Fire","3","Uncommon"
"dp4-46","Marshtomp","Pokemon","Stage 1","90","Water","2","Uncommon"
"dp4-47","Metapod","Pokemon","Stage 1","70","Grass","2","Uncommon"
"dp4-48","Pelipper","Pokemon","Stage 1","80","Water","1","Uncommon"
"dp4-49","Porygon2","Pokemon","Stage 1","70","Colorless","2","Uncommon"
"dp4-50","Purugly","Pokemon","Stage 1","90","Colorless","2","Uncommon"
"dp4-51","Relicanth","Pokemon","Basic","70","Water","1","Uncommon"
"dp4-52","Seviper","Pokemon","Basic","80","Psychic","2","Uncommon"
"dp4-53","Skarmory","Pokemon","Basic","70","Metal","1","Uncommon"
"dp4-54","Slowbro","Pokemon","Stage 1","80","Water","2","Uncommon"
"dp4-55","Togetic","Pokemon","Stage 1","70","Colorless","1","Uncommon"
"dp4-56","Unown [F]","Pokemon","Basic","50","Psychic","1","Uncommon"
"dp4-57","Unown [G]","Pokemon","Basic","50","Psychic","1","Uncommon"
"dp4-58","Wailmer","Pokemon","Basic","90","Water","3","Uncommon"
"dp4-59","Zangoose","Pokemon","Basic","70","Colorless","1","Uncommon"
"dp4-60","Baltoy","Pokemon","Basic","50","Fighting","1","Common"
"dp4-61","Buizel","Pokemon","Basic","60","Water","1","Common"
"dp4-62","Cacnea","Pokemon","Basic","50","Grass","1","Common"
"dp4-63","Caterpie","Pokemon","Basic","40","Grass","1","Common"
"dp4-64","Clamperl","Pokemon","Basic","40","Water","1","Common"
"dp4-65","Drowzee","Pokemon","Basic","60","Psychic","1","Common"
"dp4-66","Ekans","Pokemon","Basic","60","Psychic","2","Common"
"dp4-67","Feebas","Pokemon","Basic","30","Water","1","Common"
"dp4-68","Glameow","Pokemon","Basic","50","Colorless","1","Common"
"dp4-69","Houndour","Pokemon","Basic","50","Fire","1","Common"
"dp4-70","Igglybuff","Pokemon","Basic","50","Colorless","1","Common"
"dp4-71","Illumise","Pokemon","Basic","70","Grass","1","Common"
"dp4-72","Jigglypuff","Pokemon","Basic","60","Colorless","1","Common"
"dp4-73","Kakuna","Pokemon","Stage 1","80","Grass","2","Common"
"dp4-74","Koffing","Pokemon","Basic","60","Psychic","2","Common"
"dp4-75","Krabby","Pokemon","Basic","60","Water","2","Common"
"dp4-76","Lunatone","Pokemon","Basic","60","Fighting","1","Common"
"dp4-77","Luvdisc","Pokemon","Basic","60","Water","1","Common"
"dp4-78","Makuhita","Pokemon","Basic","60","Fighting","2","Common"
"dp4-79","Mankey","Pokemon","Basic","50","Fighting","1","Common"
"dp4-80","Mudkip","Pokemon","Basic","60","Water","1","Common"
"dp4-81","Porygon","Pokemon","Basic","50","Colorless","1","Common"
"dp4-82","Slowpoke","Pokemon","Basic","60","Water","2","Common"
"dp4-83","Slugma","Pokemon","Basic","60","Fire","2","Common"
"dp4-84","Snubbull","Pokemon","Basic","60","Colorless","1","Common"
"dp4-85","Solrock","Pokemon","Basic","70","Fighting","1","Common"
"dp4-86","Swablu","Pokemon","Basic","40","Colorless","1","Common"
"dp4-87","Tangela","Pokemon","Basic","70","Grass","2","Common"
"dp4-88","Togepi","Pokemon","Basic","50","Colorless","1","Common"
"dp4-89","Torchic","Pokemon","Basic","50","Fire","1","Common"
"dp4-90","Treecko","Pokemon","Basic","50","Grass","1","Common"
"dp4-91","Unown [L]","Pokemon","Basic","50","Psychic","1","Common"
"dp4-92","Volbeat","Pokemon","Basic","70","Grass","1","Common"
"dp4-93","Weedle","Pokemon","Basic","50","Grass","1","Common"
"dp4-94","Whismur","Pokemon","Basic","50","Colorless","1","Common"
"dp4-95","Wingull","Pokemon","Basic","50","Water","1","Common"
"dp4-96","Zigzagoon","Pokemon","Basic","50","Colorless","1","Common"
"dp4-97","Amulet Coin","Trainer","Pokemon Tool",,"","","Uncommon"
"dp4-98","Felicity's Drawing","Trainer","Supporter",,"","","Uncommon"
"dp4-99","Leftovers","Trainer","Pokemon Tool",,"","","Uncommon"
"dp4-100","Moonlight Stadium","Trainer","Stadium",,"","","Uncommon"
"dp4-101","Premier Ball","Trainer","Item",,"","","Uncommon"
"dp4-102","Rare Candy","Trainer","Item",,"","","Uncommon"
