"ID","Name","Supertype","Subtypes","HP","Types","RetreatCost","RTCOST","Rarity"
"dp5-1","Articuno","Pokemon","Basic","100","Water","Colorless, Colorless","2","Rare Holo"
"dp5-2","Cresselia","Pokemon","Basic","70","Psychic","Colorless","1","Rare Holo"
"dp5-3","Darkrai","Pokemon","Basic","80","Darkness","Colorless, Colorless","2","Rare Holo"
"dp5-4","Dialga","Pokemon","Basic","100","Metal","Colorless, Colorless, Colorless","3","Rare Holo"
"dp5-5","Glaceon","Pokemon","Stage 1","80","Water","Colorless","1","Rare Holo"
"dp5-6","Kabutops","Pokemon","Stage 2","120","Fighting","Colorless, Colorless","2","Rare Holo"
"dp5-7","Leafeon","Pokemon","Stage 1","90","Grass","Colorless, Colorless","2","Rare Holo"
"dp5-8","Manaphy","Pokemon","Basic","70","Water","Colorless","1","Rare Holo"
"dp5-9","Mewtwo","Pokemon","Basic","90","Psychic","Colorless, Colorless","2","Rare Holo"
"dp5-10","Moltres","Pokemon","Basic","100","Fire","Colorless, Colorless","2","Rare Holo"
"dp5-11","Palkia","Pokemon","Basic","100","Water","Colorless, Colorless, Colorless","3","Rare Holo"
"dp5-12","Phione","Pokemon","Basic","60","Water","Colorless","1","Rare Holo"
"dp5-13","Rotom","Pokemon","Basic","60","Lightning","Colorless","1","Rare Holo"
"dp5-14","Zapdos","Pokemon","Basic","100","Lightning","Colorless, Colorless","2","Rare Holo"
"dp5-15","Aerodactyl","Pokemon","Stage 1","80","Colorless","Colorless","1","Rare"
"dp5-16","Bronzong","Pokemon","Stage 1","90","Psychic","Colorless, Colorless, Colorless","3","Rare"
"dp5-17","Empoleon","Pokemon","Stage 2","130","Water","Colorless, Colorless","2","Rare"
"dp5-18","Espeon","Pokemon","Stage 1","80","Psychic","Colorless","1","Rare"
"dp5-19","Flareon","Pokemon","Stage 1","90","Fire","Colorless, Colorless","2","Rare"
"dp5-20","Glaceon","Pokemon","Stage 1","90","Water","Colorless","1","Rare"
"dp5-21","Hippowdon","Pokemon","Stage 1","100","Fighting","Colorless, Colorless, Colorless","3","Rare"
"dp5-22","Infernape","Pokemon","Stage 2","110","Fire","","0","Rare"
"dp5-23","Jolteon","Pokemon","Stage 1","80","Lightning","","0","Rare"
"dp5-24","Leafeon","Pokemon","Stage 1","90","Grass","Colorless","1","Rare"
"dp5-25","Minun","Pokemon","Basic","60","Lightning","Colorless","1","Rare"
"dp5-26","Omastar","Pokemon","Stage 2","110","Water","Colorless","1","Rare"
"dp5-27","Phione","Pokemon","Basic","70","Water","Colorless","1","Rare"
"dp5-28","Plusle","Pokemon","Basic","60","Lightning","Colorless","1","Rare"
"dp5-29","Scizor","Pokemon","Stage 1","90","Metal","Colorless","1","Rare"
"dp5-30","Torterra","Pokemon","Stage 2","140","Grass","Colorless, Colorless, Colorless, Colorless","4","Rare"
