"Name","HP","Attack1_ConvertedEnergyCost","Attack1_Name","Attack1_Damage","Types","Rarity","Supertype","Subtypes","RetreatCost","ID","Attack1_Cost"
"Deoxys Normal Forme","90","2","Energy Crush","20+","Psychic","Rare Holo","Pokemon","Basic","1","dp6-1","Psychic, Colorless"
"Dragonite","140","3","Hyper Beam","40","Colorless","Rare Holo","Pokemon","Stage 2","3","dp6-2","Colorless, Colorless, Colorless"
"Froslass","90","1","Destiny Bond","","Water","Rare Holo","Pokemon","Stage 1","1","dp6-3","Psychic"
"Giratina","100","2","Shadow Force","","Psychic","Rare Holo","Pokemon","Basic","3","dp6-4","Psychic, Colorless"
"Gliscor","80","0","Burning Poison","","Fighting","Rare Holo","Pokemon","Stage 1","1","dp6-5",""
"Heatran","100","4","Magma Storm","40+","Fire","Rare Holo","Pokemon","Basic","4","dp6-6","Fire, Fire, Colorless, Colorless"
"Kingdra","130","0","Aqua Stream","10×","Water","Rare Holo","Pokemon","Stage 2","1","dp6-7",""
"Luxray","120","2","Plasma","40","Lightning","Rare Holo","Pokemon","Stage 2","","dp6-8","Colorless, Colorless"
"Mamoswine","140","3","Ice Fang","40","Water","Rare Holo","Pokemon","Stage 2","4","dp6-9","Water, Colorless, Colorless"
"Metagross","120","3","Extra Comet Punch","50","Metal","Rare Holo","Pokemon","Stage 2","3","dp6-10","Metal, Colorless, Colorless"
"Mewtwo","80","1","Hypnoblast","10","Psychic","Rare Holo","Pokemon","Basic","2","dp6-11","Colorless"
"Politoed","120","2","Frog Hop","40+","Water","Rare Holo","Pokemon","Stage 2","1","dp6-12","Water, Colorless"
"Probopass","90","3","Metal Bomber","60","Fighting","Rare Holo","Pokemon","Stage 1","3","dp6-13","Fighting, Colorless, Colorless"
"Rayquaza","100","4","Sky Judgement","150","Colorless","Rare Holo","Pokemon","Basic","3","dp6-14","Fire, Fire, Lightning, Lightning"
"Regigigas","120","4","Crush Grip","120","Colorless","Rare Holo","Pokemon","Basic","4","dp6-15","Water, Fighting, Metal, Colorless"
"Spiritomb","70","1","Transfer Pain","","Psychic","Rare Holo","Pokemon","Basic","2","dp6-16","Psychic"
"Yanmega","90","0","Sonic Wave","10","Grass","Rare Holo","Pokemon","Stage 1","","dp6-17",""
"Armaldo","140","3","Crush Claw","60","Fighting","Rare","Pokemon","Stage 2","2","dp6-18","Fighting, Fighting, Colorless"
"Azelf","70","1","Lock Up","20","Psychic","Rare","Pokemon","Basic","1","dp6-19","Psychic"
"Bellossom","100","1","Parallel Gain","30","Grass","Rare","Pokemon","Stage 2","1","dp6-20","Grass"
"Cradily","120","1","Drain Down","30","Grass","Rare","Pokemon","Stage 2","3","dp6-21","Grass"
"Crawdaunt","90","2","Gripthrow","","Water","Rare","Pokemon","Stage 1","2","dp6-22","Water, Colorless"
"Delcatty","80","1","Energy Assist","30","Colorless","Rare","Pokemon","Stage 1","1","dp6-23","Colorless"
