"ID","Name","Supertype","Subtypes","HP","Types","RetreatCost","Rarity","Ability","Attacks"
"dpp-DP01","Turtwig","Pokemon","Basic","60","Grass","2","Promo","","Tackle: Cost=[], EnergyCost=[0], Damage=10, Text= | Razor Leaf: Cost=[Grass], EnergyCost=[1], Damage=20, Text="
"dpp-DP02","Chimchar","Pokemon","Basic","50","Fire","1","Promo","","Scratch: Cost=[], EnergyCost=[0], Damage=10, Text= | Ember: Cost=[Fire, Colorless], EnergyCost=[2], Damage=30, Text=Flip a coin. If tails, discard a Fire Energy attached to Chimchar."
"dpp-DP03","Piplup","Pokemon","Basic","60","Water","1","Promo","","Peck: Cost=[], EnergyCost=[0], Damage=10, Text= | Water Splash: Cost=[Water, Colorless], EnergyCost=[2], Damage=20+, Text=Flip a coin. If heads, this attack does 20 damage plus 10 more damage."
"dpp-DP04","Pachirisu","Pokemon","Basic","70","Lightning","1","Promo","","Minor Errand-Running: Cost=[Colorless], EnergyCost=[1], Damage=, Text=Search your deck for a basic Energy card, show it to your opponent, and put it into your hand. Shuffle your deck afterward. | Thunder Jolt: Cost=[Lightning], EnergyCost=[1], Damage=20, Text=Flip a coin. If tails, Pachirisu does 10 damage to itself."
"dpp-DP05","Tropical Wind","Trainer","Item",,"","","Promo","",""
"dpp-DP06","Buneary","Pokemon","Basic","50","Colorless","1","Promo","","Splash: Cost=[Colorless], EnergyCost=[1], Damage=10, Text= | Jump Kick: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=10, Text=Does 10 damage to 1 of your opponent's Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)"
"dpp-DP07","Cranidos","Pokemon","Stage 1","70","Fighting","1","Promo","","Headbutt: Cost=[Colorless], EnergyCost=[1], Damage=20, Text= | Steamroll: Cost=[Fighting, Colorless], EnergyCost=[2], Damage=30, Text=Does 20 damage to 1 of your opponent's Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)"
"dpp-DP08","Shieldon","Pokemon","Stage 1","80","Metal","2","Promo","","Hard Face: Cost=[Metal, Colorless], EnergyCost=[2], Damage=20, Text=During your opponent's next turn, any damage done to Shieldon by attacks is reduced by 20 (after applying Weakness and Resistance). | Shield Attack: Cost=[Metal, Colorless, Colorless], EnergyCost=[3], Damage=40+, Text=Flip a coin. If heads, this attack does 40 damage plus 20 more damage."
"dpp-DP09","Torterra LV.X","Pokemon","Level-Up","160","Grass","4","Promo","Forest Murmurs: Effect=[Once during your turn (before your attack), if you have more Prize cards left than your opponent, you may choose 1 of your opponent's Benched Pokemon and switch it with 1 of the Defending Pokemon. This power can't be used if Torterra is affected by a Special Condition.]","Vigorous Dash: Cost=[Grass, Grass, Grass, Colorless], EnergyCost=[4], Damage=100, Text=Does 30 damage to 1 of your opponent's Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.) Torterra does 30 damage to itself."
"dpp-DP10","Infernape LV.X","Pokemon","Level-Up","120","Fire","","Promo","Burning Head: Effect=[Once during your turn (before your attack), you may look at the top 3 cards of your deck, choose 1 of them, and put it into your hand. Discard the other 2 cards. This power can't be used if Infernape is affected by a Special Condition.]","Flare Up: Cost=[Fire, Fire], EnergyCost=[2], Damage=150, Text=Search your discard pile for 8 Fire Energy cards, show them to your opponent, and shuffle them into your deck. (This attack does nothing if you don't have 8 Fire Energy cards in your discard pile.)"
