"ID","Name","Supertype","Subtypes","HP","Types","RetreatCost","Rarity","Attacks"
"ecard1-1","Alakazam","Pokemon","Stage 2","100","Psychic","2","Rare Holo","Syncroblast: Cost=[], Damage=80, Text=If Alakazam and the Defending Pokemon don't have the same number of Energy cards attached to them, this attack's base damage is 20 instead of 80."
"ecard1-2","Ampharos","Pokemon","Stage 2","100","Lightning","2","Rare Holo","Lightning Strike: Cost=[], Damage=40, Text=You may discard all Lightning Energy cards attached to Ampharos. If you do, this attack's base damage is 80 instead of 40."
"ecard1-3","Arbok","Pokemon","Stage 1","70","Grass","1","Rare Holo","Poison Spray: Cost=[], Damage=, Text=The Defending Pokemon is now Poisoned. | Poison Reaction: Cost=[], Damage=20+, Text=If the Defending Pokemon is Poisoned, this attack does 20 damage plus 20 more damage."
"ecard1-4","Blastoise","Pokemon","Stage 2","100","Water","2","Rare Holo","Energy Cannon: Cost=[], Damage=40+, Text=Does 40 damage plus 10 more damage for each Energy attached to Blastoise but not used to pay for this attack's Energy Cost. You can't add more than 20 damage in this way."
"ecard1-5","Butterfree","Pokemon","Stage 2","80","Grass","","Rare Holo","Spiral Drain: Cost=[], Damage=40, Text=Flip a coin. If heads, remove 2 damage counters from Butterfree."
"ecard1-6","Charizard","Pokemon","Stage 2","120","Fire","3","Rare Holo","Scorching Whirlwind: Cost=[], Damage=120, Text=Flip 2 coins. If 1 of them is tails, discard 2 Energy cards attached to Charizard. If both are tails, discard all Energy cards attached to Charizard."
"ecard1-7","Clefable","Pokemon","Stage 1","70","Colorless","1","Rare Holo","Doubleslap: Cost=[], Damage=20×, Text=Flip 2 coins. This attack does 20 times the number of heads."
"ecard1-8","Cloyster","Pokemon","Stage 1","80","Water","2","Rare Holo","Lick: Cost=[], Damage=10, Text=Flip a coin. If heads, the Defending Pokemon is now Paralyzed. | Auto Fire: Cost=[], Damage=20×, Text=Flip 4 coins. This attack does 20 damage times the number of heads."
"ecard1-9","Dragonite","Pokemon","Stage 2","100","Colorless","2","Rare Holo","Dragon Tail: Cost=[], Damage=40×, Text=Flip 2 coins. This attack does 40 damage times the number of heads."
"ecard1-10","Dugtrio","Pokemon","Stage 1","70","Fighting","1","Rare Holo","Mud Slap: Cost=[], Damage=20, Text= | Magnitude: Cost=[], Damage=40, Text=Does 10 damage to each Benched Pokemon (yours and your opponent's). (Don't apply Weakness and Resistance for Benched Pokemon.)"
"ecard1-11","Fearow","Pokemon","Stage 1","70","Colorless","","Rare Holo","Clutch: Cost=[], Damage=20, Text=The Defending Pokemon can't retreat during your opponent's next turn. | Supersonic Flight: Cost=[], Damage=50, Text=Flip a coin. If tails, this attack does nothing."
"ecard1-12","Feraligatr","Pokemon","Stage 2","120","Water","3","Rare Holo","Rending Jaws: Cost=[], Damage=70, Text=If here are no damage counters on the Defending Pokemon, this attack's base damage is 40 instead of 70."
"ecard1-13","Gengar","Pokemon","Stage 2","90","Psychic","1","Rare Holo","Hide in Shadows: Cost=[], Damage=40, Text=Switch Gengar with 1 of your Benched Pokemon, if any."
