"ID","Name","Supertype","Subtypes","HP","Types","RetreatCost","Rarity","Ability","Attacks"
"ecard2-1","Ampharos","Pokemon","Stage 2","100","Lightning","2","Rare","","Thundershock: Cost=[Lightning], EnergyCost=[1], Damage=20, Text=Flip a coin. If heads, the Defending Pokemon is now Paralyzed. | Reflect Energy: Cost=[Lightning, Lightning, Colorless], EnergyCost=[3], Damage=50, Text=If you have any Benched Pokemon and if there are any basic Energy cards attached to Ampharos, take 1 of those Energy cards and attach it to 1 of those Pokemon."
"ecard2-2","Arcanine","Pokemon","Stage 1","90","Fire","3","Rare","Extreme Speed: Effect=[You pay Colorless less to retreat Arcanine for each Energy attached to it.]","Fire Blow: Cost=[Colorless, Colorless, Colorless], EnergyCost=[3], Damage=30+, Text=You may discard any number of Fire Energy cards attached to Arcanine when you use this attack. If you do, flip a number of coins equal to the number of Fire Energy cards you discarded. This attack does 30 damage plus 30 more damage for each heads."
"ecard2-3","Ariados","Pokemon","Stage 1","70","Grass","","Rare","Gluey Slime: Effect=[As long as Ariados is in play, each player must pay an additional Colorless to retreat his or her Active Pokemon. Gluey Slime can't make a player pay more than an additional Colorless to retreat a Pokemon, even if there is more than 1 Ariados in play.]","Spider Force: Cost=[Grass, Colorless], EnergyCost=[2], Damage=20+, Text=Flip a coin. If heads, this attack does 20 damage plus 10 more damage. If tails, this attack does 20 damage and the Defending Pokemon is now Paralyzed."
"ecard2-4","Azumarill","Pokemon","Stage 1","70","Water","1","Rare","Bubble Turn: Effect=[Once during your turn (before your attack), if Azumarill is on your Bench, you may flip a coin. If heads, return Azumarill and all cards attached to it to your hand.]","Aqua Sonic: Cost=[Water, Colorless, Colorless], EnergyCost=[3], Damage=40, Text=Don't apply Resistance."
"ecard2-5","Bellossom","Pokemon","Stage 2","90","Grass","2","Rare","Flower Supplement: Effect=[Once during your turn (before your attack), you may flip a coin. If heads, attach 1 basic Energy card from your hand to 1 of your Benched Pokemon. This power can't be used if Bellossom is affected by a Special Condition.]","Knife Leaf: Cost=[Grass, Grass, Colorless], EnergyCost=[3], Damage=30×, Text=Flip 3 coins. This attack does 30 damage times the number of heads."
"ecard2-6","Blissey","Pokemon","Stage 1","120","Colorless","2","Rare","Happy Healing: Effect=[Once during your turn (before your attack), choose 1 of your Benched Pokemon and flip a coin. If heads, count the number of Energy attached to Blissey and then remove that many damage counters from the chosen Benched Pokemon. This power can't be used if Blissey is affected by a Special Condition.]","Smash Bomber: Cost=[Colorless, Colorless, Colorless], EnergyCost=[3], Damage=50, Text=Flip a coin. If tails, this attack does nothing."
"ecard2-7","Donphan","Pokemon","Stage 1","80","Fighting","2","Rare","","Earthquake: Cost=[Fighting], EnergyCost=[1], Damage=30, Text=Does 10 damage to each of your own Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.) | Double Stab: Cost=[Colorless, Colorless, Colorless], EnergyCost=[3], Damage=40×, Text=Flip 2 coins. This attack does 40 damage times the number of heads."
"ecard2-8","Electrode","Pokemon","Stage 1","70","Lightning","1","Rare","Super Dynamo: Effect=[Once during your turn (before your attack), if Electrode is your Active Pokemon, you may flip a coin. If heads, choose a Lightning Energy card from your discard pile and attach it to 1 of your Pokemon. This power can't be used if Electrode is affected by a Special Condition.]","Swift: Cost=[Lightning, Colorless], EnergyCost=[2], Damage=30, Text=This attack's damage isn't affected by Weakness, Resistance, Poke-Powers, Poke-Bodies, or any other effects on the Defending Pokemon."
"ecard2-9","Elekid","Pokemon","Baby","30","Lightning","1","Rare","","Energy Kick: Cost=[Lightning], EnergyCost=[1], Damage=, Text=Flip a coin. If heads, choose an Energy card attached to the Defending Pokemon. Your opponent moves that card to 1 of his or her other Pokemon. (If your opponent has no Benched Pokemon, this attack does nothing.)"
"ecard2-10","Entei","Pokemon","Basic","70","Fire","1","Rare","Pure Body: Effect=[To attach a Fire Energy card from your hand to Entei, you must discard an Energy card attached to Entei. (Attach the Fire Energy, and then discard an Energy from Entei.)]","Burning Fang: Cost=[Fire, Colorless, Colorless], EnergyCost=[3], Damage=40, Text=You may flip a coin. If heads, discard a Fire Energy card attached to Entei and the Defending Pokemon is now Burned."
