"Attack2_ConvertedEnergyCost","Attack1_ConvertedEnergyCost","Supertype","HP","Attack1_Name","Attack3_Name","Attack2_Name","ID","Rarity","Attack1_Damage","RetreatCost","Types","Attack3_Cost","Subtypes","Name","Attack1_Cost","Attack3_Damage","Attack2_Damage","Attack3_ConvertedEnergyCost","Attack2_Cost"
"3","1","Pokemon","110","Retaliate","Double Lariat","Mega Punch","ex1-1","Rare Holo","10×","4","Metal","Metal, Metal, Colorless, Colorless, Colorless","Stage 2","Aggron","Colorless","70×","40","5","Colorless, Colorless, Colorless"
"3","1","Pokemon","80","Stun Spore",,"Parallel Gain","ex1-2","Rare Holo","20","","Grass",,"Stage 2","Beautifly","Grass",,"50",,"Grass, Colorless, Colorless"
,"3","Pokemon","100","Fire Stream",,,"ex1-3","Rare Holo","50","2","Fire",,"Stage 2","Blaziken","Fire, Colorless, Colorless",,,,
"4","2","Pokemon","90","Lava Burn",,"Fire Spin","ex1-4","Rare Holo","20","3","Fire",,"Stage 1","Camerupt","Fire, Colorless",,"100",,"Fire, Fire, Colorless, Colorless"
,"1","Pokemon","70","Max Energy Source",,,"ex1-5","Rare Holo","10×","1","Colorless",,"Stage 1","Delcatty","Colorless",,,,
"3","2","Pokemon","90","Toxic",,"Gust","ex1-6","Rare Holo","","","Grass",,"Stage 2","Dustox","Grass, Colorless",,"50",,"Grass, Colorless, Colorless"
,"1","Pokemon","100","Energy Burst",,,"ex1-7","Rare Holo","10×","2","Psychic",,"Stage 2","Gardevoir","Psychic",,,,
"3","1","Pokemon","90","Super Slap Push",,"Mega Throw","ex1-8","Rare Holo","","2","Fighting",,"Stage 1","Hariyama","Fighting",,"40+",,"Fighting, Colorless, Colorless"
"3","1","Pokemon","70","Attract Current",,"Thunder Jolt","ex1-9","Rare Holo","10","1","Lightning",,"Stage 1","Manectric","Colorless",,"50",,"Lightning, Lightning, Colorless"
,"3","Pokemon","70","Shakedown",,,"ex1-10","Rare Holo","40","1","Darkness",,"Stage 1","Mightyena","Darkness, Colorless, Colorless",,,,
"5","1","Pokemon","120","Lizard Poison",,"Solarbeam","ex1-11","Rare Holo","20","3","Grass",,"Stage 2","Sceptile","Colorless",,"70",,"Grass, Grass, Colorless, Colorless, Colorless"
,"4","Pokemon","120","Critical Move",,,"ex1-12","Rare Holo","100","3","Colorless",,"Stage 2","Slaking","Colorless, Colorless, Colorless, Colorless",,,,
,"4","Pokemon","110","Hypno Splash",,,"ex1-13","Rare Holo","50","3","Water",,"Stage 2","Swampert","Water, Water, Colorless, Colorless",,,,
