"Name","HP","Attack1_ConvertedEnergyCost","Attack1_Name","Attack1_Damage","Types","Rarity","Supertype","Subtypes","RetreatCost","ID","Attack1_Cost"
"Ampharos","120","3","Miraculous Thunder","50","Lightning","Rare Holo","Pokemon","Stage 2","2","ex10-1","Lightning, Colorless, Colorless"
"Ariados","70","1","Reactive Poison","10+","Grass","Rare Holo","Pokemon","Stage 1","1","ex10-2","Colorless"
"Bellossom","90","1","Green Dance","","Grass","Rare Holo","Pokemon","Stage 2","1","ex10-3","Grass"
"Feraligatr","120","2","Pull Away","30","Water","Rare Holo","Pokemon","Stage 2","2","ex10-4","Water, Colorless"
"Flareon","70","1","Fire Dance","20","Fire","Rare Holo","Pokemon","Stage 1","1","ex10-5","Fire"
"Forretress","70","2","Spiky Shell","20","Metal","Rare Holo","Pokemon","Stage 1","1","ex10-6","Colorless, Colorless"
"Houndoom","70","2","Tight Jaw","20","Fire","Rare Holo","Pokemon","Stage 1","1","ex10-7","Colorless, Colorless"
"Jolteon","70","1","Attract Current","20","Lightning","Rare Holo","Pokemon","Stage 1","","ex10-8","Lightning"
"Meganium","100","3","Bouncy Move","50+","Grass","Rare Holo","Pokemon","Stage 2","3","ex10-9","Grass, Grass, Colorless"
"Octillery","80","1","Standing By","","Water","Rare Holo","Pokemon","Stage 1","1","ex10-10","Colorless"
"Poliwrath","120","2","Beatdown","40+","Fighting","Rare Holo","Pokemon","Stage 2","2","ex10-11","Fighting, Colorless"
"Porygon2","70","1","Data Retrieval","","Colorless","Rare Holo","Pokemon","Stage 1","1","ex10-12","Colorless"
"Slowbro","80","1","Parallel Gain","20","Water","Rare Holo","Pokemon","Stage 1","2","ex10-13","Colorless"
"Slowking","70","2","Aftermath","20+","Psychic","Rare Holo","Pokemon","Stage 1","1","ex10-14","Psychic, Colorless"
"Sudowoodo","60","1","Copy","","Fighting","Rare Holo","Pokemon","Basic","1","ex10-15","Colorless"
"Sunflora","70","1","Dazzle Dance","","Grass","Rare Holo","Pokemon","Stage 1","1","ex10-16","Grass"
"Typhlosion","110","1","Flickering Flames","20","Fire","Rare Holo","Pokemon","Stage 2","1","ex10-17","Fire"
"Ursaring","80","2","Drag Off","20","Colorless","Rare Holo","Pokemon","Stage 1","2","ex10-18","Colorless, Colorless"
"Vaporeon","70","1","Aqua Supply","20","Water","Rare Holo","Pokemon","Stage 1","1","ex10-19","Water"
"Chansey","90","1","Hyper Healing","","Colorless","Rare","Pokemon","Basic","2","ex10-20","Colorless"
"Cleffa","50","1","Eeeeeeek","","Colorless","Rare","Pokemon","Basic","1","ex10-21","Colorless"
"Electabuzz","70","2","Double Shock","10×","Lightning","Rare","Pokemon","Basic","1","ex10-22","Lightning, Colorless"
"Elekid","50","1","Magnetic Trip","10","Lightning","Rare","Pokemon","Basic","1","ex10-23","Colorless"
"Hitmonchan","70","2","Heavy Punch","10×","Fighting","Rare","Pokemon","Basic","1","ex10-24","Fighting, Colorless"
"Hitmonlee","60","1","Stretch Kick","","Fighting","Rare","Pokemon","Basic","1","ex10-25","Fighting"
"Hitmontop","70","2","Upward Kick","20+","Fighting","Rare","Pokemon","Basic","1","ex10-26","Fighting, Colorless"
"Ho-Oh","80","2","Gust","20","Fire","Rare","Pokemon","Basic","2","ex10-27","Colorless, Colorless"
"Jynx","70","1","Freeze Light","","Water","Rare","Pokemon","Basic","1","ex10-28","Colorless"
"Lugia","80","3","Aeroblast","20+","Psychic","Rare","Pokemon","Basic","2","ex10-29","Colorless, Colorless, Colorless"
"Murkrow","70","1","Night Song","","Darkness","Rare","Pokemon","Basic","1","ex10-30","Colorless"
"Smoochum","50","1","Blown Kiss","","Water","Rare","Pokemon","Basic","1","ex10-31","Colorless"
"Stantler","70","1","Screechy Voice","10","Colorless","Rare","Pokemon","Basic","1","ex10-32","Colorless"
"Tyrogue","40","1","Desperate Punch","10×","Fighting","Rare","Pokemon","Basic","1","ex10-33","Colorless"
"Aipom","50","1","Snap Tail","","Colorless","Uncommon","Pokemon","Basic","1","ex10-34","Colorless"
"Bayleef","70","1","Soothing Scent","10","Grass","Uncommon","Pokemon","Stage 1","1","ex10-35","Colorless"
"Clefable","80","1","Shining Fingers","10","Colorless","Uncommon","Pokemon","Stage 1","1","ex10-36","Colorless"
"Corsola","60","1","Cry for Help","","Water","Uncommon","Pokemon","Basic","1","ex10-37","Colorless"
"Croconaw","80","2","Bite","20","Water","Uncommon","Pokemon","Stage 1","2","ex10-38","Colorless, Colorless"
"Granbull","70","2","Crushing Blow","30","Colorless","Uncommon","Pokemon","Stage 1","2","ex10-39","Colorless, Colorless"
"Lanturn","80","1","Energy Stream","20","Lightning","Uncommon","Pokemon","Stage 1","1","ex10-40","Lightning"
"Magcargo","80","2","Smokescreen","30","Fire","Uncommon","Pokemon","Stage 1","2","ex10-41","Fire, Colorless"
"Miltank","60","1","Healing Milk","","Colorless","Uncommon","Pokemon","Basic","1","ex10-42","Colorless"
"Noctowl","70","1","Spearhead","","Colorless","Uncommon","Pokemon","Stage 1","1","ex10-43","Colorless"
"Quagsire","80","1","Mud Shot","20","Fighting","Uncommon","Pokemon","Stage 1","2","ex10-44","Colorless"
"Quilava","70","2","Smokescreen","20","Fire","Uncommon","Pokemon","Stage 1","1","ex10-45","Fire, Colorless"
"Scyther","60","1","Twin Play","","Grass","Uncommon","Pokemon","Basic","1","ex10-46","Colorless"
"Shuckle","60","2","Toxic","","Grass","Uncommon","Pokemon","Basic","1","ex10-47","Grass, Colorless"
"Smeargle","50","1","Split Spiral Punch","10","Colorless","Uncommon","Pokemon","Basic","1","ex10-48","Colorless"
"Xatu","80","2","Telekinesis","","Psychic","Uncommon","Pokemon","Stage 1","1","ex10-49","Psychic, Colorless"
"Yanma","60","1","Grand Loop","","Grass","Uncommon","Pokemon","Basic","1","ex10-50","Colorless"
"Chikorita","50","1","Headbutt","10","Grass","Common","Pokemon","Basic","1","ex10-51","Colorless"
"Chinchou","50","1","Thunder Wave","","Lightning","Common","Pokemon","Basic","1","ex10-52","Colorless"
"Clefairy","50","1","Pound","10","Colorless","Common","Pokemon","Basic","1","ex10-53","Colorless"
"Cyndaquil","50","1","Paralyzing Gaze","","Fire","Common","Pokemon","Basic","1","ex10-54","Colorless"
"Eevee","50","1","Tail Whap","10","Colorless","Common","Pokemon","Basic","1","ex10-55","Colorless"
"Flaaffy","80","1","Thunder Wave","10","Lightning","Common","Pokemon","Stage 1","1","ex10-56","Colorless"
"Gligar","50","1","Toxic Grip","10","Fighting","Common","Pokemon","Basic","1","ex10-57","Fighting"
"Gloom","70","2","Poisonpowder","20","Grass","Common","Pokemon","Stage 1","1","ex10-58","Grass, Colorless"
"Hoothoot","50","1","Confuse Ray","","Colorless","Common","Pokemon","Basic","1","ex10-59","Colorless"
"Houndour","50","1","Smog","","Fire","Common","Pokemon","Basic","1","ex10-60","Fire"
"Larvitar","50","1","Retaliate","10×","Fighting","Common","Pokemon","Basic","1","ex10-61","Fighting"
"Mareep","50","1","Tackle","10","Lightning","Common","Pokemon","Basic","1","ex10-62","Lightning"
"Natu","50","1","Telekinesis","","Psychic","Common","Pokemon","Basic","1","ex10-63","Colorless"
"Oddish","50","1","Stun Spore","10","Grass","Common","Pokemon","Basic","1","ex10-64","Grass"
"Onix","80","1","Dig Deep","","Fighting","Common","Pokemon","Basic","3","ex10-65","Colorless"
"Pineco","50","1","Ram","10","Grass","Common","Pokemon","Basic","1","ex10-66","Colorless"
"Poliwag","50","1","Hypnosis","","Water","Common","Pokemon","Basic","1","ex10-67","Colorless"
"Poliwhirl","70","2","Energy Ball","30+","Water","Common","Pokemon","Stage 1","1","ex10-68","Colorless, Colorless"
"Porygon","50","1","3-D Attack","10×","Colorless","Common","Pokemon","Basic","1","ex10-69","Colorless"
"Pupitar","70","2","Slash","20","Fighting","Common","Pokemon","Stage 1","","ex10-70","Colorless, Colorless"
"Remoraid","50","1","Call for Family","","Water","Common","Pokemon","Basic","1","ex10-71","Colorless"
"Slowpoke","50","1","Fishing Tail","","Psychic","Common","Pokemon","Basic","1","ex10-72","Colorless"
"Slugma","40","1","Yawn","","Fire","Common","Pokemon","Basic","1","ex10-73","Colorless"
"Snubbull","50","1","Lick","10","Colorless","Common","Pokemon","Basic","1","ex10-74","Colorless"
"Spinarak","50","1","Stun Poison","","Grass","Common","Pokemon","Basic","1","ex10-75","Grass"
"Sunkern","40","1","Minor Errand-Running","","Grass","Common","Pokemon","Basic","1","ex10-76","Colorless"
"Teddiursa","40","1","Teary Eyes","","Colorless","Common","Pokemon","Basic","1","ex10-77","Colorless"
"Totodile","50","1","Splatter","","Water","Common","Pokemon","Basic","1","ex10-78","Colorless"
"Wooper","50","1","Mud Shot","10","Fighting","Common","Pokemon","Basic","1","ex10-79","Colorless"
"Curse Powder",,,,,"","Uncommon","Trainer","Pokemon Tool","","ex10-80",
"Energy Recycle System",,,,,"","Uncommon","Trainer","Item","","ex10-81",
"Energy Removal 2",,,,,"","Uncommon","Trainer","Item","","ex10-82",
"Energy Root",,,,,"","Uncommon","Trainer","Pokemon Tool","","ex10-83",
"Energy Switch",,,,,"","Uncommon","Trainer","Item","","ex10-84",
"Fluffy Berry",,,,,"","Uncommon","Trainer","Pokemon Tool","","ex10-85",
"Mary's Request",,,,,"","Uncommon","Trainer","Supporter","","ex10-86",
"Poke Ball",,,,,"","Uncommon","Trainer","Item","","ex10-87",
"Pokemon Reversal",,,,,"","Uncommon","Trainer","Item","","ex10-88",
"Professor Elm's Training Method",,,,,"","Uncommon","Trainer","Supporter","","ex10-89",
"Protective Orb",,,,,"","Uncommon","Trainer","Pokemon Tool","","ex10-90",
"Sitrus Berry",,,,,"","Uncommon","Trainer","Pokemon Tool","","ex10-91",
"Solid Rage",,,,,"","Uncommon","Trainer","Pokemon Tool","","ex10-92",
"Warp Point",,,,,"","Uncommon","Trainer","Item","","ex10-93",
"Energy Search",,,,,"","Common","Trainer","Item","","ex10-94",
"Potion",,,,,"","Common","Trainer","Item","","ex10-95",
"Darkness Energy",,,,,"","Rare","Energy","Special","","ex10-96",
"Metal Energy",,,,,"","Rare","Energy","Special","","ex10-97",
"Boost Energy",,,,,"","Uncommon","Energy","Special","","ex10-98",
"Cyclone Energy",,,,,"","Uncommon","Energy","Special","","ex10-99",
"Warp Energy",,,,,"","Uncommon","Energy","Special","","ex10-100",
"Unown","60","2","Hidden Power","","Psychic","Rare","Pokemon","Basic","1","ex10-A","Colorless, Colorless"
"Unown","60","3","Hidden Power","","Psychic","Rare","Pokemon","Basic","1","ex10-B","Colorless, Colorless, Colorless"
"Unown","60","1","Hidden Power","","Psychic","Rare","Pokemon","Basic","1","ex10-C","Colorless"
"Unown","60","1","Hidden Power","","Psychic","Rare","Pokemon","Basic","1","ex10-D","Colorless"
"Unown","60","1","Hidden Power","","Psychic","Rare","Pokemon","Basic","1","ex10-E","Colorless"
"Unown","60","2","Hidden Power","10","Psychic","Rare","Pokemon","Basic","1","ex10-F","Psychic, Colorless"
"Unown","60","2","Hidden Power","","Psychic","Rare","Pokemon","Basic","1","ex10-G","Colorless, Colorless"
"Unown","60","1","Hidden Power","","Psychic","Rare","Pokemon","Basic","1","ex10-H","Colorless"
"Unown","60","2","Hidden Power","","Psychic","Rare","Pokemon","Basic","1","ex10-I","Psychic, Colorless"
"Unown","60","1","Hidden Power","","Psychic","Rare","Pokemon","Basic","1","ex10-J","Colorless"
"Unown","60","2","Hidden Power","20","Psychic","Rare","Pokemon","Basic","1","ex10-K","Psychic, Colorless"
"Unown","60","2","Hidden Power","","Psychic","Rare","Pokemon","Basic","1","ex10-L","Psychic, Colorless"
"Unown","60","1","Hidden Power","","Psychic","Rare","Pokemon","Basic","1","ex10-M","Psychic"
"Unown","60","1","Hidden Power","","Psychic","Rare","Pokemon","Basic","1","ex10-N","Colorless"
"Unown","60","2","Hidden Power","20","Psychic","Rare","Pokemon","Basic","1","ex10-O","Psychic, Colorless"
"Unown","60","2","Hidden Power","","Psychic","Rare","Pokemon","Basic","1","ex10-P","Colorless, Colorless"
"Unown","60","1","Hidden Power","","Psychic","Rare","Pokemon","Basic","1","ex10-Q","Colorless"
