"ID","Name","Supertype","Subtypes","HP","Types","RetreatCost","Rarity"
"ex12-1","Aerodactyl","Pokemon","Stage 1","70","Colorless","","Rare Holo"
"ex12-2","Aggron","Pokemon","Stage 2","110","Metal","Colorless, Colorless, Colorless, Colorless","Rare Holo"
"ex12-3","Cradily","Pokemon","Stage 2","100","Grass","Colorless, Colorless","Rare Holo"
"ex12-4","Delcatty","Pokemon","Stage 1","80","Colorless","Colorless","Rare Holo"
"ex12-5","Gengar","Pokemon","Stage 2","100","Psychic","Colorless","Rare Holo"
"ex12-6","Golem","Pokemon","Stage 2","120","Fighting","Colorless, Colorless, Colorless","Rare Holo"
"ex12-7","Kabutops","Pokemon","Stage 2","110","Fighting","Colorless, Colorless","Rare Holo"
"ex12-8","Lapras","Pokemon","Basic","80","Water","Colorless, Colorless","Rare Holo"
"ex12-9","Machamp","Pokemon","Stage 2","120","Fighting","Colorless, Colorless","Rare Holo"
"ex12-10","Mew","Pokemon","Basic","70","Psychic","Colorless","Rare Holo"
"ex12-11","Muk","Pokemon","Stage 1","70","Grass","Colorless, Colorless","Rare Holo"
"ex12-12","Shiftry","Pokemon","Stage 2","110","Darkness","Colorless","Rare Holo"
"ex12-13","Victreebel","Pokemon","Stage 2","100","Grass","Colorless, Colorless","Rare Holo"
"ex12-14","Wailord","Pokemon","Stage 1","120","Water","Colorless, Colorless, Colorless, Colorless","Rare Holo"
"ex12-15","Absol","Pokemon","Basic","70","Darkness","Colorless","Rare"
"ex12-16","Girafarig","Pokemon","Basic","70","Psychic","Colorless","Rare"
"ex12-17","Gorebyss","Pokemon","Stage 1","70","Water","","Rare"
"ex12-18","Huntail","Pokemon","Stage 1","80","Water","Colorless","Rare"
"ex12-19","Lanturn","Pokemon","Stage 1","80","Lightning","Colorless, Colorless","Rare"
"ex12-20","Lunatone","Pokemon","Basic","60","Psychic","Colorless","Rare"
"ex12-21","Magmar","Pokemon","Basic","70","Fire","Colorless","Rare"
"ex12-22","Magneton","Pokemon","Stage 1","70","Lightning","Colorless","Rare"
"ex12-23","Omastar","Pokemon","Stage 2","100","Water","Colorless","Rare"
"ex12-24","Pinsir","Pokemon","Basic","70","Grass","Colorless","Rare"
"ex12-25","Solrock","Pokemon","Basic","70","Fighting","Colorless","Rare"
"ex12-26","Spinda","Pokemon","Basic","60","Colorless","Colorless","Rare"
"ex12-27","Torkoal","Pokemon","Basic","80","Fire","Colorless, Colorless","Rare"
"ex12-28","Wobbuffet","Pokemon","Basic","80","Psychic","Colorless, Colorless","Rare"
"ex12-29","Anorith","Pokemon","Stage 1","70","Fighting","Colorless","Uncommon"
"ex12-30","Cascoon","Pokemon","Stage 1","70","Grass","Colorless, Colorless","Uncommon"
"ex12-31","Dunsparce","Pokemon","Basic","50","Colorless","Colorless","Uncommon"
"ex12-32","Electrode","Pokemon","Stage 1","70","Lightning","","Uncommon"
"ex12-33","Furret","Pokemon","Stage 1","80","Colorless","Colorless","Uncommon"
"ex12-34","Graveler","Pokemon","Stage 1","70","Fighting","Colorless, Colorless","Uncommon"
"ex12-35","Haunter","Pokemon","Stage 1","70","Psychic","Colorless","Uncommon"
"ex12-36","Kabuto","Pokemon","Stage 1","60","Fighting","Colorless, Colorless","Uncommon"
"ex12-37","Kecleon","Pokemon","Basic","60","Colorless","Colorless","Uncommon"
"ex12-38","Lairon","Pokemon","Stage 1","70","Metal","Colorless, Colorless","Uncommon"
"ex12-39","Machoke","Pokemon","Stage 1","80","Fighting","Colorless","Uncommon"
"ex12-40","Misdreavus","Pokemon","Basic","50","Psychic","Colorless","Uncommon"
"ex12-41","Nuzleaf","Pokemon","Stage 1","70","Darkness","Colorless","Uncommon"
"ex12-42","Roselia","Pokemon","Basic","60","Grass","Colorless","Uncommon"
"ex12-43","Sealeo","Pokemon","Stage 1","70","Water","Colorless","Uncommon"
"ex12-44","Tangela","Pokemon","Basic","60","Grass","Colorless","Uncommon"
"ex12-45","Tentacruel","Pokemon","Stage 1","70","Water","","Uncommon"
"ex12-46","Vibrava","Pokemon","Stage 1","80","Colorless","Colorless","Uncommon"
"ex12-47","Weepinbell","Pokemon","Stage 1","70","Grass","Colorless","Uncommon"
"ex12-48","Aron","Pokemon","Basic","50","Metal","Colorless, Colorless","Common"
"ex12-49","Bellsprout","Pokemon","Basic","50","Grass","Colorless","Common"
"ex12-50","Chinchou","Pokemon","Basic","50","Lightning","Colorless","Common"
"ex12-51","Clamperl","Pokemon","Basic","50","Water","Colorless","Common"
"ex12-52","Gastly","Pokemon","Basic","40","Psychic","Colorless","Common"
"ex12-53","Geodude","Pokemon","Basic","50","Fighting","Colorless","Common"
"ex12-54","Grimer","Pokemon","Basic","40","Grass","Colorless","Common"
"ex12-55","Growlithe","Pokemon","Basic","50","Fire","Colorless","Common"
"ex12-56","Lileep","Pokemon","Stage 1","80","Grass","Colorless, Colorless","Common"
"ex12-57","Machop","Pokemon","Basic","50","Fighting","Colorless","Common"
"ex12-58","Magby","Pokemon","Basic","40","Fire","Colorless","Common"
"ex12-59","Magnemite","Pokemon","Basic","50","Lightning","Colorless","Common"
"ex12-60","Omanyte","Pokemon","Stage 1","70","Water","Colorless","Common"
"ex12-61","Seedot","Pokemon","Basic","40","Grass","Colorless","Common"
"ex12-62","Sentret","Pokemon","Basic","50","Colorless","Colorless","Common"
"ex12-63","Shuppet","Pokemon","Basic","50","Psychic","Colorless","Common"
"ex12-64","Skitty","Pokemon","Basic","50","Colorless","Colorless","Common"
"ex12-65","Spheal","Pokemon","Basic","50","Water","Colorless","Common"
"ex12-66","Tentacool","Pokemon","Basic","50","Water","Colorless","Common"
"ex12-67","Trapinch","Pokemon","Basic","50","Fighting","Colorless","Common"
"ex12-68","Voltorb","Pokemon","Basic","50","Lightning","Colorless","Common"
"ex12-69","Wailmer","Pokemon","Basic","80","Water","Colorless, Colorless, Colorless","Common"
