"id","name","supertype","hp","types","evolvesTo","evolvesFrom","number","artist","rarity","flavorText","nationalPokedexNumbers","regulationMark","imageSmall","imageLarge","legalitiesUnlimited","legalitiesStandard","legalitiesExpanded","retreatCost","convertedRetreatCost","Ability1Name","Ability1Text","Ability1Type","Ability2Name","Ability2Text","Ability2Type","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"ex13-1","Armaldo δ","Pokémon","110","Fighting, Metal","","Anorith","1","Masakazu Fukuda","Rare Holo",,"348",,"https://images.pokemontcg.io/ex13/1.png","https://images.pokemontcg.io/ex13/1_hires.png","Legal",,,"Colorless, Colorless, Colorless","3","","","","","","","Delta Edge","Metal, Colorless","2","70","If you have any Supporter cards in play, this attack's base damage is 20 instead of 70.","Fossil Charge","Fighting, Colorless, Colorless","3","50","You may discard a Claw Fossil, Mysterious Fossil, Root Fossil, or Holon Fossil from your hand. If you do, choose 1 of your opponent's Benched Pokémon and do 30 damage to that Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)","Grass","×2"
"ex13-2","Cradily δ","Pokémon","100","Darkness, Metal","","Lileep","2","Kouki Saitou","Rare Holo",,"346",,"https://images.pokemontcg.io/ex13/2.png","https://images.pokemontcg.io/ex13/2_hires.png","Legal",,,"Colorless, Colorless","2","","","","","","","Harsh Fluid","Darkness, Colorless","2","20","Put 5 damage counters on the Defending Pokémon at the end of your opponent's next turn.","Poison Tentacles","Metal, Colorless, Colorless","3","50","The Defending Pokémon is now Poisoned.","Fire","×2"
"ex13-3","Deoxys δ","Pokémon","70","Darkness","",,"3","Mitsuhiro Arita","Rare Holo",,"386",,"https://images.pokemontcg.io/ex13/3.png","https://images.pokemontcg.io/ex13/3_hires.png","Legal",,,"Colorless","1","Form Change","Once during your turn (before your attack), you may search your deck for another Deoxys and switch it with Deoxys. (Any cards attached to Deoxys, damage counters, Special Conditions, and effects on it are now on the new Pokémon.) If you do, put Deoxys on top of your deck. Shuffle your deck afterward. You can't use more than 1 Form Change Poké-Power each turn.","Poké-Power","","","","Energy Loop","Darkness, Colorless, Colorless","3","60","Return 2 Energy attached to Deoxys to your hand.","","","","","","Psychic","×2"
"ex13-4","Deoxys δ","Pokémon","80","Metal","",,"4","Kagemaru Himeno","Rare Holo",,"386",,"https://images.pokemontcg.io/ex13/4.png","https://images.pokemontcg.io/ex13/4_hires.png","Legal",,,"Colorless, Colorless","2","Form Change","Once during your turn (before your attack), you may search your deck for another Deoxys and switch it with Deoxys. (Any cards attached to Deoxys, damage counters, Special Conditions, and effects on it are now on the new Pokémon.) If you do, put Deoxys on top of your deck. Shuffle your deck afterward. You can't use more than 1 Form Change Poké-Power each turn.","Poké-Power","","","","Delta Reduction","Metal, Colorless","2","30","During your opponent's next turn, any damage done to Deoxys by attacks in reduced by 30 (before applying Weakness and Resistance).","","","","","","Psychic","×2"
"ex13-5","Deoxys δ","Pokémon","70","Colorless","",,"5","Kouki Saitou","Rare Holo",,"386",,"https://images.pokemontcg.io/ex13/5.png","https://images.pokemontcg.io/ex13/5_hires.png","Legal",,,"Colorless","1","Form Change","Once during your turn (before your attack), you may search your deck for another Deoxys and switch it with Deoxys. (Any cards attached to Deoxys, damage counters, Special Conditions, and effects on it are now on the new Pokémon.) If you do, put Deoxys on top of your deck. Shuffle your deck afterward. You can't use more than 1 Form Change Poké-Power each turn.","Poké-Power","","","","Crystal Laser","Colorless, Colorless","2","20","During your next turn, Deoxys's attacks do 40 more damage to the Defending Pokémon (before applying Weakness and Resistance).","","","","","","Psychic","×2"
"ex13-6","Deoxys δ","Pokémon","60","Lightning","",,"6","Masakazu Fukuda","Rare Holo",,"386",,"https://images.pokemontcg.io/ex13/6.png","https://images.pokemontcg.io/ex13/6_hires.png","Legal",,,"Colorless","1","Form Change","Once during your turn (before your attack), you may search your deck for another Deoxys and switch it with Deoxys. (Any cards attached to Deoxys, damage counters, Special Conditions, and effects on it are now on the new Pokémon.) If you do, put Deoxys on top of your deck. Shuffle your deck afterward. You can't use more than 1 Form Change Poké-Power each turn.","Poké-Power","","","","Teleportation Burst","Lightning","1","20","Switch Deoxys with 1 of your Benched Pokémon.","","","","","","Psychic","×2"
"ex13-7","Flygon δ","Pokémon","110","Grass, Metal","","Vibrava","7","Kagemaru Himeno","Rare Holo",,"330",,"https://images.pokemontcg.io/ex13/7.png","https://images.pokemontcg.io/ex13/7_hires.png","Legal",,,"Colorless, Colorless","2","Delta Supply","Once during your turn (before your attack), you may attach a basic Energy card or a δ Rainbow Energy card from your hand to 1 of your Pokémon that has δ on its card. This power can't be used if Flygon is affected by a Special Condition.","Poké-Power","","","","Swift","Grass, Metal, Colorless","3","60","This attack's damage isn't affected by Weakness, Resistance, Poké-Powers, Poké-Bodies, or any other effects on the Defending Pokémon.","","","","","","Colorless","×2"
"ex13-8","Gyarados δ","Pokémon","90","Lightning, Metal","","Magikarp","8","Hajime Kusajima","Rare Holo",,"130",,"https://images.pokemontcg.io/ex13/8.png","https://images.pokemontcg.io/ex13/8_hires.png","Legal",,,"Colorless, Colorless","2","Delta Reactor","As long as any Stadium card with Holon in its name is in play, each of your Pokémon that has δ on its card does 10 more damage to the Defending Pokémon (before applying Weakness and Resistance).","Poké-Body","","","","Hyper Beam","Metal, Colorless","2","20","Flip a coin. If heads, discard an Energy card attached to the Defending Pokémon.","Heavy Impact","Lightning, Metal, Colorless, Colorless, Colorless","5","80","","Lightning","×2"
"ex13-9","Kabutops δ","Pokémon","100","Lightning","","Kabuto","9","Masakazu Fukuda","Rare Holo",,"141",,"https://images.pokemontcg.io/ex13/9.png","https://images.pokemontcg.io/ex13/9_hires.png","Legal",,,"Colorless","1","","","","","","","Vital Drain","Lightning, Colorless","2","30","If the Defending Pokémon is Knocked Out by this attack, remove all Special Conditions and 7 damage counters from Kabutops (all if there are less than 7).","Thunderous Blow","Colorless, Colorless, Colorless","3","40+","Does 40 damage plus 10 more damage for each Lightning Energy attached to Kabutops.","Grass","×2"
"ex13-10","Kingdra δ","Pokémon","110","Fire, Metal","","Seadra","10","Masakazu Fukuda","Rare Holo",,"230",,"https://images.pokemontcg.io/ex13/10.png","https://images.pokemontcg.io/ex13/10_hires.png","Legal",,,"Colorless, Colorless","2","Dragon Curse","Once during your turn (before your attack), if Kingdra is your Active Pokémon, you may put 2 damage counters on 1 of your opponent's Pokémon with δ on its card. This power can't be used if Kingdra is affected by a Special Condition.","Poké-Power","","","","Extra Flame","Fire, Colorless","2","30+","If the Defending Pokémon is Pokémon-ex, this attack does 30 damage plus 30 more damage.","Heat Blast","Fire, Metal, Colorless, Colorless","4","80","","Lightning","×2"
"ex13-11","Latias δ","Pokémon","70","Fire","",,"11","Masakazu Fukuda","Rare Holo",,"380",,"https://images.pokemontcg.io/ex13/11.png","https://images.pokemontcg.io/ex13/11_hires.png","Legal",,,"Colorless","1","Dual Aura","As long as you have Latios or Latios ex in play, each player's Evolved Pokémon (excluding Pokémon-ex) can't use any Poké-Bodies.","Poké-Body","","","","Spearhead","Colorless","1","","Draw a card.","Dragon Claw","Fire, Colorless, Colorless","3","40","","Colorless","×2"
"ex13-12","Latios δ","Pokémon","80","Water","",,"12","Mitsuhiro Arita","Rare Holo",,"381",,"https://images.pokemontcg.io/ex13/12.png","https://images.pokemontcg.io/ex13/12_hires.png","Legal",,,"Colorless","1","Dual Aura","As long as you have Latias or Latias ex in play, each player's Evolved Pokémon (excluding Pokémon-ex) can't use any Poké-Bodies.","Poké-Body","","","","Dive","Colorless","1","10","","Aqua Blast","Water, Colorless, Colorless","3","50","Discard a Water Energy attached to Latios.","Colorless","×2"
"ex13-13","Omastar δ","Pokémon","110","Psychic","","Omanyte","13","Midori Harada","Rare Holo",,"139",,"https://images.pokemontcg.io/ex13/13.png","https://images.pokemontcg.io/ex13/13_hires.png","Legal",,,"Colorless, Colorless","2","","","","","","","Bind","Psychic, Colorless","2","30","Flip a coin. If heads, the Defending Pokémon is now Paralyzed.","Vengeful Spikes","Psychic, Colorless, Colorless","3","30+","Does 30 damage plus 10 more damage for each Omanyte, Omastar, Kabuto, Kabutops, and Kabutops ex in your discard pile. You can't add more than 60 damage in this way.","Lightning","×2"
"ex13-14","Pidgeot δ","Pokémon","100","Lightning, Metal","","Pidgeotto","14","Kouki Saitou","Rare Holo",,"18",,"https://images.pokemontcg.io/ex13/14.png","https://images.pokemontcg.io/ex13/14_hires.png","Legal",,,"Colorless","1","Delta Reserve","As long as Pidgeot has any Holon Energy cards attached to it, each player's Pokémon (excluding Pokémon that has δ on its card) can't use any Poké-Powers.","Poké-Body","","","","Rotating Claws","Lightning, Metal, Colorless","3","50","You may discard an Energy card attached to Pidgeot. If you do, search your discard pile for an Energy card (excluding the one you discarded) and attach it to Pidgeot.","","","","","","Lightning","×2"
"ex13-15","Raichu δ","Pokémon","70","Metal","","Pikachu","15","Masakazu Fukuda","Rare Holo",,"26",,"https://images.pokemontcg.io/ex13/15.png","https://images.pokemontcg.io/ex13/15_hires.png","Legal",,,"",,"","","","","","","Zzzap","Colorless","1","","Does 20 damage to each Pokémon that has any Poké-Powers or Poké-Bodies (both yours and your opponent's). Don't apply Weakness or Resistance.","Metallic Thunder","Metal, Metal, Colorless","3","50","You may discard 2 Metal Energy attached to Raichu. If you do, this attack's base damage is 90 instead of 50.","Fighting","×2"
"ex13-16","Rayquaza δ","Pokémon","80","Water, Metal","",,"16","Mitsuhiro Arita","Rare Holo",,"384",,"https://images.pokemontcg.io/ex13/16.png","https://images.pokemontcg.io/ex13/16_hires.png","Legal",,,"Colorless, Colorless","2","Hydro Barrier","As long as Rayquaza has any Holon Energy cards attached to it, each of your Water Pokémon has no Weakness.","Poké-Body","","","","Delta Search","Colorless","1","","Search your deck for a Holon Energy card and attach it to Rayquaza. Shuffle your deck afterward.","Ozone Flare","Water, Metal, Colorless, Colorless","4","60","","Colorless","×2"
"ex13-17","Vileplume δ","Pokémon","90","Psychic, Metal","","Gloom","17","Mitsuhiro Arita","Rare Holo",,"45",,"https://images.pokemontcg.io/ex13/17.png","https://images.pokemontcg.io/ex13/17_hires.png","Legal",,,"Colorless","1","Poison Pollen","Once during your turn (before your attack), you may flip a coin. If heads, choose 1 of the Defending Pokémon. That Pokémon is now Poisoned. This power can't be used if Vileplume is affected by a Special Condition.","Poké-Power","","","","Poltergeist","Psychic, Metal","2","30+","Look at your opponent's hand. This attack does 30 damage plus 10 more damage for each Trainer card in your opponent's hand.","","","","","","Psychic","×2"
"ex13-18","Absol","Pokémon","70","Darkness","",,"18","Masakazu Fukuda","Rare",,"359",,"https://images.pokemontcg.io/ex13/18.png","https://images.pokemontcg.io/ex13/18_hires.png","Legal",,,"Colorless","1","","","","","","","Foresight","Colorless","1","","Look at the top 5 cards of either player's deck and put them back on top of that player's deck in any order.","Overrun","Darkness, Colorless","2","10","Choose 1 of your opponent's Benched Pokémon. This attack does 20 damage to that Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)","Fighting","×2"
"ex13-19","Bellossom δ","Pokémon","100","Water","","Gloom","19","Kagemaru Himeno","Rare",,"182",,"https://images.pokemontcg.io/ex13/19.png","https://images.pokemontcg.io/ex13/19_hires.png","Legal",,,"Colorless","1","Fellowship","Bellossom can use the attacks of all Oddish, Gloom, Vileplume, Vileplume ex, or other Bellossom you have in play as its own. (You still need the necessary Energy to use each attack.)","Poké-Body","","","","Aqua Flower","Water, Colorless","2","40","During your opponent's next turn, Bellossom has no Weakness.","","","","","","Fire","×2"
"ex13-20","Blaziken","Pokémon","100","Fire","","Combusken","20","Hiromichi Sugiyama","Rare",,"257",,"https://images.pokemontcg.io/ex13/20.png","https://images.pokemontcg.io/ex13/20_hires.png","Legal",,,"Colorless, Colorless","2","","","","","","","Combustion","Fire","1","30","","Blaze Kick","Fire, Fire, Colorless","3","40+","Flip a coin. If heads, this attack does 40 damage plus 20 more damage. If tails, the Defending Pokémon is now Burned.","Water","×2"
"ex13-21","Latias δ","Pokémon","70","Fire","",,"21","Mitsuhiro Arita","Rare",,"380",,"https://images.pokemontcg.io/ex13/21.png","https://images.pokemontcg.io/ex13/21_hires.png","Legal",,,"Colorless","1","","","","","","","Combustion","Fire, Colorless","2","20","","Super Singe","Fire, Fire, Colorless","3","40","Flip a coin. If heads, the Defending Pokémon is now Burned.","Colorless","×2"
"ex13-22","Latios δ","Pokémon","80","Water","",,"22","Masakazu Fukuda","Rare",,"381",,"https://images.pokemontcg.io/ex13/22.png","https://images.pokemontcg.io/ex13/22_hires.png","Legal",,,"Colorless, Colorless","2","","","","","","","Aqua Wave","Colorless, Colorless","2","10+","Flip a coin. If heads, this attack does 10 damage plus 20 more damage.","Dragonbreath","Water, Water, Colorless","3","50","Flip a coin. If tails, this attack does nothing. If heads, the Defending Pokémon is now Paralyzed.","Colorless","×2"
"ex13-23","Mawile","Pokémon","60","Metal","",,"23","Mitsuhiro Arita","Rare",,"303",,"https://images.pokemontcg.io/ex13/23.png","https://images.pokemontcg.io/ex13/23_hires.png","Legal",,,"Colorless","1","","","","","","","Feint Attack","Colorless","1","","Choose 1 of your opponent's Pokémon. This attack does 10 damage to that Pokémon. This attack's damage isn't affected by Weakness, Resistance, Poké-Powers, Poké-Bodies, or any other effects on that Pokémon.","Surprise","Metal, Colorless","2","20","Choose 1 card from your opponent's hand without looking. Look at the card you chose, then have your opponent shuffle that card into his or her deck.","Fire","×2"
"ex13-24","Mewtwo δ","Pokémon","70","Lightning","",,"24","Ryo Ueda","Rare",,"150",,"https://images.pokemontcg.io/ex13/24.png","https://images.pokemontcg.io/ex13/24_hires.png","Legal",,,"Colorless","1","","","","","","","Psychic Erase","Colorless","1","","Choose 1 of the Defending Pokémon's attacks. That Pokémon can't use that attack during your opponent's next turn.","Swift","Lightning, Lightning, Colorless","3","40","This attack's damage isn't affected by Weakness, Resistance, Poké-Powers, Poké-Bodies, or any other effects on that Pokémon.","Psychic","×2"
"ex13-25","Nosepass","Pokémon","60","Fighting","Probopass",,"25","Kagemaru Himeno","Rare",,"299",,"https://images.pokemontcg.io/ex13/25.png","https://images.pokemontcg.io/ex13/25_hires.png","Legal",,,"Colorless","1","","","","","","","Supersonic","Colorless","1","10","Flip a coin. If heads, the Defending Pokémon is now Confused.","Rock Slide","Fighting, Colorless","2","20","Does 10 damage to 2 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)","Water","×2"
"ex13-26","Rayquaza δ","Pokémon","80","Fire","",,"26","Ryo Ueda","Rare",,"384",,"https://images.pokemontcg.io/ex13/26.png","https://images.pokemontcg.io/ex13/26_hires.png","Legal",,,"Colorless, Colorless","2","","","","","","","Outrage","Fire, Colorless","2","10+","Flip a coin. If tails, this attack does nothing. If heads, this attack does 10 damage plus 10 more damage for each damage counter on Rayquaza.","Flamethrower","Fire, Colorless, Colorless","3","40","Discard a Fire Energy attached to Rayquaza.","Colorless","×2"
"ex13-27","Regice","Pokémon","80","Water","",,"27","Ken Sugimori","Rare",,"378",,"https://images.pokemontcg.io/ex13/27.png","https://images.pokemontcg.io/ex13/27_hires.png","Legal",,,"Colorless, Colorless","2","Clear Body","Regice can't be affected by any Special Conditions.","Poké-Body","","","","Icy Wind","Water, Water, Colorless","3","40","Flip a coin. If heads, the Defending Pokémon is now Asleep.","","","","","","Metal","×2"
