"ID","Name","Supertype","Subtypes","HP","Types","RetreatCost","Rarity","Ability","Attacks"
"ex15-1","Ampharos δ","Pokemon","Stage 2","120","Colorless","2","Rare Holo","Holon Veil: Effect=[Treat each Basic Pokemon and Evolution card in your deck, in your discard pile, in your hand, and in play as a Pokemon that has δ on its card.]","Delta Circle: Cost=[Colorless, Colorless, Colorless], EnergyCost=[3], Damage=20+, Text=Does 20 damage plus 10 more damage for each Pokemon you have in play that has δ on its card."
"ex15-2","Feraligatr δ","Pokemon","Stage 2","120","Lightning","2","Rare Holo","Battle Aura: Effect=[Each of your Pokemon that has δ on its card does 10 more damage to the Defending Pokemon (before applying Weakness and Resistance).]","Drag Off: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=20, Text=Before doing damage, you may choose 1 of your opponent's Benched Pokemon and switch it with 1 of the Defending Pokemon. Your opponent chooses the Defending Pokemon to switch. | Sharp Fang: Cost=[Lightning, Lightning, Colorless], EnergyCost=[3], Damage=60, Text="
"ex15-3","Heracross δ","Pokemon","Basic","70","Fire","1","Rare Holo","Shining Horn: Effect=[As long as Heracross is the only Pokemon you have in play, your opponent's Basic Pokemon can't attack.]","Dig Deep: Cost=[Colorless], EnergyCost=[1], Damage=, Text=Search your discard pile for an Energy card, show it to your opponent, and put it into your hand. | Extra Claws: Cost=[Fire, Colorless], EnergyCost=[2], Damage=30+, Text=If the Defending Pokemon is Pokemon-ex, this attack does 30 damage plus 20 more damage."
"ex15-4","Meganium δ","Pokemon","Stage 2","110","Fighting","2","Rare Holo","Evolutionary Call: Effect=[Once during your turn, when you play Meganium from your hand to evolve 1 of your Pokemon, you may search your deck for up to 3 in any combination of Basic Pokemon or Evolution cards. Show them to your opponent and put them into your hand. Shuffle your deck afterward.]","Delta Reduction: Cost=[Fighting, Colorless], EnergyCost=[2], Damage=40, Text=During your opponent's next turn, any damage done by attacks from the Defending Pokemon is reduced by 30 (before applying Weakness and Resistance). | Mega Impact: Cost=[Fighting, Colorless, Colorless], EnergyCost=[3], Damage=60, Text="
"ex15-5","Milotic δ","Pokemon","Stage 1","90","Fire","2","Rare Holo","Sharing: Effect=[Once during your turn (before your attack), you may look at your opponent's hand. You may use the effect of a Supporter card you find there as the effect of this power. (The Supporter card remains in your opponent's hand.) You can't use more than 1 Sharing Poke-Power each turn. This power can't be used if Milotic is affected by a Special Condition.]","Flare: Cost=[Fire, Fire, Colorless], EnergyCost=[3], Damage=60, Text="
"ex15-6","Nidoking δ","Pokemon","Stage 2","120","Darkness","3","Rare Holo","","Linear Attack: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=, Text=Choose 1 of your opponent's Pokemon. This attack does 30 damage to that Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.) | Dark Horn: Cost=[Darkness, Colorless, Colorless], EnergyCost=[3], Damage=60, Text=You may discard a Basic Pokemon or Evolution card from your hand. If you do, choose 1 of your opponent's Benched Pokemon and do 20 damage to that Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)"
"ex15-7","Nidoqueen δ","Pokemon","Stage 2","100","Metal","2","Rare Holo","Invitation: Effect=[Once during your turn (before your attack), you may search your deck for a Basic Pokemon or Evolution card, show it to your opponent, and put it into your hand. Shuffle your deck afterward. This power can't be used if Nidoqueen is affected by a Special Condition.]","Vengeance: Cost=[Colorless, Colorless, Colorless], EnergyCost=[3], Damage=30+, Text=Does 30 damage plus 10 more damage for each Basic Pokemon and each Evolution card in your discard pile. You can't add more than 60 damage in this way."
"ex15-8","Ninetales δ","Pokemon","Stage 1","70","Psychic","","Rare Holo","Volunteer: Effect=[Once during your turn (before your attack), you may remove 4 damage counters from Ninetales and discard Ninetales from Vulpix. If you do, search your deck for Ninetales or Ninetales ex and put it onto Vulpix (this counts as evolving Vulpix). Shuffle your deck afterward.]","Trick Tail: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=30, Text=Search your discard pile for an Energy card and attach it to 1 of your Pokemon."
"ex15-9","Pinsir δ","Pokemon","Basic","60","Fighting","1","Rare Holo","Armor: Effect=[If your opponent has 5 of more cards in his or her hand, any damage done to Pinsir by attacks is reduced by 30 (after applying Weakness and Resistance).]","Delta Call: Cost=[Colorless], EnergyCost=[1], Damage=, Text=Search your deck for a Pokemon that has δ on its card, show it to your opponent, and put it into your hand. Shuffle your deck afterward. | Guillotine: Cost=[Fighting, Colorless, Colorless], EnergyCost=[3], Damage=40, Text="
"ex15-10","Snorlax δ","Pokemon","Basic","80","Grass","3","Rare Holo","Bedhead: Effect=[As long as Snorlax remains Asleep between turns, put 2 damage counters on 1 of the Defending Pokemon.] | Dozing: Effect=[Once during your turn (before your attack), if Snorlax is your Active Pokemon, you may remove 2 damage counters from Snorlax and Snorlax is now Asleep. This power can't be used if Snorlax is affected by a Special Condition.]",""
"ex15-11","Togetic δ","Pokemon","Stage 1","60","Water","","Rare Holo","","Delta Copy: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=, Text=Choose an attack on 1 of your opponent's Pokemon in play that has δ on its card. Delta Copy copies that attack except for its Energy cost. (You must still do anything else required for that attack.) Togetic performs that attack. | Wave Splash: Cost=[Water, Colorless], EnergyCost=[2], Damage=30, Text="
"ex15-12","Typhlosion δ","Pokemon","Stage 2","100","Psychic","1","Rare Holo","Shady Move: Effect=[Once during your turn (before your attack), if Typhlosion is your Active Pokemon, you may move 1 damage counter from either player's Pokemon to another Pokemon (yours or your opponent's). This power can't be used if Typhlosion is affected by a Special Condition.]","Burning Ball: Cost=[Psychic, Colorless, Colorless], EnergyCost=[3], Damage=60, Text=If Typhlosion has at least 2 Fire Energy attached to it, the Defending Pokemon is now Burned."
"ex15-13","Arbok δ","Pokemon","Stage 1","80","Fire","1","Rare","","Burning Venom: Cost=[Colorless], EnergyCost=[1], Damage=, Text=The Defending Pokemon is now Burned and Poisoned. | Strangle: Cost=[Fire, Fire, Colorless], EnergyCost=[3], Damage=50+, Text=If the Defending Pokemon has δ on its card, this attack does 50 damage plus 30 more damage."
"ex15-14","Cloyster δ","Pokemon","Stage 1","70","Fighting","1","Rare","Solid Shell: Effect=[Prevent all effects of attacks, including damage, done by your opponent's Pokemon to each of your Benched Pokemon that has δ on its card.]","Grind: Cost=[Fighting], EnergyCost=[1], Damage=10+, Text=Does 10 damage plus 10 more damage for each Energy attached to Cloyster."
"ex15-15","Dewgong δ","Pokemon","Stage 1","80","Colorless","2","Rare","Delta Protection: Effect=[Any damage done to Dewgong by attacks from your opponent's Pokemon that has δ on its card is reduced by 40 (after applying Weakness and Resistance).]","Ice Beam: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=20, Text=Flip a coin. If heads, the Defending Pokemon is now Paralyzed. | Surge: Cost=[Colorless, Colorless, Colorless], EnergyCost=[3], Damage=40+, Text=If Dewgong has at least 2 Water Energy attached to it, this attack does 40 damage plus 20 more damage."
"ex15-16","Gligar δ","Pokemon","Basic","60","Lightning","1","Rare","","Sting Turn: Cost=[Colorless], EnergyCost=[1], Damage=, Text=Flip a coin. If heads, the Defending Pokemon is now Paralyzed and switch Gligar with 1 of your Benched Pokemon. | Tail Sting: Cost=[Colorless], EnergyCost=[1], Damage=10+, Text=If the Defending Pokemon is Pokemon-ex, this attack does 10 damage plus 10 more damage and the Defending Pokemon is now Poisoned."
"ex15-17","Jynx δ","Pokemon","Basic","60","Fire","1","Rare","Stages of Evolution: Effect=[As long as Jynx is an Evolved Pokemon, you pay Colorless less to retreat your Fire and Psychic Pokemon.]","Fire Punch: Cost=[Fire, Colorless], EnergyCost=[2], Damage=30, Text="
"ex15-18","Ledian δ","Pokemon","Stage 1","70","Metal","","Rare","Prowl: Effect=[Once during your turn, when you play Ledian from your hand to evolve 1 of your Pokemon, you may search your deck for any 1 card and put it into your hand. Shuffle your deck afterward.]","Metal Star: Cost=[Metal, Colorless], EnergyCost=[2], Damage=30, Text=If Ledian has a Pokemon Tool card attached to it, draw 3 cards."
"ex15-19","Lickitung δ","Pokemon","Basic","60","Psychic","1","Rare","","Lap Up: Cost=[Colorless], EnergyCost=[1], Damage=, Text=Draw 2 cards. | Delta Mind: Cost=[Psychic], EnergyCost=[1], Damage=, Text=Put 1 damage counter on 1 of your opponent's Pokemon. If that Pokemon has δ on its card, put 3 damage counters instead."
"ex15-20","Mantine δ","Pokemon","Basic","50","Lightning","1","Rare","Power Circulation: Effect=[Once during your turn (before your attack), you may search your discard pile for a basic Energy card, show it to your opponent, and put it on top of your deck. If you do, put 1 damage counter on Mantine. This power can't be used if Mantine is affected by a Special Condition.]","Spiral Drain: Cost=[Lightning], EnergyCost=[1], Damage=10, Text=Remove 1 damage counter from Mantine."
"ex15-21","Quagsire δ","Pokemon","Stage 1","80","Grass","1","Rare","Dig Up: Effect=[Once during your turn, when you play Quagsire from your hand to evolve 1 of your Pokemon, you may search your discard pile for up to 2 Pokemon Tool cards, show them to your opponent, and put them into your hand.]","Pump Out: Cost=[Grass, Colorless, Colorless], EnergyCost=[3], Damage=50+, Text=If Quagsire has a Pokemon Tool card attached to it, this attack does 50 damage plus 20 more damage."
