"ID","Name","Supertype","Subtypes","HP","Types","RetreatCost","Rarity","Attacks"
"ex2-1","Armaldo","Pokemon","Stage 2","120","Fighting","3","Rare Holo","Blade Arms: Cost=[], Damage=60, Text="
"ex2-2","Cacturne","Pokemon","Stage 1","80","Grass","1","Rare Holo","Feint Attack: Cost=[], Damage=, Text=Choose 1 of your opponent's Pokemon. This attack does 40 damage to that Pokemon. This attack's damage isn't affected by Weakness, Resistance, Poke-Powers, Poke-Bodies or any other effects on that Pokemon."
"ex2-3","Cradily","Pokemon","Stage 2","100","Grass","2","Rare Holo","Lure Poison: Cost=[], Damage=, Text=Before using this effect, you may switch the Defending Pokemon with 1 of your opponent's Benched Pokemon, if any. The Defending Pokemon is now Poisoned. | Spiral Drain: Cost=[], Damage=50, Text=Remove 2 damage counters from Cradily (remove 1 if there is only 1)."
"ex2-4","Dusclops","Pokemon","Stage 1","70","Psychic","1","Rare Holo","Judgement: Cost=[], Damage=, Text=Flip 2 coins. If both of them are heads, the Defending Pokemon is Knocked Out. | Random Curse: Cost=[], Damage=, Text=Put a total of 5 damage counters on all Defending Pokemon in any way you like."
"ex2-5","Flareon","Pokemon","Stage 1","80","Fire","2","Rare Holo","Super Singe: Cost=[], Damage=20, Text=Flip a coin. If heads, the Defending Pokemon is now Burned. | Flamethrower: Cost=[], Damage=70, Text=Discard a Fire Energy card attached to Flareon."
"ex2-6","Jolteon","Pokemon","Stage 1","70","Lightning","1","Rare Holo","Double Kick: Cost=[], Damage=20×, Text=Flip 2 coins. This attack does 20 damage times the number of heads. | Lightning Strike: Cost=[], Damage=40, Text=You may discard all Lightning Energy cards attached to Jolteon. If you do, this attack's base damage is 70 instead of 40."
"ex2-7","Ludicolo","Pokemon","Stage 2","90","Water","2","Rare Holo","Hydro Punch: Cost=[], Damage=50+, Text=Does 50 damage plus 10 more damage for each Water Energy attached to Ludicolo but not used to pay for this attack's Energy cost. You can't add more than 20 damage in this way."
"ex2-8","Lunatone","Pokemon","Basic","60","Psychic","1","Rare Holo","Cosmic Draw: Cost=[], Damage=, Text=If your opponent has any Evolved Pokemon in play, draw 3 cards. | Lunar Blast: Cost=[], Damage=30, Text="
"ex2-9","Mawile","Pokemon","Basic","60","Metal","1","Rare Holo","Scam: Cost=[], Damage=, Text=Look at your opponent's hand. You may have your opponent shuffle a Supporter card you find there into his or her deck. If you do, your opponent draws a card. | Metal Hook: Cost=[], Damage=20, Text=Before doing damage, you may switch 1 of your opponent's Benched Pokemon with 1 of the Defending Pokemon. If you do, this attack does 20 damage to the new Defending Pokemon."
"ex2-10","Sableye","Pokemon","Basic","60","Darkness","1","Rare Holo","Supernatural: Cost=[], Damage=, Text=Look at your opponent's hand. You may use the effect of a Supporter card you find there as the effect of this attack. (The Supporter card remains in your opponent's hand.) | Dark Bind: Cost=[], Damage=20, Text=You may discard a Darkness Energy card attached to Sableye. If you do, the Defending Pokemon is now Paralyzed."
"ex2-11","Seviper","Pokemon","Basic","80","Grass","2","Rare Holo","Deadly Poison: Cost=[], Damage=10, Text=You may discard a Grass Energy card attached to Seviper. If you do, the Defending Pokemon is now Poisoned. | Extra Poison: Cost=[], Damage=20, Text=If the Defending Pokemon is Pokemon-ex, the Defending Pokemon is now Asleep and Poisoned."
"ex2-12","Shiftry","Pokemon","Stage 2","120","Grass","2","Rare Holo","Light Touch Throw: Cost=[], Damage=80-, Text=Does 80 damage minus 10 damage for each Energy attached to the Defending Pokemon."
"ex2-13","Solrock","Pokemon","Basic","70","Fighting","1","Rare Holo","Cosmic Draw: Cost=[], Damage=, Text=If your opponent has any Evolved Pokemon in play, draw 3 cards. | Solar Blast: Cost=[], Damage=40, Text="
"ex2-14","Zangoose","Pokemon","Basic","70","Colorless","1","Rare Holo","Target Slash: Cost=[], Damage=10+, Text=If the Defending Pokemon is Seviper, this attack does 10 damage plus 30 more damage. | Super Slash: Cost=[], Damage=30+, Text=If the Defending Pokemon is an Evolved Pokemon, this attack does 30 damage plus 30 more damage."
