"Attack2_Damage","Attack2_Name","Name","HP","Attack1_ConvertedEnergyCost","Attack1_Name","Attack1_Damage","Types","Rarity","Supertype","Attack2_Cost","Subtypes","RetreatCost","ID","Attack1_Cost","Attack2_ConvertedEnergyCost"
"50+","Link Needle","Beedrill","90","1","Poison Sting","20","Grass","Rare Holo","Pokemon","Grass, Colorless, Colorless","Stage 2","","ex6-1","Grass","3"
"50","Gust","Butterfree","100","2","Whirlwind","30","Grass","Rare Holo","Pokemon","Grass, Colorless, Colorless","Stage 2","","ex6-2","Colorless, Colorless","3"
"40","Aurora Beam","Dewgong","80","1","Cold Breath","10","Water","Rare Holo","Pokemon","Colorless, Colorless, Colorless","Stage 1","2","ex6-3","Water","3"
,,"Ditto","60","1","Energy Ball","10+","Colorless","Rare Holo","Pokemon",,"Basic","1","ex6-4","Colorless",
"40×","Big Eggsplosion","Exeggutor","80","1","Psychic Exchange","","Psychic","Rare Holo","Pokemon","Psychic, Colorless","Stage 1","2","ex6-5","Colorless","2"
"20","Headbutt","Kangaskhan","80","1","Fetch","","Colorless","Rare Holo","Pokemon","Colorless, Colorless","Basic","2","ex6-6","Colorless","2"
"30+","Vengeance","Marowak","80","2","Linear Attack","","Fighting","Rare Holo","Pokemon","Fighting, Colorless, Colorless","Stage 1","1","ex6-7","Fighting, Colorless","3"
"","Bound Crush","Nidoking","120","2","Earth Poison","40","Fighting","Rare Holo","Pokemon","Fighting, Fighting, Colorless, Colorless","Stage 2","3","ex6-8","Fighting, Colorless","4"
"40+","Power Lariat","Nidoqueen","120","1","Toxic","","Fighting","Rare Holo","Pokemon","Fighting, Colorless, Colorless","Stage 2","2","ex6-9","Grass","3"
,,"Pidgeot","100","2","Clutch","40","Colorless","Rare Holo","Pokemon",,"Stage 2","","ex6-10","Colorless, Colorless",
"50+","Mega Throw","Poliwrath","120","2","Split Spiral Punch","20","Water","Rare Holo","Pokemon","Water, Colorless, Colorless","Stage 2","2","ex6-11","Colorless, Colorless","3"
"50","Thunder Reflection","Raichu","80","1","Recharge","","Lightning","Rare Holo","Pokemon","Lightning, Lightning, Colorless","Stage 1","1","ex6-12","Colorless","3"
"40","Rear Kick","Rapidash","80","2","Searing Flame","10","Fire","Rare Holo","Pokemon","Fire, Colorless, Colorless","Stage 1","1","ex6-13","Fire, Colorless","3"
,,"Slowbro","60","2","Psyshock","30","Psychic","Rare Holo","Pokemon",,"Stage 1","1","ex6-14","Psychic, Colorless",
"30+","Toss and Turn","Snorlax","90","1","Collapse","10","Colorless","Rare Holo","Pokemon","Colorless, Colorless, Colorless","Basic","3","ex6-15","Colorless","3"
"20+","Rampage","Tauros","70","1","Knock Over","10","Colorless","Rare Holo","Pokemon","Colorless, Colorless, Colorless","Basic","1","ex6-16","Colorless","3"
,,"Victreebel","110","3","Acid","50","Grass","Rare Holo","Pokemon",,"Stage 2","2","ex6-17","Grass, Colorless, Colorless",
"70","Heat Tackle","Arcanine","90","1","Flare","20","Fire","Rare","Pokemon","Fire, Colorless, Colorless, Colorless","Stage 1","2","ex6-18","Fire","4"
"","Egg Surprise","Chansey","90","1","Sing","","Colorless","Rare","Pokemon","Colorless, Colorless, Colorless","Basic","2","ex6-19","Colorless","3"
"50","Shell Attack","Cloyster","70","2","Double Bubble","10×","Water","Rare","Pokemon","Water, Colorless, Colorless","Stage 1","1","ex6-20","Colorless, Colorless","3"
,,"Dodrio","70","2","Tri Attack","20×","Colorless","Rare","Pokemon",,"Stage 1","1","ex6-21","Colorless, Colorless",
"50","Rumble","Dugtrio","80","2","Sonicboom","30","Fighting","Rare","Pokemon","Fighting, Colorless, Colorless","Stage 1","1","ex6-22","Fighting, Colorless","3"
"10+","Cross-Cut","Farfetch'd","70","1","Hoard","","Colorless","Rare","Pokemon","Colorless","Basic","1","ex6-23","Colorless","1"
"50","Drill Peck","Fearow","80","2","Shot Air","10","Colorless","Rare","Pokemon","Colorless, Colorless, Colorless","Stage 1","1","ex6-24","Colorless, Colorless","3"
,,"Hypno","80","2","Hypnotic Ray","20","Psychic","Rare","Pokemon",,"Stage 1","1","ex6-25","Psychic, Colorless",
"30+","Hyper Pump","Kingler","80","1","Salt Water","","Water","Rare","Pokemon","Water, Colorless","Stage 1","2","ex6-26","Colorless","2"
"","Speed Shot","Magneton","80","2","Thundershock","20","Lightning","Rare","Pokemon","Colorless, Colorless, Colorless","Stage 1","1","ex6-27","Lightning, Colorless","3"
"40","Low Kick","Primeape","70","2","Toss","30×","Fighting","Rare","Pokemon","Fighting, Colorless","Stage 1","","ex6-28","Colorless, Colorless","2"
,,"Scyther","60","2","Fury Cutter","10+","Grass","Rare","Pokemon",,"Basic","1","ex6-29","Grass, Colorless",
"","Wiggle","Tangela","60","1","Vine Tease","","Grass","Rare","Pokemon","Grass","Basic","1","ex6-30","Colorless","1"
"40+","Damage Burn","Charmeleon","70","2","Flare","30","Fire","Uncommon","Pokemon","Fire, Colorless, Colorless","Stage 1","1","ex6-31","Fire, Colorless","3"
"10+","Ambush","Drowzee","50","1","Hypnosis","","Psychic","Uncommon","Pokemon","Psychic","Basic","1","ex6-32","Colorless","1"
"20×","Double Spin","Exeggcute","50","1","Psybeam","10","Psychic","Uncommon","Pokemon","Colorless, Colorless","Basic","1","ex6-33","Psychic","2"
,,"Haunter","70","2","Confuse Ray","20","Psychic","Uncommon","Pokemon",,"Stage 1","1","ex6-34","Psychic, Colorless",
"50","Razor Leaf","Ivysaur","80","1","Poison Seed","","Grass","Uncommon","Pokemon","Grass, Grass, Colorless","Stage 1","1","ex6-35","Colorless","3"
,,"Kakuna","70","1","Headbutt","10","Grass","Uncommon","Pokemon",,"Stage 1","2","ex6-36","Colorless",
"","Tongue Whip","Lickitung","80","1","Lick","10","Colorless","Uncommon","Pokemon","Colorless, Colorless","Basic","2","ex6-37","Colorless","2"
"30","Light Punch","Mankey","50","1","Mischief","","Fighting","Uncommon","Pokemon","Fighting, Colorless","Basic","1","ex6-38","Colorless","2"
,,"Metapod","80","2","Sharpen","20","Grass","Uncommon","Pokemon",,"Stage 1","2","ex6-39","Colorless, Colorless",
"","Fast Evolution","Nidorina","80","1","Scratch","20","Grass","Uncommon","Pokemon","Colorless, Colorless","Stage 1","1","ex6-40","Colorless","2"
"30+","Rend","Nidorino","70","1","Double Stab","20×","Grass","Uncommon","Pokemon","Colorless, Colorless, Colorless","Stage 1","1","ex6-41","Colorless","3"
"","Tunneling","Onix","80","1","Rock Throw","10","Fighting","Uncommon","Pokemon","Fighting, Colorless","Basic","3","ex6-42","Fighting","2"
"20","Toxic Spore","Parasect","70","1","Energy Powder","","Grass","Uncommon","Pokemon","Grass, Colorless","Stage 1","1","ex6-43","Grass","2"
"30","Shining Claws","Persian","80","1","Poison Claws","","Colorless","Uncommon","Pokemon","Colorless, Colorless","Stage 1","1","ex6-44","Colorless","2"
"30","Cutting Wind","Pidgeotto","70","1","Clutch","10","Colorless","Uncommon","Pokemon","Colorless, Colorless","Stage 1","","ex6-45","Colorless","2"
"20","Bubble","Poliwhirl","80","1","Energy Stream","10","Water","Uncommon","Pokemon","Water, Colorless","Stage 1","1","ex6-46","Colorless","2"
"10","Confuse Ray","Porygon","50","1","Data Retrieval","","Colorless","Uncommon","Pokemon","Colorless, Colorless","Basic","1","ex6-47","Colorless","2"
"10+","Quick Attack","Raticate","70","1","Pickup","","Colorless","Uncommon","Pokemon","Colorless","Stage 1","","ex6-48","Colorless","1"
"60","Razor Wind","Venomoth","70","1","Sleep Poison","","Grass","Uncommon","Pokemon","Colorless, Colorless","Stage 1","","ex6-49","Grass","2"
"40","Smash Turn","Wartortle","80","1","Water Gun","20+","Water","Uncommon","Pokemon","Water, Colorless, Colorless","Stage 1","2","ex6-50","Water","3"
"10","Corrosive Acid","Weepinbell","70","1","Razor Leaf","20","Grass","Uncommon","Pokemon","Colorless, Colorless","Stage 1","1","ex6-51","Grass","2"
,,"Wigglytuff","80","2","Expand","30","Colorless","Uncommon","Pokemon",,"Stage 1","1","ex6-52","Colorless, Colorless",
,,"Bellsprout","50","1","Vine Whip","10","Grass","Common","Pokemon",,"Basic","1","ex6-53","Grass",
"20","Razor Leaf","Bulbasaur","50","1","Sleep Poison","","Grass","Common","Pokemon","Colorless, Colorless","Basic","1","ex6-54","Colorless","2"
"20+","Gouge","Bulbasaur","50","1","Ram","10","Grass","Common","Pokemon","Grass, Colorless","Basic","1","ex6-55","Colorless","2"
"10","String Shot","Caterpie","50","1","Signs of Evolution","","Grass","Common","Pokemon","Grass","Basic","1","ex6-56","Colorless","1"
,,"Charmander","50","1","Singe","","Fire","Common","Pokemon",,"Basic","1","ex6-57","Fire",
"20","Slash","Charmander","50","1","Headbutt","10","Fire","Common","Pokemon","Colorless, Colorless","Basic","1","ex6-58","Colorless","2"
"20","Moon Kick","Clefairy","50","1","Gesture","","Colorless","Common","Pokemon","Colorless, Colorless","Basic","1","ex6-59","Colorless","2"
"","Linear Attack","Cubone","50","1","Beat","10","Fighting","Common","Pokemon","Fighting, Colorless","Basic","1","ex6-60","Colorless","2"
,,"Diglett","50","1","Dig Under","","Fighting","Common","Pokemon",,"Basic","1","ex6-61","Colorless",
"10+","Random Peck","Doduo","40","1","Run Around","","Colorless","Common","Pokemon","Colorless, Colorless","Basic","1","ex6-62","Colorless","2"
,,"Gastly","50","1","Slow Trip Gas","","Psychic","Common","Pokemon",,"Basic","1","ex6-63","Colorless",
"40","Flame Tail","Growlithe","60","1","Bite","10","Fire","Common","Pokemon","Fire, Colorless, Colorless","Basic","2","ex6-64","Colorless","3"
"10+","Quick Blow","Jigglypuff","50","1","Sleep Inducer","","Colorless","Common","Pokemon","Colorless, Colorless","Basic","1","ex6-65","Colorless","2"
"","Nap","Krabby","50","1","Irongrip","10","Water","Common","Pokemon","Water","Basic","2","ex6-66","Colorless","1"
"","Ascension","Magikarp","30","1","Surprise Attack","10","Water","Common","Pokemon","Water, Colorless","Basic","1","ex6-67","Colorless","2"
"20","Speed Ball","Magnemite","50","1","Supersonic","","Lightning","Common","Pokemon","Lightning, Colorless","Basic","1","ex6-68","Colorless","2"
"20","Cat Kick","Meowth","50","1","Collect","","Colorless","Common","Pokemon","Colorless, Colorless","Basic","1","ex6-69","Colorless","2"
"20","Bite","Nidoran ♀","50","1","Look for Friends","","Grass","Common","Pokemon","Colorless, Colorless","Basic","1","ex6-70","Colorless","2"
"10×","Double Stab","Nidoran ♂","50","1","Call for Family","","Grass","Common","Pokemon","Colorless","Basic","1","ex6-71","Colorless","1"
"10","Toxic Spore","Paras","50","1","Call for Family","","Grass","Common","Pokemon","Grass","Basic","1","ex6-72","Colorless","1"
"20","Gust","Pidgey","50","1","Corner","","Colorless","Common","Pokemon","Colorless, Colorless","Basic","1","ex6-73","Colorless","2"
,,"Pikachu","50","1","Plasma","10","Lightning","Common","Pokemon",,"Basic","1","ex6-74","Colorless",
"20","Tail Whap","Poliwag","50","1","Spiral Attack","","Water","Common","Pokemon","Colorless, Colorless","Basic","1","ex6-75","Colorless","2"
,,"Ponyta","50","2","Stomp","20+","Fire","Common","Pokemon",,"Basic","1","ex6-76","Colorless, Colorless",
"10","Scratch","Rattata","40","1","Collect","","Colorless","Common","Pokemon","Colorless","Basic","1","ex6-77","Colorless","1"
,,"Seel","50","1","Horn Hazard","30","Water","Common","Pokemon",,"Basic","1","ex6-78","Water",
"10","Wave Splash","Shellder","50","1","Minimize","","Water","Common","Pokemon","Water","Basic","1","ex6-79","Colorless","1"
,,"Slowpoke","50","1","Confusion Wave","","Psychic","Common","Pokemon",,"Basic","1","ex6-80","Colorless",
"20","Wing Attack","Spearow","50","1","Claw","10","Colorless","Common","Pokemon","Colorless, Colorless","Basic","1","ex6-81","Colorless","2"
,,"Squirtle","50","1","Sleepy Ball","10","Water","Common","Pokemon",,"Basic","1","ex6-82","Water",
"20","Smash Turn","Squirtle","50","1","Bubble","","Water","Common","Pokemon","Water, Colorless","Basic","1","ex6-83","Colorless","2"
"10","Bite","Venonat","50","1","Psycho Waves","","Grass","Common","Pokemon","Grass","Basic","1","ex6-84","Colorless","1"
,,"Voltorb","50","2","Thundershock","20","Lightning","Common","Pokemon",,"Basic","1","ex6-85","Lightning, Colorless",
"","Poison Spurt","Weedle","50","1","Call for Family","","Grass","Common","Pokemon","Grass","Basic","1","ex6-86","Colorless","1"
,,"Bill's Maintenance",,,,,"","Uncommon","Trainer",,"Supporter","","ex6-87",,
,,"Celio's Network",,,,,"","Uncommon","Trainer",,"Supporter","","ex6-88",,
,,"Energy Removal 2",,,,,"","Uncommon","Trainer",,"Item","","ex6-89",,
,,"Energy Switch",,,,,"","Uncommon","Trainer",,"Item","","ex6-90",,
,,"EXP.ALL",,,,,"","Uncommon","Trainer",,"Pokemon Tool","","ex6-91",,
