"ID","Name","Supertype","Subtypes","HP","Types","RetreatCost","Rarity","Ability","Attacks"
"g1-3","Caterpie","Pokemon","Basic","40","Grass","1","Common","Adaptive Evolution: Effect=[This Pokemon can evolve during your first turn or the turn you play it.]","Bug Bite: Cost=[Grass], EnergyCost=[1], Damage=10, Text="
"g1-4","Metapod","Pokemon","Stage 1","70","Grass","2","Uncommon","Adaptive Evolution: Effect=[This Pokemon can evolve during your first turn or the turn you play it.]","Harden: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=, Text=During your opponent's next turn, if this Pokemon would be damaged by an attack, prevent that attack's damage done to this Pokemon if that damage is 60 or less."
"g1-5","Butterfree","Pokemon","Stage 2","130","Grass","1","Rare Holo","","Quiver Dance: Cost=[Grass], EnergyCost=[1], Damage=, Text=Search your deck for a basic Energy card and attach it to this Pokemon. Shuffle your deck afterward. If you attached Energy in this way, heal 40 damage from this Pokemon. | Gust: Cost=[Grass, Colorless, Colorless], EnergyCost=[3], Damage=70, Text="
"g1-6","Paras","Pokemon","Basic","60","Grass","1","Common","","Blot: Cost=[Colorless], EnergyCost=[1], Damage=10, Text=Heal 10 damage from this Pokemon."
"g1-7","Parasect","Pokemon","Stage 1","100","Grass","2","Rare","","Colorful Spores: Cost=[Colorless], EnergyCost=[1], Damage=, Text=Choose 3 of your Pokemon. For each of those Pokemon, search your deck for a different type of basic Energy card and attach it to that Pokemon. Shuffle your deck afterward. | X-Scissor: Cost=[Grass, Colorless], EnergyCost=[2], Damage=30+, Text=Flip a coin. If heads, this attack does 30 more damage."
"g1-8","Tangela","Pokemon","Basic","80","Grass","2","Common","","Absorb: Cost=[Grass, Colorless], EnergyCost=[2], Damage=20, Text=Heal 20 damage from this Pokemon. | Vine Whip: Cost=[Grass, Grass, Colorless], EnergyCost=[3], Damage=30, Text="
"g1-9","Pinsir","Pokemon","Basic","100","Grass","2","Rare","","Overhead Throw: Cost=[Grass], EnergyCost=[1], Damage=30, Text=This attack does 20 damage to 1 of your Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.) | Heavy Suplex: Cost=[Grass, Colorless, Colorless], EnergyCost=[3], Damage=40+, Text=This attack does 20 more damage for each Colorless in your opponent's Active Pokemon's Retreat Cost."
"g1-14","Ponyta","Pokemon","Basic","60","Fire","1","Common","","Agility: Cost=[Fire], EnergyCost=[1], Damage=10, Text=Flip a coin. If heads, prevent all effects of attacks, including damage, done to this Pokemon during your opponent's next turn. | Flame Tail: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=20, Text="
"g1-15","Rapidash","Pokemon","Stage 1","90","Fire","","Rare","","Agility: Cost=[Fire], EnergyCost=[1], Damage=20, Text=Flip a coin. If heads, prevent all effects of attacks, including damage, done to this Pokemon during your opponent's next turn. | Overrun: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=40, Text=This attack does 20 damage to 1 of your opponent's Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)"
"g1-16","Magmar","Pokemon","Basic","80","Fire","2","Common","","Ram: Cost=[Fire], EnergyCost=[1], Damage=10, Text= | Ember: Cost=[Fire, Colorless], EnergyCost=[2], Damage=30, Text=Discard a Fire Energy attached to this Pokemon."
"g1-19","Shellder","Pokemon","Basic","60","Water","1","Common","","Rain Splash: Cost=[Water, Colorless], EnergyCost=[2], Damage=20, Text="
"g1-20","Cloyster","Pokemon","Stage 1","100","Water","3","Uncommon","","Clamp Crush: Cost=[Water, Colorless], EnergyCost=[2], Damage=30, Text=Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed and discard an Energy attached to that Pokemon. | Spike Cannon: Cost=[Water, Water, Colorless], EnergyCost=[3], Damage=30×, Text=Flip 5 coins. This attack does 30 damage times the number of heads."
"g1-21","Krabby","Pokemon","Basic","70","Water","2","Common","","Vice Grip: Cost=[Water], EnergyCost=[1], Damage=10, Text= | Crabhammer: Cost=[Water, Water, Water], EnergyCost=[3], Damage=50, Text="
"g1-22","Magikarp","Pokemon","Basic","30","Water","1","Common","","Epic Splash: Cost=[Water], EnergyCost=[1], Damage=30, Text=Flip 2 coins. If either of them is tails, this attack does nothing."
