"ID","Name","Supertype","Subtypes","HP","Types","RetreatCost","Rarity","Ability","Attacks"
"gym1-1","Blaine's Moltres","Pokemon","Basic","90","Fire","3","Rare Holo","","Phoenix Flame: Cost=[Fire, Fire, Fire, Fire, Fire], EnergyCost=[5], Damage=90, Text=Flip a coin. If tails, shuffle Blaine's Moltres and all cards attached to it into your deck (after doing damage)."
"gym1-2","Brock's Rhydon","Pokemon","Stage 1","80","Fighting","3","Rare Holo","Bench Guard: Effect=[As long as Brock's Rhydon is Benched, whenever 1 of your Benched Pokemon is damaged, you may do 10 of that damage to Brock's Rhydon instead. (If more than 1 of your Benched Pokemon is damaged at the same time, you may use this power once for each of them.)]","Lariat: Cost=[Fighting, Fighting, Colorless, Colorless], EnergyCost=[4], Damage=70, Text=Flip a coin. If tails, this attack does nothing."
"gym1-3","Erika's Clefable","Pokemon","Stage 1","70","Colorless","2","Rare Holo","","Fairy Power: Cost=[Colorless], EnergyCost=[1], Damage=, Text=Flip a coin. If heads, you may return any number of your Pokemon in play and all cards attached to them to your hand. | Moon Impact: Cost=[Colorless, Colorless, Colorless], EnergyCost=[3], Damage=30, Text="
"gym1-4","Erika's Dragonair","Pokemon","Stage 1","80","Colorless","2","Rare Holo","","Blizzard: Cost=[Colorless, Colorless, Colorless], EnergyCost=[3], Damage=30, Text=Flip a coin. If heads, this attack does 10 damage to each of your opponent's Benched Pokemon. If tails, this attack does 10 damage to each of your own Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.) | Take Away: Cost=[Colorless, Colorless, Colorless, Colorless], EnergyCost=[4], Damage=, Text=Shuffle Erika's Dragonair and all cards attached to it into your deck. Then, your opponent shuffles his or her Active Pokemon and all cards attached to it into his or her deck."
"gym1-5","Erika's Vileplume","Pokemon","Stage 2","80","Grass","2","Rare Holo","Pollen Defense: Effect=[If an attack does damage to Erika's Vileplume while it's your Active Pokemon (even if it's Knocked Out), flip a coin. If heads, your opponent's Active Pokemon is now Confused. This power works even while Erika's Vileplume is Asleep, Confused, or Paralyzed.]","Mega Drain: Cost=[Grass, Grass, Grass], EnergyCost=[3], Damage=30, Text=If Erika's Vileplume does damage to the Defending Pokemon (after applying Weakness and Resistance), remove a number of damage counters from Erika's Vileplume equal to half the damage done to the Defending Pokemon (rounded up to the nearest 10). If Erika's Vileplume has fewer damage counters than that, remove all of them."
"gym1-6","Lt. Surge's Electabuzz","Pokemon","Basic","70","Lightning","2","Rare Holo","","Charge: Cost=[Lightning], EnergyCost=[1], Damage=, Text=Take up to 2 Lightning Energy cards from your discard pile and attach them to Lt. Surge's Electabuzz. | Discharge: Cost=[Lightning], EnergyCost=[1], Damage=30×, Text=Discard all Lightning Energy cards attached to Lt. Surge's Electabuzz in order to use this attack. Flip a number of coins equal to the number of Lightning Energy cards you discarded. This attack does 30 damage times the number of heads."
"gym1-7","Lt. Surge's Fearow","Pokemon","Stage 1","70","Colorless","","Rare Holo","","Repeating Drill: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=10×, Text=Flip 5 coins. This attack does 10 damage times the number of heads. | Clutch: Cost=[Colorless, Colorless, Colorless], EnergyCost=[3], Damage=30, Text=The Defending Pokemon can't retreat during your opponent's next turn."
"gym1-8","Lt. Surge's Magneton","Pokemon","Stage 1","70","Lightning","2","Rare Holo","Energy Charge: Effect=[As often as you like during your turn (before your attack), if Lt. Surge's Magneton is your Active Pokemon, you may take 1 Lightning Energy card attached to 1 of your Pokemon and attach it to Lt. Surge's Magneton. This power can't be used if Lt. Surge's Magneton is Asleep, Confused, or Paralyzed.]","Mega Shock: Cost=[Lightning, Lightning, Lightning, Colorless], EnergyCost=[4], Damage=50, Text=Flip a coin. If tails, Lt. Surge's Magneton does 20 damage to itself."
"gym1-9","Misty's Seadra","Pokemon","Stage 1","70","Water","1","Rare Holo","","Tail Snap: Cost=[Water], EnergyCost=[1], Damage=20, Text= | Knockout Needle: Cost=[Water, Water, Water], EnergyCost=[3], Damage=30+, Text=Flip 2 coins. If both of them are heads, this attack does 30 damage plus 60 more damage. If 1 or both of them are tails, this attack does 30 damage."
"gym1-10","Misty's Tentacruel","Pokemon","Stage 1","70","Water","","Rare Holo","Flee: Effect=[If an attack does damage to Misty's Tentacruel while it's your Active Pokemon, you may switch it with 1 of your Benched Pokemon, which prevents all other effects of that attack on Misty's Tentacruel. This power can't be used if Misty's Tentacruel is already Asleep, Confused, or Paralyzed.]","Jellyfish Poison: Cost=[Water, Water, Colorless, Colorless], EnergyCost=[4], Damage=30, Text=Flip a coin. If heads, the Defending Pokemon is now Poisoned. If tails, the Defending Pokemon is now Confused."
