"id","name","supertype","hp","types","evolvesTo","evolvesFrom","number","artist","rarity","flavorText","nationalPokedexNumbers","regulationMark","imageSmall","imageLarge","legalitiesUnlimited","legalitiesStandard","legalitiesExpanded","retreatCost","convertedRetreatCost","Ability1Name","Ability1Text","Ability1Type","Ability2Name","Ability2Text","Ability2Type","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"gym2-1","Blaine's Arcanine","Pokémon","90","Fire","","Blaine's Growlithe","1","Ken Sugimori","Rare Holo",,"59",,"https://images.pokemontcg.io/gym2/1.png","https://images.pokemontcg.io/gym2/1_hires.png","Legal",,,"Colorless, Colorless, Colorless","3","","","","","","","Heat Tackle","Fire, Colorless, Colorless","3","40","Blaine's Arcanine does 10 damage to itself.","Firestorm","Fire, Fire, Fire, Fire","4","120","Discard 3 Fire Energy cards attached to Blaine's Arcanine in order to use this attack.","Water","×2"
"gym2-2","Blaine's Charizard","Pokémon","100","Fire","","Blaine's Charmeleon","2","Ken Sugimori","Rare Holo",,"6",,"https://images.pokemontcg.io/gym2/2.png","https://images.pokemontcg.io/gym2/2_hires.png","Legal",,,"Colorless, Colorless, Colorless","3","","","","","","","Roaring Flames","Fire","1","20+","Discard all Fire Energy cards attached to Blaine's Charizard. If all Energy cards attached to Blaine's Charizard provide 2 Fire Energy, discard all of them. This attack does 20 damage plus 20 more damage for each Fire Energy discarded in this way.","Flame Jet","Fire, Fire","2","","Flip a coin. If heads, choose 1 of your opponent's Pokémon. This attack does 40 damage to that Pokémon. Don't apply Weakness and Resistance for this attack. (Any other effects that would happen after applying Weakness and Resistance still happen.)","Water","×2"
"gym2-3","Brock's Ninetales","Pokémon","70","Fire","","Brock's Vulpix","3","Ken Sugimori","Rare Holo",,"38",,"https://images.pokemontcg.io/gym2/3.png","https://images.pokemontcg.io/gym2/3_hires.png","Legal",,,"Colorless","1","Shapeshift","Once during your turn (before your attack), you may attach an Evolution card from your hand to Brock's Ninetales. (This doesn't count as evolving Brock's Ninetales.) Treat Brock's Ninetales as if it were that Pokémon instead. It can't evolve, devolve, or use the Pokémon Power of that Pokémon. During your turn, you may discard the Evolution card attached to Brock's Ninetales. This power can't be used if Brock's Ninetales is Asleep, Confused, or Paralyzed. If Brock's Ninetales becomes Asleep, Confused, or Paralyzed, discard all Evolution cards attached to it.","Pokémon Power","","","","Will-o'-the-wisp","Fire, Fire","2","30","","","","","","","Water","×2"
"gym2-4","Erika's Venusaur","Pokémon","90","Grass","","Erika's Ivysaur","4","Ken Sugimori","Rare Holo",,"3",,"https://images.pokemontcg.io/gym2/4.png","https://images.pokemontcg.io/gym2/4_hires.png","Legal",,,"Colorless, Colorless","2","","","","","","","Growth","Grass","1","","Flip a coin. If heads, you may attach up to 2 Grass Energy cards from your hand to Erika's Venusaur.","Wide Solarbeam","Grass, Grass, Grass, Grass","4","20","If your opponent has any Benched Pokémon, choose 2 of them (or 1 if he or she only has 1). This attack does 20 damage to each of them. (Don't apply Weakness and Resistance for Benched Pokémon.)","Fire","×2"
"gym2-5","Giovanni's Gyarados","Pokémon","90","Water","","Giovanni's Magikarp","5","Ken Sugimori","Rare Holo",,"130",,"https://images.pokemontcg.io/gym2/5.png","https://images.pokemontcg.io/gym2/5_hires.png","Legal",,,"Colorless, Colorless, Colorless","3","","","","","","","Summon Storm","Water","1","","Flip 2 coins. If both of them are heads, this attack does 20 damage to each other Pokémon (even your own). Don't apply Weakness and Resistance for this attack.","Dragon Tornado","Water, Water, Colorless, Colorless","4","40","Unless this attack Knocks Out the Defending Pokémon, choose 1 of your opponent's Benched Pokémon and switch it with the Defending Pokémon.","Grass","×2"
"gym2-6","Giovanni's Machamp","Pokémon","100","Fighting","","Giovanni's Machoke","6","Ken Sugimori","Rare Holo",,"68",,"https://images.pokemontcg.io/gym2/6.png","https://images.pokemontcg.io/gym2/6_hires.png","Legal",,,"Colorless, Colorless, Colorless","3","Fortitude","If Giovanni's Machamp would be Knocked Out by an opponent's attack, flip a coin. If heads, Giovanni's Machamp is not Knocked Out and its remaining HP become 10 instead. This power can't be used if Giovanni's Machamp is already Asleep, Confused, or Paralyzed.","Pokémon Power","","","","Hurricane Punch","Fighting, Fighting, Fighting, Colorless","4","30×","Flip 4 coins. This attack does 30 damage times the number of heads.","","","","","","Psychic","×2"
"gym2-7","Giovanni's Nidoking","Pokémon","120","Grass","","Giovanni's Nidorino","7","Ken Sugimori","Rare Holo",,"34",,"https://images.pokemontcg.io/gym2/7.png","https://images.pokemontcg.io/gym2/7_hires.png","Legal",,,"Colorless, Colorless, Colorless","3","","","","","","","Intimidate","Grass","1","","If the Defending Pokémon's maximum HP is 50 or less, it can't attack Giovanni's Nidoking during your opponent's next turn. (Benching or evolving either Pokémon ends this effect.)","Tumbling Attack","Grass, Grass, Grass, Colorless","4","40+","Flip a coin. If heads, this attack does 40 damage plus 30 more damage; if tails, this attack does 40 damage.","Psychic","×2"
"gym2-8","Giovanni's Persian","Pokémon","60","Colorless","","Giovanni's Meowth","8","Ken Sugimori","Rare Holo",,"53",,"https://images.pokemontcg.io/gym2/8.png","https://images.pokemontcg.io/gym2/8_hires.png","Legal",,,"",,"Call the Boss","When you play Giovanni's Persian from your hand, you may search your deck for the Trainer card named Giovanni, show it to your opponent, and put it into your hand. Shuffle your deck afterward.","Pokémon Power","","","","Ambush","Colorless, Colorless, Colorless","3","20+","Flip a coin. If heads, this attack does 20 damage plus 20 more damage; if tails, this attack does 20 damage.","","","","","","Fighting","×2"
"gym2-9","Koga's Beedrill","Pokémon","80","Grass","","Koga's Kakuna","9","Ken Sugimori","Rare Holo",,"15",,"https://images.pokemontcg.io/gym2/9.png","https://images.pokemontcg.io/gym2/9_hires.png","Legal",,,"",,"","","","","","","Nerve Poison","Grass, Grass","2","20","Flip a coin. If heads, the Defending Pokémon is now Paralyzed and Poisoned.","Hyper Needle","Colorless, Colorless, Colorless","3","70","Flip a coin. If tails, this attack does nothing. Either way, you can't use this attack again as long as Koga's Beedrill stays in play (even putting Koga's Beedrill on the Bench won't let you use it again).","Fire","×2"
"gym2-10","Koga's Ditto","Pokémon","40","Colorless","",,"10","Ken Sugimori","Rare Holo",,"132",,"https://images.pokemontcg.io/gym2/10.png","https://images.pokemontcg.io/gym2/10_hires.png","Legal",,,"Colorless","1","","","","","","","Giant Growth","Colorless","1","","Flip a coin. If heads, Koga's Ditto's maximum HP is now 80 and Koga's Ditto's Pound attack's base damage is 30 instead of 10. (Benching Koga's Ditto ends this effect.)","Pound","Colorless","1","10","","Fighting","×2"
