"ID","Name","Supertype","Subtypes","HP","Types","RetreatCost","Rarity","Ability","Attacks"
"hgss2-1","Jirachi","Pokemon","Basic","60","Psychic","1","Rare Holo","Stardust Song: Effect=[Once during your turn, when you put Jirachi from your hand onto your Bench, you may flip 3 coins. For each heads, search your discard pile for a Psychic Energy card and attach it to Jirachi.]","Time Hollow: Cost=[Psychic], EnergyCost=[1], Damage=, Text=Choose a number of your opponent's Stage 1 or Stage 2 Evolved Pokemon up to the amount of Energy attached to Jirachi. Remove the highest Stage Evolution card from each of those Pokemon and put those cards back into your opponent's hand."
"hgss2-2","Magmortar","Pokemon","Stage 1","110","Fire","2","Rare Holo","","Hard Crush: Cost=[Fire, Colorless, Colorless], EnergyCost=[3], Damage=50×, Text=Discard the top 3 cards from your deck. This attack does 50 damage times the number of Energy cards you discarded. | Mantle Bazooka: Cost=[Fire, Fire, Colorless, Colorless], EnergyCost=[4], Damage=100, Text=Discard 2 Fire Energy attached to Magmortar."
"hgss2-3","Manaphy","Pokemon","Basic","60","Water","","Rare Holo","","Deep Sea Swirl: Cost=[Colorless], EnergyCost=[1], Damage=, Text=Shuffle your hand into your deck. Then, draw 5 cards. | Wave Splash: Cost=[Water], EnergyCost=[1], Damage=20, Text="
"hgss2-4","Metagross","Pokemon","Stage 2","130","Psychic","4","Rare Holo","Psychic Float: Effect=[If you have any Psychic Energy attached to your Active Pokemon, the Retreat Cost for that Pokemon is 0.]","Pulse Blast: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=60, Text= | Double Leg Hammer: Cost=[Psychic, Psychic, Psychic], EnergyCost=[3], Damage=, Text=Choose 2 of your opponent's Benched Pokemon. This attack does 40 damage to each of them. (Don't apply Weakness and Resistance for Benched Pokemon.)"
"hgss2-5","Mismagius","Pokemon","Stage 1","90","Psychic","1","Rare Holo","Magical Trans: Effect=[Once during your turn (before your attack), you may move a Psychic Energy attached to 1 of your Pokemon to another of your Pokemon. This power can't be used if Mismagius is affected by a Special Condition.]","Psychic Pulse: Cost=[Psychic], EnergyCost=[1], Damage=30, Text=Does 10 damage to each of your opponent's Benched Pokemon that has any damage counters on it. (Don't apply Weakness and Resistance for Benched Pokemon.)"
"hgss2-6","Octillery","Pokemon","Stage 1","80","Water","2","Rare Holo","","Switch Cannon: Cost=[Water], EnergyCost=[1], Damage=, Text=Choose 1 of your opponent's Pokemon. This attack does 30 damage to that Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.) Switch Octillery with 1 of your Benched Pokemon. | Ink Bomb: Cost=[Water, Colorless, Colorless], EnergyCost=[3], Damage=50, Text=If the Defending Pokemon tries to attack during your opponent's next turn, your opponent flips a coin. If tails, that attack does nothing."
"hgss2-7","Politoed","Pokemon","Stage 2","120","Water","2","Rare Holo","Leap Frog: Effect=[Once during your turn (before your attack), you may choose a Water Pokemon on your Bench and switch it with your Active Pokemon. This power can't be used if Politoed is affected by a Special Condition.]","Big Chorus: Cost=[Water, Colorless, Colorless], EnergyCost=[3], Damage=30×, Text=Flip a coin for each Water Pokemon you have in play. This attack does 30 damage times the number of heads."
"hgss2-8","Shaymin","Pokemon","Basic","70","Grass","1","Rare Holo","Celebration Wind: Effect=[Once during your turn, when you put Shaymin from your hand onto your Bench, you may move as many Energy cards attached to your Pokemon as you like to any of your other Pokemon.]","Energy Bloom: Cost=[Grass, Colorless], EnergyCost=[2], Damage=30, Text=Remove 3 damage counters from each of your Pokemon that has any Energy attached to it."
"hgss2-9","Sudowoodo","Pokemon","Basic","90","Fighting","2","Rare Holo","","Push Over: Cost=[Fighting], EnergyCost=[1], Damage=20×, Text=Does 20 damage times the amount of Fighting Energy attached to Sudowoodo. | Rumble: Cost=[Colorless, Colorless, Colorless], EnergyCost=[3], Damage=40, Text=The Defending Pokemon can't retreat during your opponent's next turn."
"hgss2-10","Torterra","Pokemon","Stage 2","140","Grass","4","Rare Holo","","Giga Drain: Cost=[Grass, Colorless, Colorless], EnergyCost=[3], Damage=40, Text=Remove from Torterra the number of damage counters equal to the damage you did to the Defending Pokemon. | Land Crush: Cost=[Grass, Colorless, Colorless, Colorless], EnergyCost=[4], Damage=80, Text="
