"ID","Name","Supertype","Subtypes","HP","Types","RetreatCost","Rarity","Attacks"
"hgss3-1","Bellossom","Pokemon","Stage 2","110","Grass","1","Rare Holo","Dance 'til Dawn: Cost=[], Damage=30×, Text=Flip 3 coins. This attack does 30 damage times the number of heads. Bellossom is now Asleep."
"hgss3-2","Espeon","Pokemon","Stage 1","90","Psychic","1","Rare Holo","Solar Suggestion: Cost=[], Damage=, Text=Move up to 4 damage counters from any of your Pokemon to any of your opponent's Pokemon in any way you like. | Psybeam: Cost=[], Damage=30, Text=Flip a coin. If heads, the Defending Pokemon is now Confused."
"hgss3-3","Forretress","Pokemon","Stage 1","90","Metal","3","Rare Holo","Mirror Shot: Cost=[], Damage=30, Text=If the Defending Pokemon tries to attack during your opponent's next turn, your opponent flips a coin. If tails, this attack does nothing. | Everyone Explode Now: Cost=[], Damage=30×, Text=Does 30 damage times the number of Pineco and Forretress you have in play. This attack does 30 damage to each of your Pineco and Forretress in play."
"hgss3-4","Gliscor","Pokemon","Stage 1","90","Fighting","1","Rare Holo","Ninja Fang: Cost=[], Damage=30, Text=If, before Gliscor does damage, the Defending Pokemon has no damage counters on it and is then damaged by this attack (after applying Weakness and Resistance), the Defending Pokemon is now Paralyzed. | Poison Jab: Cost=[], Damage=50, Text=The Defending Pokemon is now Poisoned."
"hgss3-5","Houndoom","Pokemon","Stage 1","90","Darkness","1","Rare Holo","Fire Counterattack: Cost=[], Damage=20+, Text=If your opponent has any Fighting Pokemon in play, this attack does 20 damage plus 60 more damage. | Dark Roar: Cost=[], Damage=50, Text=Your opponent discards a card from his or her hand."
"hgss3-6","Magcargo","Pokemon","Stage 1","100","Fire","3","Rare Holo","Searing Flame: Cost=[], Damage=20, Text=The Defending Pokemon is now Burned. | Lava Flow: Cost=[], Damage=60+, Text=You may discard any number of Fire Energy cards attached to Magcargo. If you do , this attack does 60 damage plus 20 more damage for each Fire Energy card you discarded."
"hgss3-7","Scizor","Pokemon","Stage 1","90","Metal","1","Rare Holo","Cut: Cost=[], Damage=50, Text= | Metal Claw: Cost=[], Damage=80, Text="
"hgss3-8","Smeargle","Pokemon","Basic","70","Colorless","1","Rare Holo","Tail Rap: Cost=[], Damage=20×, Text=Flip 2 coins. This attack does 20 damage times the number of heads."
"hgss3-9","Togekiss","Pokemon","Stage 2","120","Colorless","1","Rare Holo","Blessed Wings: Cost=[], Damage=, Text=Remove all damage counters from each of your Pokemon. Shuffle Togekiss and all cards attached to it back into your deck. | Air Cutter: Cost=[], Damage=80, Text=Flip a coin. If tails, this attack does nothing."
"hgss3-10","Umbreon","Pokemon","Stage 1","90","Darkness","1","Rare Holo","Moonlight Fang: Cost=[], Damage=30, Text=During your opponent's next turn, prevent all effects, including damage, done to Umbreon by attacks from your opponent's Pokemon that has any Poke-Powers or Poke-Bodies. | Quick Blow: Cost=[], Damage=30+, Text=Flip a coin. If heads, this attack does 30 damage plus 30 damage."
"hgss3-11","Dodrio","Pokemon","Stage 1","80","Colorless","1","Rare","Incessant Peck: Cost=[], Damage=20+, Text=Flip a coin until you get tails. This attack does 20 damage plus 20 more damage for each heads."
"hgss3-12","Drifblim","Pokemon","Stage 1","90","Psychic","","Rare","Balloon Tackle: Cost=[], Damage=60, Text=Drifblim does 20 damage to itself. | Take Away: Cost=[], Damage=, Text=Shuffle Drifblim and all cards attached to it back into your deck. Then, your opponent shuffles the Defending Pokemon and all cards attached to it into his or her deck. (You choose your new Active Pokemon first.)"
"hgss3-13","Forretress","Pokemon","Stage 1","80","Metal","2","Rare","Spike Spread: Cost=[], Damage=, Text=This attack does 10 damage to each of your opponent's Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.) | Gyro Ball: Cost=[], Damage=30, Text=You may switch Forretress with 1 of your Benched Pokemon. If you do, your opponent switches the Defending Pokemon with 1 of his or her Benched Pokemon."
"hgss3-14","Hariyama","Pokemon","Stage 1","100","Fighting","3","Rare","Hammer In: Cost=[], Damage=60, Text= | Backward Belt Throw: Cost=[], Damage=80+, Text=You may do 80 damage plus 20 more damage. If you do, Hariyama does 20 damage to itself."
"hgss3-15","Honchkrow","Pokemon","Stage 1","90","Darkness","2","Rare","Whirlwind: Cost=[], Damage=20, Text=Your opponent switches the Defending Pokemon with 1 of his or her Benched Pokemon. | Blindside: Cost=[], Damage=, Text=Choose 1 of your opponent's Pokemon that has any damage counters on it. This attack does 50 damage to that Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)"
"hgss3-16","Honchkrow","Pokemon","Stage 1","90","Darkness","2","Rare","Shadow Bind: Cost=[], Damage=30, Text=The Defending Pokemon can't retreat during your opponent's next turn. | Vengeance: Cost=[], Damage=10+, Text=Does 10 damage plus 10 more damage for each Darkness Pokemon in your discard pile."
