"id","name","supertype","hp","types","evolvesTo","evolvesFrom","number","artist","rarity","flavorText","nationalPokedexNumbers","regulationMark","imageSmall","imageLarge","legalitiesUnlimited","legalitiesStandard","legalitiesExpanded","retreatCost","convertedRetreatCost","Ability1Name","Ability1Text","Ability1Type","Ability2Name","Ability2Text","Ability2Type","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"hgss4-1","Aggron","Pokémon","140","Metal","","Lairon","1","Kagemaru Himeno","Rare Holo","You can tell its age by the length of its iron horns. It claims an entire mountain as its territory.","306",,"https://images.pokemontcg.io/hgss4/1.png","https://images.pokemontcg.io/hgss4/1_hires.png","Legal",,,"Colorless, Colorless, Colorless, Colorless","4","","","","","","","Second Strike","Metal, Metal, Colorless","3","40","If the Defending Pokémon already has any damage counters on it, this attack does 40 damage plus 40 more damage.","Guard Claw","Metal, Metal, Colorless, Colorless","4","60","During your opponent's next turn, any damage done to Aggron by attacks is reduced by 20 (after applying Weakness and Resistance).","Fire","×2"
"hgss4-2","Altaria","Pokémon","90","Colorless","","Swablu","2","Ryo Ueda","Rare Holo","It flies gracefully through the sky. Its melodic humming makes you feel like you're in a dream.","334",,"https://images.pokemontcg.io/hgss4/2.png","https://images.pokemontcg.io/hgss4/2_hires.png","Legal",,,"",,"","","","","","","Midnight Eyes","Colorless","1","20","The Defending Pokémon is now Asleep.","Stadium Power","Colorless, Colorless, Colorless","3","40+","If there is any Stadium card in play, this attack does 40 damage plus 30 more damage.","Colorless","×2"
"hgss4-3","Celebi","Pokémon","70","Psychic","",,"3","Shin Nagasawa","Rare Holo","This Pokémon wanders across time. Grass and trees flourish in the forests in which it has appeared.","251",,"https://images.pokemontcg.io/hgss4/3.png","https://images.pokemontcg.io/hgss4/3_hires.png","Legal",,,"Colorless","1","","","","","","","Future Sight","Psychic","1","","Look at the top 5 cards of either player's deck and put them back on top of that player's deck in any order.","Leaf Bind","Grass, Colorless","2","30","Flip a coin. If heads, the Defending Pokémon is now Paralyzed.","Psychic","×2"
"hgss4-4","Drapion","Pokémon","100","Darkness","","Skorupi","4","Sumiyoshi Kizuki","Rare Holo","It attacks people and Pokémon that cross the desert. This has only furthered its bad reputation.","452",,"https://images.pokemontcg.io/hgss4/4.png","https://images.pokemontcg.io/hgss4/4_hires.png","Legal",,,"Colorless, Colorless, Colorless","3","","","","","","","Toxic Fang","Darkness, Colorless, Colorless","3","40","Flip a coin. If heads, the Defending Pokémon is now Poisoned. Put 2 damage counters instead of 1 on that Pokémon between turns.","Land Crush","Darkness, Darkness, Colorless, Colorless","4","80","","Fighting","×2"
"hgss4-5","Mamoswine","Pokémon","140","Water","","Piloswine","5","Kagemaru Himeno","Rare Holo","A frozen Mamoswine was dug from ice dating back 10,000 years. This Pokémon has been around a long, long, long time.","473",,"https://images.pokemontcg.io/hgss4/5.png","https://images.pokemontcg.io/hgss4/5_hires.png","Legal",,,"Colorless, Colorless, Colorless, Colorless","4","","","","","","","Icy Wind","Water, Colorless, Colorless","3","40","The Defending Pokémon is now Asleep.","Snowstorm","Water, Water, Colorless, Colorless","4","70","Does 20 damage to each of your opponent's Benched Pokémon that has any damage counters on it. (Don't apply Weakness and Resistance for Benched Pokémon.)","Metal","×2"
"hgss4-6","Nidoking","Pokémon","140","Fighting","","Nidorino","6","match","Rare Holo","Its tail is thick and powerful. If it binds an enemy, it can render the victim helpless quite easily.","34",,"https://images.pokemontcg.io/hgss4/6.png","https://images.pokemontcg.io/hgss4/6_hires.png","Legal",,,"Colorless, Colorless, Colorless","3","Pheromone Stamina","Nidoking gets +20 HP for each Nidoqueen you have in play.","Poké-Body","","","","Venomous Horn","Fighting, Fighting, Colorless, Colorless","4","80","The Defending Pokémon is now Poisoned.","","","","","","Water","×2"
"hgss4-7","Porygon-Z","Pokémon","110","Colorless","","Porygon2","7","Kouki Saitou","Rare Holo","Its programming was modified to enable it to travel through alien dimensions. Seems there might have been an error…","474",,"https://images.pokemontcg.io/hgss4/7.png","https://images.pokemontcg.io/hgss4/7_hires.png","Legal",,,"Colorless, Colorless","2","Dimension Transfer","Once during your turn (before your attack), you may flip a coin. If heads, search your discard pile for a Trainer card, show it to your opponent, and put it on top of your deck. This power can't be used if Porygon-Z is affected by a Special Condition.","Poké-Power","","","","Suspicious Beam β","Colorless, Colorless, Colorless","3","80","If Porygon-Z has no Rainbow Energy attached to it, Porygon-Z does 20 damage to itself and Porygon-Z is now Confused.","","","","","","Fighting","×2"
"hgss4-8","Rapidash","Pokémon","90","Fire","","Ponyta","8","Kyoko Umemoto","Rare Holo","At full gallop, its four hooves barely touch the ground because it moves so incredibly fast.","78",,"https://images.pokemontcg.io/hgss4/8.png","https://images.pokemontcg.io/hgss4/8_hires.png","Legal",,,"Colorless","1","Fiery Spirit","Rapidash can't be Confused.","Poké-Body","","","","Ring of Fire","Fire, Colorless, Colorless","3","50","The Defending Pokémon is now Burned and can't retreat during your opponent's next turn.","","","","","","Water","×2"
"hgss4-9","Solrock","Pokémon","70","Fighting","",,"9","Kouki Saitou","Rare Holo","When it rotates itself, it gives off light similar to the sun, thus blinding its foes.","338",,"https://images.pokemontcg.io/hgss4/9.png","https://images.pokemontcg.io/hgss4/9_hires.png","Legal",,,"Colorless","1","Heal Block","If you have Lunatone in play, damage counters can't be removed from any Pokémon (both yours and your opponent's). (Damage counters can still be moved.)","Poké-Body","","","","Sun Flash","Fighting","1","20","If the Defending Pokémon tries to attack during your opponent's next turn, your opponent flips a coin. If tails, that attack does nothing.","","","","","","Grass","×2"
"hgss4-10","Spiritomb","Pokémon","60","Psychic","",,"10","Shizurow","Rare Holo","It was formed by uniting 108 spirits. It has been bound to the Odd Keystone to keep it from doing any mischief.","442",,"https://images.pokemontcg.io/hgss4/10.png","https://images.pokemontcg.io/hgss4/10_hires.png","Legal",,,"Colorless","1","Spooky Whirlpool","Once during your turn, when you put Spiritomb from your hand onto your Bench, you may use this power. Your opponent shuffles his or her hand into his or her deck and draws 6 cards.","Poké-Power","","","","Color Tag","Psychic","1","","Choose Grass Fire Water Lightning Psychic Fighting Darkness Metal or Colorless type. Put 1 damage counter on each Pokémon your opponent has in play of the type you chose.","","","","","",,
"hgss4-11","Venomoth","Pokémon","80","Grass","","Venonat","11","Hideaki Hakozaki","Rare Holo","The powder on its wings is poisonous if it is dark in hue. If it is light in hue, it causes paralysis.","49",,"https://images.pokemontcg.io/hgss4/11.png","https://images.pokemontcg.io/hgss4/11_hires.png","Legal",,,"Colorless","1","Poison Moth Wind","Once during your turn (before your attack), you may flip a coin. If heads, your opponent's Active Pokémon is now Poisoned. If tails, your Active Pokémon is now Poisoned. This power can't be used if Venomoth is affected by a Special Condition.","Poké-Power","","","","Stun Spore","Grass, Colorless","2","30","Flip a coin. If heads, the Defending Pokémon is now Paralyzed.","","","","","","Fire","×2"
"hgss4-12","Victreebel","Pokémon","110","Grass","","Weepinbell","12","Midori Harada","Rare Holo","Acid that has dissolved many prey becomes sweeter, making it even more effective at attracting prey.","71",,"https://images.pokemontcg.io/hgss4/12.png","https://images.pokemontcg.io/hgss4/12_hires.png","Legal",,,"Colorless, Colorless","2","Tangling Tendrils","As long as Victreebel is your Active Pokémon, your opponent's Active Pokémon's Retreat Cost is ColorlessColorless more.","Poké-Body","","","","Acidic Drain","Grass, Colorless","2","30","The Defending Pokémon is now Burned and Poisoned. Remove 3 damage counters from Victreebel.","","","","","","Fire","×2"
"hgss4-13","Ambipom","Pokémon","80","Colorless","","Aipom","13","Naoyo Kimura","Rare","They live on large trees. They are said to communicate by connecting their tails to those of others.","424",,"https://images.pokemontcg.io/hgss4/13.png","https://images.pokemontcg.io/hgss4/13_hires.png","Legal",,,"Colorless","1","","","","","","","Astonish","Colorless, Colorless","2","20","Choose 2 cards from your opponent's hand without looking. Look at the cards you chose, then have your opponent shuffle those cards into his or her deck.","Tail Spank","Colorless, Colorless","2","60","Discard 2 cards from your hand. (If you can't discard 2 cards from your hand, this attack does nothing.)","Fighting","×2"
"hgss4-14","Banette","Pokémon","80","Psychic","","Shuppet","14","Ryo Ueda","Rare","This Pokémon developed from an abandoned doll that amassed a grudge. It is seen in dark alleys.","354",,"https://images.pokemontcg.io/hgss4/14.png","https://images.pokemontcg.io/hgss4/14_hires.png","Legal",,,"Colorless","1","","","","","","","Lost Crush","Psychic","1","","Flip a coin. If heads, choose 1 Energy card attached to 1 of your opponent's Pokémon and put it in the Lost Zone.","Breakdown","Psychic, Colorless, Colorless","3","","Count the number of cards in your opponent's hand. Put that many damage counters on the Defending Pokémon.","Darkness","×2"
"hgss4-15","Bronzong","Pokémon","90","Metal","","Bronzor","15","Yuka Morii","Rare","Ancient people believed that petitioning Bronzong for rain was the way to make crops grow.","437",,"https://images.pokemontcg.io/hgss4/15.png","https://images.pokemontcg.io/hgss4/15_hires.png","Legal",,,"Colorless, Colorless, Colorless","3","","","","","","","Legend Ceremony","Colorless","1","","Search your deck for both halves of a Pokémon LEGEND, show them to your opponent, and put them into your hand. Shuffle your deck afterward.","Reflect Energy","Colorless, Colorless","2","30","Move an Energy card attached to Bronzong to 1 of your Benched Pokémon.","Fire","×2"
"hgss4-16","Carnivine","Pokémon","80","Grass","",,"16","Ryo Ueda","Rare","It walks around on its tentacles in search of a tree branch where it can dangle down and ambush prey.","455",,"https://images.pokemontcg.io/hgss4/16.png","https://images.pokemontcg.io/hgss4/16_hires.png","Legal",,,"Colorless, Colorless","2","","","","","","","Saliva Lure","Colorless","1","","Switch the Defending Pokémon with 1 of your opponent's Benched Pokémon.","Stick and Absorb","Grass, Grass, Colorless","3","30","Remove 3 damage counters from Carnivine. The Defending Pokémon can't retreat during your opponent's next turn.","Fire","×2"
"hgss4-17","Ditto","Pokémon","40","Colorless","",,"17","match","Rare","Its transformation ability is perfect. However, if made to laugh, it can't maintain its disguise.","132",,"https://images.pokemontcg.io/hgss4/17.png","https://images.pokemontcg.io/hgss4/17_hires.png","Legal",,,"Colorless","1","Dittobolic","The number of Benched Pokémon your opponent can have is now 4. If your opponent has 5 Benched Pokémon, your opponent must discard 1 of them and all cards attached to it.","Poké-Body","","","","Sharp Point","Colorless, Colorless","2","20","","","","","","","Fighting","×2"
