"ID","Name","Supertype","Subtypes","HP","Types","RetreatCost","Rarity","Ability","Attacks"
"hsp-HGSS01","Ho-Oh","Pokemon","Basic","80","Fire","3","Promo","","Combustion: Cost=[Fire], EnergyCost=[1], Damage=20, Text= | Sacred Fire: Cost=[Fire, Fire, Colorless, Colorless], EnergyCost=[4], Damage=, Text=Flip a coin. If heads, choose 1 of your opponent's Pokemon. This attack does 80 damage to that Pokemon. This attack's damage isn't affected by Weakness or Resistance."
"hsp-HGSS02","Lugia","Pokemon","Basic","90","Water","2","Promo","","Wave Splash: Cost=[Water], EnergyCost=[1], Damage=20, Text= | Aeroblast: Cost=[Water, Water, Colorless, Colorless], EnergyCost=[4], Damage=50+, Text=Flip 2 coins. This attack does 50 damage plus 20 more damage for each heads."
"hsp-HGSS03","Pikachu","Pokemon","Basic","70","Lightning","1","Promo","","Recharge: Cost=[Colorless], EnergyCost=[1], Damage=, Text=Flip a coin. If heads, search your deck for a Lightning Energy card and attach it to Pikachu. Shuffle your deck afterward. | Thunderbolt: Cost=[Lightning, Lightning, Colorless, Colorless], EnergyCost=[4], Damage=100, Text=Discard all Energy attached to Pikachu."
"hsp-HGSS04","Wobbuffet","Pokemon","Basic","90","Psychic","3","Promo","Tenacious Bind: Effect=[As long as Wobbuffet is your Active Pokemon, your opponent's Active Pokemon's Retreat Cost is ColorlessColorless more.]","Trip Over: Cost=[Psychic, Colorless], EnergyCost=[2], Damage=20+, Text=Flip a coin. If heads, this attack does 20 damage plus 30 more damage."
"hsp-HGSS05","Hoothoot","Pokemon","Basic","50","Colorless","1","Promo","Insomnia: Effect=[Hoothoot can't be Asleep.]","Peck: Cost=[Colorless], EnergyCost=[1], Damage=10, Text="
"hsp-HGSS06","Noctowl","Pokemon","Stage 1","90","Colorless","1","Promo","Night Scope: Effect=[Once during your turn (before your attack), you may look at your opponent's hand. This power can't be used if Noctowl is affected by a Special Condition.]","Hypnoblast: Cost=[Colorless, Colorless, Colorless], EnergyCost=[3], Damage=30, Text=The Defending Pokemon is now Asleep."
"hsp-HGSS07","Feraligatr","Pokemon","Stage 2, Prime","140","Water","3","Promo","Rain Dance: Effect=[As often as you like during your turn (before your attack), you may attach a Water Energy from your hand to 1 of your Water Pokemon. This power can't be used if Feraligatr is affected by a Special Condition.]","Hydro Crunch: Cost=[Water, Water, Water, Water], EnergyCost=[4], Damage=60+, Text=Does 60 damage plus 10 more damage for each damage counter on the Defending Pokemon."
"hsp-HGSS08","Meganium","Pokemon","Stage 2, Prime","150","Grass","2","Promo","Leaf Trans: Effect=[As often as you like during your turn (before your attack), you may move a Grass Energy attached to 1 of your Pokemon to another of your Pokemon. This power can't be used if Meganium is affected by a Special Condition.]","Solarbeam: Cost=[Grass, Grass, Colorless, Colorless], EnergyCost=[4], Damage=80, Text="
"hsp-HGSS09","Typhlosion","Pokemon","Stage 2, Prime","140","Fire","2","Promo","Afterburner: Effect=[Once during your turn (before your attack), you may search your discard pile for a Fire Energy card and attach it to 1 of your Pokemon. If you do, put 1 damage counter on that Pokemon. This power can't be used if Typhlosion is affected by a Special Condition.]","Flare Destroy: Cost=[Fire, Fire, Colorless], EnergyCost=[3], Damage=70, Text=Discard an Energy card attached to Typhlosion and discard an Energy card attached to the Defending Pokemon."
"hsp-HGSS10","Latias","Pokemon","Basic","80","Colorless","1","Promo","","Energy Assist: Cost=[Colorless], EnergyCost=[1], Damage=10, Text=Search your discard pile for a basic Energy card and attach it to 1 of your Benched Pokemon. | Infinite Wind: Cost=[Colorless, Colorless, Colorless], EnergyCost=[3], Damage=40, Text=If Latios is on your Bench, remove 2 damage counters from each of your Benched Pokemon."
