"id","name","supertype","hp","types","evolvesTo","evolvesFrom","number","artist","rarity","flavorText","nationalPokedexNumbers","regulationMark","imageSmall","imageLarge","legalitiesUnlimited","legalitiesStandard","legalitiesExpanded","retreatCost","convertedRetreatCost","Ability1Name","Ability1Text","Ability1Type","Ability2Name","Ability2Text","Ability2Type","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"mcd14-1","Weedle","Pokémon","40","Grass","Kakuna",,"1","Akira Komayama",,"Often found in forests and grasslands. It has a sharp, toxic barb of around two inches on top of its head.","13",,"https://images.pokemontcg.io/mcd14/1.png","https://images.pokemontcg.io/mcd14/1_hires.png","Legal",,"Legal","Colorless","1","","","","","","","String Shot","Grass","1","10","Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.","","","","","","Fire","×2"
"mcd14-2","Chespin","Pokémon","60","Grass","Quilladin",,"2","5ban Graphics",,"The quills on its head are usually soft. When it flexes them, the points become so hard and sharp that they can pierce rock.","650",,"https://images.pokemontcg.io/mcd14/2.png","https://images.pokemontcg.io/mcd14/2_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Vine Whip","Grass","1","10","","Seed Bomb","Grass, Colorless","2","20","","Fire","×2"
"mcd14-3","Fennekin","Pokémon","60","Fire","Braixen",,"3","5ban Graphics",,"Eating a twig fills it with energy, and its roomy ears give vent to air hotter than 390 degrees Fahrenheit.","653",,"https://images.pokemontcg.io/mcd14/3.png","https://images.pokemontcg.io/mcd14/3_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Scratch","Fire","1","10","","Live Coal","Fire, Colorless","2","20","","Water","×2"
"mcd14-4","Froakie","Pokémon","60","Water","Frogadier",,"4","5ban Graphics",,"It secretes flexible bubbles from its chest and back. The bubbles reduce the damage it would otherwise take when attacked.","656",,"https://images.pokemontcg.io/mcd14/4.png","https://images.pokemontcg.io/mcd14/4_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Pound","Water","1","10","","Water Drip","Water, Colorless","2","20","","Grass","×2"
"mcd14-5","Pikachu","Pokémon","60","Lightning","Raichu",,"5","MAHOU",,"It raises its tail to check its surroundings. The tail is sometimes struck by lightning in this pose.","25",,"https://images.pokemontcg.io/mcd14/5.png","https://images.pokemontcg.io/mcd14/5_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Nuzzle","Colorless","1","","Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.","Quick Attack","Colorless, Colorless","2","20+","Flip a coin. If heads, this attack does 10 more damage.","Fighting","×2"
"mcd14-6","Inkay","Pokémon","60","Darkness","Malamar",,"6","5ban Graphics",,"Opponents who stare at the flashing of the light-emitting spots on its body become dazed and lose their will to fight.","686",,"https://images.pokemontcg.io/mcd14/6.png","https://images.pokemontcg.io/mcd14/6_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Peck","Darkness","1","10","","","","","","","Fighting","×2"
"mcd14-7","Honedge","Pokémon","60","Metal","Doublade",,"7","5ban Graphics",,"Apparently this Pokémon is born when a departed spirit inhabits a sword. It attaches itself to people and drinks their life force.","679",,"https://images.pokemontcg.io/mcd14/7.png","https://images.pokemontcg.io/mcd14/7_hires.png","Legal",,"Legal","Colorless, Colorless","2","","","","","","","Continuous Slash","Metal, Colorless","2","30×","Flip a coin until you get tails. This attack does 30 damage times the number of heads.","","","","","","Fire","×2"
"mcd14-8","Snubbull","Pokémon","70","Fairy","Granbull",,"8","Naoki Saito",,"It has an active, playful nature. Many women like to frolic with it because of its affectionate ways.","209",,"https://images.pokemontcg.io/mcd14/8.png","https://images.pokemontcg.io/mcd14/8_hires.png","Legal",,"Legal","Colorless, Colorless","2","","","","","","","Headbutt","Fairy, Colorless","2","20","","","","","","","Metal","×2"
"mcd14-9","Swirlix","Pokémon","60","Fairy","Slurpuff",,"9","5ban Graphics",,"To entangle its opponents in battle, it extrudes white threads as sweet and sticky as cotton candy.","684",,"https://images.pokemontcg.io/mcd14/9.png","https://images.pokemontcg.io/mcd14/9_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Draining Kiss","Fairy","1","10","Heal 10 damage from this Pokémon.","","","","","","Metal","×2"
"mcd14-10","Bunnelby","Pokémon","60","Colorless","Diggersby",,"10","5ban Graphics",,"They use their large ears to dig burrows. They will dig the whole night through.","659",,"https://images.pokemontcg.io/mcd14/10.png","https://images.pokemontcg.io/mcd14/10_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Tackle","Colorless, Colorless","2","20","","","","","","","Fighting","×2"
"mcd14-11","Fletchling","Pokémon","50","Colorless","Fletchinder",,"11","5ban Graphics",,"These friendly Pokémon send signals to one another with beautiful chirps and tail-feather movements.","661",,"https://images.pokemontcg.io/mcd14/11.png","https://images.pokemontcg.io/mcd14/11_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Razor Wind","Colorless","1","20","Flip a coin. If tails, this attack does nothing.","","","","","","Lightning","×2"
"mcd14-12","Furfrou","Pokémon","90","Colorless","",,"12","5ban Graphics",,"Trimming its fluffy fur not only makes it more elegant but also increases the swiftness of its movements.","676",,"https://images.pokemontcg.io/mcd14/12.png","https://images.pokemontcg.io/mcd14/12_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Tight Jaw","Colorless, Colorless","2","20","Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.","Sharp Fang","Colorless, Colorless, Colorless","3","50","","Fighting","×2"
