"id","name","supertype","hp","types","evolvesTo","evolvesFrom","number","artist","rarity","flavorText","nationalPokedexNumbers","regulationMark","imageSmall","imageLarge","legalitiesUnlimited","legalitiesStandard","legalitiesExpanded","retreatCost","convertedRetreatCost","Ability1Name","Ability1Text","Ability1Type","Ability2Name","Ability2Text","Ability2Type","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"neo1-1","Ampharos","Pokémon","80","Lightning","","Flaaffy","1","Ken Sugimori","Rare Holo","The tail's tip shines brightly and can be seen from far away. It acts as a beacon for lost people.","181",,"https://images.pokemontcg.io/neo1/1.png","https://images.pokemontcg.io/neo1/1_hires.png","Legal",,,"Colorless, Colorless","2","","","","","","","Gigaspark","Lightning, Lightning, Lightning","3","40","Flip a coin. If heads, the Defending Pokémon is now Paralyzed and this attack does 10 damage to each of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)","","","","","","Fighting","×2"
"neo1-2","Azumarill","Pokémon","70","Water","","Marill","2","Ken Sugimori","Rare Holo","By keeping still and listening intently, it can tell what is in even wild, fast-moving rivers.","184",,"https://images.pokemontcg.io/neo1/2.png","https://images.pokemontcg.io/neo1/2_hires.png","Legal",,,"Colorless","1","","","","","","","Tackle","Colorless, Colorless","2","20","","Bubble Shower","Water, Water, Water","3","30","Flip a coin. If heads, the Defending Pokémon is now Paralyzed and this attack does 10 damage to each of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)","Lightning","×2"
"neo1-3","Bellossom","Pokémon","70","Grass","","Gloom","3","Atsuko Nishida","Rare Holo","Plentiful in the tropics. When it dances, its petals rub together and make a pleasant ringing sound.","182",,"https://images.pokemontcg.io/neo1/3.png","https://images.pokemontcg.io/neo1/3_hires.png","Legal",,,"Colorless, Colorless","2","","","","","","","Sweet Nectar","Grass","1","","Flip a coin. If heads, remove all damage counters from 1 of your Pokémon.","Flower Dance","Grass, Grass, Colorless","3","30×","Does 30 damage times the number of cards with Bellossom in their names that you have in play (including this one).","Fire","×2"
"neo1-4","Feraligatr","Pokémon","100","Water","","Croconaw","4","Ken Sugimori","Rare Holo","When it bites with its massive and powerful jaws, it shakes its head and savagely tears its victim up.","160",,"https://images.pokemontcg.io/neo1/4.png","https://images.pokemontcg.io/neo1/4_hires.png","Legal",,,"Colorless, Colorless, Colorless","3","Berserk","When you play Feraligatr from your hand, flip a coin. If heads, discard the top 5 cards from your opponent's deck. If tails, discard the top 5 cards from your deck.","Pokémon Power","","","","Chomp","Water, Water, Water, Water","4","50+","Flip a number of coins equal to the number of damage counters on Feraligatr. This attack does 50 damage plus 10 more damage for each heads.","","","","","","Grass","×2"
"neo1-5","Feraligatr","Pokémon","120","Water","","Croconaw","5","Ken Sugimori","Rare Holo","It is hard for it to support its own weight out of water, so it gets down on all fours. But it moves fast.","160",,"https://images.pokemontcg.io/neo1/5.png","https://images.pokemontcg.io/neo1/5_hires.png","Legal",,,"Colorless, Colorless, Colorless","3","Downpour","As often as you like during your turn (before your attack), you may discard a Water Energy card from your hand. This power can't be used if Feraligatr is Asleep, Confused, or Paralyzed.","Pokémon Power","","","","Riptide","Water, Water, Water","3","10+","Does 10 damage plus 10 damage times the number of Water Energy cards in your discard pile. Then, shuffle all Water Energy cards from your discard pile into your deck.","","","","","","Grass","×2"
"neo1-6","Heracross","Pokémon","60","Grass","",,"6","Ken Sugimori","Rare Holo","This powerful Pokémon thrusts its prized horn under its enemies' bellies, then lifts and throws them.","214",,"https://images.pokemontcg.io/neo1/6.png","https://images.pokemontcg.io/neo1/6_hires.png","Legal",,,"Colorless, Colorless","2","Final Blow","If Heracross's remaining HP are 20 or less, you may make its Megahorn attack's base damage 120 instead of 60. This power can't be used if Heracross is Asleep, Confused, or Paralyzed.","Pokémon Power","","","","Megahorn","Grass, Grass, Grass","3","60","Flip a coin. If tails, this attack does nothing.","","","","","","Fire","×2"
"neo1-7","Jumpluff","Pokémon","70","Grass","","Skiploom","7","Atsuko Nishida","Rare Holo","Once it catches the wind, it deftly controls its cotton-puff spores to float, even around the world.","189",,"https://images.pokemontcg.io/neo1/7.png","https://images.pokemontcg.io/neo1/7_hires.png","Legal",,,"",,"","","","","","","Sleep Powder","Grass","1","20","The Defending Pokémon is now Asleep.","Leech Seed","Grass","1","20","If this attack damages the Defending Pokémon (after applying Weakness and Resistance), remove 1 damage counter from Jumpluff, if it has any.","Fire","×2"
"neo1-8","Kingdra","Pokémon","90","Water","","Seadra","8","Ken Sugimori","Rare Holo","It is said that it usually hides in underwater caves. It can create whirlpools by yawning.","230",,"https://images.pokemontcg.io/neo1/8.png","https://images.pokemontcg.io/neo1/8_hires.png","Legal",,,"Colorless, Colorless","2","","","","","","","Agility","Water, Water, Colorless","3","30","Flip a coin. If heads, during your opponent's next turn, prevent all effects of attacks, including damage, done to Kingdra.","Dragon Tornado","Water, Water, Water, Water","4","50","If this attack doesn't Knock Out the Defending Pokémon, and if there are any Pokémon on your opponent's Bench, choose 1 of them and switch it with the Defending Pokémon.",,
"neo1-9","Lugia","Pokémon","90","Colorless","",,"9","Hironobu Yoshida","Rare Holo","It is said that it quietly spends its time deep at the bottom of the sea, because its powers are too strong.","249",,"https://images.pokemontcg.io/neo1/9.png","https://images.pokemontcg.io/neo1/9_hires.png","Legal",,,"Colorless, Colorless","2","","","","","","","Elemental Blast","Fire, Water, Lightning","3","90","Discard a Fire Energy card, a Water Energy card, and a Lightning Energy card attached to Lugia in order to use this attack.","","","","","","Psychic","×2"
"neo1-10","Meganium","Pokémon","100","Grass","","Bayleef","10","Ken Sugimori","Rare Holo","Meganium's breath has the power to revive dead grass and plants. It can make them healthy again.","154",,"https://images.pokemontcg.io/neo1/10.png","https://images.pokemontcg.io/neo1/10_hires.png","Legal",,,"Colorless, Colorless, Colorless","3","Herbal Scent","When you play Meganium from your hand, you may flip a coin. If heads, remove all damage counters from all Grass Pokémon in play.","Pokémon Power","","","","Body Slam","Grass, Grass, Colorless, Colorless","4","40","Flip a coin. If heads, the Defending Pokémon is now Paralyzed.","","","","","","Fire","×2"
