"Attack2_Damage","Attack2_Name","Name","HP","Attack1_ConvertedEnergyCost","Attack1_Name","Attack1_Damage","Types","Rarity","Supertype","Attack2_Cost","Subtypes","RetreatCost","ID","Attack1_Cost","Attack2_ConvertedEnergyCost"
"30+","Psychic","Espeon","80","2","Bite","20","Psychic","Rare Holo","Pokemon","Psychic, Psychic, Colorless","Stage 1","","neo2-1","Colorless, Colorless","3"
,,"Forretress","80","3","Rapid Spin","30","Metal","Rare Holo","Pokemon",,"Stage 1","3","neo2-2","Metal, Colorless, Colorless",
"30×","Triple Kick","Hitmontop","60","1","Detect","","Fighting","Rare Holo","Pokemon","Fighting, Fighting, Fighting","Basic","1","neo2-3","Fighting","3"
"50","Flamethrower","Houndoom","70","3","Crunch","30","Darkness","Rare Holo","Pokemon","Fire, Fire, Colorless","Stage 1","1","neo2-4","Darkness, Colorless, Colorless","3"
"20","Collect Fire","Houndour","50","1","Smog","10","Fire","Rare Holo","Pokemon","Fire, Fire","Basic","1","neo2-5","Fire","2"
"40×","Hydrocutter","Kabutops","90","1","Slash","20","Water","Rare Holo","Pokemon","Fighting","Stage 2","2","neo2-6","Colorless","1"
"50","Electric Bolt","Magnemite","40","1","Lock-on","","Metal","Rare Holo","Pokemon","Lightning, Colorless","Basic","1","neo2-7","Colorless","2"
,,"Politoed","100","4","Doubleslap","40×","Water","Rare Holo","Pokemon",,"Stage 2","3","neo2-8","Water, Water, Colorless, Colorless",
"70","Submission","Poliwrath","90","2","Corkscrew Punch","30","Fighting","Rare Holo","Pokemon","Fighting, Fighting, Colorless, Colorless","Stage 2","2","neo2-9","Fighting, Colorless","4"
"20+","Double Claw","Scizor","80","1","False Swipe","?","Metal","Rare Holo","Pokemon","Colorless, Colorless, Colorless","Stage 1","2","neo2-10","Metal","3"
,,"Smeargle","50","2","Sketch","","Colorless","Rare Holo","Pokemon",,"Basic","1","neo2-11","Colorless, Colorless",
"50","Trample","Tyranitar","100","3","Slam","30×","Darkness","Rare Holo","Pokemon","Darkness, Darkness, Colorless, Colorless","Stage 2","3","neo2-12","Colorless, Colorless, Colorless","4"
"","Feint Attack","Umbreon","80","2","Bite","20","Darkness","Rare Holo","Pokemon","Darkness, Darkness, Colorless","Stage 1","1","neo2-13","Colorless, Colorless","3"
,,"Unown [A]","40","1","Hidden Power","10","Psychic","Rare Holo","Pokemon",,"Basic","1","neo2-14","Psychic",
"40×","Double Lariat","Ursaring","80","2","Headpress","20","Colorless","Rare Holo","Pokemon","Colorless, Colorless, Colorless, Colorless","Stage 1","3","neo2-15","Colorless, Colorless","4"
,,"Wobbuffet","90","1","Counter","","Psychic","Rare Holo","Pokemon",,"Basic","3","neo2-16","Psychic",
"30","Swift","Yanma","60","1","Shockwave","","Grass","Rare Holo","Pokemon","Grass, Grass, Grass","Basic","","neo2-17","Grass","3"
"20×","Pin Missile","Beedrill","80","1","Triple Poison","10","Grass","Rare","Pokemon","Grass, Grass, Colorless","Stage 2","","neo2-18","Grass","3"
"","Hyper Reverse","Butterfree","80","2","Magic Dust","20","Grass","Rare","Pokemon","Grass, Grass, Colorless","Stage 2","","neo2-19","Grass, Colorless","3"
"30","Psybeam","Espeon","70","2","Quick Attack","10+","Psychic","Rare","Pokemon","Psychic, Psychic, Colorless","Stage 1","1","neo2-20","Colorless, Colorless","3"
,,"Forretress","80","3","Rapid Spin","30","Metal","Rare","Pokemon",,"Stage 1","3","neo2-21","Metal, Colorless, Colorless",
"30×","Triple Kick","Hitmontop","60","1","Detect","","Fighting","Rare","Pokemon","Fighting, Fighting, Fighting","Basic","1","neo2-22","Fighting","3"
"50","Flamethrower","Houndoom","70","3","Crunch","30","Darkness","Rare","Pokemon","Fire, Fire, Colorless","Stage 1","1","neo2-23","Darkness, Colorless, Colorless","3"
"20","Collect Fire","Houndour","50","1","Smog","10","Fire","Rare","Pokemon","Fire, Fire","Basic","1","neo2-24","Fire","2"
"40×","Hydrocutter","Kabutops","90","1","Slash","20","Water","Rare","Pokemon","Fighting","Stage 2","2","neo2-25","Colorless","1"
"50","Electric Bolt","Magnemite","40","1","Lock-on","","Metal","Rare","Pokemon","Lightning, Colorless","Basic","1","neo2-26","Colorless","2"
,,"Politoed","100","4","Doubleslap","40×","Water","Rare","Pokemon",,"Stage 2","3","neo2-27","Water, Water, Colorless, Colorless",
