"ID","Name","Supertype","Subtypes","HP","Types","RetreatCost","Rarity","Attacks"
"neo3-1","Ampharos","Pokemon","Stage 2","90","Lightning","3","Rare Holo","Attract Current: Cost=[], Damage=20, Text=Flip 3 coins. For each heads, you may search your deck for a Lightning Energy card and attach it to 1 of your Lightning Pokemon. Shuffle your deck afterward. | Gigavolt: Cost=[], Damage=40+, Text=Flip a coin. If heads, this attack does 40 damage plus 20 more damage. If tails, this attack does 40 damage and the Defending Pokemon is now Paralyzed."
"neo3-2","Blissey","Pokemon","Stage 1","120","Colorless","2","Rare Holo","Body Slam: Cost=[], Damage=30, Text=Flip a coin. If heads, the Defending Pokemon is now Paralyzed."
"neo3-3","Celebi","Pokemon","Basic","50","Psychic","1","Rare Holo","Psychic Damage: Cost=[], Damage=, Text=Flip 3 coins. For each heads, put 1 damage counter on the Defending Pokemon."
"neo3-4","Crobat","Pokemon","Stage 2","90","Grass","","Rare Holo","Triggered Poison: Cost=[], Damage=20, Text=If your opponent attaches an Energy card to the Defending Pokemon during his or her next turn, that Pokemon becomes Poisoned. | Cross Attack: Cost=[], Damage=20×, Text=Flip 4 coins. This attack does 20 damage times the number of heads. If you get 2 or more heads, the Defending Pokemon is now Confused."
"neo3-5","Delibird","Pokemon","Basic","60","Colorless","1","Rare Holo","Present: Cost=[], Damage=, Text=Flip 3 coins. If exactly 1 is heads, this attack does 40 damage. If exactly 2 are heads, remove 3 damage counters from the Defending Pokemon. If the Defending Pokemon has fewer damage counters than that, remove all of them. If all 3 are heads, this attack does 60 damage. If all 3 are tails, remove all damage counters from the Defending Pokemon."
"neo3-6","Entei","Pokemon","Basic","80","Fire","1","Rare Holo","Searing Flames: Cost=[], Damage=60, Text=Discard 2 Fire Energy cards attached to Entei or this attack does nothing."
"neo3-7","Ho-oh","Pokemon","Basic","90","Fire","2","Rare Holo","Stoke: Cost=[], Damage=, Text=You may search your deck for a Fire Energy card and attach it to Ho-Oh. Shuffle your deck afterward. | Sacred Fire: Cost=[], Damage=, Text=Flip a coin. If heads, choose 1 of your opponent's Pokemon. This attack does 40 damage to that Pokemon. Don't apply Weakness and Resistance. | Dive Bomb: Cost=[], Damage=90, Text=Flip a coin. If tails, this attack does nothing."
"neo3-8","Houndoom","Pokemon","Stage 1","70","Darkness","1","Rare Holo","Dark Flame: Cost=[], Damage=20, Text=Discard 1 Fire Energy card attached to Houndoom or this attack does nothing. If there are any Darkness Energy cards in your discard pile, attach 1 of them to Houndoom. | Black Fang: Cost=[], Damage=30+, Text=Flip a number of coins equal to the number of Darkness Energy attached to Houndoom. This attack does 30 damage plus 10 more damage for each heads."
"neo3-9","Jumpluff","Pokemon","Stage 2","70","Grass","","Rare Holo","Evolutionary Spore: Cost=[], Damage=, Text=Choose any number of your Hoppips and Skiplooms. Then, for each Pokemon you chose in this way, you may search your deck for a card that evolves from that Pokemon and attach it to that Pokemon. (This counts as evolving those Pokemon.) Shuffle your deck afterward. | Solarbeam: Cost=[], Damage=30, Text="
"neo3-10","Magneton","Pokemon","Stage 1","80","Metal","2","Rare Holo","Plasma: Cost=[], Damage=30, Text=If there are any Lightning Energy cards in your discard pile, attach 1 of them to Magneton."
"neo3-11","Misdreavus","Pokemon","Basic","50","Psychic","1","Rare Holo","Night Eyes: Cost=[], Damage=, Text=The Defending Pokemon is now Asleep. | Perish Song: Cost=[], Damage=, Text=If the Defending Pokemon is Asleep and was attacked with Night Eyes during your last turn, it is Knocked Out."
