"ID","Name","Supertype","Subtypes","HP","Types","RetreatCost","Rarity","Ability","Attacks"
"neo4-1","Dark Ampharos","Pokemon","Stage 2","70","Lightning","2","Rare Holo","Conductivity: Effect=[Whenever your opponent attaches an Energy card from his or her hand to a Pokemon, this power does 10 damage to that Pokemon. (Don't apply Weakness and Resistance.) This power stops working if you have more than 1 Dark Ampharos in play or while Dark Ampharos is Asleep, Confused, or Paralyzed.]","Shock Bolt: Cost=[Lightning, Colorless, Colorless], EnergyCost=[3], Damage=50, Text=Discard all Lightning Energy cards attached to Dark Ampharos or this attack does nothing."
"neo4-2","Dark Crobat","Pokemon","Stage 2","70","Grass","","Rare Holo","Surprise Bite: Effect=[When you play Dark Crobat from your hand, you may choose 1 of your opponent's Pokemon. This power does 20 damage to that Pokemon. (Don't apply Weakness and Resistance.)]","Dark Drain: Cost=[Grass, Grass], EnergyCost=[2], Damage=, Text=Flip a coin for each of your opponent's Pokemon. For each heads, this attack does 10 damage to that Pokemon. Don't apply Weakness and Resistance. Remove a number of damage counters from Dark Crobat equal to the damage dealt. If Dark Crobat has fewer damage counters than that, remove all of them."
"neo4-3","Dark Donphan","Pokemon","Stage 1","60","Fighting","3","Rare Holo","","Tusk Toss: Cost=[Fighting, Fighting], EnergyCost=[2], Damage=, Text=If your opponent has any Benched Pokemon, flip a coin. If heads, return the Defending Pokemon and all cards attached to it to your opponent's hand. If tails, your opponent chooses 1 of his or her Benched Pokemon and switches it with the Defending Pokemon. | Giant Tusk: Cost=[Fighting, Fighting, Colorless], EnergyCost=[3], Damage=50, Text="
"neo4-4","Dark Espeon","Pokemon","Stage 1","60","Psychic","","Rare Holo","","Gouge: Cost=[Colorless], EnergyCost=[1], Damage=10+, Text=Flip a coin. If heads, this attack does 10 damage plus 10 more damage; if tails, this attack does 10 damage. | Psysplash: Cost=[Psychic, Colorless, Colorless], EnergyCost=[3], Damage=, Text=Does 10 damage to each of your opponent's Pokemon for each Energy card attached to that Pokemon. Don't apply Weakness and Resistance."
"neo4-5","Dark Feraligatr","Pokemon","Stage 2","80","Water","3","Rare Holo","Scare: Effect=[As long as Dark Feraligatr is your Active Pokemon, all of your opponent's Baby Pokemon Powers stop working and your opponent's Baby Pokemon can't attack. This power stops working while Dark Feraligatr is Asleep, Confused, or Paralyzed.]","Crushing Blow: Cost=[Water, Water, Water], EnergyCost=[3], Damage=50, Text=If the Defending Pokemon has any Energy cards attached to it, flip a coin. If heads, choose 1 of those cards and discard it."
"neo4-6","Dark Gengar","Pokemon","Stage 2","70","Psychic","2","Rare Holo","Deep Sleep: Effect=[As long as any Dark Gengar are in play, a player flips 2 coins for each of his or her Pokemon that is Asleep at the end of each turn. If either of them is tails, that Pokemon is still Asleep. This power stops working if Dark Gengar is Asleep, Confused, or Paralyzed.]","Pull In: Cost=[Psychic, Psychic, Psychic], EnergyCost=[3], Damage=30, Text=If your opponent has any Benched Pokemon, you may choose 1 of them and switch it with the Defending Pokemon (before doing damage or other effects of this attack). Either way, the Defending Pokemon is now Asleep."
"neo4-7","Dark Houndoom","Pokemon","Stage 1","60","Fire","1","Rare Holo","","Eerie Howl: Cost=[Colorless], EnergyCost=[1], Damage=, Text=If your opponent's Bench isn't full, look at his or her hand. If your opponent has any Baby Pokemon or Basic Pokemon there, choose 1 of them and put it on his or her Bench. Then, switch it with the Defending Pokemon. | Dark Fire: Cost=[Fire, Colorless], EnergyCost=[2], Damage=30+, Text=If there are any Darkness Energy cards attached to Dark Houndoom, discard 1 of them and this attack does 30 damage plus 20 more damage (plus 10 more damage for the Darkness Energy you discarded). If there aren't any, this attack does 30 damage."
"neo4-8","Dark Porygon2","Pokemon","Stage 1","60","Colorless","1","Rare Holo","Spatial Distortion: Effect=[Once during your turn (before your attack), you may flip a coin. If heads, choose a Stadium card from your discard pile and put it into play. (If there's already a Stadium card in play, discard it.) This power can't be used if Dark Porygon2 is Asleep, Confused, or Paralyzed.]","Curve Attack: Cost=[Colorless, Colorless, Colorless], EnergyCost=[3], Damage=20, Text=Flip a coin. If heads, prevent all damage done by attacks to Dark Porygon2 during your opponent's next turn. (Any other effects of attacks still happen.)"
"neo4-9","Dark Scizor","Pokemon","Stage 1","70","Metal","2","Rare Holo","","Threaten: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=, Text=Flip a coin. If heads, look at your opponent's hand. If he or she has any Trainer cards there, choose 1 of them. Your opponent shuffles that card into his or her deck. | Slash: Cost=[Colorless, Colorless, Colorless], EnergyCost=[3], Damage=30, Text="
"neo4-10","Dark Typhlosion","Pokemon","Stage 2","80","Fire","1","Rare Holo","","Claw Swipe: Cost=[Colorless], EnergyCost=[1], Damage=20, Text= | Rushing Flames: Cost=[Fire], EnergyCost=[1], Damage=40×, Text=You may discard any number of Fire Energy cards attached to your Pokemon. Flip a coin for each Fire Energy card discarded in this way. This attack does 40 damage times the number of heads."
