"ID","Name","Supertype","Subtypes","HP","Types","RetreatCost","Rarity","Ability","Attacks"
"np-3","Treecko","Pokemon","Basic","40","Grass","1","Promo","","Tail Slap: Cost=[Colorless], EnergyCost=[1], Damage=10, Text= | Razor Leaf: Cost=[Grass, Colorless], EnergyCost=[2], Damage=20, Text="
"np-4","Grovyle","Pokemon","Stage 1","70","Grass","1","Promo","","Poison Breath: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=, Text=The Defending Pokemon is now Poisoned. | Swift: Cost=[Grass, Colorless, Colorless], EnergyCost=[3], Damage=30, Text=This attack's damage isn't affected by Weakness, Resistance, Poke-Powers, Poke-Bodies, or any other effects on the Defending Pokemon."
"np-5","Mudkip","Pokemon","Basic","50","Water","1","Promo","","Pound: Cost=[Colorless], EnergyCost=[1], Damage=10, Text= | Fury Swipes: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=10×, Text=Flip 3 coins. This attack does 10 damage times the number of heads."
"np-6","Torchic","Pokemon","Basic","40","Fire","1","Promo","","Peck: Cost=[Colorless], EnergyCost=[1], Damage=10, Text= | Fireworks: Cost=[Fire, Colorless], EnergyCost=[2], Damage=30, Text=Flip a coin. If tails, discard a Fire Energy card attached to Torchic."
"np-7","Treecko","Pokemon","Basic","40","Grass","1","Promo","","Tail Slap: Cost=[Colorless], EnergyCost=[1], Damage=10, Text= | Razor Leaf: Cost=[Grass, Colorless], EnergyCost=[2], Damage=20, Text="
"np-8","Torchic","Pokemon","Basic","40","Fire","1","Promo","","Peck: Cost=[Colorless], EnergyCost=[1], Damage=10, Text= | Fireworks: Cost=[Fire, Colorless], EnergyCost=[2], Damage=30, Text=Flip a coin. If tails, discard a Fire Energy card attached to Torchic."
"np-9","Combusken","Pokemon","Stage 1","70","Fire","1","Promo","","Flare: Cost=[Fire], EnergyCost=[1], Damage=20, Text= | Double Kick: Cost=[Colorless, Colorless, Colorless], EnergyCost=[3], Damage=40×, Text=Flip 2 coins. This attack does 40 damage times the number of heads."
"np-10","Mudkip","Pokemon","Basic","50","Water","1","Promo","","Pound: Cost=[Colorless], EnergyCost=[1], Damage=10, Text= | Fury Swipes: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=10×, Text=Flip 3 coins. This attack does 10 damage times the number of heads."
"np-11","Marshtomp","Pokemon","Stage 1","70","Water","1","Promo","","Bubble: Cost=[Water], EnergyCost=[1], Damage=10, Text=Flip a coin. If heads, the Defending Pokemon is now Paralyzed. | Slash: Cost=[Colorless, Colorless, Colorless], EnergyCost=[3], Damage=40, Text="
"np-12","Pikachu","Pokemon","Basic","50","Lightning","1","Promo","","Agility: Cost=[Colorless], EnergyCost=[1], Damage=, Text=Flip a coin. If heads, prevent all effects of an attack, including damage, done to Pikachu during your opponent's next turn. | Thundershock: Cost=[Lightning, Colorless], EnergyCost=[2], Damage=20, Text=Flip a coin. If heads, the Defending Pokemon is now Paralyzed."
"np-13","Meowth","Pokemon","Basic","50","Colorless","1","Promo","","Plunder: Cost=[Colorless], EnergyCost=[1], Damage=10, Text=Before doing damage, discard all Trainer cards attached to the Defending Pokemon (before they affect the damage.). | Scratch: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=20, Text="
"np-14","Latias","Pokemon","Basic","70","Colorless","2","Promo","","Super Psy: Cost=[Psychic], EnergyCost=[1], Damage=10, Text= | Searing Flame: Cost=[Fire, Water], EnergyCost=[2], Damage=20, Text=Flip a coin. If heads, the Defending Pokemon is now Burned."
"np-15","Latios","Pokemon","Basic","80","Colorless","3","Promo","","Super Psy: Cost=[Psychic], EnergyCost=[1], Damage=10, Text= | Freeze Dry: Cost=[Water, Psychic, Lightning], EnergyCost=[3], Damage=30, Text=Flip a coin. If heads, the Defending Pokemon is now Paralyzed."
"np-16","Treecko","Pokemon","Basic","40","Grass","1","Promo","","Pound: Cost=[Colorless], EnergyCost=[1], Damage=10, Text= | Sporadic Sponging: Cost=[Grass], EnergyCost=[1], Damage=10, Text=Flip a coin. If heads, remove 1 damage counter from Treecko."
"np-17","Torchic","Pokemon","Basic","50","Fire","1","Promo","","Ember: Cost=[Fire, Colorless], EnergyCost=[2], Damage=30, Text=Discard a Fire Energy card attached to Torchic."
"np-18","Mudkip","Pokemon","Basic","50","Water","1","Promo","","Surf: Cost=[Water], EnergyCost=[1], Damage=10, Text= | Whirlpool: Cost=[Water, Colorless], EnergyCost=[2], Damage=10, Text=Flip a coin. If heads, discard an Energy card attached to the Defending Pokemon."
"np-19","Whismur","Pokemon","Basic","50","Colorless","1","Promo","","Supersonic: Cost=[Colorless], EnergyCost=[1], Damage=, Text=Flip a coin. If heads, the Defending Pokemon is now Confused. | Pound: Cost=[Colorless], EnergyCost=[1], Damage=10, Text="
"np-20","Ludicolo","Pokemon","Stage 2","90","Water","2","Promo","Rain Dish: Effect=[At any time between turns, remove 1 damage counter from Ludicolo.]","Fury Swipes: Cost=[Water, Colorless, Colorless], EnergyCost=[3], Damage=30×, Text=Flip 3 coins. This attack does 30 damage times the number of heads."
"np-21","Jirachi","Pokemon","Basic","50","Psychic","1","Promo","","The Third Eye: Cost=[Colorless], EnergyCost=[1], Damage=, Text=Discard an Energy card attached to Jirachi and draw 3 cards. | Psywave: Cost=[Psychic], EnergyCost=[1], Damage=10×, Text=Does 10 damage times the amount of Energy attached to the Defending Pokemon."
"np-22","Beldum","Pokemon","Basic","50","Metal","2","Promo","Magnetic Call: Effect=[Once during your turn (before your attack), you may flip a coin. If heads, search your deck for a Metal Basic Pokemon and put it onto your Bench. Shuffle your deck afterward. This power can't be used if Beldum is affected by a Special Condition.]","Metal Charge: Cost=[Metal, Colorless], EnergyCost=[2], Damage=30, Text=Put 1 damage counter on Beldum."
"np-23","Metang","Pokemon","Stage 1","80","Metal","2","Promo","","Metal Load: Cost=[Colorless], EnergyCost=[1], Damage=, Text=Search your discard pile for a Metal Energy card and attach it to Metang. | Metal Claw: Cost=[Metal, Colorless], EnergyCost=[2], Damage=30, Text="
"np-24","Chimecho","Pokemon","Basic","70","Psychic","1","Promo","","Resonate: Cost=[Colorless], EnergyCost=[1], Damage=, Text=Your opponent switches each Defending Pokemon with his or her Benched Pokemon. If your opponent has only 1 Benched Pokemon, you choose the Defending Pokemon to switch. | Healing Sound: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=, Text=Remove 3 damage counters from each of your Active Pokemon. Each Defending Pokemon is now Asleep."
"np-25","Flygon","Pokemon","Stage 2","120","Colorless","2","Promo","","Sand Pit: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=20, Text=The Defending Pokemon can't retreat until the end of your opponent's next turn. | Dragonbreath: Cost=[Grass, Lightning, Colorless, Colorless], EnergyCost=[4], Damage=80, Text=Flip a coin. If heads, the Defending Pokemon is now Paralyzed. If tails, this attack does nothing."
"np-26","Tropical Wind","Trainer","Item",,"","","Promo","",""
"np-27","Tropical Tidal Wave","Trainer","Item",,"","","Promo","",""
"np-28","Championship Arena","Trainer","Stadium",,"","","Promo","",""
"np-29","Celebi","Pokemon","Basic","50","Grass","1","Promo","","Leaf Slice: Cost=[Grass, Colorless], EnergyCost=[2], Damage=20×, Text=Flip 2 coins. This attack does 20 damage times the number of heads."
"np-30","Suicune","Pokemon","Basic","70","Water","1","Promo","Pure Body: Effect=[Whenever you attach a Water Energy card from your hand to Suicune, discard an Energy card attached to Suicune. (You can't attach a Water Energy card from your hand if Suicune has no Energy cards attached.)]","Hypno Wave: Cost=[Water, Colorless, Colorless], EnergyCost=[3], Damage=30+, Text=Flip a coin. If heads, this attack does 30 damage plus 20 more damage. If tails, this attack does 30 damage and the Defending Pokemon is now Asleep."
"np-34","Typhlosion","Pokemon","Stage 2","110","Fire","1","Promo","Burning Aura: Effect=[As long as Typhlosion is your Active Pokemon, put 1 damage counter on each Active Pokemon (both yours and your opponent's) between turns.]","Flickering Flames: Cost=[Fire], EnergyCost=[1], Damage=20, Text=The Defending Pokemon is now Asleep. | Rage: Cost=[Fire, Colorless, Colorless], EnergyCost=[3], Damage=50+, Text=Does 50 damage plus 10 more damage for each damage counter on Typhlosion."
"np-35","Pikachu δ","Pokemon","Basic","40","Metal","1","Promo","","Thunder Wave: Cost=[Colorless], EnergyCost=[1], Damage=, Text=Flip a coin. If heads, the Defending Pokemon is now Paralyzed. | Iron Tail: Cost=[Metal, Colorless], EnergyCost=[2], Damage=20×, Text=Flip a coin until you get tails. This attack does 20 damage times the number of heads."
"np-36","Tropical Tidal Wave","Trainer","Item",,"","","Promo","",""
"np-40","Mew","Pokemon","Basic","50","Psychic","1","Promo","","Psywave: Cost=[Colorless], EnergyCost=[1], Damage=10×, Text=Does 10 damage times the amount of Energy attached to the Defending Pokemon. | Devolution Beam: Cost=[Psychic], EnergyCost=[1], Damage=, Text=Flip a coin. If heads, choose 1 of either player's Evolved Pokemon, remove the highest stage Evolution card from that Pokemon, and put it into that player's hand."
