"ID","Name","Supertype","Subtypes","HP","Types","RetreatCost","Rarity","Ability","Attacks"
"pgo-1","Bulbasaur","Pokemon","Basic","70","Grass","2","Common","","Vine Whip: Cost=[Grass], EnergyCost=[1], Damage=10, Text= | Razor Leaf: Cost=[Grass, Colorless], EnergyCost=[2], Damage=20, Text="
"pgo-2","Ivysaur","Pokemon","Stage 1","100","Grass","3","Uncommon","","Summoning Aroma: Cost=[Grass], EnergyCost=[1], Damage=, Text=Search your deck for up to 2 Pokemon, reveal them, and put them into your hand. Then, shuffle your deck. | Razor Leaf: Cost=[Grass, Colorless, Colorless], EnergyCost=[3], Damage=60, Text="
"pgo-3","Venusaur","Pokemon","Stage 2","180","Grass","4","Rare Holo","Loopy Lasso: Effect=[Once during your turn, you may flip a coin. If heads, switch 1 of your opponent's Benched Pokemon with their Active Pokemon, and the new Active Pokemon is now Asleep and Poisoned.]","Solar Beam: Cost=[Grass, Grass, Colorless, Colorless], EnergyCost=[4], Damage=130, Text="
"pgo-6","Spinarak","Pokemon","Basic","60","Grass","1","Common","","Poison Sting: Cost=[Grass], EnergyCost=[1], Damage=10, Text=Flip a coin. If heads, your opponent's Active Pokemon is now Poisoned."
"pgo-7","Ariados","Pokemon","Stage 1","110","Grass","1","Uncommon","","Poison String-Up: Cost=[Colorless], EnergyCost=[1], Damage=20, Text=Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed and Poisoned. | Absorb: Cost=[Grass, Colorless], EnergyCost=[2], Damage=50, Text=Heal 50 damage from this Pokemon."
"pgo-8","Charmander","Pokemon","Basic","60","Fire","1","Common","","Tail on Fire: Cost=[Fire], EnergyCost=[1], Damage=10, Text=Search your deck for a Fire Energy card and attach it to this Pokemon. Then, shuffle your deck."
"pgo-9","Charmeleon","Pokemon","Stage 1","90","Fire","2","Uncommon","","Scratch: Cost=[Fire, Colorless], EnergyCost=[2], Damage=30, Text= | Flamethrower: Cost=[Fire, Fire, Colorless, Colorless], EnergyCost=[4], Damage=100, Text=Discard a Fire Energy from this Pokemon."
"pgo-10","Charizard","Pokemon","Stage 2","170","Fire","3","Rare Holo","Burn Brightly: Effect=[Each basic Fire Energy attached to your Pokemon provides FireFire Energy. You can't apply more than 1 Burn Brightly Ability at a time.]","Flare Blitz: Cost=[Fire, Fire, Colorless, Colorless], EnergyCost=[4], Damage=170, Text=Discard all Fire Energy from this Pokemon."
"pgo-12","Moltres","Pokemon","Basic","120","Fire","2","Rare Holo","Flare Symbol: Effect=[Your Basic Fire Pokemon's attacks, except any Moltres, do 10 more damage to your opponent's Active Pokemon (before applying Weakness and Resistance).]","Fire Wing: Cost=[Fire, Fire, Colorless], EnergyCost=[3], Damage=110, Text="
"pgo-13","Numel","Pokemon","Basic","80","Fire","3","Common","","Tackle: Cost=[Fire, Colorless], EnergyCost=[2], Damage=20, Text= | Stomp: Cost=[Fire, Fire, Colorless], EnergyCost=[3], Damage=50+, Text=Flip a coin. If heads, this attack does 50 more damage."
