"ID","Name","Supertype","Subtypes","HP","Types","RetreatCost","Rarity","Ability","Attacks"
"pl3-1","Absol G","Pokemon","Basic, SP","70","Darkness","1","Rare Holo","","Feint Attack: Cost=[Darkness], EnergyCost=[1], Damage=, Text=Choose 1 of your opponent's Pokemon. This attack does 20 damage to that Pokemon. This attack's damage isn't affected by Weakness, Resistance, Poke-Powers, Poke-Bodies, or any other effects on that Pokemon. | Doom News: Cost=[Darkness, Colorless, Colorless], EnergyCost=[3], Damage=, Text=Return all Energy cards attached to Absol G to your hand. The Defending Pokemon is Knocked Out at the end of your opponent's next turn."
"pl3-2","Blaziken FB","Pokemon","Basic, SP","80","Fire","1","Rare Holo","","Luring Flame: Cost=[Fire], EnergyCost=[1], Damage=, Text=Switch the Defending Pokemon with 1 of your opponent's Benched Pokemon. The new Defending Pokemon is now Burned. | Vapor Kick: Cost=[Fire, Colorless], EnergyCost=[2], Damage=30+, Text=If your opponent has any Water Pokemon in play, this attack does 30 damage plus 30 more damage."
"pl3-3","Drifblim FB","Pokemon","Basic, SP","80","Psychic","2","Rare Holo","Pump Up: Effect=[If your opponent has 3 or less Prize cards left, Drifblim FB gets +40 HP.]","Shadow Ball: Cost=[Psychic, Colorless, Colorless], EnergyCost=[3], Damage=, Text=Choose 1 of your opponent's Benched Pokemon. This attack does 40 damage to that Pokemon. Apply Weakness and Resistance."
"pl3-4","Electivire FB","Pokemon","Basic, SP","90","Lightning","3","Rare Holo","","Dump and Draw: Cost=[Colorless], EnergyCost=[1], Damage=, Text=Discard up to 2 Energy cards from your hand. For each card you discarded, draw 2 cards. | Electric Current: Cost=[Lightning, Colorless, Colorless], EnergyCost=[3], Damage=40, Text=Move a Lightning Energy card attached to Electivire FB to 1 of your Benched Pokemon."
"pl3-5","Garchomp","Pokemon","Stage 2","130","Colorless","","Rare Holo","Dragon Intimidation: Effect=[If Garchomp is your Active Pokemon and is damaged by an opponent's attack (even if Garchomp is Knocked Out), choose an Energy card attached to the Attacking Pokemon and put it into your opponent's hand.]","Guard Claw: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=40, Text=During your opponent's next turn, any damage done to Garchomp by attacks is reduced by 20 (after applying Weakness and Resistance). | Speed Impact: Cost=[Colorless, Colorless, Colorless], EnergyCost=[3], Damage=120-, Text=Does 120 damage minus 20 damage for each Energy attached to the Defending Pokemon."
"pl3-6","Magmortar","Pokemon","Stage 1","110","Fire","2","Rare Holo","Evolutionary Flame: Effect=[Once during your turn, when you play Magmortar from your hand to evolve 1 of your Pokemon, you may use this power. Your opponent's Active Pokemon is now Burned and Confused.]","Fire Arrow: Cost=[Fire, Colorless], EnergyCost=[2], Damage=, Text=Choose 1 of your opponent's Pokemon. This attack does 30 damage to that Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.) | Flame Ball: Cost=[Fire, Colorless, Colorless], EnergyCost=[3], Damage=60, Text=You may move a Fire Energy card attached to Magmortar to 1 of your Benched Pokemon."
"pl3-7","Metagross","Pokemon","Stage 2","130","Metal","3","Rare Holo","Gravitation: Effect=[Each Pokemon in play (both yours and your opponent's) gets -20 HP. No more than 20 HP can be reduced by all Gravitation Poke-Bodies.]","Geo Impact: Cost=[Metal, Metal, Colorless], EnergyCost=[3], Damage=60, Text=If you have a Stadium card in play, this attack does 20 damage to each of your opponent's Benched Pokemon that is the same type as the Defending Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)"
"pl3-8","Rayquaza C","Pokemon","Basic, SP","100","Colorless","3","Rare Holo","","Trash Burst: Cost=[Colorless], EnergyCost=[1], Damage=10+, Text=You may discard up to 5 Energy cards from your hand. If you do, this attack does 10 damage plus 10 more damage for each Energy card you discarded. | Twister: Cost=[Colorless, Colorless, Colorless, Colorless], EnergyCost=[4], Damage=50, Text=Flip 2 coins. If both are tails, this attack does nothing. For each heads, discard an Energy attached to the Defending Pokemon."
"pl3-9","Regigigas FB","Pokemon","Basic, SP","100","Colorless","4","Rare Holo","","Drain Punch: Cost=[Colorless, Colorless, Colorless], EnergyCost=[3], Damage=30, Text=Remove from Regigigas FB a number of damage counters equal to the amount of Energy attached to the Defending Pokemon. | Rainbow Lariat: Cost=[Colorless, Colorless, Colorless, Colorless], EnergyCost=[4], Damage=20×, Text=Does 20 damage times the number of different types of Pokemon SP you have in play."
"pl3-10","Rhyperior","Pokemon","Stage 2","140","Fighting","4","Rare Holo","","Raging Drill: Cost=[Fighting, Colorless], EnergyCost=[2], Damage=30+, Text=Does 30 damage plus 10 more damage for each damage counter on Rhyperior. | Deep Scrap: Cost=[Fighting, Fighting, Colorless, Colorless], EnergyCost=[4], Damage=60, Text=If the Defending Pokemon would be Knocked Out by this attack, discard the top 3 cards from your opponent's deck."
"pl3-11","Staraptor FB","Pokemon","Basic, SP","80","Colorless","1","Rare Holo","","Quick Attack: Cost=[Colorless], EnergyCost=[1], Damage=10+, Text=Flip a coin. If heads, this attack does 10 damage plus 10 more damage. | Whirlwind: Cost=[Colorless, Colorless, Colorless], EnergyCost=[3], Damage=30, Text=Your opponent switches the Defending Pokemon with 1 of his or her Benched Pokemon."
"pl3-12","Swampert","Pokemon","Stage 2","130","Water","2","Rare Holo","Root Protector: Effect=[Any damage done to Swampert by attacks from your opponent's Pokemon that isn't an Evolved Pokemon is reduced by 20 (after applying Weakness and Resistance).]","Drag Off: Cost=[Water, Colorless, Colorless], EnergyCost=[3], Damage=30, Text=Before doing damage, you may switch your opponent's Active Pokemon with 1 of his or her Benched Pokemon. | Push Over: Cost=[Water, Colorless, Colorless, Colorless], EnergyCost=[4], Damage=60+, Text=Does 60 damage plus 10 more damage for each Fighting Energy attached to Swampert."
"pl3-13","Venusaur","Pokemon","Stage 2","140","Grass","4","Rare Holo","Green Aroma: Effect=[Remove all Special Conditions from each of your Grass Pokemon. Each of your Grass Pokemon can't be affected by any Special Conditions.]","Desperate Pollen: Cost=[Grass], EnergyCost=[1], Damage=30, Text=If Venusaur already has 8 or more damage counters on it, the Defending Pokemon is now Burned, Confused, and Poisoned. | Special Reaction: Cost=[Grass, Grass, Colorless, Colorless], EnergyCost=[4], Damage=40+, Text=If the Defending Pokemon is affected by any Special Conditions, this attack does 40 damage plus 40 more damage for each of those Special Conditions."
"pl3-14","Yanmega","Pokemon","Stage 1","100","Grass","","Rare Holo","Speed Boost: Effect=[Once during your turn (before your attack), if Yanmega is your Active Pokemon, you may search your discard pile for a Grass Energy card and attach it to Yanmega. This power can't be used if Yanmega is affected by a Special Condition.]","Wind Return: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=20+, Text=You may return all Grass Energy attached to Yanmega to your hand. If you do, this attack does 20 damage plus 20 more damage for each Energy card you returned. | Speed Dive: Cost=[Grass, Grass, Colorless, Colorless], EnergyCost=[4], Damage=70, Text="
"pl3-15","Arcanine G","Pokemon","Basic, SP","90","Fire","2","Rare","Extreme Speed: Effect=[Arcanine G's Retreat Cost is Colorless less for each Fire Energy attached to Arcanine G.]","Overrun: Cost=[Fire, Colorless, Colorless], EnergyCost=[3], Damage=40, Text=Does 20 damage to 1 of your opponent's Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)"
"pl3-16","Articuno","Pokemon","Basic","100","Water","2","Rare","","Sharp Beak: Cost=[Water, Colorless, Colorless], EnergyCost=[3], Damage=30+, Text=Flip a coin. If heads, this attack does 30 damage plus 10 more damage. | Ice Beam: Cost=[Water, Water, Colorless, Colorless], EnergyCost=[4], Damage=50, Text=Flip a coin. If heads, the Defending Pokemon is now Paralyzed."
"pl3-17","Butterfree FB","Pokemon","Basic, SP","90","Grass","1","Rare","Compound Eyes: Effect=[If your opponent's Active Pokemon has any Poke-Bodies, each of Butterfree FB's attacks does 30 more damage to the Active Pokemon (before applying Weakness and Resistance).]","Select Powder: Cost=[Grass, Colorless, Colorless], EnergyCost=[3], Damage=30, Text=Choose either Burned or Poisoned. The Defending Pokemon is now affected by that Special Condition."
"pl3-18","Camerupt","Pokemon","Stage 1","120","Fire","4","Rare","","Moving Fire: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=30, Text=You may move a Fire Energy card attached to 1 of your Benched Pokemon to Camerupt. | Volcanic Crash: Cost=[Fire, Fire, Colorless, Colorless], EnergyCost=[4], Damage=100, Text=Flip 3 coins. For each tails, discard the top card of your deck. Ignore this effect if your opponent has any Water Pokemon in play."
"pl3-19","Camerupt G","Pokemon","Basic, SP","100","Fire","3","Rare","","Searing Flame: Cost=[Fire, Colorless], EnergyCost=[2], Damage=20, Text=The Defending Pokemon is now Burned. | Earth Power: Cost=[Colorless, Colorless, Colorless, Colorless], EnergyCost=[4], Damage=60, Text=Flip 2 coins. This attack does 10 damage times the number of heads to each of your opponent's Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)"
"pl3-20","Charizard G","Pokemon","Basic, SP","100","Fire","3","Rare","","Flame Jet: Cost=[Fire, Colorless], EnergyCost=[2], Damage=, Text=Flip a coin. If heads, this attack does 40 damage to 1 of your opponent's Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.) | Heat Blast: Cost=[Fire, Colorless, Colorless], EnergyCost=[3], Damage=50, Text="
"pl3-21","Chimecho","Pokemon","Basic","70","Psychic","1","Rare","","Heal Bell: Cost=[Colorless], EnergyCost=[1], Damage=, Text=Remove 3 damage counters from each of your Pokemon. | Super Psywave: Cost=[Psychic], EnergyCost=[1], Damage=, Text=Choose 1 of your opponent's Pokemon. Count the amount of Energy attached to that Pokemon. Put that many damage counters on the Pokemon."
