"Attack2_Damage","Attack2_Name","Name","HP","Attack1_ConvertedEnergyCost","Attack1_Name","Attack1_Damage","Types","Rarity","Supertype","Attack2_Cost","Subtypes","RetreatCost","ID","Attack1_Cost","Attack2_ConvertedEnergyCost"
"80","Burning Tail","Charizard","140","1","Fire Wing","30","Fire","Rare Holo","Pokemon","Fire, Fire, Colorless","Stage 2","3","pl4-1","Fire","3"
,,"Froslass","80","2","Ground Frost","50","Water","Rare Holo","Pokemon",,"Stage 1","1","pl4-2","Water, Colorless",
"60+","Magma Mantle","Heatran","100","2","Fire Fang","20","Fire","Rare Holo","Pokemon","Fire, Fire, Colorless, Colorless","Basic","3","pl4-3","Fire, Colorless","4"
"60","Rock Slide","Kabutops","130","1","Primal Scythe","20+","Fighting","Rare Holo","Pokemon","Fighting, Colorless, Colorless","Stage 2","2","pl4-4","Fighting","3"
"60","Gadget Bolt","Luxray","120","1","Flash","30","Lightning","Rare Holo","Pokemon","Lightning, Colorless, Colorless","Stage 2","","pl4-5","Lightning","3"
"30","Energy Assist","Mothim","90","0","Cloak Party","","Grass","Rare Holo","Pokemon","Colorless","Stage 1","","pl4-6","","1"
"50+","Tumbling Attack","Probopass","100","2","Top Chop","30","Metal","Rare Holo","Pokemon","Metal, Colorless, Colorless","Stage 1","3","pl4-7","Metal, Colorless","3"
"70","Dragon Claw","Salamence","140","3","Shoot Through","50","Colorless","Rare Holo","Pokemon","Colorless, Colorless, Colorless, Colorless","Stage 2","2","pl4-8","Fire, Water, Colorless","4"
"50+","Entangle Tackle","Swalot","100","1","Damage Roller","","Psychic","Rare Holo","Pokemon","Psychic, Psychic, Colorless","Stage 1","3","pl4-9","Psychic","3"
"50","Swallow Up","Tangrowth","110","2","Leaf Guard","30","Grass","Rare Holo","Pokemon","Grass, Grass, Colorless, Colorless","Stage 1","3","pl4-10","Grass, Colorless","4"
"30+","Convert Blow","Toxicroak","90","1","Corner","20","Fighting","Rare Holo","Pokemon","Colorless, Colorless","Stage 1","1","pl4-11","Fighting","2"
"40","Lightning Strike","Zapdos G","90","1","Charge Beam","10","Lightning","Rare Holo","Pokemon","Lightning, Lightning, Colorless","Basic, SP","2","pl4-12","Colorless","3"
,,"Aerodactyl","80","2","Hyper Beam","30","Fighting","Rare","Pokemon",,"Stage 1","1","pl4-13","Colorless, Colorless",
"60","Antigravity","Bronzong","90","2","Oracle Arrow","","Metal","Rare","Pokemon","Metal, Colorless, Colorless","Stage 1","3","pl4-14","Metal, Colorless","3"
,,"Cherrim","80","2","Worry Seed","30","Grass","Rare","Pokemon",,"Stage 1","1","pl4-15","Grass, Colorless",
,,"Gengar","110","3","Shadow Skip","60","Psychic","Rare","Pokemon",,"Stage 2","","pl4-16","Psychic, Psychic, Colorless",
"60","Poison Jab","Gengar","120","2","Sharpshooting","","Psychic","Rare","Pokemon","Psychic, Colorless, Colorless","Stage 2","","pl4-17","Psychic, Colorless","3"
"50","Avalanche","Glalie","90","2","Wreck","20+","Water","Rare","Pokemon","Water, Water, Colorless","Stage 1","1","pl4-18","Colorless, Colorless","3"
"30×","Tumble Down","Golem","140","2","Lunge Out","50","Fighting","Rare","Pokemon","Fighting, Colorless, Colorless","Stage 2","4","pl4-19","Fighting, Colorless","3"
"60","Vortex Chop","Hariyama","110","3","Push Out","50","Fighting","Rare","Pokemon","Fighting, Fighting, Colorless, Colorless","Stage 1","4","pl4-20","Fighting, Colorless, Colorless","4"
,,"Lopunny","80","2","Hover Heal","40","Colorless","Rare","Pokemon",,"Stage 1","1","pl4-21","Colorless, Colorless",
"50","Swift","Manectric","90","2","Second Bite","20+","Lightning","Rare","Pokemon","Lightning, Colorless, Colorless","Stage 1","","pl4-22","Lightning, Colorless","3"
"30+","Primal Tentacles","Omastar","120","2","Time Spiral","","Water","Rare","Pokemon","Water, Colorless","Stage 2","1","pl4-23","Colorless, Colorless","2"
"70","Continuous Crush","Pelipper","90","2","Water Pulse","30","Water","Rare","Pokemon","Water, Water, Colorless, Colorless","Stage 1","2","pl4-24","Water, Colorless","4"
,,"Pichu","50","0","Baby Steps","","Lightning","Rare","Pokemon",,"Basic","1","pl4-25","",
,,"Porygon-Z G","80","3","Ambush","20+","Colorless","Rare","Pokemon",,"Basic, SP","1","pl4-26","Colorless, Colorless, Colorless",
"70","Thunder Blast","Raichu","90","1","Boosted Voltage","20","Lightning","Rare","Pokemon","Lightning, Colorless, Colorless","Stage 1","1","pl4-27","Lightning","3"
