"ID","Name","Supertype","Subtypes","HP","Types","RetreatCost","Rarity","Attacks"
"pop1-1","Blaziken","Pokemon","Stage 2","110","Fire","2","Rare","Fire Punch: Cost=[], Damage=40, Text= | Double Kick: Cost=[], Damage=50×, Text=Flip 2 coins. This attack does 50 damage times the number of heads."
"pop1-2","Metagross","Pokemon","Stage 2","100","Metal","3","Rare","Metal Claw: Cost=[], Damage=30, Text= | Hyper Beam: Cost=[], Damage=50, Text=Flip a coin. If heads, discard 1 Energy attached to the Defending Pokemon."
"pop1-3","Rayquaza","Pokemon","Basic","80","Colorless","1","Rare","Fly: Cost=[], Damage=10, Text=Flip a coin. If tails, this attack does nothing. If heads, prevent all effects of an attack, including damage, done to Rayquaza during your opponent's next turn. | Dragon Claw: Cost=[], Damage=30, Text="
"pop1-4","Sceptile","Pokemon","Stage 2","100","Grass","2","Rare","Cling: Cost=[], Damage=20, Text=After your attack, remove from Sceptile the number of damage counters equal to the damage you did to the Defending Pokemon. If Sceptile has fewer damage counters than that, remove all of them. | Leaf Blade: Cost=[], Damage=40+, Text=Flip a coin. If heads, this attack does 40 damage plus 30 more damage."
"pop1-5","Swampert","Pokemon","Stage 2","100","Water","2","Rare","Bubble: Cost=[], Damage=20, Text=Flip a coin. If heads, the Defending Pokemon is now Paralyzed. | Mud Splash: Cost=[], Damage=50, Text=If your opponent has any Benched Pokemon, choose 1 of them and flip a coin. If heads, this attack does 20 damage to that Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)"
"pop1-6","Beautifly","Pokemon","Stage 2","100","Grass","","Uncommon","Blot: Cost=[], Damage=30, Text=Remove 1 damage counter from Beautifly. | Whirlwind: Cost=[], Damage=40, Text=Your opponent switches the Defending Pokemon with 1 of his or her Benched Pokemon."
"pop1-7","Masquerain","Pokemon","Stage 1","70","Grass","","Uncommon","Quick Attack: Cost=[], Damage=10+, Text=Flip a coin. If heads, this attack does 10 damage plus 20 more damage. | Gust: Cost=[], Damage=50, Text="
"pop1-8","Murkrow","Pokemon","Basic","60","Darkness","1","Uncommon","Feint Attack: Cost=[], Damage=, Text=Choose 1 of your opponent's Pokemon. This attack does 20 damage to that Pokemon. This attack's damage isn't affected by Weakness, Resistance, Poke-Powers, Poke-Bodies, or any other effects on that Pokemon."
"pop1-9","Pupitar","Pokemon","Stage 1","70","Fighting","1","Uncommon","Rock Smash: Cost=[], Damage=20+, Text=Flip a coin. If heads, this attack does 20 damage plus 10 more damage."
"pop1-10","Torkoal","Pokemon","Basic","80","Fighting","2","Uncommon","Amnesia: Cost=[], Damage=, Text=Choose 1 of the Defending Pokemon's attacks. That Pokemon can't use that attack during your opponent's next turn. | Body Slam: Cost=[], Damage=20, Text=Flip a coin. If heads, the Defending Pokemon is now Paralyzed."
"pop1-11","Larvitar","Pokemon","Basic","40","Fighting","1","Common","Sand Attack: Cost=[], Damage=10, Text=If the Pokemon tries to attack during your opponent's next turn, your opponent flips a coin. If tails, that attack does nothing."
"pop1-12","Minun","Pokemon","Basic","50","Lightning","1","Common","Thunder Wave: Cost=[], Damage=10, Text=Flip a coin. If heads, the Defending Pokemon is now Paralyzed. | Spark: Cost=[], Damage=10, Text=Choose 2 of your opponent's Benched Pokemon. This attack does 10 damage to each of those Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)"
"pop1-13","Plusle","Pokemon","Basic","50","Lightning","1","Common","Quick Attack: Cost=[], Damage=10+, Text=Flip a coin. If heads, this attack does 10 damage plus 10 more damage. | Agility: Cost=[], Damage=20, Text=Flip a coin. If heads, prevent all effects of an attack, including damage, done to Plusle during your opponent's next turn."
"pop1-14","Surskit","Pokemon","Basic","50","Water","1","Common","Bubble: Cost=[], Damage=10, Text=Flip a coin. If heads, the Defending Pokemon is now Paralyzed."
"pop1-15","Swellow","Pokemon","Stage 1","70","Colorless","1","Common","Focus Energy: Cost=[], Damage=, Text=During your next turn, base damage of Swellow's Agility is 70 instead of 30. | Agility: Cost=[], Damage=30, Text=Flip a coin. If heads, prevent all effects of an attack, including damage, done to Swellow during your opponent's next turn."
