"ID","Name","Supertype","Subtypes","HP","Types","RetreatCost","Rarity","Ability","Attacks"
"pop7-1","Ampharos","Pokemon","Stage 2","130","Lightning","3","Rare","Jamming: Effect=[After your opponent plays a Supporter card from his or her hand, put 1 damage counter on each of your opponent's Pokemon. You can't use more than 1 Jamming Poke-Body each turn.]","Cluster Bolt: Cost=[Lightning, Colorless, Colorless], EnergyCost=[3], Damage=70, Text=You may discard all Lightning Energy attached to Ampharos. If you do, this attack does 20 damage to each of your opponent's Benched Pokemon that has any Energy cards attached to it. (Don't apply Weakness and Resistance for Benched Pokemon.)"
"pop7-2","Gallade","Pokemon","Stage 2","130","Fighting","2","Rare","","Sonic Blade: Cost=[Fighting, Colorless], EnergyCost=[2], Damage=, Text=Put damage counters on the Defending Pokemon until it is 50 HP away from being Knocked Out. If you do, your opponent switches the Defending Pokemon with 1 of his or her Benched Pokemon. | Psychic Cut: Cost=[Psychic, Colorless, Colorless], EnergyCost=[3], Damage=60+, Text=You may choose as many of your face-down Prize cards as you like and put them face up. If you do, this attack does 60 damage plus 20 more damage for each Prize card you chose. (These cards remain face up for the rest of the game.)"
"pop7-3","Latias","Pokemon","Basic","80","Colorless","1","Rare","","Miraculous Light: Cost=[Colorless], EnergyCost=[1], Damage=10, Text=Remove 2 damage counters and all Special Conditions from Latias. | Mist Ball: Cost=[Fire, Water, Colorless], EnergyCost=[3], Damage=80, Text=Discard a Fire and a Water Energy attached to Latias."
"pop7-4","Latios","Pokemon","Basic","90","Colorless","2","Rare","","Energy Draw: Cost=[Colorless], EnergyCost=[1], Damage=10, Text=Flip a coin. If heads, search your deck for a basic Energy card and attach it to Latios. Shuffle your deck afterward. | Luster Purge: Cost=[Grass, Lightning, Colorless, Colorless], EnergyCost=[4], Damage=120, Text=Discard 3 Energy attached to Latios."
"pop7-5","Mothim","Pokemon","Stage 1","80","Grass","","Rare","","Silver Wind: Cost=[], EnergyCost=[0], Damage=, Text=During your next turn, if an attack does damage to the Defending Pokemon (after applying Weakness and Resistance), that attack does 40 more damage. | Raging Scales: Cost=[Grass, Colorless], EnergyCost=[2], Damage=30+, Text=If Mothim has any damage counters on it, this attack does 30 damage plus 40 more damage."
"pop7-6","Delibird","Pokemon","Basic","70","Water","1","Uncommon","","Present: Cost=[], EnergyCost=[0], Damage=, Text=Flip a coin. If heads, search your deck for any 1 card and put it into your hand. Shuffle your deck afterward. | Ice Ball: Cost=[Water], EnergyCost=[1], Damage=20, Text="
"pop7-7","Flaaffy","Pokemon","Stage 1","80","Lightning","1","Uncommon","","Attract Current: Cost=[Colorless], EnergyCost=[1], Damage=10, Text=Search your deck for a Lightning Energy card and attach it to 1 of your Pokemon. Shuffle your deck afterward. | Electromagnetic Kick: Cost=[Lightning, Lightning, Colorless], EnergyCost=[3], Damage=60, Text=Flip a coin. If tails, Flaaffy does 10 damage to itself."
"pop7-8","Kirlia","Pokemon","Stage 1","80","Psychic","1","Uncommon","","Psychic Research: Cost=[Psychic], EnergyCost=[1], Damage=, Text=Search your discard pile for a Supporter card and use the effect of that card as the effect of this attack. (The Supporter card remains in your discard pile.) | Telekinesis: Cost=[Psychic, Colorless, Colorless], EnergyCost=[3], Damage=, Text=Choose 1 of your opponent's Pokemon. This attack does 40 damage to that Pokemon. This attack's damage isn't affected by Weakness or Resistance."
"pop7-9","Stantler","Pokemon","Basic","70","Colorless","1","Uncommon","","Lead: Cost=[], EnergyCost=[0], Damage=, Text=Search your deck for a Supporter card, show it to your opponent, and put it into your hand. Shuffle your deck afterward. | Frighten Horn: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=20, Text=If the Defending Pokemon isn't an Evolved Pokemon, that Pokemon is now Confused."
"pop7-10","Wormadam Sandy Cloak","Pokemon","Stage 1","80","Fighting","1","Uncommon","Sandy Cloak: Effect=[Prevent all effects, excluding damage, done to Wormadam Sandy Cloak.]","Push Over: Cost=[Fighting, Colorless, Colorless], EnergyCost=[3], Damage=40+, Text=Does 40 damage plus 10 more damage for each Fighting Energy attached to Wormadam Sandy Cloak."
