"ID","Name","Supertype","Subtypes","HP","Types","RetreatCost","Rarity","Attacks"
"sm35-1","Bulbasaur","Pokemon","Basic","70","Grass","2","Common","Razor Leaf: Cost=[], Damage=30, Text="
"sm35-2","Ivysaur","Pokemon","Stage 1","100","Grass","4","Common","Razor Leaf: Cost=[], Damage=30, Text= | Toxic Whip: Cost=[], Damage=50, Text=Your opponent's Active Pokemon is now Confused and Poisoned."
"sm35-3","Venusaur","Pokemon","Stage 2","160","Grass","4","Uncommon","Solar Beam: Cost=[], Damage=90, Text="
"sm35-4","Shroomish","Pokemon","Basic","60","Grass","1","Common","Absorb: Cost=[], Damage=20, Text=Heal 20 damage from this Pokemon."
"sm35-5","Breloom","Pokemon","Stage 1","110","Grass","2","Common","Hibernation Spore: Cost=[], Damage=, Text=Your opponent's Active Pokemon is now Asleep. Your opponent flips 2 coins instead of 1 between turns. If either of them is tails, that Pokemon is still Asleep. | Magnum Punch: Cost=[], Damage=80, Text="
"sm35-6","Carnivine","Pokemon","Basic","100","Grass","2","Uncommon","Flick Poison: Cost=[], Damage=, Text=Switch 1 of your opponent's Benched Pokemon with their Active Pokemon. The new Active Pokemon is now Poisoned. | Crunch: Cost=[], Damage=30, Text=Discard an Energy from your opponent's Active Pokemon."
"sm35-7","Shaymin","Pokemon","Basic","70","Grass","1","Rare Holo","Flippity Flap: Cost=[], Damage=, Text=Shuffle your hand into your deck. Then, draw 6 cards. | Rally Back: Cost=[], Damage=30+, Text=If any of your Pokemon were Knocked Out by damage from an opponent's attack during their last turn, this attack does 90 more damage."
"sm35-8","Virizion","Pokemon","Basic","110","Grass","1","Rare Holo","Wrapped in Wind: Cost=[], Damage=30, Text=You may attach a basic Energy card from your hand to this Pokemon. | Pike: Cost=[], Damage=90, Text=This attack does 30 damage to 1 of your opponent's Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)"
"sm35-11","Torkoal","Pokemon","Basic","110","Fire","3","Common","High-Pressure Heat: Cost=[], Damage=30, Text=During your next turn, this Pokemon's High-Pressure Heat attack does 50 more damage (before applying Weakness and Resistance). | Flamethrower: Cost=[], Damage=90, Text=Discard an Energy from this Pokemon."
"sm35-12","Larvesta","Pokemon","Basic","80","Fire","3","Common","Flare: Cost=[], Damage=30, Text="
"sm35-13","Volcarona","Pokemon","Stage 1","120","Fire","1","Uncommon","Heat Blast: Cost=[], Damage=60, Text="
"sm35-14","Reshiram","Pokemon","Basic","130","Fire","3","Rare Holo","Outrage: Cost=[], Damage=20+, Text=This attack does 10 more damage for each damage counter on this Pokemon. | Scorching Breath: Cost=[], Damage=130, Text=This Pokemon can't attack during your next turn."
"sm35-15","Litten","Pokemon","Basic","60","Fire","1","Common","Live Coal: Cost=[], Damage=20, Text="
"sm35-16","Torracat","Pokemon","Stage 1","90","Fire","1","Common","Swagger: Cost=[], Damage=, Text=Flip a coin. If heads, discard an Energy from your opponent's Active Pokemon. | Fire Claws: Cost=[], Damage=30, Text="
"sm35-17","Incineroar","Pokemon","Stage 2","170","Fire","2","Uncommon","Profane Punch: Cost=[], Damage=50+, Text=If your Benched Pokemon have any damage counters on them, this attack does 80 more damage. | Flare Blitz: Cost=[], Damage=180, Text=Discard all Fire Energy from this Pokemon."
"sm35-18","Totodile","Pokemon","Basic","70","Water","1","Common","Water Gun: Cost=[], Damage=10, Text= | Bite: Cost=[], Damage=20, Text="
"sm35-19","Croconaw","Pokemon","Stage 1","90","Water","3","Common","Bite: Cost=[], Damage=60, Text="
"sm35-20","Feraligatr","Pokemon","Stage 2","160","Water","3","Uncommon","Crunch: Cost=[], Damage=80, Text=Discard an Energy from your opponent's Active Pokemon. | Hydro Splash: Cost=[], Damage=130, Text="
"sm35-21","Qwilfish","Pokemon","Basic","90","Water","1","Common","Poison Sting: Cost=[], Damage=, Text=Your opponent's Active Pokemon is now Poisoned. | Shocking Sting: Cost=[], Damage=20+, Text=If your opponent's Active Pokemon is affected by a Special Condition, this attack does 50 more damage."
"sm35-22","Buizel","Pokemon","Basic","60","Water","1","Common","Razor Fin: Cost=[], Damage=10, Text= | Water Gun: Cost=[], Damage=40, Text="
"sm35-23","Floatzel","Pokemon","Stage 1","100","Water","1","Uncommon","Razor Fin: Cost=[], Damage=20, Text= | Aqua Bomb: Cost=[], Damage=120, Text=This Pokemon does 30 damage to itself."
"sm35-24","Palkia","Pokemon","Basic","130","Water","2","Rare Holo","Spiral Drain: Cost=[], Damage=30, Text=Heal 30 damage from this Pokemon. | Aqua Blade: Cost=[], Damage=100, Text="
"sm35-25","Manaphy","Pokemon","Basic","60","Water","1","Rare Holo","Wave Splash: Cost=[], Damage=30, Text="
"sm35-26","Keldeo","Pokemon","Basic","110","Water","2","Rare Holo","Bail Out: Cost=[], Damage=, Text=Put a Water Pokemon from your discard pile into your hand. | Resolute Blade: Cost=[], Damage=20+, Text=This attack does 20 more damage for each of your opponent's Benched Pokemon."
"sm35-28","Pikachu","Pokemon","Basic","60","Lightning","1","Common","Iron Tail: Cost=[], Damage=20×, Text=Flip a coin until you get tails. This attack does 20 damage for each heads."
"sm35-30","Voltorb","Pokemon","Basic","60","Lightning","1","Common","Electro Ball: Cost=[], Damage=10, Text="
"sm35-31","Electrode","Pokemon","Stage 1","90","Lightning","","Uncommon","Swift: Cost=[], Damage=60, Text=This attack's damage isn't affected by Weakness, Resistance, or any other effects on your opponent's Active Pokemon."
