"ID","Name","Supertype","Subtypes","HP","Types","RetreatCost","RTCOST","Rarity"
"sm6-1","Exeggcute","Pokemon","Basic","40","Grass","Colorless","1","Common"
"sm6-2","Alolan Exeggutor","Pokemon","Stage 1","160","Grass","Colorless, Colorless, Colorless","3","Rare"
"sm6-2a","Alolan Exeggutor","Pokemon","Stage 1","160","Grass","Colorless, Colorless, Colorless","3","Rare"
"sm6-3","Snover","Pokemon","Basic","80","Grass","Colorless, Colorless, Colorless","3","Common"
"sm6-4","Abomasnow","Pokemon","Stage 1","130","Grass","Colorless, Colorless, Colorless","3","Rare"
"sm6-5","Scatterbug","Pokemon","Basic","30","Grass","Colorless","1","Common"
"sm6-6","Scatterbug","Pokemon","Basic","40","Grass","Colorless","1","Common"
"sm6-7","Spewpa","Pokemon","Stage 1","70","Grass","Colorless, Colorless","2","Uncommon"
"sm6-8","Vivillon","Pokemon","Stage 2","130","Grass","Colorless","1","Rare"
"sm6-9","Skiddo","Pokemon","Basic","70","Grass","Colorless, Colorless","2","Common"
"sm6-10","Gogoat","Pokemon","Stage 1","120","Grass","Colorless, Colorless","2","Uncommon"
"sm6-11","Pheromosa","Pokemon","Basic, Ultra Beast","110","Grass","","0","Rare Holo"
"sm6-12","Alolan Marowak","Pokemon","Stage 1","120","Fire","Colorless, Colorless","2","Rare"
"sm6-13","Heatran","Pokemon","Basic","130","Fire","Colorless, Colorless, Colorless","3","Rare"
"sm6-14","Fennekin","Pokemon","Basic","60","Fire","Colorless","1","Common"
"sm6-15","Fennekin","Pokemon","Basic","70","Fire","Colorless","1","Common"
"sm6-16","Braixen","Pokemon","Stage 1","90","Fire","Colorless, Colorless","2","Uncommon"
"sm6-17","Delphox","Pokemon","Stage 2","150","Fire","Colorless, Colorless","2","Rare Holo"
"sm6-18","Litleo","Pokemon","Basic","70","Fire","Colorless, Colorless","2","Common"
"sm6-19","Pyroar","Pokemon","Stage 1","120","Fire","Colorless, Colorless","2","Rare Holo"
"sm6-21","Froakie","Pokemon","Basic","50","Water","Colorless","1","Common"
"sm6-22","Froakie","Pokemon","Basic","70","Water","Colorless","1","Common"
"sm6-23","Frogadier","Pokemon","Stage 1","80","Water","Colorless","1","Uncommon"
"sm6-25","Clauncher","Pokemon","Basic","60","Water","Colorless","1","Common"
"sm6-26","Clawitzer","Pokemon","Stage 1","100","Water","Colorless, Colorless","2","Rare"
"sm6-27","Amaura","Pokemon","Stage 1","90","Water","Colorless, Colorless, Colorless","3","Uncommon"
"sm6-28","Aurorus","Pokemon","Stage 2","160","Water","Colorless, Colorless, Colorless, Colorless","4","Rare Holo"
"sm6-29","Bergmite","Pokemon","Basic","60","Water","Colorless, Colorless","2","Common"
"sm6-30","Avalugg","Pokemon","Stage 1","140","Water","Colorless, Colorless, Colorless, Colorless","4","Rare"
"sm6-32","Dewpider","Pokemon","Basic","60","Water","Colorless","1","Common"
"sm6-33","Araquanid","Pokemon","Stage 1","100","Water","Colorless","1","Uncommon"
"sm6-34","Magnemite","Pokemon","Basic","60","Lightning","Colorless","1","Common"
"sm6-35","Magneton","Pokemon","Stage 1","90","Lightning","Colorless, Colorless","2","Uncommon"
"sm6-36","Magnezone","Pokemon","Stage 2","150","Lightning","Colorless, Colorless","2","Rare"
"sm6-37","Helioptile","Pokemon","Basic","60","Lightning","Colorless","1","Common"
"sm6-38","Heliolisk","Pokemon","Stage 1","100","Lightning","Colorless","1","Uncommon"
"sm6-39","Xurkitree","Pokemon","Basic, Ultra Beast","120","Lightning","Colorless","1","Rare"
"sm6-40","Rotom","Pokemon","Basic","70","Psychic","Colorless","1","Rare"
"sm6-41","Uxie","Pokemon","Basic","60","Psychic","Colorless","1","Uncommon"
"sm6-42","Mesprit","Pokemon","Basic","70","Psychic","Colorless","1","Uncommon"
"sm6-43","Azelf","Pokemon","Basic","60","Psychic","Colorless","1","Uncommon"
"sm6-44","Espurr","Pokemon","Basic","60","Psychic","Colorless","1","Common"
"sm6-45","Meowstic","Pokemon","Stage 1","90","Psychic","Colorless","1","Rare"
"sm6-46","Honedge","Pokemon","Basic","50","Psychic","Colorless, Colorless","2","Common"
"sm6-47","Honedge","Pokemon","Basic","60","Psychic","Colorless, Colorless","2","Common"
"sm6-48","Doublade","Pokemon","Stage 1","80","Psychic","Colorless, Colorless","2","Uncommon"
"sm6-49","Aegislash","Pokemon","Stage 2","150","Psychic","Colorless, Colorless","2","Rare"
"sm6-50","Inkay","Pokemon","Basic","60","Psychic","Colorless","1","Common"
"sm6-51","Malamar","Pokemon","Stage 1","90","Psychic","Colorless, Colorless","2","Rare"
"sm6-52","Skrelp","Pokemon","Basic","60","Psychic","Colorless","1","Common"
"sm6-53","Dragalge","Pokemon","Stage 1","120","Psychic","Colorless","1","Rare"
"sm6-54","Hoopa","Pokemon","Basic","80","Psychic","Colorless","1","Uncommon"
"sm6-55","Poipole","Pokemon","Basic, Ultra Beast","70","Psychic","Colorless","1","Uncommon"
"sm6-57","Cubone","Pokemon","Basic","60","Fighting","Colorless, Colorless","2","Common"
"sm6-58","Torterra","Pokemon","Stage 2","180","Fighting","Colorless, Colorless, Colorless, Colorless","4","Rare"
"sm6-59","Infernape","Pokemon","Stage 2","130","Fighting","Colorless","1","Rare Holo"
"sm6-60","Gible","Pokemon","Basic","50","Fighting","Colorless","1","Common"
"sm6-61","Gabite","Pokemon","Stage 1","80","Fighting","Colorless","1","Uncommon"
"sm6-62","Garchomp","Pokemon","Stage 2","150","Fighting","","0","Rare Holo"
"sm6-63","Croagunk","Pokemon","Basic","60","Fighting","Colorless","1","Common"
"sm6-64","Toxicroak","Pokemon","Stage 1","100","Fighting","Colorless, Colorless","2","Rare"
"sm6-65","Pancham","Pokemon","Basic","70","Fighting","Colorless, Colorless","2","Common"
"sm6-66","Binacle","Pokemon","Basic","70","Fighting","Colorless, Colorless, Colorless","3","Common"
"sm6-67","Barbaracle","Pokemon","Stage 1","130","Fighting","Colorless, Colorless, Colorless","3","Rare"
"sm6-68","Tyrunt","Pokemon","Stage 1","90","Fighting","Colorless, Colorless","2","Uncommon"
"sm6-69","Tyrantrum","Pokemon","Stage 2","160","Fighting","Colorless, Colorless, Colorless","3","Rare Holo"
"sm6-70","Hawlucha","Pokemon","Basic","80","Fighting","Colorless","1","Uncommon"
"sm6-71","Zygarde","Pokemon","Basic","90","Fighting","Colorless","1","Uncommon"
"sm6-72","Zygarde","Pokemon","Basic","130","Fighting","Colorless, Colorless","2","Rare"
"sm6-75","Rockruff","Pokemon","Basic","70","Fighting","Colorless","1","Common"
"sm6-76","Lycanroc","Pokemon","Stage 1","120","Fighting","Colorless, Colorless","2","Rare"
"sm6-77","Buzzwole","Pokemon","Basic, Ultra Beast","130","Fighting","Colorless, Colorless","2","Rare"
"sm6-78","Pangoro","Pokemon","Stage 1","130","Darkness","Colorless, Colorless, Colorless","3","Rare"
"sm6-80","Guzzlord","Pokemon","Basic, Ultra Beast","160","Darkness","Colorless, Colorless, Colorless, Colorless","4","Rare Holo"
"sm6-81","Empoleon","Pokemon","Stage 2","160","Metal","Colorless, Colorless","2","Rare Holo"
"sm6-83","Flabebe","Pokemon","Basic","30","Fairy","Colorless","1","Common"
"sm6-84","Flabebe","Pokemon","Basic","40","Fairy","Colorless","1","Common"
"sm6-85","Floette","Pokemon","Stage 1","70","Fairy","Colorless","1","Uncommon"
"sm6-86","Florges","Pokemon","Stage 2","120","Fairy","Colorless, Colorless","2","Rare"
"sm6-87","Sylveon","Pokemon","Stage 1","90","Fairy","Colorless","1","Rare"
"sm6-88","Dedenne","Pokemon","Basic","60","Fairy","Colorless","1","Uncommon"
"sm6-89","Klefki","Pokemon","Basic","70","Fairy","Colorless","1","Uncommon"
"sm6-91","Goomy","Pokemon","Basic","40","Dragon","Colorless","1","Common"
"sm6-92","Goomy","Pokemon","Basic","50","Dragon","Colorless, Colorless","2","Common"
"sm6-93","Sliggoo","Pokemon","Stage 1","80","Dragon","Colorless, Colorless","2","Uncommon"
"sm6-94","Goodra","Pokemon","Stage 2","160","Dragon","Colorless, Colorless, Colorless","3","Rare Holo"
"sm6-97","Bunnelby","Pokemon","Basic","70","Colorless","Colorless, Colorless","2","Common"
"sm6-98","Diggersby","Pokemon","Stage 1","130","Colorless","Colorless, Colorless, Colorless","3","Uncommon"
"sm6-99","Furfrou","Pokemon","Basic","90","Colorless","Colorless","1","Common"
"sm6-100","Noibat","Pokemon","Basic","50","Colorless","Colorless","1","Common"
"sm6-101","Noivern","Pokemon","Stage 1","120","Colorless","Colorless","1","Rare"
"sm6-102","Beast Ring","Trainer","Item",,"","","0","Rare"
"sm6-102a","Beast Ring","Trainer","Item",,"","","0","Rare"
"sm6-103","Bonnie","Trainer","Supporter",,"","","0","Uncommon"
"sm6-104","Crasher Wake","Trainer","Supporter",,"","","0","Uncommon"
"sm6-105","Diantha","Trainer","Supporter",,"","","0","Rare Holo"
"sm6-106","Eneporter","Trainer","Item",,"","","0","Uncommon"
"sm6-107","Fossil Excavation Map","Trainer","Item",,"","","0","Uncommon"
"sm6-108","Judge","Trainer","Supporter",,"","","0","Uncommon"
"sm6-109","Lady","Trainer","Supporter",,"","","0","Uncommon"
"sm6-111","Lysandre Labs","Trainer","Stadium",,"","","0","Uncommon"
"sm6-112","Metal Frying Pan","Trainer","Pokemon Tool",,"","","0","Uncommon"
"sm6-112a","Metal Frying Pan","Trainer","Pokemon Tool",,"","","0","Uncommon"
"sm6-113","Mysterious Treasure","Trainer","Item",,"","","0","Uncommon"
"sm6-113a","Mysterious Treasure","Trainer","Item",,"","","0","Uncommon"
"sm6-114","Ultra Recon Squad","Trainer","Supporter",,"","","0","Uncommon"
"sm6-115","Ultra Space","Trainer","Stadium",,"","","0","Uncommon"
"sm6-116","Unidentified Fossil","Trainer","Item","60","","","0","Uncommon"
"sm6-118","Unit Energy FightingDarknessFairy","Energy","Special",,"","","0","Uncommon"
