"id","name","supertype","hp","types","evolvesTo","evolvesFrom","number","artist","rarity","flavorText","nationalPokedexNumbers","regulationMark","imageSmall","imageLarge","legalitiesUnlimited","legalitiesStandard","legalitiesExpanded","retreatCost","convertedRetreatCost","Ability1Name","Ability1Text","Ability1Type","Ability2Name","Ability2Text","Ability2Type","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"sm8-1","Tangela","Pokémon","80","Grass","Tangrowth",,"1","Ken Sugimori","Common","It tangles any moving thing with its vines. Their subtle shaking is ticklish if you get ensnared.","114",,"https://images.pokemontcg.io/sm8/1.png","https://images.pokemontcg.io/sm8/1_hires.png","Legal",,"Legal","Colorless, Colorless","2","","","","","","","Gentle Slap","Colorless, Colorless","2","20","","Bind","Grass, Colorless, Colorless","3","40","Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.","Fire","×2"
"sm8-2","Tangrowth","Pokémon","140","Grass","","Tangela","2","Atsuko Nishida","Rare","Its vines grow so profusely that, in the warm season, you can't even see its eyes.","465",,"https://images.pokemontcg.io/sm8/2.png","https://images.pokemontcg.io/sm8/2_hires.png","Legal",,"Legal","Colorless, Colorless, Colorless","3","","","","","","","Hefty Whip","Grass, Colorless, Colorless","3","30+","If this Pokémon was healed during this turn, this attack does 130 more damage.","Whip Smash","Grass, Grass, Colorless, Colorless","4","110","","Fire","×2"
"sm8-3","Scyther","Pokémon","80","Grass","Scizor",,"3","Kouki Saitou","Common","While young, they live together deep in the mountains, training themselves in how to fight with their scythes and move at high speeds.","123",,"https://images.pokemontcg.io/sm8/3.png","https://images.pokemontcg.io/sm8/3_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Fury Cutter","Colorless, Colorless","2","10+","Flip 3 coins. If 1 of them is heads, this attack does 20 more damage. If 2 of them are heads, this attack does 50 more damage. If all of them are heads, this attack does 70 more damage.","","","","","","Fire","×2"
"sm8-4","Pinsir","Pokémon","110","Grass","",,"4","Suwama Chiaki","Uncommon","One solid blow from its horns is enough to split apart a large tree. Its greatest rival in Alola is Vikavolt.","127",,"https://images.pokemontcg.io/sm8/4.png","https://images.pokemontcg.io/sm8/4_hires.png","Legal",,"Legal","Colorless, Colorless","2","","","","","","","Grip and Squeeze","Grass","1","20","The Defending Pokémon can't retreat during your opponent's next turn.","Hammer In","Colorless, Colorless, Colorless","3","70","","Fire","×2"
"sm8-5","Chikorita","Pokémon","60","Grass","Bayleef",,"5","Aya Kusube","Common","It uses the leaf on its head to determine the temperature and humidity. It loves to sunbathe.","152",,"https://images.pokemontcg.io/sm8/5.png","https://images.pokemontcg.io/sm8/5_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Synthesis","Colorless","1","","Search your deck for a Grass Energy card and attach it to 1 of your Pokémon. Then, shuffle your deck.","Razor Leaf","Grass, Colorless","2","20","","Fire","×2"
"sm8-6","Chikorita","Pokémon","70","Grass","Bayleef",,"6","sowsow","Common","It uses the leaf on its head to determine the temperature and humidity. It loves to sunbathe.","152",,"https://images.pokemontcg.io/sm8/6.png","https://images.pokemontcg.io/sm8/6_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Mini Drain","Grass","1","10","Heal 10 damage from this Pokémon.","","","","","","Fire","×2"
"sm8-7","Bayleef","Pokémon","100","Grass","Meganium","Chikorita","7","Kagemaru Himeno","Uncommon","The buds that ring its neck give off a spicy aroma that perks people up.","153",,"https://images.pokemontcg.io/sm8/7.png","https://images.pokemontcg.io/sm8/7_hires.png","Legal",,"Legal","Colorless, Colorless","2","","","","","","","Soothing Scent","Grass","1","20","Your opponent's Active Pokémon is now Asleep.","Razor Leaf","Grass, Colorless, Colorless","3","50","","Fire","×2"
"sm8-8","Meganium","Pokémon","150","Grass","","Bayleef","8","nagimiso","Rare Holo","Meganium's breath has the power to revive dead grass and plants. It can make them healthy again.","154",,"https://images.pokemontcg.io/sm8/8.png","https://images.pokemontcg.io/sm8/8_hires.png","Legal",,"Legal","Colorless, Colorless","2","Quick-Ripening Herb","Once during your turn (before your attack), you may use this Ability. Choose 1 of your Basic Pokémon in play. If you have a Stage 2 card in your hand that evolves from that Pokémon, put that card onto the Basic Pokémon to evolve it. You can use this Ability during your first turn or on a Pokémon that was put into play this turn.","Ability","","","","Solar Beam","Grass, Colorless, Colorless, Colorless","4","110","","","","","","","Fire","×2"
"sm8-9","Spinarak","Pokémon","50","Grass","Ariados",,"9","Misa Tsutsui","Common","Some fishermen weave its sturdy thread into nets to catch fish Pokémon.","167",,"https://images.pokemontcg.io/sm8/9.png","https://images.pokemontcg.io/sm8/9_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Spider Scram","Grass","1","","Your opponent's Active Pokémon is now Paralyzed and Poisoned. Put this Pokémon and all cards attached to it in the Lost Zone.","Sting","Colorless","1","10","","Fire","×2"
"sm8-10","Ariados","Pokémon","110","Grass","","Spinarak","10","Suwama Chiaki","Uncommon","It spins thread from both its rear and its mouth. Then it wraps its prey up in thread and sips their bodily fluids at its leisure.","168",,"https://images.pokemontcg.io/sm8/10.png","https://images.pokemontcg.io/sm8/10_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Trapping Thread","Colorless, Colorless","2","30","Whenever your opponent plays an Item or Supporter card from their hand during their next turn, prevent all effects of that card done to the Defending Pokémon.","Poison Jab","Grass, Colorless, Colorless","3","70","Your opponent's Active Pokémon is now Poisoned.","Fire","×2"
"sm8-11","Hoppip","Pokémon","30","Grass","Skiploom",,"11","Mizue","Common","It drifts on winds. It is said that when Hoppip gather in fields and mountains, spring is on the way.","187",,"https://images.pokemontcg.io/sm8/11.png","https://images.pokemontcg.io/sm8/11_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Multiply","Colorless","1","","Search your deck for Hoppip and put it onto your Bench. Then, shuffle your deck.","","","","","","Lightning","×2"
"sm8-12","Hoppip","Pokémon","40","Grass","Skiploom",,"12","kawayoo","Common","It drifts on winds. It is said that when Hoppip gather in fields and mountains, spring is on the way.","187",,"https://images.pokemontcg.io/sm8/12.png","https://images.pokemontcg.io/sm8/12_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Tackle","Grass","1","20","","","","","","","Lightning","×2"
"sm8-13","Skiploom","Pokémon","60","Grass","Jumpluff","Hoppip","13","Hitoshi Ariga","Uncommon","It spreads its petals to absorb sunlight. It also floats in the air to get closer to the sun.","188",,"https://images.pokemontcg.io/sm8/13.png","https://images.pokemontcg.io/sm8/13_hires.png","Legal",,"Legal","",,"Floral Path to the Sky","Once during your turn (before your attack), you may search your deck for Jumpluff, put this Pokémon and all cards attached to it in the Lost Zone, and put that Jumpluff in its place. Then, shuffle your deck.","Ability","","","","Tackle","Grass","1","30","","","","","","","Lightning","×2"
"sm8-14","Jumpluff","Pokémon","70","Grass","","Skiploom","14","Masakazu Fukuda","Rare Holo","Even in the fiercest wind, it can control its fluff to make its way to any place in the world it wants.","189",,"https://images.pokemontcg.io/sm8/14.png","https://images.pokemontcg.io/sm8/14_hires.png","Legal",,"Legal","",,"","","","","","","Lost March","Grass","1","20×","This attack does 20 damage for each of your Pokémon, except ◇ (Prism Star) Pokémon, in the Lost Zone.","","","","","","Lightning","×2"
"sm8-15","Pineco","Pokémon","60","Grass","Forretress",,"15","Misa Tsutsui","Common","It looks just like a pinecone. Its shell protects it from bird Pokémon that peck it by mistake.","204",,"https://images.pokemontcg.io/sm8/15.png","https://images.pokemontcg.io/sm8/15_hires.png","Legal",,"Legal","Colorless, Colorless","2","","","","","","","Continuous Headbutt","Colorless","1","20×","Flip a coin until you get tails. This attack does 20 damage for each heads.","","","","","","Fire","×2"
"sm8-16","Shuckle","Pokémon","60","Grass","",,"16","Masakazu Fukuda","Uncommon","It stores berries inside its shell. To avoid attacks, it hides beneath rocks and remains completely still.","213",,"https://images.pokemontcg.io/sm8/16.png","https://images.pokemontcg.io/sm8/16_hires.png","Legal",,"Legal","Colorless","1","Fresh Squeezed","When you play this Pokémon from your hand onto your Bench during your turn, you may search your deck for up to 3 basic Energy cards and discard them. Then, shuffle your deck.","Ability","","","","Energy Drink","Grass","1","","Attach 2 basic Energy cards from your discard pile to your Pokémon in any way you like.","","","","","","Fire","×2"
"sm8-17","Shuckle-GX","Pokémon","170","Grass","",,"17","5ban Graphics","Rare Holo GX",,"213",,"https://images.pokemontcg.io/sm8/17.png","https://images.pokemontcg.io/sm8/17_hires.png","Legal",,"Legal","Colorless","1","Protective Shell","Prevent all damage done to this Pokémon by attacks from your opponent's Pokémon that have 2 or fewer Energy attached to them.","Ability","","","","Triple Poison","Colorless","1","","Your opponent's Active Pokémon is now Poisoned. Put 3 damage counters instead of 1 on that Pokémon between turns.","Wrap-GX","Colorless","1","40","Your opponent's Active Pokémon is now Paralyzed. (You can't use more than 1 GX attack in a game.)","Fire","×2"
