"Attack2_Damage","Attack2_Name","Name","HP","Attack1_ConvertedEnergyCost","Attack1_Name","Attack1_Damage","Types","Rarity","Supertype","Attack2_Cost","Subtypes","RetreatCost","ID","Attack1_Cost","Attack2_ConvertedEnergyCost"
"10","Bug Bite","Weedle","40","1","Tangle Drag","","Grass","Common","Pokemon","Grass","Basic","1","sm9-2","Grass","1"
,,"Weedle","50","1","Reckless Charge","20","Grass","Common","Pokemon",,"Basic","1","sm9-3","Colorless",
,,"Kakuna","80","2","Bug Bite","20","Grass","Uncommon","Pokemon",,"Stage 1","3","sm9-4","Colorless, Colorless",
"90","Reckless Charge","Beedrill","130","1","Destiny Stinger","","Grass","Rare","Pokemon","Colorless, Colorless","Stage 2","1","sm9-5","Grass","2"
"20","Slash","Paras","70","1","Scratch","10","Grass","Common","Pokemon","Grass, Colorless","Basic","1","sm9-6","Colorless","2"
,,"Parasect","100","2","Mysterious Powder","30","Grass","Rare","Pokemon",,"Stage 1","2","sm9-7","Grass, Colorless",
,,"Exeggcute","50","1","Bullet Seed","10×","Grass","Common","Pokemon",,"Basic","1","sm9-8","Grass",
"","Guillotine Hug","Pinsir","120","2","Grip and Squeeze","30","Grass","Rare","Pokemon","Grass, Colorless, Colorless","Basic","3","sm9-9","Colorless, Colorless","3"
"20×","Reprisal","Charmander","50","1","Scratch","10","Fire","Common","Pokemon","Colorless, Colorless","Basic","1","sm9-11","Fire","2"
,,"Charmander","70","1","Ember","30","Fire","Common","Pokemon",,"Basic","1","sm9-12","Fire",
,,"Charmeleon","90","2","Fire Fang","30","Fire","Uncommon","Pokemon",,"Stage 1","2","sm9-13","Fire, Fire",
,,"Charizard","150","2","Continuous Blaze Ball","30+","Fire","Rare","Pokemon",,"Stage 2","2","sm9-14","Fire, Fire",
,,"Vulpix","60","1","Tail Whip","","Fire","Common","Pokemon",,"Basic","1","sm9-15","Colorless",
,,"Ninetales","100","3","Flame Tail","90","Fire","Rare","Pokemon",,"Stage 1","1","sm9-16","Fire, Colorless, Colorless",
"10+","Stomp","Ponyta","70","1","Live Coal","10","Fire","Common","Pokemon","Fire, Fire","Basic","1","sm9-17","Fire","2"
"60","Agility","Rapidash","100","1","Searing Flame","20","Fire","Uncommon","Pokemon","Fire, Fire","Stage 1","1","sm9-18","Fire","2"
"180","Fire Spin","Moltres","120","1","Top Burner","","Fire","Rare Holo","Pokemon","Fire, Fire, Fire, Colorless","Basic","2","sm9-19","Fire","4"
,,"Litten","60","1","Fasten Claws","10+","Fire","Common","Pokemon",,"Basic","1","sm9-20","Colorless",
"60","Claw Slash","Torracat","90","1","Roar","","Fire","Uncommon","Pokemon","Colorless, Colorless, Colorless","Stage 1","2","sm9-21","Colorless","3"
,,"Squirtle","50","2","Water Gun","30","Water","Common","Pokemon",,"Basic","1","sm9-22","Water, Colorless",
"20","Rain Splash","Squirtle","70","1","Tackle","10","Water","Common","Pokemon","Water, Colorless","Basic","1","sm9-23","Colorless","2"
"70","Waterfall","Wartortle","90","2","Tackle","30","Water","Uncommon","Pokemon","Water, Water, Colorless","Stage 1","2","sm9-24","Colorless, Colorless","3"
,,"Blastoise","160","3","Hydro Tackle","150","Water","Rare","Pokemon",,"Stage 2","3","sm9-25","Water, Water, Water",
,,"Psyduck","60","1","Headache","10","Water","Common","Pokemon",,"Basic","2","sm9-26","Colorless",
"90","Swim","Golduck","110","1","Amnesia","20","Water","Uncommon","Pokemon","Colorless, Colorless, Colorless","Stage 1","1","sm9-27","Water","3"
,,"Staryu","50","1","Numbing Water","10","Water","Common","Pokemon",,"Basic","1","sm9-28","Colorless",
,,"Magikarp","30","1","Enter the Dragon","","Water","Common","Pokemon",,"Basic","1","sm9-29","Water",
"100","Hyper Beam","Gyarados","150","1","Distilled Blast","30+","Water","Rare Holo","Pokemon","Water, Water, Water","Stage 1","4","sm9-30","Water","3"
"10+","Hydro Pump","Lapras","130","1","Confuse Ray","","Water","Rare","Pokemon","Colorless","Basic","3","sm9-31","Water","1"
,,"Articuno","110","2","Cold Cyclone","70","Water","Rare Holo","Pokemon",,"Basic","2","sm9-32","Water, Water",
,,"Alolan Geodude","60","2","Self-Destruct","60","Lightning","Common","Pokemon",,"Basic","2","sm9-34","Lightning, Colorless",
"50","Smash Bomb","Alolan Geodude","70","0","Charge","","Lightning","Common","Pokemon","Lightning, Colorless, Colorless","Basic","3","sm9-35","","3"
"100","Electroslug","Alolan Graveler","100","0","Rollout","30","Lightning","Uncommon","Pokemon","Lightning, Colorless, Colorless, Colorless","Stage 1","4","sm9-36","","4"
"190","Super Zap Cannon","Alolan Golem","180","0","Electromagnetic Bomb","20×","Lightning","Rare","Pokemon","Lightning, Colorless, Colorless, Colorless, Colorless","Stage 2","4","sm9-37","","5"
,,"Voltorb","50","1","Tackle","20","Lightning","Common","Pokemon",,"Basic","1","sm9-38","Colorless",
,,"Electrode","90","2","Speed Ball","50","Lightning","Rare Holo","Pokemon",,"Stage 1","1","sm9-39","Lightning, Colorless",
,,"Zapdos","110","1","Thunderous Assault","10+","Lightning","Rare Holo","Pokemon",,"Basic","2","sm9-40","Lightning",
,,"Mareep","60","1","Shock Bolt","30","Lightning","Common","Pokemon",,"Basic","1","sm9-41","Lightning",
"60","Shock Bolt","Flaaffy","90","1","Electric Punch","30","Lightning","Uncommon","Pokemon","Lightning, Lightning","Stage 1","2","sm9-42","Lightning","2"
"20","Zap Kick","Blitzle","60","1","Delivery Dash","","Lightning","Common","Pokemon","Lightning, Colorless","Basic","1","sm9-44","Lightning","2"
"100","Mach Bolt","Zebstrika","120","2","Raid","30+","Lightning","Rare","Pokemon","Lightning, Lightning, Colorless","Stage 1","1","sm9-45","Lightning, Colorless","3"
,,"Emolga","60","1","Nuzzle","","Lightning","Common","Pokemon",,"Basic","","sm9-46","Lightning",
,,"Joltik","40","1","Leech Life","10","Lightning","Common","Pokemon",,"Basic","1","sm9-47","Lightning",
