"id","name","supertype","hp","types","evolvesTo","evolvesFrom","number","artist","rarity","flavorText","nationalPokedexNumbers","regulationMark","imageSmall","imageLarge","legalitiesUnlimited","legalitiesStandard","legalitiesExpanded","retreatCost","convertedRetreatCost","Ability1Name","Ability1Text","Ability1Type","Ability2Name","Ability2Text","Ability2Type","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"sma-SV1","Scyther","Pokémon","70","Grass","Scizor",,"SV1","Shigenori Negishi","Rare Shiny","While young, they live together deep in the mountains, training themselves in how to fight with their scythes and move at high speeds.","123",,"https://images.pokemontcg.io/sma/SV1.png","https://images.pokemontcg.io/sma/SV1_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Twin Play","Colorless","1","","Search your deck for up to 2 Scyther and put them onto your Bench. Then, shuffle your deck.","Agility","Colorless, Colorless","2","20","Flip a coin. If heads, prevent all effects of attacks, including damage, done to this Pokémon during your opponent's next turn.","Fire","×2"
"sma-SV2","Rowlet","Pokémon","60","Grass","Dartrix",,"SV2","sui","Rare Shiny","This wary Pokémon uses photosynthesis to store up energy during the day, while becoming active at night.","722",,"https://images.pokemontcg.io/sma/SV2.png","https://images.pokemontcg.io/sma/SV2_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Tackle","Colorless","1","10","","Leafage","Grass, Colorless","2","20","","Fire","×2"
"sma-SV3","Dartrix","Pokémon","80","Grass","Decidueye","Rowlet","SV3","Shigenori Negishi","Rare Shiny","A bit of a dandy, it spends its free time preening its wings. Its preoccupation with any dirt on its plumage can leave it unable to battle.","723",,"https://images.pokemontcg.io/sma/SV3.png","https://images.pokemontcg.io/sma/SV3_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Sharp Blade Quill","Colorless","1","","This attack does 20 damage to 1 of your opponent's Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)","Leaf Blade","Grass, Colorless, Colorless","3","50+","Flip a coin. If heads, this attack does 20 more damage.","Fire","×2"
"sma-SV4","Wimpod","Pokémon","70","Grass","Golisopod",,"SV4","SATOSHI NAKAI","Rare Shiny","This Pokémon is a coward. As it desperately dashes off, the flailing of its many legs leaves a sparkling clean path in its wake.","767",,"https://images.pokemontcg.io/sma/SV4.png","https://images.pokemontcg.io/sma/SV4_hires.png","Legal",,"Legal","Colorless, Colorless, Colorless","3","Wimp Out","During your first turn, this Pokémon has no Retreat Cost.","Ability","","","","Gnaw","Grass, Colorless, Colorless","3","30","","","","","","","Fire","×2"
"sma-SV5","Pheromosa","Pokémon","110","Grass","",,"SV5","Mizue","Rare Shiny","One of the Ultra Beasts. It refuses to touch anything, perhaps because it senses some uncleanness in this world.","795",,"https://images.pokemontcg.io/sma/SV5.png","https://images.pokemontcg.io/sma/SV5_hires.png","Legal",,"Legal","",,"","","","","","","High Jump Kick","Colorless","1","20","","White Ray","Grass, Grass, Colorless","3","90+","If you have only 1 Prize card remaining, this attack does 90 more damage.","Fire","×2"
"sma-SV6","Charmander","Pokémon","70","Fire","Charmeleon",,"SV6","kirisAki","Rare Shiny","From the time it is born, a flame burns at the tip of its tail. Its life would end if the flame were to go out.","4",,"https://images.pokemontcg.io/sma/SV6.png","https://images.pokemontcg.io/sma/SV6_hires.png","Legal",,"Legal","Colorless, Colorless","2","","","","","","","Fire Fang","Fire, Colorless","2","20","Your opponent's Active Pokémon is now Burned.","","","","","","Water","×2"
"sma-SV7","Charmeleon","Pokémon","80","Fire","Charizard","Charmander","SV7","nagimiso","Rare Shiny","When it swings its burning tail, it elevates the air temperature to unbearably high levels.","5",,"https://images.pokemontcg.io/sma/SV7.png","https://images.pokemontcg.io/sma/SV7_hires.png","Legal",,"Legal","Colorless, Colorless","2","Burning Fighter","When you play this Pokémon from your hand to evolve 1 of your Pokémon during your turn, you may discard the top 5 cards of your deck. If any of those cards are Fire Energy cards, attach them to this Pokémon.","Ability","","","","Flamethrower","Fire, Fire, Colorless","3","80","Discard an Energy from this Pokémon.","","","","","","Water","×2"
"sma-SV8","Alolan Vulpix","Pokémon","60","Water","Ninetales",,"SV8","Kouki Saitou","Rare Shiny","It exhales air colder than -58 degrees Fahrenheit. Elderly people in Alola call this Pokémon by an older name—Keokeo.","37",,"https://images.pokemontcg.io/sma/SV8.png","https://images.pokemontcg.io/sma/SV8_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Beacon","","0","","Search your deck for up to 2 Pokémon, reveal them, and put them into your hand. Then, shuffle your deck.","Icy Snow","Colorless, Colorless","2","20","","Metal","×2"
"sma-SV9","Wooper","Pokémon","70","Water","Quagsire",,"SV9","Misa Tsutsui","Rare Shiny","When the temperature cools in the evening, they emerge from water to seek food along the shore.","194",,"https://images.pokemontcg.io/sma/SV9.png","https://images.pokemontcg.io/sma/SV9_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Ram","Colorless","1","10","","Rain Splash","Water, Colorless","2","20","","Grass","×2"
"sma-SV10","Quagsire","Pokémon","120","Water","","Wooper","SV10","Saya Tsuruta","Rare Shiny","This carefree Pokémon has an easygoing nature. While swimming, it always bumps into boat hulls.","195",,"https://images.pokemontcg.io/sma/SV10.png","https://images.pokemontcg.io/sma/SV10_hires.png","Legal",,"Legal","Colorless, Colorless","2","Wash Out","As often as you like during your turn (before your attack), you may move a Water Energy from 1 of your Benched Pokémon to your Active Pokémon.","Ability","","","","Hydro Pump","Colorless, Colorless, Colorless","3","60+","This attack does 20 more damage times the amount of Water Energy attached to this Pokémon.","","","","","","Grass","×2"
