"ID","Name","Supertype","Subtypes","HP","Types","RetreatCost","Rarity","Ability","Attacks"
"smp-SM01","Rowlet","Pokemon","Basic","50","Grass","1","Promo","","Fury Attack: Cost=[Grass], EnergyCost=[1], Damage=10×, Text=Flip 3 coins. This attack does 10 damage for each heads."
"smp-SM02","Litten","Pokemon","Basic","60","Fire","1","Promo","","Combustion: Cost=[Fire, Colorless], EnergyCost=[2], Damage=30, Text="
"smp-SM03","Popplio","Pokemon","Basic","60","Water","1","Promo","","Sing: Cost=[Water], EnergyCost=[1], Damage=, Text=Your opponent's Active Pokemon is now Asleep."
"smp-SM04","Pikachu","Pokemon","Basic","70","Lightning","1","Promo","","Thunder Wave: Cost=[Lightning], EnergyCost=[1], Damage=, Text=Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed. | Electro Ball: Cost=[Lightning, Colorless, Colorless], EnergyCost=[3], Damage=50, Text="
"smp-SM06","Rockruff","Pokemon","Basic","60","Fighting","1","Promo","","Tackle: Cost=[Colorless], EnergyCost=[1], Damage=10, Text= | Rock Throw: Cost=[Fighting, Colorless], EnergyCost=[2], Damage=20, Text="
"smp-SM07","Pikipek","Pokemon","Basic","60","Colorless","1","Promo","","Nosedive: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=40, Text=This Pokemon does 20 damage to itself."
"smp-SM08","Litten","Pokemon","Basic","60","Fire","1","Promo","","Collect: Cost=[Colorless], EnergyCost=[1], Damage=, Text=Draw a card. | Scratch: Cost=[Fire, Colorless], EnergyCost=[2], Damage=20, Text="
"smp-SM09","Togedemaru","Pokemon","Basic","70","Lightning","1","Promo","","Defense Curl: Cost=[Colorless], EnergyCost=[1], Damage=, Text=Flip a coin. If heads, prevent all damage done to this Pokemon by attacks during your opponent's next turn. | Discharge: Cost=[Lightning], EnergyCost=[1], Damage=30×, Text=Discard all Lightning Energy from this Pokemon. This attack does 30 damage for each card you discarded in this way."
"smp-SM10","Shiinotic","Pokemon","Stage 1","100","Grass","2","Promo","Illuminate: Effect=[Once during your turn (before your attack), you may search your deck for a Grass Pokemon, reveal it, and put it into your hand. Then, shuffle your deck.]","Flickering Spores: Cost=[Grass, Colorless], EnergyCost=[2], Damage=30, Text=Your opponent's Active Pokemon is now Asleep."
"smp-SM11","Bruxish","Pokemon","Basic","110","Water","2","Promo","","Vivid Charge: Cost=[Colorless], EnergyCost=[1], Damage=, Text=Search your deck for up to 3 basic Energy cards, reveal them, and put them into your hand. Then, shuffle your deck. | Psychic Fang: Cost=[Water, Water, Colorless], EnergyCost=[3], Damage=90, Text=This attack's damage isn't affected by any effects on your opponent's Active Pokemon."
"smp-SM12","Passimian","Pokemon","Basic","110","Fighting","1","Promo","","Fling: Cost=[Fighting], EnergyCost=[1], Damage=, Text=This attack does 30 damage to 1 of your opponent's Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.) | Team Play: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=10+, Text=This attack does 30 more damage for each of your Benched Passimian."
"smp-SM13","Oranguru","Pokemon","Basic","120","Colorless","2","Promo","Instruct: Effect=[Once during your turn (before your attack), you may draw cards until you have 3 cards in your hand.]","Psychic: Cost=[Colorless, Colorless, Colorless], EnergyCost=[3], Damage=60+, Text=This attack does 20 more damage times the amount of Energy attached to your opponent's Active Pokemon."
"smp-SM15","Zygarde","Pokemon","Basic","130","Fighting","3","Promo","","Pulse Blast: Cost=[Fighting, Colorless, Colorless], EnergyCost=[3], Damage=60, Text= | Land's Wrath: Cost=[Fighting, Fighting, Fighting, Colorless], EnergyCost=[4], Damage=130, Text="
"smp-SM18","Alolan Sandslash","Pokemon","Stage 1","110","Water","2","Promo","Slush Rush: Effect=[Once during your turn (before your attack), you may draw a card.]","Smash Turn: Cost=[Water, Colorless, Colorless], EnergyCost=[3], Damage=50, Text=Switch this Pokemon with 1 of your Benched Pokemon."
"smp-SM19","Oricorio","Pokemon","Basic","90","Psychic","1","Promo","","Supernatural Dance: Cost=[Colorless], EnergyCost=[1], Damage=, Text=For each Pokemon in your opponent's discard pile, put 1 damage counter on your opponent's Pokemon in any way you like. | Revelation Dance: Cost=[Colorless], EnergyCost=[1], Damage=30, Text=If there is no Stadium card in play, this attack does nothing."
"smp-SM20","Mudsdale","Pokemon","Stage 1","140","Fighting","4","Promo","","Enhanced Stomp: Cost=[Fighting, Fighting, Colorless], EnergyCost=[3], Damage=60+, Text=If this Pokemon has a Pokemon Tool card attached to it, this attack does 60 more damage. | High Horsepower: Cost=[Fighting, Fighting, Fighting, Colorless], EnergyCost=[4], Damage=180, Text=This Pokemon does 40 damage to itself."
"smp-SM21","Drampa","Pokemon","Basic","120","Dragon","2","Promo","","Amass: Cost=[Colorless], EnergyCost=[1], Damage=, Text=Search your deck for a basic Energy card and attach it to this Pokemon. Then, shuffle your deck. | Power Cyclone: Cost=[Colorless, Colorless, Colorless], EnergyCost=[3], Damage=80, Text=Move an Energy from this Pokemon to 1 of your Benched Pokemon."
"smp-SM22","Rowlet","Pokemon","Basic","60","Grass","1","Promo","","Tackle: Cost=[Colorless], EnergyCost=[1], Damage=10, Text= | Leafage: Cost=[Grass, Colorless], EnergyCost=[2], Damage=20, Text="
"smp-SM23","Litten","Pokemon","Basic","70","Fire","1","Promo","","Bite: Cost=[Fire], EnergyCost=[1], Damage=10, Text= | Flare: Cost=[Fire, Colorless], EnergyCost=[2], Damage=20, Text="
"smp-SM24","Popplio","Pokemon","Basic","70","Water","1","Promo","","Pound: Cost=[Water], EnergyCost=[1], Damage=10, Text= | Water Gun: Cost=[Water, Colorless], EnergyCost=[2], Damage=20, Text="
"smp-SM25","Lurantis","Pokemon","Stage 1","100","Grass","2","Promo","Sunny Day: Effect=[The attacks of your Grass Pokemon and Fire Pokemon do 20 more damage to your opponent's Active Pokemon (before applying Weakness and Resistance).]","Solar Beam: Cost=[Grass, Grass, Colorless], EnergyCost=[3], Damage=80, Text="
"smp-SM26","Tsareena","Pokemon","Stage 2","140","Grass","2","Promo","Queenly Majesty: Effect=[When you play this Pokemon from your hand to evolve 1 of your Pokemon during your turn, you may have your opponent reveal their hand. Then, discard a card from it.]","Trop Kick: Cost=[Grass, Colorless, Colorless], EnergyCost=[3], Damage=80, Text=Heal 20 damage and remove all Special Conditions from this Pokemon."
