"id","name","supertype","hp","types","evolvesTo","evolvesFrom","number","artist","rarity","flavorText","nationalPokedexNumbers","regulationMark","imageSmall","imageLarge","legalitiesUnlimited","legalitiesStandard","legalitiesExpanded","retreatCost","convertedRetreatCost","Ability1Name","Ability1Text","Ability1Type","Ability2Name","Ability2Text","Ability2Type","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"sv2-1","Hoppip","Pokémon","50","Grass","",,"1","Yukiko Baba","Common","This Pokémon is blown across vast distances by the wind. It is unclear where the Hoppip of Paldea originally came from.","187","G","https://images.pokemontcg.io/sv2/1.png","https://images.pokemontcg.io/sv2/1_hires.png","Legal","Legal","Legal","Colorless","1","","","","","","","Splashing Dodge","Grass","1","10","Flip a coin. If heads, during your opponent's next turn, prevent all damage from and effects of attacks done to this Pokémon.","","","","","","Fire","×2"
"sv2-2","Skiploom","Pokémon","70","Grass","","Hoppip","2","Yoriyuki Ikegami","Uncommon","Skiploom enthusiasts can apparently tell where a Skiploom was born by the scent drifting from the flower on the Pokémon's head.","188","G","https://images.pokemontcg.io/sv2/2.png","https://images.pokemontcg.io/sv2/2_hires.png","Legal","Legal","Legal","Colorless","1","Drifting Dodge","If any damage is done to this Pokémon by attacks, flip a coin. If heads, prevent that damage.","Ability","","","","Flowery Zephyr","Grass","1","30","This attack also does 30 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)","","","","","","Fire","×2"
"sv2-3","Jumpluff","Pokémon","90","Grass","","Skiploom","3","Naoyo Kimura","Rare","Jumpluff travels on seasonal winds. Once its cotton spores run out, its journey ends, as does its life.","189","G","https://images.pokemontcg.io/sv2/3.png","https://images.pokemontcg.io/sv2/3_hires.png","Legal","Legal","Legal","Colorless","1","Drifting Dodge","If any damage is done to this Pokémon by attacks, flip a coin. If heads, prevent that damage.","Ability","","","","Fluffy Breeze","Grass","1","60","This attack also does 30 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)","","","","","","Fire","×2"
"sv2-4","Pineco","Pokémon","70","Grass","",,"4","Kouki Saitou","Common","It likes to make its shell thicker by adding layers of tree bark. The additional weight doesn't bother it.","204","G","https://images.pokemontcg.io/sv2/4.png","https://images.pokemontcg.io/sv2/4_hires.png","Legal","Legal","Legal","Colorless, Colorless","2","","","","","","","Rollout","Grass, Grass","2","30","","","","","","","Fire","×2"
"sv2-5","Forretress ex","Pokémon","270","Grass","","Pineco","5","5ban Graphics","Double Rare",,"205","G","https://images.pokemontcg.io/sv2/5.png","https://images.pokemontcg.io/sv2/5_hires.png","Legal","Legal","Legal","Colorless, Colorless, Colorless","3","Exploding Energy","Once during your turn, you may search your deck for up to 5 Basic Grass Energy cards and attach them to your Pokémon in any way you like. Then, shuffle your deck. If you searched your deck in this way, this Pokémon is Knocked Out.","Ability","","","","Guard Press","Grass, Grass","2","120","During your opponent's next turn, this Pokémon takes 30 less damage from attacks (after applying Weakness and Resistance).","","","","","","Fire","×2"
"sv2-6","Heracross","Pokémon","130","Grass","",,"6","GOSSAN","Uncommon","It loves sweet nectar. To keep all the nectar to itself, it hurls rivals away with its prized horn.","214","G","https://images.pokemontcg.io/sv2/6.png","https://images.pokemontcg.io/sv2/6_hires.png","Legal","Legal","Legal","Colorless, Colorless, Colorless","3","","","","","","","Tackle","Grass, Grass","2","50","","Smashing Horn","Grass, Grass, Grass","3","110","This attack's damage isn't affected by Resistance.","Fire","×2"
"sv2-7","Tropius","Pokémon","110","Grass","",,"7","Taira Akitsu","Common","It lives in tropical jungles. The bunch of fruit around its neck is delicious. The fruit grows twice a year.","357","G","https://images.pokemontcg.io/sv2/7.png","https://images.pokemontcg.io/sv2/7_hires.png","Legal","Legal","Legal","Colorless","1","","","","","","","Leaf Drain","Grass","1","20","Heal 20 damage from this Pokémon.","Tropic Breeze","Grass, Grass, Colorless","3","130","Move all Energy from this Pokémon to 1 of your Benched Pokémon.","Fire","×2"
"sv2-8","Combee","Pokémon","50","Grass","",,"8","Yoriyuki Ikegami","Common","At night, Combee sleep in a group of about a hundred, packed closely together in a lump.","415","G","https://images.pokemontcg.io/sv2/8.png","https://images.pokemontcg.io/sv2/8_hires.png","Legal","Legal","Legal","Colorless","1","","","","","","","Double Spin","Colorless","1","10×","Flip 2 coins. This attack does 10 damage for each heads.","","","","","","Fire","×2"
"sv2-9","Vespiquen","Pokémon","120","Grass","","Combee","9","Megumi Higuchi","Uncommon","It houses its colony in cells in its body and releases various pheromones to make those grubs do its bidding.","416","G","https://images.pokemontcg.io/sv2/9.png","https://images.pokemontcg.io/sv2/9_hires.png","Legal","Legal","Legal","Colorless, Colorless","2","","","","","","","Double Stab","Colorless","1","30×","Flip 2 coins. This attack does 30 damage for each heads.","Order a Raid","Grass","1","120","Choose 1 of your Benched Combee and shuffle that Pokémon and all attached cards into your deck. If you can't shuffle a Combee into your deck, this attack does nothing.","Fire","×2"
"sv2-10","Snover","Pokémon","90","Grass","",,"10","Taira Akitsu","Common","During cold seasons, it migrates to the mountain's lower reaches. It returns to the snow-covered summit in the spring.","459","G","https://images.pokemontcg.io/sv2/10.png","https://images.pokemontcg.io/sv2/10_hires.png","Legal","Legal","Legal","Colorless, Colorless, Colorless","3","","","","","","","Corkscrew Punch","Grass, Colorless","2","30","","","","","","","Fire","×2"
