"ID","Name","Supertype","Subtypes","HP","Types","RetreatCost","Rarity","Ability","Attacks"
"sv3pt5-1","Bulbasaur","Pokemon","Basic","70","Grass","2","Common","","Leech Seed: Cost=[Grass, Colorless], EnergyCost=[2], Damage=20, Text=Heal 20 damage from this Pokemon."
"sv3pt5-2","Ivysaur","Pokemon","Stage 1","100","Grass","3","Uncommon","","Leech Seed: Cost=[Grass, Colorless], EnergyCost=[2], Damage=30, Text=Heal 20 damage from this Pokemon. | Vine Whip: Cost=[Grass, Grass, Colorless], EnergyCost=[3], Damage=80, Text="
"sv3pt5-4","Charmander","Pokemon","Basic","70","Fire","1","Common","","Blazing Destruction: Cost=[Fire], EnergyCost=[1], Damage=, Text=Discard a Stadium in play. | Steady Firebreathing: Cost=[Fire, Fire], EnergyCost=[2], Damage=30, Text="
"sv3pt5-5","Charmeleon","Pokemon","Stage 1","100","Fire","2","Uncommon","","Combustion: Cost=[Fire], EnergyCost=[1], Damage=20, Text= | Fire Blast: Cost=[Fire, Fire, Fire], EnergyCost=[3], Damage=90, Text=Discard an Energy from this Pokemon."
"sv3pt5-7","Squirtle","Pokemon","Basic","60","Water","1","Common","","Withdraw: Cost=[Water], EnergyCost=[1], Damage=, Text=Flip a coin. If heads, during your opponent's next turn, prevent all damage done to this Pokemon by attacks. | Skull Bash: Cost=[Water, Water], EnergyCost=[2], Damage=20, Text="
"sv3pt5-8","Wartortle","Pokemon","Stage 1","100","Water","2","Uncommon","","Free Diving: Cost=[Water], EnergyCost=[1], Damage=, Text=Put up to 3 Basic Water Energy cards from your discard pile into your hand. | Spinning Attack: Cost=[Water, Water], EnergyCost=[2], Damage=50, Text="
"sv3pt5-10","Caterpie","Pokemon","Basic","50","Grass","1","Common","","Leaf Munch: Cost=[Grass], EnergyCost=[1], Damage=10+, Text=If your opponent's Active Pokemon is a Grass Pokemon, this attack does 30 more damage."
"sv3pt5-11","Metapod","Pokemon","Stage 1","90","Grass","3","Common","","Tackle: Cost=[Grass], EnergyCost=[1], Damage=20, Text= | Defensive Posture: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=, Text=Flip a coin. If heads, during your opponent's next turn, prevent all damage done to this Pokemon by attacks."
"sv3pt5-12","Butterfree","Pokemon","Stage 2","130","Grass","1","Uncommon","","Whirlwind: Cost=[Grass], EnergyCost=[1], Damage=60, Text=Switch out your opponent's Active Pokemon to the Bench. (Your opponent chooses the new Active Pokemon.) | Bye-Bye Flight: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=, Text=Choose 1 of your opponent's Benched Pokemon. Shuffle that Pokemon and all attached cards into their deck, and then shuffle this Pokemon and all attached cards into your deck. If your opponent has no Benched Pokemon, this attack does nothing."
"sv3pt5-13","Weedle","Pokemon","Basic","50","Grass","1","Common","","Ram: Cost=[Grass], EnergyCost=[1], Damage=10, Text= | Bug Bite: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=20, Text="
"sv3pt5-14","Kakuna","Pokemon","Stage 1","80","Grass","3","Common","Cocoon Cover: Effect=[Prevent all effects of attacks used by your opponent's Pokemon done to this Pokemon. (Damage is not an effect.)]","Zzzt: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=20, Text="
"sv3pt5-15","Beedrill","Pokemon","Stage 2","130","Grass","1","Rare","","Nadir Needle: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=30+, Text=If you have no cards in your hand, this attack does 120 more damage, and your opponent's Active Pokemon is now Paralyzed and Poisoned. | Pierce: Cost=[Grass, Grass], EnergyCost=[2], Damage=110, Text="
"sv3pt5-16","Pidgey","Pokemon","Basic","50","Colorless","1","Common","","Call for Family: Cost=[Colorless], EnergyCost=[1], Damage=, Text=Search your deck for up to 2 Basic Pokemon and put them onto your Bench. Then, shuffle your deck. | Tackle: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=20, Text="
"sv3pt5-17","Pidgeotto","Pokemon","Stage 1","80","Colorless","","Common","","Flap: Cost=[Colorless], EnergyCost=[1], Damage=20, Text="
"sv3pt5-18","Pidgeot","Pokemon","Stage 2","130","Colorless","","Uncommon","","Flap: Cost=[Colorless], EnergyCost=[1], Damage=40, Text= | Fly: Cost=[Colorless, Colorless, Colorless], EnergyCost=[3], Damage=150, Text=Flip a coin. If tails, this attack does nothing. If heads, during your opponent's next turn, prevent all damage from and effects of attacks done to this Pokemon."
"sv3pt5-19","Rattata","Pokemon","Basic","40","Colorless","1","Common","","Gnaw the Wound: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=20+, Text=This attack does 10 more damage for each damage counter on your opponent's Active Pokemon."
"sv3pt5-20","Raticate","Pokemon","Stage 1","70","Colorless","","Uncommon","","Second Bite: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=30+, Text=This attack does 30 more damage for each damage counter on your opponent's Active Pokemon."
"sv3pt5-21","Spearow","Pokemon","Basic","50","Colorless","1","Common","Evolutionary Advantage: Effect=[If you go second, this Pokemon can evolve during your first turn.]","Speed Dive: Cost=[Colorless], EnergyCost=[1], Damage=10, Text="
"sv3pt5-22","Fearow","Pokemon","Stage 1","90","Colorless","","Uncommon","","Beak Catch: Cost=[Colorless], EnergyCost=[1], Damage=, Text=Search your deck for up to 3 cards and put them into your hand. Then, shuffle your deck. | Speed Dive: Cost=[Colorless], EnergyCost=[1], Damage=50, Text="
"sv3pt5-23","Ekans","Pokemon","Basic","70","Darkness","2","Common","","Acid Spray: Cost=[Darkness, Darkness], EnergyCost=[2], Damage=30, Text=Flip a coin. If heads, discard an Energy from your opponent's Active Pokemon."
"sv3pt5-25","Pikachu","Pokemon","Basic","60","Lightning","1","Common","","Charge: Cost=[Lightning], EnergyCost=[1], Damage=, Text=Search your deck for a Basic Lightning Energy card and attach it to this Pokemon. Then, shuffle your deck. | Pika Punch: Cost=[Lightning, Lightning, Colorless], EnergyCost=[3], Damage=50, Text="
"sv3pt5-26","Raichu","Pokemon","Stage 1","120","Lightning","1","Rare","Electrical Grounding: Effect=[When 1 of your Pokemon is Knocked Out by damage from an attack from your opponent's Pokemon, you may move a Lightning Energy from that Pokemon to this Pokemon.]","Thunder: Cost=[Lightning, Lightning, Colorless], EnergyCost=[3], Damage=180, Text=This Pokemon also does 50 damage to itself."
"sv3pt5-27","Sandshrew","Pokemon","Basic","60","Fighting","1","Common","Sand Screen: Effect=[Trainer cards in your opponent's discard pile can't be put into their deck by an effect of your opponent's Item or Supporter cards.]","Scratch: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=30, Text="
"sv3pt5-28","Sandslash","Pokemon","Stage 1","120","Fighting","2","Uncommon","","Rumble: Cost=[Fighting], EnergyCost=[1], Damage=30, Text=During your opponent's next turn, the Defending Pokemon can't retreat. | Spike Rend: Cost=[Fighting, Colorless, Colorless], EnergyCost=[3], Damage=80+, Text=If your opponent's Active Pokemon already has any damage counters on it, this attack does 100 more damage."
"sv3pt5-29","Nidoran ♀","Pokemon","Basic","60","Darkness","1","Common","","Poison Horn: Cost=[Darkness, Colorless], EnergyCost=[2], Damage=20, Text=Your opponent's Active Pokemon is now Poisoned."
"sv3pt5-30","Nidorina","Pokemon","Stage 1","90","Darkness","2","Uncommon","","Fetch Family: Cost=[Darkness], EnergyCost=[1], Damage=, Text=Search your deck for up to 3 Pokemon, reveal them, and put them into your hand. Then, shuffle your deck. | Sharp Fang: Cost=[Darkness, Colorless], EnergyCost=[2], Damage=50, Text="
"sv3pt5-31","Nidoqueen","Pokemon","Stage 2","170","Darkness","3","Uncommon","","Queen Press: Cost=[Darkness, Colorless], EnergyCost=[2], Damage=90, Text=During your opponent's next turn, prevent all damage done to this Pokemon by attacks from Basic Pokemon. | Lunge Out: Cost=[Darkness, Darkness, Colorless], EnergyCost=[3], Damage=160, Text="
"sv3pt5-32","Nidoran ♂","Pokemon","Basic","60","Darkness","1","Common","","Horn Attack: Cost=[Darkness], EnergyCost=[1], Damage=20, Text="
"sv3pt5-33","Nidorino","Pokemon","Stage 1","90","Darkness","2","Uncommon","","Sharp Fang: Cost=[Darkness], EnergyCost=[1], Damage=30, Text= | Superpowered Horns: Cost=[Darkness, Darkness, Colorless], EnergyCost=[3], Damage=100, Text="
"sv3pt5-34","Nidoking","Pokemon","Stage 2","170","Darkness","3","Rare","Enthusiastic King: Effect=[If you have Nidoqueen in play, ignore all Energy in the costs of attacks used by this Pokemon.]","Venomous Impact: Cost=[Darkness, Darkness, Colorless, Colorless], EnergyCost=[4], Damage=190, Text=Your opponent's Active Pokemon is now Poisoned."
"sv3pt5-35","Clefairy","Pokemon","Basic","60","Psychic","1","Common","","Moon-Viewing Invitation: Cost=[Psychic], EnergyCost=[1], Damage=, Text=Search your deck for up to 3 Clefairy and put them onto your Bench. Then, shuffle your deck. | Smack: Cost=[Psychic, Colorless], EnergyCost=[2], Damage=20, Text="
"sv3pt5-36","Clefable","Pokemon","Stage 1","100","Psychic","2","Uncommon","","Follow Me: Cost=[Psychic], EnergyCost=[1], Damage=, Text=Switch in 1 of your opponent's Benched Pokemon to the Active Spot. | More Moon: Cost=[Psychic, Psychic, Psychic], EnergyCost=[3], Damage=50, Text=If your opponent's Pokemon is Knocked Out by damage from this attack, take 1 more Prize card."
"sv3pt5-37","Vulpix","Pokemon","Basic","70","Fire","1","Common","","Super Singe: Cost=[Fire, Colorless], EnergyCost=[2], Damage=20, Text=Flip a coin. If heads, your opponent's Active Pokemon is now Burned."
"sv3pt5-39","Jigglypuff","Pokemon","Basic","70","Colorless","1","Common","","Lead: Cost=[Colorless], EnergyCost=[1], Damage=, Text=Search your deck for a Supporter card, reveal it, and put it into your hand. Then, shuffle your deck. | Stompy Stomp: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=20×, Text=Flip 2 coins. This attack does 20 damage for each heads."
"sv3pt5-41","Zubat","Pokemon","Basic","40","Darkness","1","Common","Revealing Echo: Effect=[Once during your turn, if this Pokemon is in the Active Spot, you may have your opponent reveal their hand.]","Bite: Cost=[Colorless], EnergyCost=[1], Damage=10, Text="
"sv3pt5-42","Golbat","Pokemon","Stage 1","80","Darkness","1","Uncommon","","Skill Dive: Cost=[Colorless], EnergyCost=[1], Damage=, Text=This attack does 40 damage to 1 of your opponent's Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)"
"sv3pt5-43","Oddish","Pokemon","Basic","60","Grass","1","Common","","Razor Leaf: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=20, Text="
"sv3pt5-44","Gloom","Pokemon","Stage 1","70","Grass","1","Uncommon","Semi-Blooming Energy: Effect=[When you play this Pokemon from your hand to evolve 1 of your Pokemon during your turn, you may look at the top 3 cards of your deck and attach any number of Basic Energy cards you find there to your Pokemon in any way you like. Shuffle the other cards back into your deck.]","Drool: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=30, Text="
"sv3pt5-45","Vileplume","Pokemon","Stage 2","140","Grass","2","Rare","Fully Blooming Energy: Effect=[When you play this Pokemon from your hand to evolve 1 of your Pokemon during your turn, you may look at the top 8 cards of your deck and attach any number of Basic Energy cards you find there to your Pokemon in any way you like. Shuffle the other cards back into your deck.]","Solar Beam: Cost=[Grass, Colorless, Colorless], EnergyCost=[3], Damage=90, Text="
"sv3pt5-46","Paras","Pokemon","Basic","70","Grass","2","Common","","Stampede: Cost=[Grass], EnergyCost=[1], Damage=10, Text= | Spore Ball: Cost=[Grass, Colorless], EnergyCost=[2], Damage=20, Text=Your opponent's Active Pokemon is now Asleep."
"sv3pt5-47","Parasect","Pokemon","Stage 1","120","Grass","2","Uncommon","","Spread Filaments: Cost=[Grass], EnergyCost=[1], Damage=, Text=Flip 2 coins. Search your deck for a number of Grass Pokemon up to the number of heads and put them onto your Bench. Then, shuffle your deck. | Claw Slash: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=50, Text="
"sv3pt5-48","Venonat","Pokemon","Basic","70","Grass","2","Common","","Gnaw: Cost=[Colorless], EnergyCost=[1], Damage=10, Text= | Beam: Cost=[Grass, Colorless, Colorless], EnergyCost=[3], Damage=40, Text="
"sv3pt5-49","Venomoth","Pokemon","Stage 1","90","Grass","1","Uncommon","","Perplexing Powder: Cost=[Grass], EnergyCost=[1], Damage=30, Text=Your opponent's Active Pokemon is now Confused. During your opponent's next turn, they can't play any Item cards from their hand. | Speed Wing: Cost=[Grass, Colorless, Colorless], EnergyCost=[3], Damage=90, Text="
"sv3pt5-50","Diglett","Pokemon","Basic","50","Fighting","1","Common","","Headbutt Bounce: Cost=[Fighting], EnergyCost=[1], Damage=10, Text= | Mud-Slap: Cost=[Fighting, Fighting], EnergyCost=[2], Damage=30, Text="
"sv3pt5-51","Dugtrio","Pokemon","Stage 1","90","Fighting","1","Uncommon","","Headbutt Bounce: Cost=[Fighting], EnergyCost=[1], Damage=40, Text= | Mud Bomb: Cost=[Fighting, Fighting], EnergyCost=[2], Damage=80, Text="
"sv3pt5-52","Meowth","Pokemon","Basic","70","Colorless","1","Common","","Come Here Right Meow: Cost=[Colorless], EnergyCost=[1], Damage=, Text=Flip a coin. If heads, switch in 1 of your opponent's Benched Pokemon to the Active Spot. | Dig Claws: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=20, Text="
"sv3pt5-53","Persian","Pokemon","Stage 1","110","Colorless","1","Uncommon","Rocket Call: Effect=[Once during your turn, you may search your deck for a Giovanni's Charisma card, reveal it, and put it into your hand. Then, shuffle your deck.]","Slash: Cost=[Colorless, Colorless, Colorless], EnergyCost=[3], Damage=70, Text="
"sv3pt5-54","Psyduck","Pokemon","Basic","70","Water","1","Common","","Overthink: Cost=[Colorless], EnergyCost=[1], Damage=, Text=During your opponent's next turn, whenever they flip a coin, treat it as tails. | Water Gun: Cost=[Water], EnergyCost=[1], Damage=10, Text="
"sv3pt5-55","Golduck","Pokemon","Stage 1","110","Water","1","Uncommon","","Aquatic Rescue: Cost=[Colorless], EnergyCost=[1], Damage=, Text=Put up to 4 Pokemon from your discard pile into your hand. | Super Splash: Cost=[Water, Water, Colorless], EnergyCost=[3], Damage=120, Text="
"sv3pt5-56","Mankey","Pokemon","Basic","60","Fighting","1","Common","","Thrash: Cost=[Fighting], EnergyCost=[1], Damage=20+, Text=Flip a coin. If tails, this Pokemon also does 20 damage to itself. If heads, this attack does 20 more damage."
"sv3pt5-57","Primeape","Pokemon","Stage 1","120","Fighting","2","Uncommon","","Rant and Rave: Cost=[Fighting], EnergyCost=[1], Damage=40, Text=This Pokemon is now Confused. | Raging Smash: Cost=[Fighting, Colorless, Colorless], EnergyCost=[3], Damage=150, Text=If this Pokemon isn't Confused, this attack does nothing."
"sv3pt5-58","Growlithe","Pokemon","Basic","80","Fire","2","Common","","Vaporize: Cost=[Fire], EnergyCost=[1], Damage=10, Text=Discard a Water Energy from your opponent's Active Pokemon."
"sv3pt5-59","Arcanine","Pokemon","Stage 1","150","Fire","4","Uncommon","","Torrid Torrent: Cost=[Fire], EnergyCost=[1], Damage=30, Text=Attach up to 2 Basic Fire Energy cards from your discard pile to this Pokemon. | Dynamite Fang: Cost=[Fire, Fire, Colorless, Colorless], EnergyCost=[4], Damage=240, Text=Discard 2 Fire Energy from this Pokemon."
"sv3pt5-60","Poliwag","Pokemon","Basic","60","Water","1","Common","","Bubble: Cost=[Water], EnergyCost=[1], Damage=10, Text=Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed."
"sv3pt5-61","Poliwhirl","Pokemon","Stage 1","90","Water","1","Common","","Wave Splash: Cost=[Water], EnergyCost=[1], Damage=20, Text= | Frog Hop: Cost=[Water, Colorless], EnergyCost=[2], Damage=30+, Text=Flip a coin. If heads, this attack does 60 more damage."
"sv3pt5-62","Poliwrath","Pokemon","Stage 2","160","Water","2","Uncommon","","Bubble Beam: Cost=[Water], EnergyCost=[1], Damage=50, Text=Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed. | Heroic Punch: Cost=[Water, Colorless, Colorless], EnergyCost=[3], Damage=100+, Text=Flip a coin. If heads, this attack does 150 more damage."
"sv3pt5-63","Abra","Pokemon","Basic","50","Psychic","1","Common","","Psyshot: Cost=[Psychic], EnergyCost=[1], Damage=20, Text="
"sv3pt5-64","Kadabra","Pokemon","Stage 1","80","Psychic","1","Uncommon","","Teleportation Attack: Cost=[Psychic], EnergyCost=[1], Damage=30, Text=Switch this Pokemon with 1 of your Benched Pokemon."
"sv3pt5-66","Machop","Pokemon","Basic","70","Fighting","2","Common","","Mountain Mashing: Cost=[Fighting], EnergyCost=[1], Damage=, Text=Discard the top card of your opponent's deck. | Punch: Cost=[Fighting, Fighting], EnergyCost=[2], Damage=30, Text="
"sv3pt5-67","Machoke","Pokemon","Stage 1","100","Fighting","2","Uncommon","","Mountain Ramming: Cost=[Fighting, Fighting], EnergyCost=[2], Damage=50, Text=Discard the top card of your opponent's deck."
"sv3pt5-68","Machamp","Pokemon","Stage 2","180","Fighting","2","Rare","Guts: Effect=[If this Pokemon would be Knocked Out by damage from an attack, flip a coin. If heads, this Pokemon is not Knocked Out, and its remaining HP becomes 10.]","Mountain Chopping: Cost=[Fighting, Fighting], EnergyCost=[2], Damage=100, Text=Discard the top 2 cards of your opponent's deck."
"sv3pt5-69","Bellsprout","Pokemon","Basic","60","Grass","1","Common","","Cut: Cost=[Grass], EnergyCost=[1], Damage=10, Text= | Bind Down: Cost=[Grass, Colorless], EnergyCost=[2], Damage=20, Text=During your opponent's next turn, the Defending Pokemon can't retreat."
"sv3pt5-70","Weepinbell","Pokemon","Stage 1","90","Grass","2","Common","","Cut: Cost=[Grass], EnergyCost=[1], Damage=30, Text= | Spray Fluid: Cost=[Grass, Colorless], EnergyCost=[2], Damage=50, Text="
