"ID","Name","Supertype","Subtypes","HP","Types","RetreatCost","RTCOST","Rarity"
"sv4-1","Surskit","Pokemon","Basic","50","Grass","Colorless","1","Common"
"sv4-2","Masquerain","Pokemon","Stage 1","100","Grass","Colorless","1","Uncommon"
"sv4-4","Pansage","Pokemon","Basic","70","Grass","Colorless","1","Common"
"sv4-5","Simisage","Pokemon","Stage 1","100","Grass","Colorless","1","Uncommon"
"sv4-6","Dwebble","Pokemon","Basic","60","Grass","Colorless","1","Common"
"sv4-7","Crustle","Pokemon","Stage 1","130","Grass","Colorless, Colorless, Colorless","3","Common"
"sv4-8","Bounsweet","Pokemon","Basic","60","Grass","Colorless","1","Common"
"sv4-9","Steenee","Pokemon","Stage 1","90","Grass","Colorless, Colorless","2","Uncommon"
"sv4-10","Blipbug","Pokemon","Basic","50","Grass","Colorless","1","Common"
"sv4-11","Dottler","Pokemon","Stage 1","80","Grass","Colorless, Colorless","2","Common"
"sv4-12","Orbeetle","Pokemon","Stage 2","130","Grass","Colorless","1","Uncommon"
"sv4-13","Nymble","Pokemon","Basic","40","Grass","","0","Common"
"sv4-14","Nymble","Pokemon","Basic","50","Grass","Colorless","1","Common"
"sv4-15","Toedscool","Pokemon","Basic","50","Grass","Colorless","1","Common"
"sv4-16","Toedscool","Pokemon","Basic","60","Grass","Colorless","1","Common"
"sv4-17","Toedscruel","Pokemon","Stage 1","120","Grass","Colorless, Colorless","2","Uncommon"
"sv4-18","Wo-Chien","Pokemon","Basic","130","Grass","Colorless, Colorless, Colorless","3","Rare"
"sv4-19","Magby","Pokemon","Basic","30","Fire","","0","Common"
"sv4-20","Pansear","Pokemon","Basic","70","Fire","Colorless","1","Common"
"sv4-21","Simisear","Pokemon","Stage 1","100","Fire","Colorless","1","Uncommon"
"sv4-22","Volcanion","Pokemon","Basic","130","Fire","Colorless, Colorless","2","Rare"
"sv4-23","Fuecoco","Pokemon","Basic","80","Fire","Colorless, Colorless","2","Common"
"sv4-24","Crocalor","Pokemon","Stage 1","100","Fire","Colorless, Colorless, Colorless","3","Uncommon"
"sv4-25","Charcadet","Pokemon","Basic","60","Fire","Colorless","1","Common"
"sv4-26","Charcadet","Pokemon","Basic","80","Fire","Colorless, Colorless","2","Common"
"sv4-28","Iron Moth","Pokemon","Basic, Future","130","Fire","Colorless, Colorless","2","Rare"
"sv4-29","Chi-Yu","Pokemon","Basic","110","Fire","Colorless","1","Rare"
"sv4-30","Horsea","Pokemon","Basic","60","Water","Colorless","1","Common"
"sv4-31","Seadra","Pokemon","Stage 1","90","Water","Colorless","1","Common"
"sv4-32","Kingdra","Pokemon","Stage 2","150","Water","Colorless","1","Rare"
"sv4-33","Remoraid","Pokemon","Basic","70","Water","Colorless","1","Common"
"sv4-34","Octillery","Pokemon","Stage 1","110","Water","Colorless, Colorless","2","Common"
"sv4-35","Feebas","Pokemon","Basic","30","Water","Colorless","1","Common"
"sv4-36","Milotic","Pokemon","Stage 1","120","Water","Colorless, Colorless","2","Rare"
"sv4-37","Snorunt","Pokemon","Basic","60","Water","Colorless","1","Common"
"sv4-39","Mantyke","Pokemon","Basic","30","Water","","0","Common"
"sv4-40","Palkia","Pokemon","Basic","130","Water","Colorless, Colorless","2","Rare"
"sv4-41","Panpour","Pokemon","Basic","70","Water","Colorless","1","Common"
"sv4-42","Simipour","Pokemon","Stage 1","100","Water","Colorless","1","Uncommon"
"sv4-43","Vanillite","Pokemon","Basic","60","Water","Colorless","1","Common"
"sv4-44","Vanillish","Pokemon","Stage 1","90","Water","Colorless, Colorless","2","Common"
"sv4-45","Vanilluxe","Pokemon","Stage 2","150","Water","Colorless, Colorless","2","Uncommon"
"sv4-47","Wimpod","Pokemon","Basic","70","Water","Colorless, Colorless","2","Common"
"sv4-48","Wimpod","Pokemon","Basic","70","Water","Colorless, Colorless","2","Common"
"sv4-49","Golisopod","Pokemon","Stage 1","140","Water","Colorless, Colorless","2","Rare"
"sv4-51","Wiglett","Pokemon","Basic","50","Water","Colorless","1","Common"
"sv4-52","Wiglett","Pokemon","Basic","60","Water","Colorless","1","Common"
"sv4-53","Wugtrio","Pokemon","Stage 1","90","Water","Colorless, Colorless","2","Uncommon"
"sv4-54","Veluza","Pokemon","Basic","120","Water","Colorless, Colorless","2","Uncommon"
"sv4-55","Dondozo","Pokemon","Basic","160","Water","Colorless, Colorless, Colorless, Colorless","4","Uncommon"
"sv4-56","Iron Bundle","Pokemon","Basic, Future","100","Water","Colorless","1","Uncommon"
"sv4-57","Chien-Pao","Pokemon","Basic","120","Water","Colorless","1","Rare"
"sv4-59","Elekid","Pokemon","Basic","30","Lightning","","0","Common"
"sv4-60","Plusle","Pokemon","Basic","70","Lightning","Colorless","1","Common"
"sv4-61","Minun","Pokemon","Basic","70","Lightning","Colorless","1","Common"
"sv4-62","Blitzle","Pokemon","Basic","60","Lightning","Colorless","1","Common"
"sv4-63","Zebstrika","Pokemon","Stage 1","120","Lightning","Colorless","1","Uncommon"
"sv4-64","Joltik","Pokemon","Basic","40","Lightning","Colorless","1","Common"
"sv4-65","Galvantula","Pokemon","Stage 1","100","Lightning","Colorless","1","Common"
"sv4-66","Zekrom","Pokemon","Basic","130","Lightning","Colorless, Colorless","2","Rare"
"sv4-67","Oricorio","Pokemon","Basic","90","Lightning","Colorless","1","Common"
"sv4-69","Toxel","Pokemon","Basic","70","Lightning","Colorless, Colorless","2","Common"
"sv4-71","Natu","Pokemon","Basic","50","Psychic","Colorless","1","Common"
"sv4-72","Xatu","Pokemon","Stage 1","100","Psychic","Colorless","1","Rare"
"sv4-73","Latios","Pokemon","Basic","110","Psychic","Colorless","1","Rare"
"sv4-74","Deoxys","Pokemon","Basic","120","Psychic","Colorless","1","Rare"
"sv4-75","Yamask","Pokemon","Basic","70","Psychic","Colorless, Colorless","2","Common"
"sv4-77","Pumpkaboo","Pokemon","Basic","60","Psychic","Colorless, Colorless","2","Common"
"sv4-78","Gourgeist","Pokemon","Stage 1","110","Psychic","Colorless, Colorless","2","Uncommon"
"sv4-79","Flittle","Pokemon","Basic","40","Psychic","Colorless","1","Common"
"sv4-80","Flittle","Pokemon","Basic","50","Psychic","Colorless","1","Common"
