"ID","Name","Supertype","Subtypes","HP","Types","RetreatCost","Rarity"
"sv4pt5-1","Pineco","Pokemon","Basic","70","Grass","2","Common"
"sv4pt5-3","Maractus","Pokemon","Basic","110","Grass","2","Common"
"sv4pt5-4","Toedscool","Pokemon","Basic","50","Grass","1","Common"
"sv4pt5-7","Charmander","Pokemon","Basic","70","Fire","1","Common"
"sv4pt5-8","Charmeleon","Pokemon","Stage 1","90","Fire","2","Uncommon"
"sv4pt5-9","Magmar","Pokemon","Basic","80","Fire","2","Common"
"sv4pt5-10","Magmortar","Pokemon","Stage 1","140","Fire","3","Rare"
"sv4pt5-11","Numel","Pokemon","Basic","80","Fire","3","Common"
"sv4pt5-12","Camerupt","Pokemon","Stage 1","130","Fire","3","Uncommon"
"sv4pt5-13","Heat Rotom","Pokemon","Basic","90","Fire","1","Rare"
"sv4pt5-14","Charcadet","Pokemon","Basic","70","Fire","1","Common"
"sv4pt5-15","Armarouge","Pokemon","Stage 1","130","Fire","2","Rare"
"sv4pt5-16","Lapras","Pokemon","Basic","110","Water","1","Common"
"sv4pt5-17","Frigibax","Pokemon","Basic","70","Water","2","Common"
"sv4pt5-18","Pikachu","Pokemon","Basic","70","Lightning","1","Common"
"sv4pt5-19","Raichu","Pokemon","Stage 1","120","Lightning","1","Rare"
"sv4pt5-20","Chinchou","Pokemon","Basic","60","Lightning","1","Common"
"sv4pt5-21","Lanturn","Pokemon","Stage 1","120","Lightning","2","Uncommon"
"sv4pt5-22","Kilowattrel","Pokemon","Stage 1","120","Lightning","","Uncommon"
"sv4pt5-23","Exeggcute","Pokemon","Basic","60","Psychic","2","Common"
"sv4pt5-24","Exeggutor","Pokemon","Stage 1","130","Psychic","2","Rare"
"sv4pt5-25","Natu","Pokemon","Basic","50","Psychic","1","Common"
"sv4pt5-26","Xatu","Pokemon","Stage 1","100","Psychic","1","Rare"
"sv4pt5-27","Ralts","Pokemon","Basic","70","Psychic","1","Common"
"sv4pt5-28","Kirlia","Pokemon","Stage 1","90","Psychic","1","Uncommon"
"sv4pt5-30","Chimecho","Pokemon","Basic","70","Psychic","1","Common"
"sv4pt5-31","Mime Jr.","Pokemon","Basic","30","Psychic","","Common"
"sv4pt5-32","Woobat","Pokemon","Basic","60","Psychic","1","Common"
"sv4pt5-33","Swoobat","Pokemon","Stage 1","90","Psychic","1","Uncommon"
"sv4pt5-34","Cottonee","Pokemon","Basic","60","Psychic","1","Common"
"sv4pt5-35","Whimsicott","Pokemon","Stage 1","90","Psychic","","Uncommon"
"sv4pt5-36","Dedenne","Pokemon","Basic","70","Psychic","1","Common"
"sv4pt5-37","Mimikyu","Pokemon","Basic","70","Psychic","1","Rare"
"sv4pt5-38","Fidough","Pokemon","Basic","50","Psychic","1","Common"
"sv4pt5-39","Dachsbun","Pokemon","Stage 1","90","Psychic","1","Uncommon"
"sv4pt5-40","Ceruledge","Pokemon","Stage 1","140","Psychic","2","Rare"
"sv4pt5-41","Flittle","Pokemon","Basic","30","Psychic","1","Common"
"sv4pt5-42","Greavard","Pokemon","Basic","70","Psychic","2","Common"
"sv4pt5-43","Houndstone","Pokemon","Stage 1","140","Psychic","3","Rare"
"sv4pt5-44","Gimmighoul","Pokemon","Basic","50","Psychic","1","Common"
"sv4pt5-45","Mankey","Pokemon","Basic","60","Fighting","1","Common"
"sv4pt5-46","Primeape","Pokemon","Stage 1","90","Fighting","1","Uncommon"
"sv4pt5-47","Annihilape","Pokemon","Stage 2","140","Fighting","2","Rare"
"sv4pt5-48","Phanpy","Pokemon","Basic","80","Fighting","2","Common"
"sv4pt5-49","Donphan","Pokemon","Stage 1","150","Fighting","3","Uncommon"
"sv4pt5-50","Barboach","Pokemon","Basic","70","Fighting","2","Common"
"sv4pt5-51","Clobbopus","Pokemon","Basic","70","Fighting","2","Common"
"sv4pt5-52","Grapploct","Pokemon","Stage 1","120","Fighting","2","Uncommon"
"sv4pt5-55","Gastly","Pokemon","Basic","50","Darkness","1","Common"
"sv4pt5-56","Haunter","Pokemon","Stage 1","80","Darkness","1","Common"
"sv4pt5-57","Gengar","Pokemon","Stage 2","130","Darkness","1","Uncommon"
"sv4pt5-58","Paldean Wooper","Pokemon","Basic","60","Darkness","2","Common"
"sv4pt5-60","Scraggy","Pokemon","Basic","70","Darkness","1","Common"
"sv4pt5-61","Scrafty","Pokemon","Stage 1","120","Darkness","2","Uncommon"
"sv4pt5-62","Maschiff","Pokemon","Basic","60","Darkness","1","Common"
"sv4pt5-63","Mabosstiff","Pokemon","Stage 1","130","Darkness","3","Rare"
"sv4pt5-64","Varoom","Pokemon","Basic","60","Metal","1","Common"
"sv4pt5-65","Revavroom","Pokemon","Stage 1","140","Metal","2","Rare"
"sv4pt5-67","Gholdengo","Pokemon","Stage 1","130","Metal","2","Rare"
"sv4pt5-68","Noibat","Pokemon","Basic","70","Dragon","1","Common"
"sv4pt5-70","Cyclizar","Pokemon","Basic","120","Dragon","1","Rare"
"sv4pt5-71","Lechonk","Pokemon","Basic","70","Colorless","1","Common"
"sv4pt5-72","Oinkologne","Pokemon","Stage 1","130","Colorless","2","Uncommon"
"sv4pt5-73","Tandemaus","Pokemon","Basic","30","Colorless","1","Common"
"sv4pt5-74","Maushold","Pokemon","Stage 1","70","Colorless","1","Uncommon"
"sv4pt5-76","Artazon","Trainer","Stadium",,"","","Uncommon"
"sv4pt5-77","Atticus","Trainer","Supporter",,"","","Uncommon"
"sv4pt5-78","Clive","Trainer","Supporter",,"","","Uncommon"
"sv4pt5-79","Electric Generator","Trainer","Item",,"","","Uncommon"
"sv4pt5-80","Iono","Trainer","Supporter",,"","","Uncommon"
"sv4pt5-81","Moonlit Hill","Trainer","Stadium",,"","","Uncommon"
"sv4pt5-82","Nemona","Trainer","Supporter",,"","","Common"
"sv4pt5-83","Nemona's Backpack","Trainer","Item",,"","","Uncommon"
"sv4pt5-84","Nest Ball","Trainer","Item",,"","","Uncommon"
"sv4pt5-85","Paldean Student","Trainer","Supporter",,"","","Common"
"sv4pt5-86","Paldean Student","Trainer","Supporter",,"","","Common"
"sv4pt5-87","Professor's Research","Trainer","Supporter",,"","","Rare"
"sv4pt5-88","Professor's Research","Trainer","Supporter",,"","","Rare"
"sv4pt5-89","Rare Candy","Trainer","Item",,"","","Common"
"sv4pt5-90","Technical Machine: Crisis Punch","Trainer","Pokemon Tool",,"","","Uncommon"
"sv4pt5-91","Ultra Ball","Trainer","Item",,"","","Uncommon"
