"Attack2_Damage","Attack2_Name","Name","HP","Attack1_ConvertedEnergyCost","Attack1_Name","Attack1_Damage","Types","Rarity","Supertype","Attack2_Cost","Subtypes","RetreatCost","ID","Attack1_Cost","Attack2_ConvertedEnergyCost"
"60","Slashing Strike","Scyther","90","1","Cut Up","10","Grass","Common","Pokemon","Colorless, Colorless","Basic","1","sv5-1","Colorless","2"
,,"Pineco","70","3","Ram","50","Grass","Common","Pokemon",,"Basic","2","sv5-2","Colorless, Colorless, Colorless",
"20","Hang Down","Seedot","60","1","Rigidify","","Grass","Common","Pokemon","Colorless, Colorless","Basic","1","sv5-3","Grass","2"
"30×","Comet Slap","Nuzleaf","90","1","Corkscrew Punch","20","Grass","Common","Pokemon","Colorless, Colorless","Stage 1","1","sv5-4","Grass","2"
"140","Energy Loop","Shiftry","150","1","Expelling Tornado","","Grass","Uncommon","Pokemon","Colorless, Colorless","Stage 2","2","sv5-5","Grass","2"
"20","Seed Bomb","Shroomish","60","1","Double Headbutt","10×","Grass","Common","Pokemon","Grass, Colorless","Basic","1","sv5-6","Colorless","2"
"120","Knuckle Impact","Breloom","120","1","Punch","30","Grass","Common","Pokemon","Grass, Colorless","Stage 1","1","sv5-7","Colorless","2"
,,"Roselia","60","1","Leaf Step","10","Grass","Common","Pokemon",,"Basic","1","sv5-8","Colorless",
,,"Roserade","130","2","Bind Down","70","Grass","Uncommon","Pokemon",,"Stage 1","2","sv5-9","Colorless, Colorless",
,,"Turtwig","80","3","Leafage","30","Grass","Common","Pokemon",,"Basic","3","sv5-10","Grass, Colorless, Colorless",
"50","Ramming Shell","Grotle","120","1","Cut","20","Grass","Common","Pokemon","Grass, Colorless, Colorless","Stage 1","4","sv5-11","Grass","3"
"50","Rear Kick","Shaymin","70","1","Pinpoint Dive","","Grass","Uncommon","Pokemon","Colorless, Colorless","Basic","","sv5-13","Grass","2"
,,"Cottonee","60","1","Triple Spin","10×","Grass","Common","Pokemon",,"Basic","1","sv5-14","Grass",
,,"Whimsicott","100","1","Seed Bomb","40","Grass","Rare","Pokemon",,"Stage 1","1","sv5-15","Grass",
"40","Leaf Litter Tackle","Deerling","70","1","Flop","10","Grass","Common","Pokemon","Grass, Colorless, Colorless","Basic","1","sv5-16","Colorless","3"
,,"Sawsbuck","130","3","Superpowered Horns","110","Grass","Uncommon","Pokemon",,"Stage 1","2","sv5-17","Grass, Colorless, Colorless",
"10","Vise Grip","Grubbin","70","1","Flock","","Grass","Common","Pokemon","Colorless, Colorless","Basic","1","sv5-18","Colorless","2"
"80+","Steel Anchor","Dhelmise","130","2","Spinning Attack","30","Grass","Uncommon","Pokemon","Grass, Grass, Colorless","Basic","3","sv5-19","Colorless, Colorless","3"
,,"Bramblin","50","2","Spike Sting","30","Grass","Common","Pokemon",,"Basic","1","sv5-20","Colorless, Colorless",
,,"Brambleghast","100","3","Powerful Needles","80×","Grass","Rare","Pokemon",,"Stage 1","3","sv5-21","Grass, Colorless, Colorless",
,,"Rellor","50","1","Slight Intrusion","30","Grass","Common","Pokemon",,"Basic","1","sv5-23","Colorless",
,,"Rabsca","70","1","Psychic","10+","Grass","Uncommon","Pokemon",,"Stage 1","1","sv5-24","Grass",
"20","Flame Tail","Ponyta","70","1","Charge Energy","","Fire","Common","Pokemon","Fire, Colorless","Basic","1","sv5-26","Colorless","2"
"120","Inferno Onrush","Rapidash","110","1","Combustion","20","Fire","Uncommon","Pokemon","Fire, Colorless","Stage 1","","sv5-27","Colorless","2"
,,"Slugma","80","1","Roasting Heat","10+","Fire","Common","Pokemon",,"Basic","2","sv5-28","Fire",
,,"Magcargo","120","3","Heat Blast","100","Fire","Rare","Pokemon",,"Stage 1","4","sv5-29","Fire, Colorless, Colorless",
"30","Singe Off","Victini","80","1","Flippity Flap","","Fire","Common","Pokemon","Fire","Basic","1","sv5-30","Colorless","1"
"130","Licking Flames","Heatmor","110","1","Live Coal","20","Fire","Common","Pokemon","Fire, Fire, Colorless","Basic","1","sv5-31","Fire","3"
,,"Litten","70","1","Fake Out","10","Fire","Common","Pokemon",,"Basic","2","sv5-32","Fire",
"80","Flare Strike","Torracat","100","1","Bite","30","Fire","Common","Pokemon","Fire, Colorless, Colorless","Stage 1","2","sv5-33","Fire","3"
"100","Steam Artillery","Turtonator","120","2","Spit-Out Shot","","Fire","Common","Pokemon","Fire, Fire, Colorless","Basic","2","sv5-35","Fire, Colorless","3"
,,"Sizzlipede","80","1","Heat Dive","30","Fire","Common","Pokemon",,"Basic","2","sv5-36","Fire",
"180","Charring Breath","Centiskorch","140","1","Singe","","Fire","Uncommon","Pokemon","Fire, Fire","Stage 1","3","sv5-37","Fire","2"
,,"Totodile","70","1","Big Bite","10","Water","Common","Pokemon",,"Basic","1","sv5-39","Water",
,,"Croconaw","90","1","Reverse Thrust","30","Water","Common","Pokemon",,"Stage 1","2","sv5-40","Water",
,,"Feraligatr","180","2","Giant Wave","160","Water","Rare","Pokemon",,"Stage 2","3","sv5-41","Water, Water",
,,"Carvanha","50","2","Wave Splash","30","Water","Common","Pokemon",,"Basic","1","sv5-42","Colorless, Colorless",
"100","Jet Headbutt","Sharpedo","120","2","Chew Off","50","Water","Uncommon","Pokemon","Water, Colorless, Colorless","Stage 1","1","sv5-43","Colorless, Colorless","3"
"110","Aqua Blade","Keldeo","110","1","Rapid Draw","20","Water","Uncommon","Pokemon","Water, Water, Colorless","Basic","1","sv5-44","Water","3"
,,"Snom","50","1","Powder Snow","10","Water","Common","Pokemon",,"Basic","2","sv5-45","Water",
,,"Frosmoth","110","2","Freezing Chill","100","Water","Common","Pokemon",,"Stage 1","2","sv5-46","Water, Water",
"40","Aqua Bomb","Wiglett","60","1","Lucky Find","","Water","Common","Pokemon","Water, Water","Basic","1","sv5-47","Water","2"
"50","Sharp Fin","Finizen","80","1","Rain Splash","10","Water","Common","Pokemon","Water, Colorless, Colorless","Basic","2","sv5-48","Water","3"
"90×","Double Hit","Palafin","150","1","Vanguard Punch","130","Water","Uncommon","Pokemon","Water, Colorless, Colorless","Stage 1","2","sv5-49","Water","3"
,,"Pikachu","70","1","Random Spark","","Lightning","Common","Pokemon",,"Basic","1","sv5-51","Lightning",
"120","Electric Ball","Raichu","130","2","Collateral Bolts","","Lightning","Common","Pokemon","Lightning, Colorless, Colorless","Stage 1","1","sv5-52","Lightning, Colorless","3"
"50","Electric Punch","Electabuzz","90","1","Chop","20","Lightning","Common","Pokemon","Lightning, Colorless, Colorless","Basic","2","sv5-53","Lightning","3"
"140","Electroslug","Electivire","140","2","Short-Circuit Knuckle","40+","Lightning","Uncommon","Pokemon","Lightning, Lightning, Colorless, Colorless","Stage 1","3","sv5-54","Colorless, Colorless","4"
,,"Charjabug","100","2","Static Shock","60","Lightning","Common","Pokemon",,"Stage 1","2","sv5-55","Lightning, Lightning",
