"ID","Name","Supertype","Subtypes","HP","Types","RetreatCost","Rarity"
"sv6-1","Tangela","Pokemon","Basic","80","Grass","2","Common"
"sv6-2","Tangrowth","Pokemon","Stage 1","150","Grass","4","Common"
"sv6-3","Pinsir","Pokemon","Basic","110","Grass","2","Common"
"sv6-4","Spinarak","Pokemon","Basic","60","Grass","1","Common"
"sv6-5","Ariados","Pokemon","Stage 1","90","Grass","1","Uncommon"
"sv6-6","Sunkern","Pokemon","Basic","40","Grass","1","Common"
"sv6-7","Sunflora","Pokemon","Stage 1","100","Grass","1","Uncommon"
"sv6-8","Heracross","Pokemon","Basic","120","Grass","2","Uncommon"
"sv6-9","Volbeat","Pokemon","Basic","70","Grass","1","Common"
"sv6-10","Illumise","Pokemon","Basic","70","Grass","1","Common"
"sv6-11","Leafeon","Pokemon","Stage 1","120","Grass","1","Uncommon"
"sv6-12","Phantump","Pokemon","Basic","70","Grass","2","Common"
"sv6-13","Trevenant","Pokemon","Stage 1","120","Grass","3","Common"
"sv6-14","Grookey","Pokemon","Basic","70","Grass","1","Common"
"sv6-15","Thwackey","Pokemon","Stage 1","100","Grass","2","Common"
"sv6-16","Rillaboom","Pokemon","Stage 2","180","Grass","4","Uncommon"
"sv6-17","Applin","Pokemon","Basic","40","Grass","1","Common"
"sv6-18","Dipplin","Pokemon","Stage 1","80","Grass","2","Uncommon"
"sv6-19","Iron Leaves","Pokemon","Basic, Future","120","Grass","1","Rare"
"sv6-20","Poltchageist","Pokemon","Basic","30","Grass","1","Common"
"sv6-21","Poltchageist","Pokemon","Basic","40","Grass","1","Common"
"sv6-22","Sinistcha","Pokemon","Stage 1","70","Grass","1","Rare"
"sv6-24","Teal Mask Ogerpon","Pokemon","Basic","110","Grass","1","Rare"
"sv6-26","Vulpix","Pokemon","Basic","70","Fire","1","Common"
"sv6-27","Ninetales","Pokemon","Stage 1","120","Fire","2","Common"
"sv6-28","Slugma","Pokemon","Basic","80","Fire","3","Common"
"sv6-30","Torkoal","Pokemon","Basic","130","Fire","3","Common"
"sv6-31","Chimchar","Pokemon","Basic","60","Fire","1","Common"
"sv6-32","Monferno","Pokemon","Stage 1","90","Fire","1","Common"
"sv6-33","Infernape","Pokemon","Stage 2","140","Fire","1","Rare"
"sv6-34","Darumaka","Pokemon","Basic","80","Fire","2","Common"
"sv6-35","Darmanitan","Pokemon","Stage 1","140","Fire","3","Uncommon"
"sv6-36","Litwick","Pokemon","Basic","60","Fire","1","Common"
"sv6-37","Lampent","Pokemon","Stage 1","80","Fire","1","Common"
"sv6-38","Chandelure","Pokemon","Stage 2","130","Fire","2","Rare"
"sv6-39","Chi-Yu","Pokemon","Basic","110","Fire","1","Uncommon"
"sv6-41","Poliwag","Pokemon","Basic","60","Water","1","Common"
"sv6-42","Poliwhirl","Pokemon","Stage 1","100","Water","2","Common"
"sv6-43","Poliwrath","Pokemon","Stage 2","170","Water","3","Uncommon"
"sv6-44","Goldeen","Pokemon","Basic","50","Water","1","Common"
"sv6-45","Seaking","Pokemon","Stage 1","90","Water","1","Common"
"sv6-46","Jynx","Pokemon","Basic","90","Water","1","Common"
"sv6-47","Corphish","Pokemon","Basic","80","Water","2","Common"
"sv6-48","Crawdaunt","Pokemon","Stage 1","130","Water","3","Common"
"sv6-49","Feebas","Pokemon","Basic","30","Water","1","Common"
"sv6-50","Milotic","Pokemon","Stage 1","120","Water","1","Uncommon"
"sv6-51","Snorunt","Pokemon","Basic","60","Water","1","Common"
"sv6-52","Glalie","Pokemon","Stage 1","120","Water","2","Uncommon"
"sv6-53","Froslass","Pokemon","Stage 1","90","Water","1","Rare"
"sv6-54","Glaceon","Pokemon","Stage 1","120","Water","1","Uncommon"
"sv6-55","Phione","Pokemon","Basic","70","Water","1","Common"
"sv6-56","Froakie","Pokemon","Basic","60","Water","1","Common"
"sv6-57","Frogadier","Pokemon","Stage 1","90","Water","1","Common"
"sv6-58","Cramorant","Pokemon","Basic","110","Water","1","Uncommon"
"sv6-59","Finizen","Pokemon","Basic","70","Water","1","Common"
"sv6-60","Palafin","Pokemon","Stage 1","100","Water","1","Uncommon"
"sv6-62","Iron Bundle","Pokemon","Basic, Future","90","Water","1","Uncommon"
"sv6-63","Walking Wake","Pokemon","Basic, Ancient","130","Water","1","Rare"
"sv6-65","Zapdos","Pokemon","Basic","120","Lightning","2","Rare"
"sv6-66","Shinx","Pokemon","Basic","60","Lightning","1","Common"
"sv6-67","Luxio","Pokemon","Stage 1","90","Lightning","1","Common"
"sv6-69","Emolga","Pokemon","Basic","60","Lightning","","Common"
"sv6-70","Helioptile","Pokemon","Basic","60","Lightning","1","Common"
