"ID","Name","Supertype","Subtypes","HP","Types","RetreatCost","Rarity","Ability","Attacks"
"svp-1","Sprigatito","Pokemon","Basic","70","Grass","1","Promo","","Mini Drain: Cost=[Grass], EnergyCost=[1], Damage=10, Text=Heal 10 damage from this Pokemon."
"svp-2","Fuecoco","Pokemon","Basic","80","Fire","2","Promo","","Super Singe: Cost=[Fire, Fire, Colorless], EnergyCost=[3], Damage=30, Text=Your opponent's Active Pokemon is now Burned."
"svp-3","Quaxly","Pokemon","Basic","70","Water","1","Promo","","Water Splash: Cost=[Water, Colorless], EnergyCost=[2], Damage=20+, Text=Flip a coin. If heads, this attack does 20 more damage."
"svp-5","Quaquaval","Pokemon","Stage 2","170","Water","2","Promo","Energy Carnival: Effect=[Once during your turn, you may attach a Basic Energy card from your hand to 1 of your Pokemon.]","Hydro Kick: Cost=[Water, Colorless, Colorless], EnergyCost=[3], Damage=140, Text="
"svp-6","Pawmot","Pokemon","Stage 2","130","Lightning","","Promo","Electrogenesis: Effect=[Once during your turn, you may search your deck for a Basic Lightning Energy card and attach it to this Pokemon. Then, shuffle your deck.]","Electro Paws: Cost=[Lightning, Lightning, Colorless], EnergyCost=[3], Damage=230, Text=Discard all Energy from this Pokemon."
"svp-7","Hawlucha","Pokemon","Basic","70","Fighting","1","Promo","Flying Entry: Effect=[When you play this Pokemon from your hand onto your Bench during your turn, you may choose 2 of your opponent's Benched Pokemon and put 1 damage counter on each of them.]","Wing Attack: Cost=[Fighting, Colorless, Colorless], EnergyCost=[3], Damage=70, Text="
"svp-8","Revavroom","Pokemon","Stage 1","140","Metal","2","Promo","Rumbling Engine: Effect=[You must discard an Energy card from your hand in order to use this Ability. Once during your turn, you may draw cards until you have 6 cards in your hand.]","Knock Away: Cost=[Metal, Colorless, Colorless, Colorless], EnergyCost=[4], Damage=90+, Text=Flip a coin. If heads, this attack does 90 more damage."
"svp-9","Spidops","Pokemon","Stage 1","120","Grass","2","Promo","","String Truss: Cost=[Grass], EnergyCost=[1], Damage=30, Text=Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed. | Jet Headbutt: Cost=[Grass, Colorless, Colorless], EnergyCost=[3], Damage=100, Text="
"svp-10","Espathra","Pokemon","Stage 1","110","Psychic","","Promo","","Aurora Gain: Cost=[Colorless], EnergyCost=[1], Damage=30, Text=Heal 30 damage from this Pokemon. | Super Psy Bolt: Cost=[Psychic, Colorless], EnergyCost=[2], Damage=60, Text="
"svp-11","Arcanine","Pokemon","Stage 1","130","Fire","3","Promo","","Crunch: Cost=[Fire, Colorless], EnergyCost=[2], Damage=30, Text=Flip a coin. If heads, discard an Energy from your opponent's Active Pokemon. | Fire Mane: Cost=[Fire, Fire, Colorless], EnergyCost=[3], Damage=120, Text="
"svp-12","Dondozo","Pokemon","Basic","150","Water","4","Promo","","Hammer In: Cost=[Water, Colorless, Colorless], EnergyCost=[3], Damage=60, Text= | Dangerous Wave: Cost=[Water, Colorless, Colorless, Colorless], EnergyCost=[4], Damage=100+, Text=Flip 2 coins. If both of them are heads, this attack does 100 more damage."
"svp-13","Miraidon","Pokemon","Basic","120","Lightning","1","Promo","","Sharp Fang: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=30, Text= | Lightning Laser: Cost=[Lightning, Lightning, Colorless], EnergyCost=[3], Damage=90, Text=This attack also does 30 damage to 1 of your opponent's Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)"
"svp-14","Koraidon","Pokemon","Basic","130","Fighting","2","Promo","","Claw Slash: Cost=[Colorless, Colorless, Colorless], EnergyCost=[3], Damage=70, Text= | Rampaging Fang: Cost=[Fighting, Fighting, Fighting, Colorless], EnergyCost=[4], Damage=190, Text=Discard 3 Energy from this Pokemon."
"svp-15","Flaaffy","Pokemon","Stage 1","90","Lightning","2","Promo","","Static Shock: Cost=[Lightning], EnergyCost=[1], Damage=30, Text= | Extreme Current: Cost=[Lightning, Colorless, Colorless], EnergyCost=[3], Damage=80, Text=Discard an Energy from this Pokemon."
"svp-19","Baxcalibur","Pokemon","Stage 2","160","Water","2","Promo","Super Cold: Effect=[As often as you like during your turn, you may attach a Basic Water Energy card from your hand to 1 of your Pokemon.]","Buster Tail: Cost=[Water, Water, Colorless], EnergyCost=[3], Damage=130, Text="
"svp-20","Tinkaton","Pokemon","Stage 2","140","Psychic","2","Promo","Gather Materials: Effect=[You must discard a card from your hand in order to use this Ability. Once during your turn, you may draw 3 cards.]","Special Hammer: Cost=[Psychic, Colorless], EnergyCost=[2], Damage=90+, Text=If this Pokemon has any Special Energy attached, this attack does 90 more damage."
"svp-21","Murkrow","Pokemon","Basic","60","Darkness","1","Promo","","Spin Turn: Cost=[Colorless], EnergyCost=[1], Damage=10, Text=Switch this Pokemon with 1 of your Benched Pokemon. | United Wings: Cost=[Darkness], EnergyCost=[1], Damage=20×, Text=This attack does 20 damage for each Pokemon in your discard pile that has the United Wings attack."
"svp-22","Pelipper","Pokemon","Stage 1","120","Colorless","2","Promo","Hearsay: Effect=[When you play this Pokemon from your hand to evolve 1 of your Pokemon during your turn, you may choose 1: put a Supporter card from your discard pile into your hand; or search your deck for a Supporter card, reveal it, put it into your hand, and then shuffle your deck.]","Wing Attack: Cost=[Colorless, Colorless, Colorless], EnergyCost=[3], Damage=90, Text="
"svp-23","Smoliv","Pokemon","Basic","60","Grass","1","Promo","","Nutrients: Cost=[Grass], EnergyCost=[1], Damage=, Text=Heal 30 damage from 1 of your Pokemon. | Spray Fluid: Cost=[Grass, Colorless], EnergyCost=[2], Damage=20, Text="
"svp-24","Growlithe","Pokemon","Basic","90","Fire","3","Promo","","Stoke: Cost=[Colorless], EnergyCost=[1], Damage=, Text=Search your deck for up to 2 Basic Fire Energy cards and attach them to this Pokemon. Then, shuffle your deck. | Fire Claws: Cost=[Fire, Fire, Fire], EnergyCost=[3], Damage=70, Text="
