"ID","Name","Supertype","Subtypes","HP","Types","RetreatCost","Rarity","Attacks"
"swsh11-1","Oddish","Pokemon","Basic","50","Grass","1","Common","Ram: Cost=[], Damage=30, Text="
"swsh11-2","Gloom","Pokemon","Stage 1","80","Grass","2","Uncommon","Absorb: Cost=[], Damage=30, Text=Heal 30 damage from this Pokemon."
"swsh11-3","Vileplume","Pokemon","Stage 2","150","Grass","2","Rare Holo","Mega Drain: Cost=[], Damage=50, Text=Heal 30 damage from this Pokemon. | Allergy Storm: Cost=[], Damage=90, Text=Flip a coin. If heads, during your opponent's next turn, they can't play any Supporter cards from their hand. If tails, during your opponent's next turn, they can't play any Item cards from their hand."
"swsh11-4","Paras","Pokemon","Basic","70","Grass","1","Common","Absorb: Cost=[], Damage=20, Text=Heal 10 damage from this Pokemon."
"swsh11-5","Parasect","Pokemon","Stage 1","120","Grass","2","Rare","X-Scissor: Cost=[], Damage=50+, Text=Flip a coin. If heads, this attack does 50 more damage."
"swsh11-6","Wurmple","Pokemon","Basic","60","Grass","1","Common","Sting: Cost=[], Damage=10, Text= | Creepy-Crawly Congregation: Cost=[], Damage=, Text=Search your deck for any number of Wurmple, Silcoon, Beautifly, Cascoon, and Dustox, reveal them, and put them into your hand. Then, shuffle your deck."
"swsh11-7","Silcoon","Pokemon","Stage 1","80","Grass","3","Uncommon","Entangling String: Cost=[], Damage=, Text=Flip a coin. If heads, during your opponent's next turn, the Defending Pokemon can't attack. | Ram: Cost=[], Damage=30, Text="
"swsh11-8","Beautifly","Pokemon","Stage 2","130","Grass","1","Rare Holo","Mega Drain: Cost=[], Damage=70, Text=Heal 30 damage from this Pokemon."
"swsh11-9","Cascoon","Pokemon","Stage 1","80","Grass","3","Uncommon","Harden: Cost=[], Damage=, Text=During your opponent's next turn, prevent all damage done to this Pokemon by attacks if that damage is 60 or less. | Rolling Tackle: Cost=[], Damage=20, Text="
"swsh11-10","Dustox","Pokemon","Stage 2","140","Grass","1","Rare","Nadir Powder: Cost=[], Damage=, Text=Your opponent's Active Pokemon is now Confused and Poisoned. During Pokemon Checkup, put 8 damage counters on that Pokemon instead of 1. | Cutting Wind: Cost=[], Damage=110, Text="
"swsh11-11","Seedot","Pokemon","Basic","50","Grass","1","Common","Absorb: Cost=[], Damage=10, Text=Heal 10 damage from this Pokemon."
"swsh11-12","Nuzleaf","Pokemon","Stage 1","80","Grass","2","Uncommon","Push Down: Cost=[], Damage=30, Text=You may have your opponent switch their Active Pokemon with 1 of their Benched Pokemon."
"swsh11-13","Shiftry","Pokemon","Stage 2","160","Grass","2","Rare Holo","Fan Tornado: Cost=[], Damage=50, Text=You may have your opponent switch their Active Pokemon with 1 of their Benched Pokemon. | Tearing Gust: Cost=[], Damage=210, Text=Put this Pokemon and all attached cards in the Lost Zone."
"swsh11-14","Roselia","Pokemon","Basic","70","Grass","1","Common","Soothing Scent: Cost=[], Damage=, Text=Your opponent's Active Pokemon is now Asleep."
"swsh11-15","Roserade","Pokemon","Stage 1","120","Grass","1","Uncommon","Poisonous Whip: Cost=[], Damage=30, Text=Your opponent's Active Pokemon is now Poisoned. | Assassin's Rose: Cost=[], Damage=60, Text=If your opponent's Active Pokemon is affected by a Special Condition, this attack also does 60 damage to 1 of your opponent's Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)"
"swsh11-16","Phantump","Pokemon","Basic","70","Grass","2","Common","Hook: Cost=[], Damage=10, Text="
"swsh11-17","Trevenant","Pokemon","Stage 1","120","Grass","3","Rare Holo","Giga Impact: Cost=[], Damage=150, Text=During your next turn, this Pokemon can't attack."
"swsh11-18","Blipbug","Pokemon","Basic","50","Grass","1","Common","Gnaw: Cost=[], Damage=30, Text="
"swsh11-19","Dottler","Pokemon","Stage 1","80","Grass","2","Uncommon","Barrier Attack: Cost=[], Damage=30, Text=During your opponent's next turn, this Pokemon takes 30 less damage from attacks (after applying Weakness and Resistance)."
"swsh11-20","Orbeetle","Pokemon","Stage 2","110","Grass","1","Rare Holo","Mysterious Wave: Cost=[], Damage=30+, Text=This attack does 50 more damage for each Energy attached to your opponent's Active Pokemon."
"swsh11-21","Slugma","Pokemon","Basic","70","Fire","2","Common","Draw In: Cost=[], Damage=, Text=Attach a Fire Energy card from your discard pile to this Pokemon. | Combustion: Cost=[], Damage=50, Text="
"swsh11-22","Magcargo","Pokemon","Stage 1","130","Fire","3","Rare","Flare: Cost=[], Damage=30, Text= | Lost Volcano: Cost=[], Damage=220, Text=Put all Energy attached to this Pokemon in the Lost Zone."
"swsh11-23","Torkoal","Pokemon","Basic","110","Fire","2","Uncommon","Stampede: Cost=[], Damage=30, Text= | Flamethrower: Cost=[], Damage=130, Text=Discard an Energy from this Pokemon."
"swsh11-24","Litwick","Pokemon","Basic","60","Fire","1","Common","Kindling Panic: Cost=[], Damage=, Text=Discard the top card of your opponent's deck."
"swsh11-25","Lampent","Pokemon","Stage 1","80","Fire","1","Uncommon","Flickering Glow: Cost=[], Damage=20, Text=Flip a coin. If heads, discard an Energy from your opponent's Active Pokemon."
"swsh11-26","Chandelure","Pokemon","Stage 2","150","Fire","2","Rare Holo","Heat Blast: Cost=[], Damage=90, Text="
"swsh11-28","Litleo","Pokemon","Basic","70","Fire","2","Common","Singe: Cost=[], Damage=, Text=Your opponent's Active Pokemon is now Burned."
"swsh11-29","Pyroar","Pokemon","Stage 1","120","Fire","2","Rare Holo","Fire Fang: Cost=[], Damage=90, Text=Flip a coin. If heads, your opponent's Active Pokemon is now Burned."
"swsh11-30","Poliwag","Pokemon","Basic","60","Water","1","Common","Splashing Dodge: Cost=[], Damage=10, Text=Flip a coin. If heads, during your opponent's next turn, prevent all damage from and effects of attacks done to this Pokemon."
"swsh11-31","Poliwhirl","Pokemon","Stage 1","90","Water","2","Uncommon","Light Punch: Cost=[], Damage=30, Text= | Double Smash: Cost=[], Damage=50×, Text=Flip 2 coins. This attack does 50 damage for each heads."
"swsh11-32","Politoed","Pokemon","Stage 2","140","Water","2","Rare","Lordly Songleader: Cost=[], Damage=10+, Text=If Poliwag is on your Bench, this attack does 60 more damage. If Poliwhirl is on your Bench, this attack does 90 more damage. If Poliwrath is on your Bench, this attack does 120 more damage. | Hydro Splash: Cost=[], Damage=100, Text="
"swsh11-33","Seel","Pokemon","Basic","70","Water","1","Common","Headbutt: Cost=[], Damage=10, Text= | Rain Splash: Cost=[], Damage=20, Text="
"swsh11-34","Dewgong","Pokemon","Stage 1","120","Water","2","Rare","Swim Freely: Cost=[], Damage=10, Text=Flip a coin. If heads, during your opponent's next turn, prevent all damage from and effects of attacks done to this Pokemon. | Floe Return: Cost=[], Damage=40×, Text=Shuffle any amount of Water Energy from your Pokemon into your deck. This attack does 40 damage for each card you shuffled into your deck in this way."
"swsh11-35","Horsea","Pokemon","Basic","50","Water","1","Common","Reverse Thrust: Cost=[], Damage=10, Text=Switch this Pokemon with 1 of your Benched Pokemon."
"swsh11-36","Seadra","Pokemon","Stage 1","80","Water","1","Uncommon","Swim Freely: Cost=[], Damage=10, Text=Flip a coin. If heads, during your opponent's next turn, prevent all damage from and effects of attacks done to this Pokemon. | Hydro Jet: Cost=[], Damage=, Text=This attack does 20 damage to 1 of your opponent's Pokemon for each Water Energy attached to this Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)"
"swsh11-37","Kingdra","Pokemon","Stage 2","150","Water","1","Rare Holo","Hydro Splash: Cost=[], Damage=130, Text="
"swsh11-38","Luvdisc","Pokemon","Basic","70","Water","1","Common","Matching Look: Cost=[], Damage=, Text=Each player reveals the top 2 cards of their deck, then draws those cards. | Tackle: Cost=[], Damage=30, Text="
"swsh11-39","Shellos","Pokemon","Basic","70","Water","2","Common","Rain Splash: Cost=[], Damage=10, Text= | Surf: Cost=[], Damage=30, Text="
"swsh11-40","Finneon","Pokemon","Basic","50","Water","1","Common","Water Gun: Cost=[], Damage=10, Text="
"swsh11-41","Lumineon","Pokemon","Stage 1","90","Water","1","Uncommon","Swim Freely: Cost=[], Damage=10, Text=Flip a coin. If heads, during your opponent's next turn, prevent all damage from and effects of attacks done to this Pokemon. | Waterfall: Cost=[], Damage=120, Text="
"swsh11-42","Snover","Pokemon","Basic","80","Water","3","Common","Corkscrew Punch: Cost=[], Damage=10, Text= | Icicle Missile: Cost=[], Damage=60, Text="
"swsh11-43","Abomasnow","Pokemon","Stage 1","140","Water","4","Uncommon","Icicle Punch: Cost=[], Damage=50, Text= | Double-Edge: Cost=[], Damage=160, Text=This Pokemon also does 30 damage to itself."
"swsh11-44","Hisuian Basculin","Pokemon","Basic","50","Water","1","Common","Surprise Attack: Cost=[], Damage=40, Text=Flip a coin. If tails, this attack does nothing."
"swsh11-45","Hisuian Basculegion","Pokemon","Stage 1","110","Water","1","Rare Holo","Upstream Spirits: Cost=[], Damage=20×, Text=This attack does 20 damage for each basic Energy card in your discard pile. Then, shuffle those cards into your deck. | Water Shot: Cost=[], Damage=70, Text=Discard an Energy from this Pokemon."
"swsh11-46","Ducklett","Pokemon","Basic","60","Water","1","Common","Rain Splash: Cost=[], Damage=20, Text="
"swsh11-47","Swanna","Pokemon","Stage 1","120","Water","2","Uncommon","Water Pulse: Cost=[], Damage=20, Text=Your opponent's Active Pokemon is now Asleep. | Air Slash: Cost=[], Damage=130, Text=Discard an Energy from this Pokemon."
"swsh11-50","Cramorant","Pokemon","Basic","110","Water","1","Rare","Spit Innocently: Cost=[], Damage=110, Text=This attack's damage isn't affected by Weakness."
"swsh11-51","Glastrier","Pokemon","Basic","130","Water","2","Rare Holo","Freeze Down: Cost=[], Damage=40, Text=If the Defending Pokemon is a Basic Pokemon, it can't attack during your opponent's next turn. | Wild Tackle: Cost=[], Damage=130, Text=This Pokemon also does 30 damage to itself."
"swsh11-52","Pikachu","Pokemon","Basic","60","Lightning","1","Common","Whimsy Tackle: Cost=[], Damage=50, Text=Flip a coin. If tails, this attack does nothing."
"swsh11-53","Raichu","Pokemon","Stage 1","120","Lightning","1","Rare","Thunder Shock: Cost=[], Damage=30, Text=Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed. | Ace Spark: Cost=[], Damage=100+, Text=If you have used your VSTAR Power, this attack does 120 more damage."
"swsh11-54","Electrike","Pokemon","Basic","60","Lightning","1","Common","Zap Kick: Cost=[], Damage=10, Text= | Thunder Fang: Cost=[], Damage=20, Text=Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed."
"swsh11-55","Manectric","Pokemon","Stage 1","120","Lightning","1","Rare","Bite: Cost=[], Damage=50, Text= | Assault Laser: Cost=[], Damage=80+, Text=If your opponent's Active Pokemon has a Pokemon Tool attached, this attack does 80 more damage."
"swsh11-59","Tynamo","Pokemon","Basic","30","Lightning","1","Common","Call Sign: Cost=[], Damage=, Text=Search your deck for a Lightning Pokemon, reveal it, and put it into your hand. Then, shuffle your deck. | Tiny Charge: Cost=[], Damage=10, Text="
"swsh11-60","Eelektrik","Pokemon","Stage 1","80","Lightning","2","Uncommon","Static Shock: Cost=[], Damage=30, Text="
"swsh11-61","Eelektross","Pokemon","Stage 2","160","Lightning","3","Rare","Coil: Cost=[], Damage=10, Text=During your next turn, this Pokemon's attacks do 120 more damage to your opponent's Active Pokemon (before applying Weakness and Resistance). | Extreme Current: Cost=[], Damage=160, Text=Discard 2 Energy from this Pokemon."
"swsh11-62","Clefairy","Pokemon","Basic","60","Psychic","2","Common","Wonder Storm: Cost=[], Damage=20×, Text=This attack does 20 damage for each Psychic Energy attached to all of your Pokemon."
"swsh11-63","Clefable","Pokemon","Stage 1","100","Psychic","2","Rare","Moon Impact: Cost=[], Damage=90, Text="
"swsh11-64","Gastly","Pokemon","Basic","40","Psychic","","Common","Furtive Drop: Cost=[], Damage=, Text=Put 1 damage counter on your opponent's Active Pokemon."
"swsh11-65","Haunter","Pokemon","Stage 1","70","Psychic","1","Uncommon","Cursed Drop: Cost=[], Damage=, Text=Put 3 damage counters on your opponent's Pokemon in any way you like."
"swsh11-66","Gengar","Pokemon","Stage 2","120","Psychic","2","Rare Holo","Screaming Circle: Cost=[], Damage=, Text=Put 2 damage counters on your opponent's Active Pokemon for each of your opponent's Benched Pokemon."
