"ID","Name","Supertype","Subtypes","HP","Types","RetreatCost","Rarity","Ability","Attacks"
"swsh12pt5-1","Oddish","Pokemon","Basic","50","Grass","1","Common","","Leaf Boomerang: Cost=[Colorless], EnergyCost=[1], Damage=10×, Text=Flip 2 coins. This attack does 10 damage for each heads."
"swsh12pt5-2","Gloom","Pokemon","Stage 1","70","Grass","1","Uncommon","","Offensive Scent: Cost=[Grass, Colorless], EnergyCost=[2], Damage=20, Text=Your opponent's Active Pokemon is now Confused and Poisoned."
"swsh12pt5-3","Bellossom","Pokemon","Stage 2","120","Grass","1","Rare","","Flower Spin: Cost=[Grass, Colorless], EnergyCost=[2], Damage=80×, Text=Flip 3 coins. This attack does 80 damage for each heads. Switch this Pokemon with 1 of your Benched Pokemon."
"swsh12pt5-4","Tangela","Pokemon","Basic","80","Grass","2","Common","","Beat: Cost=[Colorless], EnergyCost=[1], Damage=10, Text= | Vine Whip: Cost=[Grass, Grass, Colorless], EnergyCost=[3], Damage=60, Text="
"swsh12pt5-5","Tangrowth","Pokemon","Stage 1","150","Grass","4","Rare","","Suctioning Vines: Cost=[Grass, Colorless], EnergyCost=[2], Damage=50, Text=Heal 30 damage from this Pokemon. | Hammer In: Cost=[Grass, Grass, Colorless], EnergyCost=[3], Damage=130, Text="
"swsh12pt5-6","Scyther","Pokemon","Basic","80","Grass","1","Common","","Mach Cut: Cost=[Colorless], EnergyCost=[1], Damage=10, Text=Discard a Special Energy from your opponent's Active Pokemon."
"swsh12pt5-7","Sunkern","Pokemon","Basic","40","Grass","1","Common","","Seed Bomb: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=20, Text="
"swsh12pt5-8","Yanma","Pokemon","Basic","70","Grass","1","Common","","Swoop Across: Cost=[Colorless], EnergyCost=[1], Damage=, Text=This attack does 10 damage to each of your opponent's Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.) | Cutting Wind: Cost=[Colorless, Colorless, Colorless], EnergyCost=[3], Damage=70, Text="
"swsh12pt5-9","Yanmega","Pokemon","Stage 1","130","Grass","","Rare","","Shoot Through: Cost=[Colorless], EnergyCost=[1], Damage=20, Text=This attack also does 20 damage to 1 of your opponent's Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.) | Jet Wing: Cost=[Grass, Grass, Colorless], EnergyCost=[3], Damage=160, Text=During your next turn, this Pokemon can't attack."
"swsh12pt5-10","Kricketot","Pokemon","Basic","60","Grass","1","Common","","Trip Over: Cost=[Grass], EnergyCost=[1], Damage=10+, Text=Flip a coin. If heads, this attack does 20 more damage."
"swsh12pt5-11","Cherubi","Pokemon","Basic","50","Grass","1","Common","","Leafage: Cost=[Grass], EnergyCost=[1], Damage=10, Text="
"swsh12pt5-12","Carnivine","Pokemon","Basic","90","Grass","1","Uncommon","","Festering Saliva: Cost=[Grass], EnergyCost=[1], Damage=, Text=Your opponent's Active Pokemon is now Burned and Poisoned. | Bind Down: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=40, Text=During your opponent's next turn, the Defending Pokemon can't retreat."
"swsh12pt5-15","Grubbin","Pokemon","Basic","70","Grass","2","Common","","Energize: Cost=[Colorless], EnergyCost=[1], Damage=, Text=Attach a Lightning Energy card from your discard pile to this Pokemon. | Surprise Attack: Cost=[Colorless, Colorless, Colorless], EnergyCost=[3], Damage=50, Text=Flip a coin. If tails, this attack does nothing."
"swsh12pt5-16","Zarude","Pokemon","Basic","120","Grass","1","Rare Holo","","Drag Off: Cost=[Grass], EnergyCost=[1], Damage=, Text=Switch 1 of your opponent's Benched Pokemon with their Active Pokemon. This attack does 20 damage to the new Active Pokemon. | Triple Whip: Cost=[Grass, Grass], EnergyCost=[2], Damage=70×, Text=Flip 3 coins. This attack does 70 damage for each heads."
"swsh12pt5-17","Calyrex","Pokemon","Basic","110","Grass","2","Rare Holo","","King's Instructions: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=30, Text=You may search your deck for up to 2 cards and put them into your hand. Then, shuffle your deck. | Bloomshine: Cost=[Grass, Colorless, Colorless], EnergyCost=[3], Damage=90, Text=Heal 20 damage from each of your Pokemon."
"swsh12pt5-21","Entei","Pokemon","Basic","120","Fire","2","Rare Holo","Explosive Heat Dash: Effect=[If this Pokemon has any Fire Energy attached, it has no Retreat Cost.]","Claw Slash: Cost=[Colorless, Colorless, Colorless], EnergyCost=[3], Damage=90, Text="
"swsh12pt5-24","Larvesta","Pokemon","Basic","80","Fire","3","Common","","Live Coal: Cost=[Fire], EnergyCost=[1], Damage=20, Text="
"swsh12pt5-25","Volcarona","Pokemon","Stage 1","130","Fire","2","Rare","","Will-O-Wisp: Cost=[Fire], EnergyCost=[1], Damage=40, Text= | Volcanic Heat: Cost=[Fire, Colorless], EnergyCost=[2], Damage=120, Text=During your next turn, this Pokemon can't attack."
"swsh12pt5-26","Volcanion","Pokemon","Basic","130","Fire","3","Rare Holo","","Hammer In: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=30, Text= | Hydro Burn: Cost=[Fire, Fire, Colorless], EnergyCost=[3], Damage=80+, Text=If this Pokemon has any Water Energy attached, this attack does 80 more damage."
"swsh12pt5-27","Salandit","Pokemon","Basic","70","Fire","1","Common","","Call for Family: Cost=[Colorless], EnergyCost=[1], Damage=, Text=Search your deck for a Basic Pokemon and put it onto your Bench. Then, shuffle your deck. | Scratch: Cost=[Fire], EnergyCost=[1], Damage=10, Text="
"swsh12pt5-28","Salazzle","Pokemon","Stage 1","120","Fire","1","Uncommon","","Tail Trickery: Cost=[Colorless], EnergyCost=[1], Damage=20, Text=Your opponent's Active Pokemon is now Confused. | Super Singe: Cost=[Fire, Colorless], EnergyCost=[2], Damage=60, Text=Your opponent's Active Pokemon is now Burned."
"swsh12pt5-29","Seel","Pokemon","Basic","70","Water","1","Common","","Headbutt: Cost=[Water], EnergyCost=[1], Damage=10, Text= | Rain Splash: Cost=[Water, Colorless], EnergyCost=[2], Damage=20, Text="
"swsh12pt5-30","Galarian Mr. Mime","Pokemon","Basic","80","Water","1","Common","","Pound: Cost=[Water], EnergyCost=[1], Damage=10, Text= | Find It: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=, Text=Search your deck for an Item card, reveal it, and put it into your hand. Then, shuffle your deck."
"swsh12pt5-31","Wailmer","Pokemon","Basic","120","Water","3","Common","","Nap: Cost=[Colorless], EnergyCost=[1], Damage=, Text=Heal 30 damage from this Pokemon. | Water Gun: Cost=[Colorless, Colorless, Colorless], EnergyCost=[3], Damage=70, Text="
"swsh12pt5-32","Wailord","Pokemon","Stage 1","220","Water","4","Rare","","Bubble Drain: Cost=[Colorless, Colorless, Colorless], EnergyCost=[3], Damage=80, Text=Heal 30 damage from this Pokemon. | Heavy Impact: Cost=[Water, Water, Colorless, Colorless, Colorless], EnergyCost=[5], Damage=180, Text="
"swsh12pt5-33","Corphish","Pokemon","Basic","70","Water","2","Common","","Water Gun: Cost=[Colorless], EnergyCost=[1], Damage=10, Text= | Crabhammer: Cost=[Water, Colorless, Colorless], EnergyCost=[3], Damage=50, Text="
"swsh12pt5-34","Snorunt","Pokemon","Basic","60","Water","1","Common","","Headbutt: Cost=[Water, Colorless], EnergyCost=[2], Damage=30, Text="
"swsh12pt5-35","Luvdisc","Pokemon","Basic","70","Water","1","Common","","Emotional Draw: Cost=[Water], EnergyCost=[1], Damage=, Text=Shuffle your hand into your deck. Then, draw 5 cards. | Tackle: Cost=[Colorless], EnergyCost=[1], Damage=20, Text="
"swsh12pt5-36","Kyogre","Pokemon","Basic","140","Water","3","Rare Holo","","Wave Summoning: Cost=[Colorless], EnergyCost=[1], Damage=, Text=Search your deck for a Water Energy card and attach it to this Pokemon. Then, shuffle your deck. | Dynamic Wave: Cost=[Water, Water, Water, Colorless], EnergyCost=[4], Damage=, Text=Put 3 Energy attached to this Pokemon into your hand. This attack does 180 damage to 1 of your opponent's Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)"
"swsh12pt5-39","Shinx","Pokemon","Basic, Rapid Strike","60","Lightning","1","Common","","Rear Kick: Cost=[Lightning], EnergyCost=[1], Damage=20, Text="
"swsh12pt5-40","Shinx","Pokemon","Basic","60","Lightning","1","Common","","Thunder Jolt: Cost=[Lightning], EnergyCost=[1], Damage=30, Text=This Pokemon also does 10 damage to itself."
"swsh12pt5-41","Luxio","Pokemon","Stage 1, Rapid Strike","80","Lightning","1","Uncommon","","Jumping Kick: Cost=[Lightning], EnergyCost=[1], Damage=, Text=This attack does 30 damage to 1 of your opponent's Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.) | Head Bolt: Cost=[Lightning, Colorless], EnergyCost=[2], Damage=50, Text="
"swsh12pt5-42","Luxio","Pokemon","Stage 1","90","Lightning","1","Uncommon","","Shorting Spark: Cost=[Lightning], EnergyCost=[1], Damage=, Text=This attack does 90 damage to each of your opponent's Pokemon that has a Pokemon Tool attached. (Don't apply Weakness and Resistance for Benched Pokemon.) | Bite: Cost=[Lightning, Colorless], EnergyCost=[2], Damage=40, Text="
"swsh12pt5-43","Luxray","Pokemon","Stage 2, Rapid Strike","150","Lightning","1","Rare","","Electrostep: Cost=[Lightning], EnergyCost=[1], Damage=, Text=This attack does 40 damage to 1 of your opponent's Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.) Switch this Pokemon with 1 of your Benched Pokemon. | Scar Strikes: Cost=[Lightning, Colorless], EnergyCost=[2], Damage=100+, Text=If your opponent's Active Pokemon already has any damage counters on it, this attack does 100 more damage."
"swsh12pt5-44","Luxray","Pokemon","Stage 2","160","Lightning","","Rare","Explosiveness: Effect=[If this Pokemon is in your hand when you are setting up to play, you may put it face down as your Active Pokemon.]","Seeking Fang: Cost=[Colorless], EnergyCost=[1], Damage=50, Text=Search your deck for up to 2 Trainer cards, reveal them, and put them into your hand. Then, shuffle your deck."
"swsh12pt5-47","Emolga","Pokemon","Basic","70","Lightning","","Common","","Thunder Shock: Cost=[Lightning], EnergyCost=[1], Damage=30, Text=Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed."
"swsh12pt5-48","Eelektrik","Pokemon","Stage 1","80","Lightning","2","Uncommon","Ad Hoc Shock: Effect=[When you play this Pokemon from your hand to evolve 1 of your Pokemon during your turn, you may flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed.]","Static Shock: Cost=[Lightning], EnergyCost=[1], Damage=30, Text="
"swsh12pt5-49","Helioptile","Pokemon","Basic","70","Lightning","1","Common","","Static Shock: Cost=[Lightning], EnergyCost=[1], Damage=10, Text= | Rear Kick: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=20, Text="
"swsh12pt5-50","Heliolisk","Pokemon","Stage 1","120","Lightning","1","Rare","","Static Shock: Cost=[Lightning], EnergyCost=[1], Damage=30, Text= | Wild Charge: Cost=[Lightning, Colorless, Colorless], EnergyCost=[3], Damage=150, Text=This Pokemon also does 50 damage to itself."
"swsh12pt5-52","Zeraora","Pokemon","Basic","120","Lightning","1","Rare","","Wild Charge: Cost=[Lightning, Colorless], EnergyCost=[2], Damage=70, Text=This Pokemon also does 20 damage to itself."
"swsh12pt5-56","Pincurchin","Pokemon","Basic","80","Lightning","1","Uncommon","","Call for Family: Cost=[Colorless], EnergyCost=[1], Damage=, Text=Search your deck for up to 2 Basic Pokemon and put them onto your Bench. Then, shuffle your deck. | Continuous Tumble: Cost=[Lightning, Colorless], EnergyCost=[2], Damage=30+, Text=Flip a coin until you get tails. This attack does 30 more damage for each heads."
"swsh12pt5-57","Exeggcute","Pokemon","Basic","60","Psychic","1","Common","","Psy Bolt: Cost=[Psychic, Colorless], EnergyCost=[2], Damage=20, Text=Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed."
"swsh12pt5-58","Exeggutor","Pokemon","Stage 1","130","Psychic","2","Rare","","Powerful Storm: Cost=[Psychic], EnergyCost=[1], Damage=, Text=This attack does 20 damage for each Energy attached to all of your Pokemon. | Stampede: Cost=[Psychic, Colorless, Colorless], EnergyCost=[3], Damage=100, Text="
"swsh12pt5-59","Mewtwo","Pokemon","Basic","130","Psychic","2","Rare Holo","","Psypump: Cost=[Colorless], EnergyCost=[1], Damage=, Text=Attach up to 2 Psychic Energy cards from your discard pile to 1 of your Pokemon. | Limit Break: Cost=[Psychic, Psychic, Colorless], EnergyCost=[3], Damage=90+, Text=If your opponent has 3 or fewer Prize cards remaining, this attack does 90 more damage."
"swsh12pt5-61","Girafarig","Pokemon","Basic","90","Psychic","1","Uncommon","","Double Draw: Cost=[Colorless], EnergyCost=[1], Damage=, Text=Draw 2 cards. | Psybeam: Cost=[Psychic, Colorless], EnergyCost=[2], Damage=30, Text=Your opponent's Active Pokemon is now Confused."
"swsh12pt5-62","Lunatone","Pokemon","Basic","90","Psychic","1","Uncommon","","Cycle Draw: Cost=[Psychic], EnergyCost=[1], Damage=, Text=Discard a card from your hand. If you do, draw 3 cards. | Moon Kinesis: Cost=[Colorless, Colorless, Colorless], EnergyCost=[3], Damage=30+, Text=This attack does 30 more damage for each Psychic Energy attached to this Pokemon."
"swsh12pt5-63","Dusclops","Pokemon","Stage 1","90","Psychic","2","Uncommon","","Fade to Black: Cost=[Psychic], EnergyCost=[1], Damage=30, Text=Your opponent's Active Pokemon is now Confused."
"swsh12pt5-64","Tapu Lele","Pokemon","Basic","110","Psychic","1","Rare Holo","","Energy Burst: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=20×, Text=This attack does 20 damage for each Energy attached to both Active Pokemon. | Spiral Drain: Cost=[Psychic, Psychic, Colorless], EnergyCost=[3], Damage=100, Text=Heal 30 damage from this Pokemon."
"swsh12pt5-67","Enamorus","Pokemon","Basic","120","Psychic","2","Rare","","Draining Kiss: Cost=[Psychic], EnergyCost=[1], Damage=20, Text=Heal 20 damage from this Pokemon. | Loving Sympathy: Cost=[Psychic, Colorless, Colorless], EnergyCost=[3], Damage=70+, Text=If you have the same number of cards in your hand as your opponent, this attack does 70 more damage."
"swsh12pt5-68","Graveler","Pokemon","Stage 1","110","Fighting","4","Uncommon","","Tackle: Cost=[Fighting], EnergyCost=[1], Damage=30, Text= | Boulder Crush: Cost=[Fighting, Colorless, Colorless], EnergyCost=[3], Damage=70, Text="
"swsh12pt5-69","Solrock","Pokemon","Basic","90","Fighting","1","Uncommon","Sun Energy: Effect=[Once during your turn, you may attach a Psychic Energy card from your discard pile to 1 of your Lunatone.]","Spinning Attack: Cost=[Fighting, Colorless], EnergyCost=[2], Damage=50, Text="
"swsh12pt5-70","Baltoy","Pokemon","Basic","60","Fighting","1","Common","","Smack: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=20, Text="
"swsh12pt5-71","Riolu","Pokemon","Basic","60","Fighting","1","Common","","Low Kick: Cost=[Fighting, Fighting], EnergyCost=[2], Damage=50, Text="
"swsh12pt5-72","Pancham","Pokemon","Basic","70","Fighting","2","Common","","Chop: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=30, Text="
"swsh12pt5-73","Rockruff","Pokemon","Basic","60","Fighting","1","Common","","Invite Out: Cost=[Colorless], EnergyCost=[1], Damage=, Text=Flip a coin. If heads, switch 1 of your opponent's Benched Pokemon with their Active Pokemon. | Smash Kick: Cost=[Fighting, Colorless], EnergyCost=[2], Damage=20, Text="
"swsh12pt5-74","Lycanroc","Pokemon","Stage 1","120","Fighting","1","Rare","","Midnight Fang: Cost=[Fighting, Colorless], EnergyCost=[2], Damage=240-, Text=This attack does 80 less damage for each Energy attached to your opponent's Active Pokemon."
"swsh12pt5-75","Koffing","Pokemon","Basic","70","Darkness","1","Common","","Smog: Cost=[Darkness, Colorless], EnergyCost=[2], Damage=20, Text=Your opponent's Active Pokemon is now Poisoned."
"swsh12pt5-76","Absol","Pokemon","Basic","100","Darkness","1","Rare Holo","","Slash: Cost=[Darkness], EnergyCost=[1], Damage=30, Text= | Lost Claw: Cost=[Darkness, Colorless, Colorless], EnergyCost=[3], Damage=70, Text=Put a random card from your opponent's hand in the Lost Zone."
"swsh12pt5-77","Purrloin","Pokemon","Basic","60","Darkness","1","Common","","Fury Swipes: Cost=[Colorless], EnergyCost=[1], Damage=10×, Text=Flip 3 coins. This attack does 10 damage for each heads."
"swsh12pt5-78","Liepard","Pokemon","Stage 1","100","Darkness","1","Rare","","Fury Swipes: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=40×, Text=Flip 3 coins. This attack does 40 damage for each heads. | Claw Slash: Cost=[Darkness, Darkness, Colorless], EnergyCost=[3], Damage=110, Text="
"swsh12pt5-79","Krokorok","Pokemon","Stage 1","90","Darkness","2","Uncommon","","Bite: Cost=[Darkness], EnergyCost=[1], Damage=20, Text= | Dredge Up: Cost=[Colorless, Colorless, Colorless], EnergyCost=[3], Damage=, Text=Discard the top 3 cards of your opponent's deck."
"swsh12pt5-80","Pangoro","Pokemon","Stage 1","140","Darkness","3","Rare","","Corkscrew Punch: Cost=[Darkness, Colorless], EnergyCost=[2], Damage=60, Text= | Wild Tackle: Cost=[Darkness, Darkness, Colorless], EnergyCost=[3], Damage=160, Text=This Pokemon also does 30 damage to itself."
"swsh12pt5-81","Skrelp","Pokemon","Basic","60","Darkness","1","Common","","Tackle: Cost=[Darkness], EnergyCost=[1], Damage=10, Text= | Melt: Cost=[Darkness, Colorless], EnergyCost=[2], Damage=20, Text="
"swsh12pt5-82","Dragalge","Pokemon","Stage 1","120","Darkness","1","Rare","","Rocket Poison: Cost=[Darkness], EnergyCost=[1], Damage=, Text=Your opponent's Active Pokemon is now Poisoned. If this Pokemon evolved from Skrelp during this turn, put 8 damage counters on that Pokemon instead of 1 during Pokemon Checkup. | Razor Fin: Cost=[Darkness, Colorless], EnergyCost=[2], Damage=60, Text="
"swsh12pt5-83","Hoopa","Pokemon","Basic","120","Darkness","2","Rare Holo","","Assault Gate: Cost=[Darkness], EnergyCost=[1], Damage=90, Text=If this Pokemon didn't move from the Bench to the Active Spot this turn, this attack does nothing. This attack's damage isn't affected by Weakness."
"swsh12pt5-84","Galarian Meowth","Pokemon","Basic","70","Metal","1","Common","","Fasten Claws: Cost=[Metal], EnergyCost=[1], Damage=10+, Text=Flip a coin. If heads, this attack does 20 more damage."
"swsh12pt5-85","Galarian Perrserker","Pokemon","Stage 1","120","Metal","2","Rare","","Sharp Claws: Cost=[Metal, Colorless], EnergyCost=[2], Damage=30+, Text=Flip a coin. If heads, this attack does 60 more damage. | Slash: Cost=[Metal, Colorless, Colorless], EnergyCost=[3], Damage=90, Text="
"swsh12pt5-86","Scizor","Pokemon","Stage 1","130","Metal","2","Rare","","X-Scissor: Cost=[Colorless], EnergyCost=[1], Damage=30+, Text=Flip a coin. If heads, this attack does 30 more damage. | Dangerous Claws: Cost=[Colorless, Colorless, Colorless], EnergyCost=[3], Damage=80+, Text=If your opponent's Active Pokemon is a Basic Pokemon, this attack does 80 more damage."
"swsh12pt5-87","Aron","Pokemon","Basic","70","Metal","2","Common","","Ram: Cost=[Metal], EnergyCost=[1], Damage=10, Text= | Slight Intrusion: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=30, Text=This Pokemon also does 10 damage to itself."
"swsh12pt5-88","Lairon","Pokemon","Stage 1","90","Metal","3","Uncommon","","Confront: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=40, Text= | Wreak Havoc: Cost=[Metal, Metal, Colorless, Colorless], EnergyCost=[4], Damage=80, Text=Flip a coin until you get tails. For each heads, discard the top card of your opponent's deck."
"swsh12pt5-89","Aggron","Pokemon","Stage 2","180","Metal","4","Rare Holo","","Counter Press: Cost=[Metal, Colorless, Colorless], EnergyCost=[3], Damage=90, Text=During your opponent's next turn, if this Pokemon is damaged by an attack (even if this Pokemon is Knocked Out), put damage counters on the Attacking Pokemon equal to the damage done to this Pokemon. | Heavy Impact: Cost=[Metal, Metal, Colorless, Colorless], EnergyCost=[4], Damage=180, Text="
"swsh12pt5-90","Metang","Pokemon","Stage 1","100","Metal","2","Uncommon","","Bullet Punch: Cost=[Metal, Colorless], EnergyCost=[2], Damage=30+, Text=Flip 2 coins. This attack does 30 more damage for each heads."
"swsh12pt5-91","Pawniard","Pokemon","Basic","60","Metal","1","Common","","Reckless Charge: Cost=[Metal], EnergyCost=[1], Damage=30, Text=This Pokemon also does 10 damage to itself."
"swsh12pt5-92","Pawniard","Pokemon","Basic","70","Metal","1","Common","","Pierce: Cost=[Metal], EnergyCost=[1], Damage=20, Text="
"swsh12pt5-93","Bisharp","Pokemon","Stage 1","110","Metal","1","Uncommon","","Spike Draw: Cost=[Colorless], EnergyCost=[1], Damage=20, Text=Draw 2 cards. | Power Edge: Cost=[Metal, Colorless], EnergyCost=[2], Damage=70, Text="
"swsh12pt5-94","Zacian","Pokemon","Basic","130","Metal","2","Rare Holo","","Battle Legion: Cost=[Metal], EnergyCost=[1], Damage=20+, Text=This attack does 10 more damage for each of your Benched Pokemon. This attack's damage isn't affected by Weakness or by any effects on your opponent's Active Pokemon. | Slicing Blade: Cost=[Metal, Colorless, Colorless], EnergyCost=[3], Damage=100, Text="
"swsh12pt5-97","Zamazenta","Pokemon","Basic","130","Metal","2","Rare Holo","Metal Shield: Effect=[If this Pokemon has any Energy attached, it takes 30 less damage from attacks (after applying Weakness and Resistance).]","Retaliate: Cost=[Metal, Metal, Colorless], EnergyCost=[3], Damage=100+, Text=If any of your Pokemon were Knocked Out during your opponent's last turn, this attack does 120 more damage."
"swsh12pt5-106","Tauros","Pokemon","Basic","110","Colorless","2","Rare","","Smash Kick: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=30, Text= | Adrena-Tackle: Cost=[Colorless, Colorless, Colorless], EnergyCost=[3], Damage=, Text=If this Pokemon has no damage counters on it, this attack does nothing."
"swsh12pt5-107","Ditto","Pokemon","Basic","70","Colorless","1","Rare Holo","Sudden Transformation: Effect=[This Pokemon can use the attacks of any Basic Pokemon in your discard pile, except for Pokemon with a Rule Box (Pokemon V, Pokemon-GX, etc. have Rule Boxes). (You still need the necessary Energy to use each attack.)]",""
"swsh12pt5-109","Snorlax","Pokemon","Basic","160","Colorless","3","Rare","","Heavy Impact: Cost=[Colorless, Colorless, Colorless], EnergyCost=[3], Damage=80, Text="
"swsh12pt5-110","Starly","Pokemon","Basic","60","Colorless","1","Common","","Claw: Cost=[Colorless], EnergyCost=[1], Damage=30, Text=Flip a coin. If tails, this attack does nothing."
"swsh12pt5-111","Bidoof","Pokemon","Basic","60","Colorless","1","Common","Carefree Countenance: Effect=[As long as this Pokemon is on your Bench, prevent all damage done to this Pokemon by attacks (both yours and your opponent's).]","Hyper Fang: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=30, Text=Flip a coin. If tails, this attack does nothing."
"swsh12pt5-112","Chatot","Pokemon","Basic","70","Colorless","","Common","","Cycle Draw: Cost=[Colorless], EnergyCost=[1], Damage=, Text=Discard a card from your hand. If you do, draw 2 cards. | Flap: Cost=[Colorless], EnergyCost=[1], Damage=10, Text="
"swsh12pt5-115","Shaymin","Pokemon","Basic","70","Colorless","1","Uncommon","","Gather Flowers: Cost=[Colorless], EnergyCost=[1], Damage=, Text=Shuffle up to 2 Energy cards from your discard pile into your deck. | Rear Kick: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=30, Text="
"swsh12pt5-117","Yungoos","Pokemon","Basic","70","Colorless","1","Common","","Sharp Fang: Cost=[Colorless], EnergyCost=[1], Damage=20, Text="
"swsh12pt5-118","Gumshoos","Pokemon","Stage 1","120","Colorless","1","Rare","","Stakeout Headbutt: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=30+, Text=If your opponent's Active Pokemon moved from the Bench to the Active Spot during your opponent's last turn, this attack does 120 more damage. | Lunge Out: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=60, Text="
