"id","name","supertype","hp","types","evolvesTo","evolvesFrom","number","artist","rarity","flavorText","nationalPokedexNumbers","regulationMark","imageSmall","imageLarge","legalitiesUnlimited","legalitiesStandard","legalitiesExpanded","retreatCost","convertedRetreatCost","Ability1Name","Ability1Text","Ability1Type","Ability2Name","Ability2Text","Ability2Type","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"swsh12pt5gg-GG01","Hisuian Voltorb","Pokémon","50","Grass","Electrode",,"GG01","HYOGONOSUKE","Trainer Gallery Rare Holo","An enigmatic Pokémon that happens to bear a resemblance to a Poké Ball. When excited, it discharges the electric current it has stored in its belly, then lets out a great, uproarious laugh.","100","F","https://images.pokemontcg.io/swsh12pt5gg/GG01.png","https://images.pokemontcg.io/swsh12pt5gg/GG01_hires.png","Legal","Legal","Legal","Colorless","1","","","","","","","Cheerful Charge","","0","","You can use this attack only if you go second, and only during your first turn. Choose up to 2 of your Benched Pokémon. For each of those Pokémon, search your deck for a basic Energy card and attach it to that Pokémon. Then, shuffle your deck.","Ram","Grass","1","10","","Fire","×2"
"swsh12pt5gg-GG02","Kricketune","Pokémon","90","Grass","","Kricketot","GG02","Nurikabe","Trainer Gallery Rare Holo","It signals its emotions with its melodies. Scientists are studying these melodic patterns.","402","F","https://images.pokemontcg.io/swsh12pt5gg/GG02.png","https://images.pokemontcg.io/swsh12pt5gg/GG02_hires.png","Legal","Legal","Legal","Colorless","1","Swelling Tune","Your Grass Pokémon in play, except any Kricketune, get +40 HP. You can't apply more than 1 Swelling Tune Ability at a time.","Ability","","","","Slash","Grass, Colorless","2","50","","","","","","","Fire","×2"
"swsh12pt5gg-GG03","Magmortar","Pokémon","140","Fire","","Magmar","GG03","Saya Tsuruta","Trainer Gallery Rare Holo","When Magmortar inhales deeply, the fire burning in its belly intensifies, rising in temperature to over 3,600 degrees Fahrenheit.","467","F","https://images.pokemontcg.io/swsh12pt5gg/GG03.png","https://images.pokemontcg.io/swsh12pt5gg/GG03_hires.png","Legal","Legal","Legal","Colorless, Colorless, Colorless","3","","","","","","","Mega Punch","Colorless, Colorless","2","50","","Boltsplosion","Fire, Fire, Colorless","3","120+","If Electivire is on your Bench, this attack does 120 more damage.","Water","×2"
"swsh12pt5gg-GG04","Oricorio","Pokémon","90","Fire","",,"GG04","Tomokazu Komiya","Trainer Gallery Rare Holo","This Oricorio has drunk red nectar. If its Trainer gives the wrong order, this passionate Pokémon becomes fiercely angry.","741","E","https://images.pokemontcg.io/swsh12pt5gg/GG04.png","https://images.pokemontcg.io/swsh12pt5gg/GG04_hires.png","Legal",,"Legal","Colorless","1","Lesson in Zeal","All of your Fusion Strike Pokémon take 20 less damage from attacks from your opponent's Pokémon (after applying Weakness and Resistance). You can't apply more than 1 Lesson in Zeal Ability at a time.","Ability","","","","Glistening Droplets","Fire, Colorless","2","","Put 5 damage counters on your opponent's Pokémon in any way you like.","","","","","","Water","×2"
"swsh12pt5gg-GG05","Lapras","Pokémon","130","Water","",,"GG05","zig","Trainer Gallery Rare Holo","A smart and kindhearted Pokémon, it glides across the surface of the sea while its beautiful song echoes around it.","131","F","https://images.pokemontcg.io/swsh12pt5gg/GG05.png","https://images.pokemontcg.io/swsh12pt5gg/GG05_hires.png","Legal","Legal","Legal","Colorless, Colorless","2","","","","","","","Raging Freeze","Water, Water, Colorless","3","110","If any of your Pokémon were Knocked Out by damage from an attack from your opponent's Pokémon during their last turn, your opponent's Active Pokémon is now Paralyzed.","","","","","","Lightning","×2"
"swsh12pt5gg-GG06","Manaphy","Pokémon","70","Water","",,"GG06","Taira Akitsu","Trainer Gallery Rare Holo","It starts its life with a wondrous power that permits it to bond with any kind of Pokémon.","490","F","https://images.pokemontcg.io/swsh12pt5gg/GG06.png","https://images.pokemontcg.io/swsh12pt5gg/GG06_hires.png","Legal","Legal","Legal","Colorless","1","Wave Veil","Prevent all damage done to your Benched Pokémon by attacks from your opponent's Pokémon.","Ability","","","","Rain Splash","Water","1","20","","","","","","","Lightning","×2"
"swsh12pt5gg-GG07","Keldeo","Pokémon","110","Water","",,"GG07","KEIICHIRO ITO","Trainer Gallery Rare Holo","When it is resolute, its body fills with power and it becomes swifter. Its jumps are then too fast to follow.","647","F","https://images.pokemontcg.io/swsh12pt5gg/GG07.png","https://images.pokemontcg.io/swsh12pt5gg/GG07_hires.png","Legal","Legal","Legal","Colorless","1","","","","","","","Smash Kick","Colorless","1","20","","Line Force","Water, Colorless","2","10+","This attack does 20 more damage for each of your Benched Pokémon.","Lightning","×2"
"swsh12pt5gg-GG08","Electivire","Pokémon","140","Lightning","","Electabuzz","GG08","Mina Nakai","Trainer Gallery Rare Holo","The amount of electrical energy this Pokémon produces is proportional to the rate of its pulse. The voltage jumps while Electivire is battling.","466","F","https://images.pokemontcg.io/swsh12pt5gg/GG08.png","https://images.pokemontcg.io/swsh12pt5gg/GG08_hires.png","Legal","Legal","Legal","Colorless, Colorless, Colorless","3","","","","","","","Explosive Bolt","Lightning","1","30+","If any of your Benched Magmortar have any damage counters on them, this attack does 90 more damage.","High-Voltage Current","Lightning, Lightning, Colorless","3","","This attack does 50 damage to each of your opponent's Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)","Fighting","×2"
"swsh12pt5gg-GG09","Toxtricity","Pokémon","120","Lightning","","Toxel","GG09","Nelnal","Trainer Gallery Rare Holo","It has an electrical organ on its chest. While generating electricity, it fills its surroundings with what sounds like the strumming of a bass guitar.","849","E","https://images.pokemontcg.io/swsh12pt5gg/GG09.png","https://images.pokemontcg.io/swsh12pt5gg/GG09_hires.png","Legal",,"Legal","Colorless, Colorless","2","Maximum Downer","If all your Pokémon in play are Fusion Strike Pokémon, your opponent's Pokémon VMAX in play get -30 HP.","Ability","","","","Head Bolt","Lightning, Lightning, Colorless","3","90","","","","","","","Fighting","×2"
"swsh12pt5gg-GG10","Mew","Pokémon","60","Psychic","",,"GG10","Ryota Murayama","Trainer Gallery Rare Holo","Its DNA is said to contain the genetic codes of all Pokémon, so it can use all kinds of techniques.","151","E","https://images.pokemontcg.io/swsh12pt5gg/GG10.png","https://images.pokemontcg.io/swsh12pt5gg/GG10_hires.png","Legal",,"Legal","Colorless","1","Mysterious Tail","Once during your turn, if this Pokémon is in the Active Spot, you may look at the top 6 cards of your deck, reveal an Item card you find there, and put it into your hand. Shuffle the other cards back into your deck.","Ability","","","","Psyshot","Psychic, Colorless","2","30","","","","","","","Darkness","×2"
"swsh12pt5gg-GG11","Lunatone","Pokémon","90","Psychic","",,"GG11","sowsow","Trainer Gallery Rare Holo","The phase of the moon apparently has some effect on its power. It's active on the night of a full moon.","337","F","https://images.pokemontcg.io/swsh12pt5gg/GG11.png","https://images.pokemontcg.io/swsh12pt5gg/GG11_hires.png","Legal","Legal","Legal","Colorless","1","","","","","","","Cycle Draw","Psychic","1","","Discard a card from your hand. If you do, draw 3 cards.","Moon Kinesis","Colorless, Colorless, Colorless","3","30+","This attack does 30 more damage for each Psychic Energy attached to this Pokémon.","Darkness","×2"
"swsh12pt5gg-GG12","Deoxys","Pokémon","120","Psychic","",,"GG12","Scav","Trainer Gallery Rare Holo","DNA from a space virus mutated and became a Pokémon. It appears where auroras are seen.","386","E","https://images.pokemontcg.io/swsh12pt5gg/GG12.png","https://images.pokemontcg.io/swsh12pt5gg/GG12_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Photon Boost","Colorless, Colorless, Colorless","3","80+","If this Pokémon has any Fusion Strike Energy attached, this attack does 80 more damage.","","","","","","Darkness","×2"
"swsh12pt5gg-GG13","Diancie","Pokémon","90","Psychic","",,"GG13","Haruko Ichikawa","Trainer Gallery Rare Holo","It can instantly create many diamonds by compressing the carbon in the air between its hands.","719","F","https://images.pokemontcg.io/swsh12pt5gg/GG13.png","https://images.pokemontcg.io/swsh12pt5gg/GG13_hires.png","Legal","Legal","Legal","Colorless","1","Princess's Curtain","As long as this Pokémon is in the Active Spot, whenever your opponent plays a Supporter card from their hand, prevent all effects of that card done to your Benched Basic Pokémon.","Ability","","","","Spike Draw","Colorless","1","20","Draw 2 cards.","","","","","","Metal","×2"
"swsh12pt5gg-GG14","Comfey","Pokémon","70","Psychic","",,"GG14","Yano Keiji","Trainer Gallery Rare Holo","Comfey picks flowers with its vine and decorates itself with them. For some reason, flowers won't wither once they're attached to a Comfey.","764","F","https://images.pokemontcg.io/swsh12pt5gg/GG14.png","https://images.pokemontcg.io/swsh12pt5gg/GG14_hires.png","Legal","Legal","Legal","Colorless","1","Flower Selecting","Once during your turn, if this Pokémon is in the Active Spot, you may look at the top 2 cards of your deck and put 1 of them into your hand. Put the other card in the Lost Zone.","Ability","","","","Spinning Attack","Psychic, Colorless","2","30","","","","","","","Metal","×2"
"swsh12pt5gg-GG15","Solrock","Pokémon","90","Fighting","",,"GG15","Nobuhiro Imagawa","Trainer Gallery Rare Holo","When it rotates itself, it gives off light similar to the sun, thus blinding its foes.","338","F","https://images.pokemontcg.io/swsh12pt5gg/GG15.png","https://images.pokemontcg.io/swsh12pt5gg/GG15_hires.png","Legal","Legal","Legal","Colorless","1","Sun Energy","Once during your turn, you may attach a Psychic Energy card from your discard pile to 1 of your Lunatone.","Ability","","","","Spinning Attack","Fighting, Colorless","2","50","","","","","","","Grass","×2"
"swsh12pt5gg-GG16","Absol","Pokémon","100","Darkness","",,"GG16","Uta","Trainer Gallery Rare Holo","Swift as the wind, Absol races through fields and mountains. Its curved, bow-like horn is acutely sensitive to the warning signs of natural disasters.","359","F","https://images.pokemontcg.io/swsh12pt5gg/GG16.png","https://images.pokemontcg.io/swsh12pt5gg/GG16_hires.png","Legal","Legal","Legal","Colorless","1","","","","","","","Swirling Disaster","Darkness","1","","This attack does 10 damage to each of your opponent's Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)","Claw Rend","Darkness, Colorless","2","50+","If your opponent's Active Pokémon already has any damage counters on it, this attack does 70 more damage.","Grass","×2"
"swsh12pt5gg-GG17","Thievul","Pokémon","100","Darkness","","Nickit","GG17","NC Empire","Trainer Gallery Rare Holo","It secretly marks potential targets with a scent. By following the scent, it stalks its targets and steals from them when they least expect it.","828","F","https://images.pokemontcg.io/swsh12pt5gg/GG17.png","https://images.pokemontcg.io/swsh12pt5gg/GG17_hires.png","Legal","Legal","Legal","Colorless","1","Baffling","If your opponent has 2 or fewer Prize cards remaining, whenever your opponent plays a Supporter card from their hand, prevent all effects of that card done to your Benched Pokémon V.","Ability","","","","Sharp Fang","Darkness, Darkness, Colorless","3","110","","","","","","","Grass","×2"
"swsh12pt5gg-GG18","Magnezone","Pokémon","150","Metal","","Magneton","GG18","Shinya Komatsu","Trainer Gallery Rare Holo","Some say that Magnezone receives signals from space via the antenna on its head and that it's being controlled by some mysterious being.","462","F","https://images.pokemontcg.io/swsh12pt5gg/GG18.png","https://images.pokemontcg.io/swsh12pt5gg/GG18_hires.png","Legal","Legal","Legal","Colorless, Colorless","2","Giga Magnet","Once during your turn, you may look at the top 6 cards of your deck and attach any number of Metal Energy cards you find there to your Pokémon in any way you like. Shuffle the other cards back into your deck.","Ability","","","","Power Beam","Metal, Colorless, Colorless","3","120","","","","","","","Fire","×2"
"swsh12pt5gg-GG19","Altaria","Pokémon","90","Dragon","","Swablu","GG19","Asako Ito","Trainer Gallery Rare Holo","On sunny days, it flies freely through the sky and blends into the clouds. It sings in a beautiful soprano.","334","E","https://images.pokemontcg.io/swsh12pt5gg/GG19.png","https://images.pokemontcg.io/swsh12pt5gg/GG19_hires.png","Legal",,"Legal","",,"Tempting Tune","Once during your turn, you may search your deck for a Supporter card, reveal it, shuffle your deck, then put that card on top of it.","Ability","","","","Glide","Water, Metal","2","60","","","","","","",,
"swsh12pt5gg-GG20","Latias","Pokémon","120","Dragon","",,"GG20","Teeziro","Trainer Gallery Rare Holo","It can telepathically communicate with people. It changes its appearance using its down that refracts light.","380","E","https://images.pokemontcg.io/swsh12pt5gg/GG20.png","https://images.pokemontcg.io/swsh12pt5gg/GG20_hires.png","Legal",,"Legal","Colorless","1","Red Assist","Once during your turn, you may attach a Psychic Energy card from your hand to 1 of your Latios.","Ability","","","","Dyna Barrier","Fire, Psychic, Colorless","3","70","During your opponent's next turn, prevent all damage done to this Pokémon by attacks from Pokémon VMAX.","","","","","",,
"swsh12pt5gg-GG21","Hisuian Goodra","Pokémon","160","Dragon","","Hisuian Sliggoo","GG21","You Iribi","Trainer Gallery Rare Holo","Able to freely control the hardness of its metallic shell. It loathes solitude and is extremely clingy— it will fume and run riot if those dearest to it ever leave its side.","706","F","https://images.pokemontcg.io/swsh12pt5gg/GG21.png","https://images.pokemontcg.io/swsh12pt5gg/GG21_hires.png","Legal","Legal","Legal","Colorless, Colorless, Colorless","3","Metal Lodging","Prevent all damage done to each of your Basic Pokémon that has any Metal Energy attached by attacks from your opponent's Pokémon V.","Ability","","","","Heavy Impact","Water, Metal, Colorless","3","140","","","","","","",,
"swsh12pt5gg-GG22","Ditto","Pokémon","70","Colorless","",,"GG22","Miki Tanaka","Trainer Gallery Rare Holo","It can reconstitute its entire cellular structure to change into what it sees, but it returns to normal when it relaxes.","132","F","https://images.pokemontcg.io/swsh12pt5gg/GG22.png","https://images.pokemontcg.io/swsh12pt5gg/GG22_hires.png","Legal","Legal","Legal","Colorless","1","Sudden Transformation","This Pokémon can use the attacks of any Basic Pokémon in your discard pile, except for Pokémon with a Rule Box (Pokémon V, Pokémon-GX, etc. have Rule Boxes). (You still need the necessary Energy to use each attack.)","Ability","","","","","","","","","","","","","","Fighting","×2"
"swsh12pt5gg-GG23","Dunsparce","Pokémon","60","Colorless","",,"GG23","Kurata So","Trainer Gallery Rare Holo","When it sees a person, it digs a hole with its tail to make its escape. If you happen to find one, consider yourself lucky.","206","E","https://images.pokemontcg.io/swsh12pt5gg/GG23.png","https://images.pokemontcg.io/swsh12pt5gg/GG23_hires.png","Legal",,"Legal","Colorless","1","Mysterious Nest","Colorless Pokémon in play (both yours and your opponent's) have no Weakness.","Ability","","","","Rollout","Colorless, Colorless","2","30","","","","","","","Fighting","×2"
"swsh12pt5gg-GG24","Miltank","Pokémon","110","Colorless","",,"GG24","Yuu Nishida","Trainer Gallery Rare Holo","Miltank produces highly nutritious milk, so it's been supporting the lives of people and other Pokémon since ancient times.","241","F","https://images.pokemontcg.io/swsh12pt5gg/GG24.png","https://images.pokemontcg.io/swsh12pt5gg/GG24_hires.png","Legal","Legal","Legal","Colorless, Colorless","2","Miracle Body","Prevent all damage done to this Pokémon by attacks from your opponent's Pokémon V.","Ability","","","","Rout","Colorless, Colorless","2","10+","This attack does 20 more damage for each of your opponent's Benched Pokémon.","","","","","","Fighting","×2"
"swsh12pt5gg-GG25","Bibarel","Pokémon","120","Colorless","","Bidoof","GG25","Amelicart","Trainer Gallery Rare Holo","It makes its nest by damming streams with bark and mud. It is known as an industrious worker.","400","F","https://images.pokemontcg.io/swsh12pt5gg/GG25.png","https://images.pokemontcg.io/swsh12pt5gg/GG25_hires.png","Legal","Legal","Legal","Colorless, Colorless","2","Industrious Incisors","Once during your turn, you may draw cards until you have 5 cards in your hand.","Ability","","","","Tail Smash","Colorless, Colorless, Colorless","3","100","Flip a coin. If tails, this attack does nothing.","","","","","","Fighting","×2"
"swsh12pt5gg-GG26","Riolu","Pokémon","60","Fighting","Lucario",,"GG26","Kouki Saitou","Trainer Gallery Rare Holo","It's exceedingly energetic, with enough stamina to keep running all through the night. Taking it for walks can be a challenging experience.","447","F","https://images.pokemontcg.io/swsh12pt5gg/GG26.png","https://images.pokemontcg.io/swsh12pt5gg/GG26_hires.png","Legal","Legal","Legal","Colorless","1","","","","","","","Low Kick","Fighting, Fighting","2","50","","","","","","","Psychic","×2"
"swsh12pt5gg-GG27","Swablu","Pokémon","50","Colorless","Altaria",,"GG27","Kouki Saitou","Trainer Gallery Rare Holo","It constantly grooms its cotton-like wings. It takes a shower to clean itself if it becomes dirty.","333","E","https://images.pokemontcg.io/swsh12pt5gg/GG27.png","https://images.pokemontcg.io/swsh12pt5gg/GG27_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Surprise Attack","Colorless","1","30","Flip a coin. If tails, this attack does nothing.","","","","","","Lightning","×2"
"swsh12pt5gg-GG28","Duskull","Pokémon","60","Psychic","Dusclops",,"GG28","Kouki Saitou","Trainer Gallery Rare Holo","If it finds bad children who won't listen to their parents, it will spirit them away—or so it's said.","355","F","https://images.pokemontcg.io/swsh12pt5gg/GG28.png","https://images.pokemontcg.io/swsh12pt5gg/GG28_hires.png","Legal","Legal","Legal","Colorless","1","","","","","","","Perplex","Psychic","1","10","Flip a coin. If heads, your opponent's Active Pokémon is now Confused.","","","","","","Darkness","×2"
"swsh12pt5gg-GG29","Bidoof","Pokémon","60","Colorless","Bibarel",,"GG29","Kouki Saitou","Trainer Gallery Rare Holo","It constantly gnaws on logs and rocks to whittle down its front teeth. It nests alongside water.","399","F","https://images.pokemontcg.io/swsh12pt5gg/GG29.png","https://images.pokemontcg.io/swsh12pt5gg/GG29_hires.png","Legal","Legal","Legal","Colorless","1","Carefree Countenance","As long as this Pokémon is on your Bench, prevent all damage done to this Pokémon by attacks (both yours and your opponent's).","Ability","","","","Hyper Fang","Colorless, Colorless","2","30","Flip a coin. If tails, this attack does nothing.","","","","","","Fighting","×2"
"swsh12pt5gg-GG30","Pikachu","Pokémon","60","Lightning","Raichu",,"GG30","Kouki Saitou","Trainer Gallery Rare Holo","Pikachu that can generate powerful electricity have cheek sacs that are extra soft and super stretchy.","25","F","https://images.pokemontcg.io/swsh12pt5gg/GG30.png","https://images.pokemontcg.io/swsh12pt5gg/GG30_hires.png","Legal","Legal","Legal","Colorless","1","Pika Dash","If this Pokémon has any Energy attached, it has no Retreat Cost.","Ability","","","","Whimsy Tackle","Lightning, Colorless, Colorless","3","50","Flip a coin. If tails, this attack does nothing.","","","","","","Fighting","×2"
"swsh12pt5gg-GG31","Turtwig","Pokémon","80","Grass","Grotle",,"GG31","Kouki Saitou","Trainer Gallery Rare Holo","It undertakes photosynthesis with its body, making oxygen. The leaf on its head wilts if it is thirsty.","387","F","https://images.pokemontcg.io/swsh12pt5gg/GG31.png","https://images.pokemontcg.io/swsh12pt5gg/GG31_hires.png","Legal","Legal","Legal","Colorless, Colorless","2","","","","","","","Bite","Grass","1","10","","Headbutt Bounce","Grass, Colorless","2","20","","Fire","×2"
"swsh12pt5gg-GG32","Paras","Pokémon","70","Grass","Parasect",,"GG32","Kouki Saitou","Trainer Gallery Rare Holo","The mushrooms, known as tochukaso, are controlling the bug. Even if the bug bugs the mushrooms, they tell it to bug off.","46","F","https://images.pokemontcg.io/swsh12pt5gg/GG32.png","https://images.pokemontcg.io/swsh12pt5gg/GG32_hires.png","Legal","Legal","Legal","Colorless","1","","","","","","","Absorb","Grass, Colorless","2","20","Heal 10 damage from this Pokémon.","","","","","","Fire","×2"
"swsh12pt5gg-GG33","Poochyena","Pokémon","60","Darkness","Mightyena",,"GG33","Kouki Saitou","Trainer Gallery Rare Holo","It has a very tenacious nature. Its acute sense of smell lets it chase a chosen prey without ever losing track.","261","F","https://images.pokemontcg.io/swsh12pt5gg/GG33.png","https://images.pokemontcg.io/swsh12pt5gg/GG33_hires.png","Legal","Legal","Legal","Colorless","1","","","","","","","Gnaw","Colorless","1","10","","Slight Intrusion","Colorless, Colorless","2","30","This Pokémon also does 10 damage to itself.","Grass","×2"
"swsh12pt5gg-GG34","Mareep","Pokémon","60","Lightning","Flaaffy",,"GG34","Kouki Saitou","Trainer Gallery Rare Holo","Rubbing its fleece generates electricity. You'll want to pet it because it's cute, but if you use your bare hand, you'll get a painful shock.","179","E","https://images.pokemontcg.io/swsh12pt5gg/GG34.png","https://images.pokemontcg.io/swsh12pt5gg/GG34_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Rear Kick","Colorless","1","10","","Electro Ball","Lightning, Colorless","2","30","","Fighting","×2"
"swsh12pt5gg-GG35","Leafeon VSTAR","Pokémon","260","Grass","","Leafeon V","GG35","Jiro Sasumo","Rare Holo VSTAR",,"470","F","https://images.pokemontcg.io/swsh12pt5gg/GG35.png","https://images.pokemontcg.io/swsh12pt5gg/GG35_hires.png","Legal","Legal","Legal","Colorless, Colorless","2","Ivy Star","During your turn, you may switch 1 of your opponent's Benched Pokémon with their Active Pokémon. (You can't use more than 1 VSTAR Power in a game.)","Ability","","","","Leaf Guard","Grass, Grass, Colorless","3","180","During your opponent's next turn, this Pokémon takes 30 less damage from attacks (after applying Weakness and Resistance).","","","","","","Fire","×2"
"swsh12pt5gg-GG36","Entei V","Pokémon","230","Fire","",,"GG36","Shigenori Negishi","Rare Holo V",,"244","F","https://images.pokemontcg.io/swsh12pt5gg/GG36.png","https://images.pokemontcg.io/swsh12pt5gg/GG36_hires.png","Legal","Legal","Legal","Colorless, Colorless, Colorless","3","Fleet-Footed","Once during your turn, if this Pokémon is in the Active Spot, you may draw a card.","Ability","","","","Burning Rondo","Fire, Colorless","2","20+","This attack does 20 more damage for each Benched Pokémon (both yours and your opponent's).","","","","","","Water","×2"
"swsh12pt5gg-GG37","Simisear VSTAR","Pokémon","260","Fire","","Simisear V","GG37","nagano","Rare Holo VSTAR",,"514","F","https://images.pokemontcg.io/swsh12pt5gg/GG37.png","https://images.pokemontcg.io/swsh12pt5gg/GG37_hires.png","Legal","Legal","Legal","Colorless, Colorless","2","","","","","","","Fireball Fever","Fire, Colorless, Colorless","3","40+","You may discard up to 5 cards from the top of your deck. This attack does 40 more damage for each card you discarded in this way.","Ember Star","Fire","1","30×","This attack does 30 damage for each Energy card in your discard pile. (You can't use more than 1 VSTAR Power in a game.)","Water","×2"
"swsh12pt5gg-GG38","Suicune V","Pokémon","210","Water","",,"GG38","Atsushi Furusawa","Rare Holo V",,"245","E","https://images.pokemontcg.io/swsh12pt5gg/GG38.png","https://images.pokemontcg.io/swsh12pt5gg/GG38_hires.png","Legal",,"Legal","Colorless, Colorless","2","Fleet-Footed","Once during your turn, if this Pokémon is in the Active Spot, you may draw a card.","Ability","","","","Blizzard Rondo","Water, Colorless","2","20+","This attack does 20 more damage for each Benched Pokémon (both yours and your opponent's).","","","","","","Lightning","×2"
"swsh12pt5gg-GG39","Lumineon V","Pokémon","170","Water","",,"GG39","Jerky","Rare Holo V",,"457","F","https://images.pokemontcg.io/swsh12pt5gg/GG39.png","https://images.pokemontcg.io/swsh12pt5gg/GG39_hires.png","Legal","Legal","Legal","Colorless","1","Luminous Sign","When you play this Pokémon from your hand onto your Bench during your turn, you may search your deck for a Supporter card, reveal it, and put it into your hand. Then, shuffle your deck.","Ability","","","","Aqua Return","Water, Colorless, Colorless","3","120","Shuffle this Pokémon and all attached cards into your deck.","","","","","","Lightning","×2"
"swsh12pt5gg-GG40","Glaceon VSTAR","Pokémon","260","Water","","Glaceon V","GG40","Gemi","Rare Holo VSTAR",,"471","F","https://images.pokemontcg.io/swsh12pt5gg/GG40.png","https://images.pokemontcg.io/swsh12pt5gg/GG40_hires.png","Legal","Legal","Legal","Colorless, Colorless","2","","","","","","","Icicle Shot","Water, Water, Colorless","3","180","During your opponent's next turn, the Defending Pokémon can't retreat.","Crystal Star","Water, Water, Colorless","3","220","During your opponent's next turn, prevent all damage from and effects of attacks done to this Pokémon. (You can't use more than 1 VSTAR Power in a game.)","Metal","×2"
"swsh12pt5gg-GG41","Raikou V","Pokémon","200","Lightning","",,"GG41","nagimiso","Rare Holo V",,"243","F","https://images.pokemontcg.io/swsh12pt5gg/GG41.png","https://images.pokemontcg.io/swsh12pt5gg/GG41_hires.png","Legal","Legal","Legal","Colorless","1","Fleet-Footed","Once during your turn, if this Pokémon is in the Active Spot, you may draw a card.","Ability","","","","Lightning Rondo","Lightning, Colorless","2","20+","This attack does 20 more damage for each Benched Pokémon (both yours and your opponent's).","","","","","","Fighting","×2"
"swsh12pt5gg-GG42","Zeraora VMAX","Pokémon","320","Lightning","","Zeraora V","GG42","aoki","Rare Holo VMAX",,"807","F","https://images.pokemontcg.io/swsh12pt5gg/GG42.png","https://images.pokemontcg.io/swsh12pt5gg/GG42_hires.png","Legal","Legal","Legal","Colorless, Colorless","2","","","","","","","Reactive Pulse","Lightning, Lightning","2","60×","This attack does 60 damage for each of your opponent's Pokémon in play that has an Ability.","Max Fist","Lightning, Lightning, Colorless","3","240","Discard 2 Energy from this Pokémon.","Fighting","×2"
