"ID","Name","Supertype","Subtypes","HP","Types","RetreatCost","Rarity"
"swsh2-1","Caterpie","Pokemon","Basic","50","Grass","Colorless","Common"
"swsh2-2","Metapod","Pokemon","Stage 1","80","Grass","Colorless, Colorless, Colorless","Uncommon"
"swsh2-3","Butterfree","Pokemon","Stage 2","140","Grass","Colorless","Rare"
"swsh2-4","Scyther","Pokemon","Basic","80","Grass","Colorless","Common"
"swsh2-5","Shuckle","Pokemon","Basic","80","Grass","Colorless","Uncommon"
"swsh2-6","Heracross","Pokemon","Basic","130","Grass","Colorless, Colorless","Uncommon"
"swsh2-7","Lotad","Pokemon","Basic","60","Grass","Colorless","Common"
"swsh2-8","Lombre","Pokemon","Stage 1","90","Grass","Colorless","Uncommon"
"swsh2-9","Ludicolo","Pokemon","Stage 2","160","Grass","Colorless, Colorless","Rare"
"swsh2-10","Surskit","Pokemon","Basic","50","Grass","Colorless","Common"
"swsh2-11","Masquerain","Pokemon","Stage 1","90","Grass","Colorless","Uncommon"
"swsh2-12","Snover","Pokemon","Basic","90","Grass","Colorless, Colorless, Colorless","Common"
"swsh2-13","Abomasnow","Pokemon","Stage 1","140","Grass","Colorless, Colorless, Colorless","Rare"
"swsh2-14","Phantump","Pokemon","Basic","60","Grass","Colorless","Common"
"swsh2-15","Trevenant","Pokemon","Stage 1","130","Grass","Colorless, Colorless, Colorless","Rare"
"swsh2-16","Grubbin","Pokemon","Basic","60","Grass","Colorless","Common"
"swsh2-20","Applin","Pokemon","Basic","40","Grass","Colorless","Common"
"swsh2-21","Applin","Pokemon","Basic","40","Grass","Colorless","Common"
"swsh2-22","Flapple","Pokemon","Stage 1","80","Grass","Colorless","Rare Holo"
"swsh2-23","Appletun","Pokemon","Stage 1","90","Grass","Colorless, Colorless, Colorless","Rare Holo"
"swsh2-24","Vulpix","Pokemon","Basic","60","Fire","Colorless","Common"
"swsh2-25","Ninetales","Pokemon","Stage 1","120","Fire","Colorless","Rare"
"swsh2-27","Growlithe","Pokemon","Basic","80","Fire","Colorless, Colorless","Common"
"swsh2-28","Arcanine","Pokemon","Stage 1","130","Fire","Colorless, Colorless","Rare"
"swsh2-29","Magmar","Pokemon","Basic","90","Fire","Colorless, Colorless","Common"
"swsh2-30","Magmortar","Pokemon","Stage 1","140","Fire","Colorless, Colorless, Colorless","Rare"
"swsh2-31","Litwick","Pokemon","Basic","60","Fire","Colorless","Common"
"swsh2-32","Lampent","Pokemon","Stage 1","80","Fire","Colorless","Uncommon"
"swsh2-33","Chandelure","Pokemon","Stage 2","140","Fire","Colorless, Colorless","Rare Holo"
"swsh2-34","Heatmor","Pokemon","Basic","120","Fire","Colorless, Colorless","Uncommon"
"swsh2-37","Galarian Mr. Mime","Pokemon","Basic","80","Water","Colorless","Common"
"swsh2-38","Galarian Mr. Rime","Pokemon","Stage 1","110","Water","Colorless","Rare"
"swsh2-39","Magikarp","Pokemon","Basic","30","Water","Colorless","Common"
"swsh2-40","Gyarados","Pokemon","Stage 1","180","Water","Colorless, Colorless, Colorless, Colorless","Rare Holo"
"swsh2-41","Wingull","Pokemon","Basic","70","Water","Colorless","Common"
"swsh2-42","Pelipper","Pokemon","Stage 1","120","Water","Colorless, Colorless","Uncommon"
"swsh2-44","Tympole","Pokemon","Basic","60","Water","Colorless","Common"
"swsh2-45","Palpitoad","Pokemon","Stage 1","90","Water","Colorless, Colorless","Uncommon"
"swsh2-46","Seismitoad","Pokemon","Stage 2","170","Water","Colorless, Colorless, Colorless","Rare"
"swsh2-47","Galarian Darumaka","Pokemon","Basic","80","Water","Colorless, Colorless","Common"
"swsh2-48","Galarian Darmanitan","Pokemon","Stage 1","140","Water","Colorless, Colorless, Colorless","Rare"
"swsh2-51","Cramorant","Pokemon","Basic","110","Water","Colorless","Rare"
"swsh2-52","Arrokuda","Pokemon","Basic","60","Water","Colorless","Common"
"swsh2-53","Barraskewda","Pokemon","Stage 1","120","Water","Colorless","Rare"
"swsh2-54","Eiscue","Pokemon","Basic","120","Water","Colorless, Colorless","Rare Holo"
"swsh2-56","Voltorb","Pokemon","Basic","50","Lightning","Colorless","Common"
"swsh2-57","Electrode","Pokemon","Stage 1","90","Lightning","","Uncommon"
"swsh2-58","Electabuzz","Pokemon","Basic","90","Lightning","Colorless, Colorless","Common"
"swsh2-59","Electivire","Pokemon","Stage 1","140","Lightning","Colorless, Colorless, Colorless","Rare"
"swsh2-60","Shinx","Pokemon","Basic","60","Lightning","Colorless","Common"
"swsh2-61","Luxio","Pokemon","Stage 1","90","Lightning","Colorless","Uncommon"
"swsh2-62","Luxray","Pokemon","Stage 2","160","Lightning","Colorless","Rare Holo"
"swsh2-63","Helioptile","Pokemon","Basic","70","Lightning","Colorless","Common"
"swsh2-64","Heliolisk","Pokemon","Stage 1","110","Lightning","Colorless","Uncommon"
"swsh2-65","Charjabug","Pokemon","Stage 1","90","Lightning","Colorless, Colorless","Uncommon"
"swsh2-66","Vikavolt","Pokemon","Stage 2","150","Lightning","Colorless, Colorless","Rare Holo"
"swsh2-68","Toxel","Pokemon","Basic","70","Lightning","Colorless, Colorless","Common"
"swsh2-69","Toxtricity","Pokemon","Stage 1","130","Lightning","Colorless, Colorless","Rare"
"swsh2-73","Morpeko","Pokemon","Basic","80","Lightning","Colorless","Uncommon"
"swsh2-74","Clefairy","Pokemon","Basic","60","Psychic","Colorless","Common"
"swsh2-75","Clefable","Pokemon","Stage 1","110","Psychic","Colorless, Colorless","Rare Holo"
"swsh2-76","Natu","Pokemon","Basic","60","Psychic","Colorless","Common"
"swsh2-77","Xatu","Pokemon","Stage 1","120","Psychic","Colorless","Uncommon"
"swsh2-78","Galarian Corsola","Pokemon","Basic","80","Psychic","Colorless, Colorless","Common"
"swsh2-79","Galarian Cursola","Pokemon","Stage 1","100","Psychic","Colorless, Colorless","Rare Holo"
"swsh2-80","Sigilyph","Pokemon","Basic","110","Psychic","Colorless","Rare"
"swsh2-81","Sandygast","Pokemon","Basic","80","Psychic","Colorless, Colorless, Colorless","Common"
"swsh2-82","Palossand","Pokemon","Stage 1","140","Psychic","Colorless, Colorless, Colorless, Colorless","Uncommon"
"swsh2-83","Hatenna","Pokemon","Basic","60","Psychic","Colorless","Common"
"swsh2-84","Hattrem","Pokemon","Stage 1","80","Psychic","Colorless","Uncommon"
"swsh2-85","Hatterene","Pokemon","Stage 2","150","Psychic","Colorless, Colorless","Rare Holo"
