"id","name","supertype","hp","types","evolvesTo","evolvesFrom","number","artist","rarity","flavorText","nationalPokedexNumbers","regulationMark","imageSmall","imageLarge","legalitiesUnlimited","legalitiesStandard","legalitiesExpanded","retreatCost","convertedRetreatCost","Ability1Name","Ability1Text","Ability1Type","Ability2Name","Ability2Text","Ability2Type","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"swsh45-1","Yanma","Pokémon","80","Grass","Yanmega",,"1","Kouki Saitou","Common","If it flaps its wings really fast, it can generate shock waves that will shatter windows in the area.","193","E","https://images.pokemontcg.io/swsh45/1.png","https://images.pokemontcg.io/swsh45/1_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Tackle","Grass","1","10","","Wing Attack","Grass, Colorless","2","30","","Fire","×2"
"swsh45-2","Yanmega","Pokémon","120","Grass","","Yanma","2","Souichirou Gunjima","Rare","This six-legged Pokémon is easily capable of transporting an adult in flight. The wings on its tail help it stay balanced.","469","E","https://images.pokemontcg.io/swsh45/2.png","https://images.pokemontcg.io/swsh45/2_hires.png","Legal",,"Legal","",,"","","","","","","Bug Bite","Grass","1","30","","Nosedive","Grass, Colorless","2","120","This Pokémon also does 30 damage to itself.","Fire","×2"
"swsh45-3","Celebi","Pokémon","70","Grass","",,"3","Yuu Nishida","Rare","It has the power to travel across time, but it is said to appear only in peaceful times.","251","E","https://images.pokemontcg.io/swsh45/3.png","https://images.pokemontcg.io/swsh45/3_hires.png","Legal",,"Legal","Colorless","1","Woodland Stroll","Once during your turn, if this Pokémon is in the Active Spot, you may look at the top 6 cards of your deck, reveal an Energy card you find there, and put it into your hand. Shuffle the other cards back into your deck.","Ability","","","","Leaf Step","Grass, Colorless, Colorless","3","40","","","","","","","Fire","×2"
"swsh45-4","Cacnea","Pokémon","70","Grass","Cacturne",,"4","Uta","Common","It prefers harsh environments such as deserts. It can survive for 30 days on water stored in its body.","331","E","https://images.pokemontcg.io/swsh45/4.png","https://images.pokemontcg.io/swsh45/4_hires.png","Legal",,"Legal","Colorless, Colorless","2","","","","","","","Pierce","Grass, Grass","2","50","","","","","","","Fire","×2"
"swsh45-5","Tropius","Pokémon","110","Grass","",,"5","Akira Komayama","Uncommon","Bunches of delicious fruit grow around its neck. In warm areas, many ranches raise Tropius.","357","E","https://images.pokemontcg.io/swsh45/5.png","https://images.pokemontcg.io/swsh45/5_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Attach Leaves","Colorless","1","","Attach up to 2 Grass Energy cards from your discard pile to your Benched Pokémon in any way you like.","Gust","Grass, Colorless","2","30","","Fire","×2"
"swsh45-6","Rowlet","Pokémon","50","Grass","Dartrix",,"6","HYOGONOSUKE","Common","At a distance, it launches its sharp feathers while flying about. If the enemy gets too close, Rowlet switches tactics and delivers vicious kicks.","722","D","https://images.pokemontcg.io/swsh45/6.png","https://images.pokemontcg.io/swsh45/6_hires.png","Legal",,"Legal","Colorless","1","Sky Circus","If you played Bird Keeper from your hand during this turn, ignore all Energy in this Pokémon's attack costs.","Ability","","","","Wind Shard","Colorless, Colorless, Colorless","3","","This attack does 60 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)","","","","","","Fire","×2"
"swsh45-7","Dartrix","Pokémon","80","Grass","Decidueye","Rowlet","7","AKIRA EGAWA","Uncommon","It throws one knifelike feather after another at its enemies, and each one precisely strikes a weak point. These feathers are known as blade quills.","723","D","https://images.pokemontcg.io/swsh45/7.png","https://images.pokemontcg.io/swsh45/7_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Razor Leaf","Grass","1","40","","","","","","","Fire","×2"
"swsh45-8","Decidueye","Pokémon","140","Grass","","Dartrix","8","Ryota Murayama","Rare Holo","As if wielding a bow, it launches the arrow quills hidden among the feathers of its wings. Decidueye's shots never miss.","724","D","https://images.pokemontcg.io/swsh45/8.png","https://images.pokemontcg.io/swsh45/8_hires.png","Legal",,"Legal","Colorless, Colorless","2","Deep Forest Camo","Prevent all damage done to this Pokémon by attacks from your opponent's Pokémon V and Pokémon-GX.","Ability","","","","Splitting Arrow","Grass, Colorless","2","90","This attack also does 20 damage to 2 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)","","","","","","Fire","×2"
"swsh45-9","Dhelmise V","Pokémon","220","Grass","",,"9","Eske Yoshinob","Rare Holo V",,"781","D","https://images.pokemontcg.io/swsh45/9.png","https://images.pokemontcg.io/swsh45/9_hires.png","Legal",,"Legal","Colorless, Colorless","2","","","","","","","Anchor Anger","Grass","1","30+","If any of your Grass Pokémon were Knocked Out by damage from an opponent's attack during their last turn, this attack does 90 more damage.","Giga Hammer","Grass, Grass, Colorless","3","200","During your next turn, this Pokémon can't use Giga Hammer.","Fire","×2"
"swsh45-10","Dhelmise VMAX","Pokémon","330","Grass","","Dhelmise V","10","PLANETA Mochizuki","Rare Holo VMAX",,"781","D","https://images.pokemontcg.io/swsh45/10.png","https://images.pokemontcg.io/swsh45/10_hires.png","Legal",,"Legal","Colorless, Colorless, Colorless","3","","","","","","","Swinging Chain","Grass","1","","This attack does 30 damage to 1 of your opponent's Pokémon for each Grass Energy attached to this Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)","Max Anchor","Grass, Grass, Colorless","3","240","During your next turn, this Pokémon can't use Max Anchor.","Fire","×2"
"swsh45-11","Grookey","Pokémon","60","Grass","Thwackey",,"11","Naoki Saito","Common","When it uses its special stick to strike up a beat, the sound waves produced carry revitalizing energy to the plants and flowers in the area.","810","D","https://images.pokemontcg.io/swsh45/11.png","https://images.pokemontcg.io/swsh45/11_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Fury Swipes","Colorless","1","10×","Flip 3 coins. This attack does 10 damage for each heads.","","","","","","Fire","×2"
"swsh45-12","Thwackey","Pokémon","90","Grass","Rillaboom","Grookey","12","0313","Uncommon","The faster a Thwackey can beat out a rhythm with its two sticks, the more respect it wins from its peers.","811","D","https://images.pokemontcg.io/swsh45/12.png","https://images.pokemontcg.io/swsh45/12_hires.png","Legal",,"Legal","Colorless, Colorless","2","Lay of the Land","If you have a Stadium in play, this Pokémon has no Retreat Cost.","Ability","","","","Branch Poké","Grass","1","20","","","","","","","Fire","×2"
"swsh45-13","Rillaboom","Pokémon","170","Grass","","Thwackey","13","Anesaki Dynamic","Rare Holo","By drumming, it taps into the power of its special tree stump. The roots of the stump follow its direction in battle.","812","D","https://images.pokemontcg.io/swsh45/13.png","https://images.pokemontcg.io/swsh45/13_hires.png","Legal",,"Legal","Colorless, Colorless, Colorless","3","Voltage Beat","Once during your turn, you may search your deck for up to 2 Grass Energy cards and attach them to 1 of your Pokémon. Then, shuffle your deck.","Ability","","","","Hammer In","Grass, Grass, Grass, Colorless","4","140","","","","","","","Fire","×2"
"swsh45-14","Gossifleur","Pokémon","60","Grass","Eldegoss",,"14","Yukiko Baba","Common","It whirls around in the wind while singing a joyous song. This delightful display has charmed many into raising this Pokémon.","829","E","https://images.pokemontcg.io/swsh45/14.png","https://images.pokemontcg.io/swsh45/14_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Leafage","Colorless","1","10","","","","","","","Fire","×2"
