"ID","Name","Supertype","Subtypes","HP","Types","RetreatCost","Rarity","Ability","Attacks"
"swsh5-1","Bellsprout","Pokemon","Basic","50","Grass","1","Common","","Venoshock: Cost=[Colorless], EnergyCost=[1], Damage=10+, Text=If your opponent's Active Pokemon is Poisoned, this attack does 40 more damage."
"swsh5-2","Weepinbell","Pokemon","Stage 1","80","Grass","2","Uncommon","Dangerous Mucus: Effect=[When you play this Pokemon from your hand to evolve 1 of your Pokemon during your turn, you may make your opponent's Active Pokemon Burned and Poisoned.]","Vine Whip: Cost=[Grass, Colorless, Colorless], EnergyCost=[3], Damage=40, Text="
"swsh5-3","Victreebel","Pokemon","Stage 2","150","Grass","3","Rare","","Panic Vine: Cost=[Grass], EnergyCost=[1], Damage=40, Text=Your opponent's Active Pokemon is now Confused. During your opponent's next turn, that Pokemon can't retreat. | Solar Beam: Cost=[Grass, Colorless, Colorless], EnergyCost=[3], Damage=120, Text="
"swsh5-4","Cacnea","Pokemon","Basic","70","Grass","2","Common","","Zzzt: Cost=[Colorless], EnergyCost=[1], Damage=10, Text= | Beat: Cost=[Grass, Colorless], EnergyCost=[2], Damage=20, Text="
"swsh5-5","Cacturne","Pokemon","Stage 1","120","Grass","2","Uncommon","","Pull: Cost=[Colorless], EnergyCost=[1], Damage=, Text=Switch 1 of your opponent's Benched Pokemon with their Active Pokemon. | Spiny Punch: Cost=[Grass, Colorless], EnergyCost=[2], Damage=60+, Text=If this Pokemon has any Darkness Energy attached, this attack does 70 more damage."
"swsh5-7","Cherubi","Pokemon","Basic","50","Grass","1","Common","","Leafage: Cost=[Grass], EnergyCost=[1], Damage=10, Text="
"swsh5-8","Cherrim","Pokemon","Stage 1","80","Grass","2","Rare Holo","Spring Bloom: Effect=[As often as you like during your turn, you may attach a Grass Energy card from your hand to 1 of your Pokemon that doesn't have a Rule Box (Pokemon V, Pokemon-GX, etc. have Rule Boxes).]","Seed Bomb: Cost=[Grass, Colorless, Colorless], EnergyCost=[3], Damage=70, Text="
"swsh5-9","Carnivine","Pokemon","Basic, Rapid Strike","110","Grass","2","Uncommon","","Big Bite: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=30, Text=During your opponent's next turn, the Defending Pokemon can't retreat. | Triple Whip: Cost=[Grass, Colorless, Colorless], EnergyCost=[3], Damage=60×, Text=Flip 3 coins. This attack does 60 damage for each heads."
"swsh5-10","Durant","Pokemon","Basic","90","Grass","1","Uncommon","","Vise Grip: Cost=[Grass], EnergyCost=[1], Damage=20, Text= | Devour: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=, Text=For each of your Durant in play, discard the top card of your opponent's deck."
"swsh5-11","Scatterbug","Pokemon","Basic","40","Grass","1","Common","","Surprise Attack: Cost=[Colorless], EnergyCost=[1], Damage=30, Text=Flip a coin. If tails, this attack does nothing."
"swsh5-12","Spewpa","Pokemon","Stage 1","80","Grass","3","Uncommon","","Grass Cocooning: Cost=[Colorless], EnergyCost=[1], Damage=, Text=Heal 40 damage from this Pokemon. | Bug Bite: Cost=[Grass, Colorless, Colorless], EnergyCost=[3], Damage=40, Text="
"swsh5-13","Vivillon","Pokemon","Stage 2","120","Grass","1","Rare","","Vital Powder: Cost=[Colorless], EnergyCost=[1], Damage=, Text=Heal all damage from 2 of your Benched Pokemon. | Gust: Cost=[Grass, Colorless, Colorless], EnergyCost=[3], Damage=90, Text="
"swsh5-14","Fomantis","Pokemon","Basic","60","Grass","1","Common","","Continuous Slash: Cost=[Grass], EnergyCost=[1], Damage=20×, Text=Flip a coin until you get tails. This attack does 20 damage for each heads."
"swsh5-15","Lurantis","Pokemon","Stage 1","120","Grass","2","Rare","","Leaf Drain: Cost=[Grass], EnergyCost=[1], Damage=30, Text=Heal 30 damage from this Pokemon. | Solar Cutter: Cost=[Grass, Colorless], EnergyCost=[2], Damage=70, Text="
"swsh5-16","Tapu Bulu","Pokemon","Basic","130","Grass","2","Rare Holo","","Push Down: Cost=[Grass], EnergyCost=[1], Damage=20, Text=Your opponent switches their Active Pokemon with 1 of their Benched Pokemon. | Nature's Judgment: Cost=[Grass, Grass, Colorless], EnergyCost=[3], Damage=80+, Text=You may discard all Energy from this Pokemon. If you do, this attack does 80 more damage."
"swsh5-17","Blipbug","Pokemon","Basic","50","Grass","1","Common","","Stampede: Cost=[Colorless], EnergyCost=[1], Damage=10, Text="
"swsh5-20","Entei","Pokemon","Basic","130","Fire","2","Rare Holo","","Heat Dash: Cost=[Fire], EnergyCost=[1], Damage=30, Text=You may attach a Fire Energy card from your hand to this Pokemon. | Fire Fang: Cost=[Fire, Fire, Colorless], EnergyCost=[3], Damage=90, Text=Your opponent's Active Pokemon is now Burned."
"swsh5-23","Tepig","Pokemon","Basic, Single Strike","80","Fire","2","Common","","Ram: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=20, Text= | Combustion: Cost=[Fire, Fire, Colorless], EnergyCost=[3], Damage=50, Text="
"swsh5-24","Pignite","Pokemon","Stage 1, Single Strike","100","Fire","3","Uncommon","","Ram: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=30, Text= | Combustion: Cost=[Fire, Fire, Colorless], EnergyCost=[3], Damage=90, Text="
